#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.8061e-06	4.4342e-07	9.2069e-07	1.0000e-37	9.0718e-03	1.0482e-03	5.6973e-22	9.2668e-22	3.5695e-22	1.3486e-06	1.4001e-08	3.0185e-07	2.8765e-07	3.6372e-16	7.5813e-11	4.7690e-13	1.2673e-12	2.5808e-07	1.8213e-07	4.9242e-09	3.5180e-09	3.4752e-07	2.1949e-24	2.6543e-09	2.8921e-07	6.9535e-08	8.9114e-08	1.4783e-07	1.4045e-09	3.3113e-09	7.7431e-08	3.6977e-07	1.4381e-07	1.5240e-07	3.4685e-06	1.1994e-06	4.9766e-11	1.0000e-37	1.2984e-04	9.8094e-04	7.8562e-06	2.0375e-05	1.1805e-05	6.0436e-07	3.6816e-06	7.8844e-08	8.7352e-07	1.7311e-07	2.3124e-07	5.8129e-08	1.1125e-05	2.0054e-05	1.4031e-08	3.9973e-11	2.7622e-11	1.1974e-21	9.2382e-10	7.3300e-04	4.3357e-05	7.6147e-06	2.2920e-05	3.1957e-08	1.0000e-37	1.1017e-09	4.7253e-08	5.9163e-06	2.0635e-07	1.2640e-07	6.5807e-08	1.3335e-04	1.2563e-05	4.4093e-06	7.4314e-06	3.0221e-06	2.0880e-19	2.1957e-06	1.6394e-07	6.3256e-13	5.2984e-07	2.1599e-09	3.9068e-09	3.5486e-08	1.5162e-08	5.4554e-08	8.9766e-06	1.1694e-06	2.2262e-05	1.6792e-06	8.0157e-06	1.0177e-09	2.5004e-09	1.0000e-37	3.7677e-08	1.4381e-07
iteration 3	4.5902e-07	1.8856e-07	1.0532e-06	1.0000e-37	9.0718e-03	1.0570e-03	1.0000e-37	1.0000e-37	1.0000e-37	6.2922e-07	3.1310e-08	2.2270e-07	2.7245e-09	1.0203e-20	1.3329e-13	2.7832e-16	7.2521e-16	1.7523e-07	6.3906e-10	1.6877e-09	2.2675e-11	1.9784e-07	1.0000e-37	2.0049e-11	1.1029e-07	6.1905e-10	3.1834e-09	5.2805e-09	2.3951e-11	4.6937e-11	1.8525e-08	1.1404e-07	3.5759e-08	4.5305e-08	1.9894e-06	6.9977e-07	1.0101e-12	1.0000e-37	1.2601e-04	1.0715e-03	3.7899e-06	9.9204e-06	5.6250e-06	4.1248e-08	3.2891e-06	2.1693e-07	7.9898e-07	2.2961e-07	3.0683e-07	7.7221e-08	1.1030e-05	1.9916e-05	1.9889e-10	2.9154e-11	2.1663e-11	2.4366e-23	9.6369e-12	7.3300e-04	4.3261e-05	2.9112e-07	8.7627e-07	1.0566e-07	1.0000e-37	1.7234e-09	1.8356e-08	5.5368e-06	5.9717e-07	2.2721e-08	1.9045e-07	1.3478e-04	1.3346e-05	9.2977e-06	1.5735e-05	6.4368e-06	2.4601e-22	1.0074e-06	2.8907e-08	4.2065e-15	2.4309e-07	4.8308e-09	9.3038e-09	8.4506e-08	3.5780e-08	1.2959e-07	3.2476e-06	1.1781e-06	8.0541e-06	1.6937e-06	7.3283e-06	6.5448e-12	1.6131e-11	1.0000e-37	3.2609e-10	3.5759e-08
iteration 3	1.9972e-07	1.5219e-09	1.0267e-06	1.0000e-37	9.0718e-03	1.0488e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.0389e-07	3.0658e-08	1.4373e-07	1.0000e-37	1.0000e-37	7.5113e-17	1.0000e-37	1.0000e-37	1.0886e-07	1.0000e-37	7.9464e-10	5.4666e-14	1.1820e-07	1.0000e-37	5.2776e-14	5.0287e-09	3.7560e-12	7.4907e-11	1.2446e-10	1.0000e-37	2.1781e-13	2.8185e-09	1.9071e-08	5.4826e-09	9.4841e-09	6.2520e-07	2.3175e-07	1.0999e-14	1.0000e-37	1.1704e-04	1.1150e-03	1.0911e-06	2.9909e-06	1.4700e-06	2.0479e-09	2.2410e-06	2.7928e-07	5.5509e-07	1.4533e-07	1.9404e-07	4.8707e-08	1.0455e-05	1.8917e-05	9.2291e-13	7.3590e-12	3.6674e-12	1.0000e-37	3.4878e-14	7.3300e-04	4.1265e-05	3.1284e-09	9.4165e-09	1.5044e-07	1.0000e-37	8.1511e-10	3.9467e-09	3.8952e-06	7.2194e-07	2.2924e-09	2.3024e-07	1.2983e-04	6.8995e-06	8.4433e-06	1.4932e-05	6.4887e-06	1.0000e-37	3.3601e-07	3.7157e-09	9.4203e-18	8.1085e-08	4.7296e-09	5.4140e-09	4.9175e-08	1.8847e-08	7.3437e-08	6.3759e-07	1.1338e-06	1.5812e-06	1.6311e-06	5.1630e-06	1.5778e-14	3.8888e-14	1.0000e-37	1.9330e-12	5.4826e-09
iteration 3	4.1351e-11	8.3315e-15	6.0434e-07	1.0000e-37	9.0718e-03	2.1214e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.4299e-09	2.1486e-12	1.0921e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2853e-10	1.0000e-37	1.5775e-12	1.4377e-19	1.6993e-10	1.0000e-37	1.1139e-19	1.7103e-13	3.0855e-17	1.0884e-15	1.8278e-15	1.0000e-37	8.8137e-19	3.3221e-13	2.0554e-12	6.6509e-13	1.4850e-12	1.0024e-09	3.3649e-10	7.0883e-20	1.0000e-37	7.1562e-08	7.6643e-07	1.9091e-10	5.6278e-10	1.7599e-10	5.7904e-14	7.3276e-10	1.1263e-10	1.7667e-10	6.1648e-11	8.2074e-11	2.0426e-11	9.9300e-09	1.6775e-08	3.7346e-18	3.4933e-15	2.2413e-16	1.0000e-37	1.0000e-37	7.3300e-04	3.1499e-08	3.9559e-14	1.1907e-13	8.7125e-11	1.0000e-37	2.4108e-13	4.8100e-13	1.1438e-09	4.4456e-10	1.4819e-13	1.4178e-10	8.5407e-08	1.8938e-09	2.9993e-09	6.4212e-09	3.4219e-09	1.0000e-37	5.2713e-11	4.2645e-13	1.0000e-37	1.2720e-11	3.3141e-13	1.9844e-13	1.8024e-12	1.0241e-12	3.0250e-12	8.7486e-11	7.7733e-10	2.1697e-10	1.1185e-09	1.7423e-09	4.1495e-20	1.0227e-19	1.0000e-37	1.9192e-17	6.6509e-13
iteration 3	1.3972e-12	2.4595e-17	3.3433e-07	1.0000e-37	9.0718e-03	1.2829e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.0031e-10	2.6776e-13	3.0396e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5794e-11	1.0000e-37	1.0340e-13	5.0447e-22	4.8182e-11	1.0000e-37	3.5696e-23	1.2867e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.2135e-25	1.2974e-17	1.7132e-16	1.5972e-15	4.6074e-16	2.3438e-10	7.8346e-11	1.0438e-26	1.0000e-37	2.9774e-08	4.9573e-07	1.0770e-13	6.3792e-11	6.2569e-14	1.0382e-17	2.2491e-10	1.7395e-13	5.7731e-11	2.9975e-13	4.0041e-13	1.0066e-13	4.4429e-09	7.5974e-09	3.4803e-24	2.3401e-16	1.6975e-17	1.0000e-37	1.0000e-37	7.3300e-04	1.4679e-08	8.5731e-18	2.5805e-17	1.4700e-12	1.0000e-37	9.2300e-17	1.8691e-16	3.8750e-10	7.9462e-12	5.3912e-17	2.5342e-12	4.1926e-08	9.2380e-12	5.2487e-11	1.4174e-10	8.9251e-11	1.0000e-37	3.0537e-13	1.0907e-16	1.0000e-37	7.3690e-14	4.1302e-14	3.0031e-16	2.7277e-15	1.6354e-15	4.6635e-15	1.3765e-12	3.6808e-10	3.4136e-12	5.2663e-10	5.2879e-10	1.4560e-22	3.5887e-22	1.0000e-37	1.0000e-37	1.5972e-15
iteration 3	5.1992e-15	1.3421e-20	3.6856e-08	1.0000e-37	9.0718e-03	2.1240e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.2250e-11	1.0000e-37	1.6832e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9822e-12	1.0000e-37	1.2244e-15	1.0000e-37	2.7864e-12	1.0000e-37	2.0076e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.5069e-31	2.1905e-18	8.7354e-17	1.0000e-37	8.7155e-12	2.9091e-12	1.0000e-37	1.0000e-37	1.7607e-09	5.7240e-08	2.4489e-23	2.2695e-12	1.0953e-23	1.0000e-37	1.1198e-11	2.3002e-22	3.0904e-12	2.4338e-21	3.2830e-21	8.4913e-22	2.8756e-10	4.9467e-10	1.0000e-37	2.7966e-18	2.3853e-19	1.0000e-37	1.0000e-37	7.3300e-04	9.8171e-10	1.0000e-37	1.0000e-37	1.3465e-14	1.0000e-37	7.5445e-28	8.0808e-19	2.1911e-11	1.0273e-17	8.6591e-27	3.2763e-18	3.0296e-09	1.0000e-37	1.1050e-16	3.4575e-16	2.3524e-16	1.0000e-37	1.3478e-19	7.0221e-31	1.0000e-37	3.2523e-20	1.0000e-37	3.7412e-25	3.3981e-24	2.3808e-24	6.1531e-24	1.3624e-17	2.6411e-11	3.3787e-17	3.6950e-11	2.6620e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.7354e-17
iteration 3	1.2874e-17	1.0327e-23	2.7913e-09	1.0000e-37	9.0718e-03	2.0390e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.2579e-12	1.0000e-37	9.5165e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1207e-13	1.0000e-37	1.0191e-17	1.0000e-37	1.8647e-13	1.0000e-37	8.6432e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0572e-20	3.5221e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1139e-10	5.7965e-09	6.9655e-37	6.1835e-14	2.8900e-37	1.0000e-37	3.5573e-13	7.3802e-35	1.0314e-13	4.3547e-33	5.9295e-33	1.5748e-33	1.9770e-11	3.3951e-11	1.0000e-37	2.3294e-20	2.2009e-21	1.0000e-37	1.0000e-37	7.3300e-04	6.7621e-11	1.0000e-37	1.0000e-37	3.1292e-16	1.0000e-37	1.0000e-37	6.2087e-21	7.6891e-13	1.8438e-25	1.0000e-37	5.8801e-26	2.0911e-10	1.0000e-37	1.1606e-24	3.8948e-24	2.7342e-24	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0913e-37	9.8959e-37	8.7035e-37	1.9691e-36	1.0000e-37	2.0192e-12	1.0000e-37	2.6904e-12	8.8537e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5221e-18
iteration 3	5.7047e-20	9.2665e-27	3.1320e-10	1.0000e-37	9.0718e-03	2.3603e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.1390e-14	1.0000e-37	6.1573e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.2508e-15	1.0000e-37	6.9889e-20	1.0000e-37	2.0618e-14	1.0000e-37	7.7116e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.1133e-22	2.2516e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1967e-11	5.5585e-10	1.3759e-34	2.5565e-15	5.5171e-35	1.0000e-37	8.3725e-15	2.8767e-32	2.5799e-15	1.3553e-30	1.8164e-30	4.6111e-31	2.1623e-12	3.6862e-12	1.0000e-37	1.5768e-22	1.2776e-23	1.0000e-37	1.0000e-37	7.3300e-04	7.2405e-12	1.0000e-37	1.0000e-37	9.4202e-18	1.0000e-37	1.0000e-37	5.5301e-23	2.1368e-14	1.9615e-23	1.0000e-37	6.2556e-24	2.1656e-11	1.0000e-37	5.7649e-24	1.9488e-23	1.3723e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3817e-35	3.9799e-34	3.2617e-34	7.6797e-34	1.0000e-37	2.3601e-13	1.0000e-37	2.9803e-13	2.2560e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2516e-19
iteration 3	1.3338e-17	5.7805e-25	3.6797e-07	1.0000e-37	9.0718e-03	1.4504e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0744e-10	1.0000e-37	8.1462e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.5929e-12	1.0000e-37	1.9868e-17	1.0000e-37	9.1874e-11	1.0000e-37	4.8607e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8092e-18	3.0714e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.5038e-08	2.8747e-06	1.0000e-37	3.5641e-12	1.0000e-37	1.0000e-37	1.3177e-11	1.0000e-37	4.7638e-12	3.6624e-38	4.9942e-38	1.3318e-38	9.4530e-09	1.5294e-08	1.0000e-37	4.4112e-20	1.0000e-37	1.0000e-37	1.0000e-37	7.3300e-04	2.7940e-08	1.0000e-37	1.0000e-37	1.2058e-14	1.0000e-37	1.0000e-37	3.3648e-20	4.7758e-11	4.3222e-26	1.0000e-37	1.3784e-26	7.5605e-08	1.0000e-37	1.4253e-27	4.9586e-27	3.5333e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1359e-09	1.0000e-37	1.3739e-09	4.2997e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0714e-16
iteration 3	3.1027e-19	8.7046e-27	3.2684e-07	1.0000e-37	9.0718e-03	1.2090e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.3833e-11	1.0000e-37	1.8039e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1243e-12	1.0000e-37	1.1571e-18	1.0000e-37	9.1731e-11	1.0000e-37	7.3582e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2645e-19	6.9040e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9299e-08	2.0841e-06	1.0000e-37	1.0520e-12	1.0000e-37	1.0000e-37	7.5349e-12	1.0000e-37	3.1351e-12	1.0000e-37	1.0000e-37	1.0000e-37	8.1077e-09	1.2645e-08	1.0000e-37	2.5086e-21	1.0000e-37	1.0000e-37	1.0000e-37	7.3300e-04	2.1923e-08	1.0000e-37	1.0000e-37	6.9369e-15	1.0000e-37	1.0000e-37	4.5978e-21	3.5814e-11	6.6322e-29	1.0000e-37	2.1151e-29	5.6287e-08	1.0000e-37	1.1682e-31	4.1192e-31	2.9510e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.1894e-10	1.0000e-37	1.1158e-09	2.9073e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.9040e-17
