#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.7639e-06	5.1813e-07	1.0174e-06	1.0000e-37	8.4641e-03	1.0494e-03	1.0966e-16	1.7812e-16	6.8466e-17	1.5163e-06	1.1349e-08	3.4515e-07	4.2291e-07	9.3679e-14	1.4848e-10	5.2954e-12	1.0758e-11	3.3058e-07	3.7325e-07	4.7232e-08	1.0031e-08	4.0652e-07	3.4403e-19	7.7109e-09	3.3445e-07	1.3672e-07	2.2869e-07	3.7866e-07	6.1926e-09	8.1796e-09	1.2661e-07	5.9561e-07	2.6959e-07	2.5821e-07	5.8240e-06	1.9955e-06	2.5590e-10	1.0000e-37	1.3170e-04	9.4039e-04	1.0391e-05	2.6807e-05	1.5613e-05	1.8705e-06	3.7846e-06	1.1165e-07	8.8767e-07	2.1838e-07	2.9165e-07	7.3274e-08	1.1220e-05	2.0200e-05	3.4674e-08	4.1152e-09	3.6613e-09	3.6077e-17	3.8145e-09	7.9495e-04	4.3502e-05	1.2912e-05	3.8865e-05	5.6622e-08	1.0000e-37	2.6208e-09	6.5924e-08	5.9341e-06	3.9188e-07	1.9856e-07	1.2498e-07	1.3281e-04	1.3580e-05	4.7708e-06	8.0470e-06	3.2762e-06	8.3224e-17	2.8365e-06	2.3957e-07	3.2300e-12	6.8449e-07	1.7505e-09	4.9605e-09	4.5056e-08	1.8866e-08	6.8883e-08	1.1038e-05	1.1632e-06	2.7373e-05	1.6702e-06	8.1586e-06	2.9031e-09	7.1283e-09	6.0843e-22	6.4163e-08	2.6959e-07
iteration 3	7.1869e-07	2.3572e-07	1.1621e-06	1.0000e-37	8.4641e-03	1.0548e-03	1.0000e-37	1.0000e-37	1.0000e-37	7.2815e-07	3.0806e-08	2.5846e-07	6.5769e-09	1.5691e-16	2.8550e-13	5.2547e-15	1.0017e-14	2.2814e-07	4.0613e-09	2.6210e-08	9.2095e-11	2.4081e-07	1.0000e-37	9.3439e-11	1.3561e-07	1.9496e-09	1.1427e-08	1.8915e-08	1.1334e-10	1.6229e-10	4.1080e-08	2.5157e-07	8.2526e-08	9.5276e-08	3.7692e-06	1.3037e-06	8.1276e-12	1.0000e-37	1.2809e-04	1.0180e-03	6.5639e-06	1.6893e-05	9.7460e-06	1.9239e-07	3.4854e-06	3.4230e-07	8.3595e-07	3.4531e-07	4.6134e-07	1.1604e-07	1.1114e-05	2.0041e-05	6.8801e-10	3.3894e-09	3.0034e-09	1.0533e-20	4.4246e-11	7.9495e-04	4.3352e-05	6.2312e-07	1.8756e-06	1.6335e-07	1.0000e-37	3.5877e-09	3.4732e-08	5.7302e-06	9.7844e-07	4.5970e-08	3.1204e-07	1.3402e-04	1.8419e-05	1.1620e-05	1.9670e-05	8.0495e-06	4.2045e-19	1.4641e-06	5.9766e-08	2.5792e-14	3.5331e-07	4.7529e-09	1.4407e-08	1.3086e-07	5.4892e-08	2.0016e-07	4.7314e-06	1.1699e-06	1.1734e-05	1.6819e-06	7.6952e-06	2.6581e-11	6.5514e-11	1.0000e-37	8.5663e-10	8.2526e-08
iteration 3	3.0851e-07	2.4294e-09	1.1164e-06	1.0000e-37	8.4641e-03	1.0572e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.5422e-07	3.1035e-08	1.6760e-07	1.0000e-37	1.0000e-37	1.8350e-16	1.0000e-37	1.0000e-37	1.4219e-07	1.0000e-37	7.4195e-09	1.8919e-13	1.4422e-07	1.0000e-37	2.1635e-13	6.8793e-09	1.1872e-11	2.4908e-10	4.1294e-10	1.0000e-37	6.5746e-13	6.1741e-09	4.3944e-08	1.2654e-08	1.9832e-08	1.1294e-06	4.0482e-07	9.2359e-14	1.0000e-37	1.1974e-04	1.0832e-03	1.8512e-06	4.8547e-06	2.5024e-06	9.9281e-09	2.5441e-06	4.4746e-07	6.2497e-07	2.3205e-07	3.0979e-07	7.7734e-08	1.0623e-05	1.9203e-05	2.7858e-12	6.5873e-10	5.7573e-10	1.0000e-37	2.1694e-13	7.9495e-04	4.1758e-05	6.1364e-09	1.8471e-08	2.3041e-07	1.0000e-37	1.6989e-09	7.5534e-09	4.3682e-06	1.1470e-06	4.7611e-09	3.6581e-07	1.3071e-04	9.5775e-06	1.1324e-05	1.9991e-05	8.6669e-06	1.0000e-37	5.0014e-07	8.0468e-09	7.4775e-17	1.2069e-07	4.7877e-09	9.3995e-09	8.5375e-08	3.2798e-08	1.2757e-07	9.8430e-07	1.1391e-06	2.4411e-06	1.6389e-06	5.8497e-06	5.4604e-14	1.3458e-13	1.0000e-37	5.2171e-12	1.2654e-08
iteration 3	4.9692e-09	9.0087e-13	9.8840e-07	1.0000e-37	8.4641e-03	5.3097e-05	1.0000e-37	1.0000e-37	1.0000e-37	7.4679e-08	1.2045e-09	8.3760e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0721e-08	1.0000e-37	7.9348e-10	2.3393e-17	1.2916e-08	1.0000e-37	2.4910e-17	1.5435e-11	4.9581e-15	2.0653e-13	3.4548e-13	1.0000e-37	1.5324e-16	4.2543e-11	2.8262e-10	9.0359e-11	1.8568e-10	5.5824e-08	2.0996e-08	3.6036e-17	1.0000e-37	4.8994e-06	5.0528e-05	1.9870e-08	5.3491e-08	1.8488e-08	1.8433e-11	5.9987e-08	1.1967e-08	1.4749e-08	6.2044e-09	8.2596e-09	2.0552e-09	5.6076e-07	9.3624e-07	6.4930e-16	3.8671e-12	2.4413e-12	1.0000e-37	1.0000e-37	7.9495e-04	1.8939e-06	4.8050e-12	1.4463e-11	8.2993e-09	1.0000e-37	2.9721e-11	5.6210e-11	1.0025e-07	4.3004e-08	1.9704e-11	1.3715e-08	5.6974e-06	1.6915e-07	2.6359e-07	5.6183e-07	2.9824e-07	1.0000e-37	5.2740e-09	5.4473e-11	1.0000e-37	1.2727e-09	1.8578e-10	2.3719e-11	2.1544e-10	1.1566e-10	3.5482e-10	9.0867e-09	5.3283e-08	2.2535e-08	7.5207e-08	1.4802e-07	6.7517e-18	1.6641e-17	1.0000e-37	2.6001e-15	9.0359e-11
iteration 3	2.5730e-12	4.0917e-17	3.8965e-07	1.0000e-37	8.4641e-03	1.2682e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.6446e-10	3.6995e-13	3.5618e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.7060e-11	1.0000e-37	6.4419e-13	8.1483e-22	5.8734e-11	1.0000e-37	5.9927e-23	1.6879e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9968e-24	5.3808e-17	4.0482e-16	1.8836e-15	1.1397e-15	2.6816e-10	8.9784e-11	2.5217e-25	1.0000e-37	2.9589e-08	4.6702e-07	2.8058e-13	7.3185e-11	1.6472e-13	8.7154e-17	2.7078e-10	4.7302e-13	6.9279e-11	7.2252e-13	9.6470e-13	2.4218e-13	4.7840e-09	8.5207e-09	2.1173e-23	3.8715e-15	2.8156e-15	1.0000e-37	1.0000e-37	7.9495e-04	1.6262e-08	2.3175e-17	6.9757e-17	2.4311e-12	1.0000e-37	3.2256e-16	3.5718e-16	4.6540e-10	1.5500e-11	1.8391e-16	4.9431e-12	4.4072e-08	1.6760e-11	9.2492e-11	2.4837e-10	1.5588e-10	1.0000e-37	6.3380e-13	1.9139e-16	1.0000e-37	1.5294e-13	5.7064e-14	8.1900e-16	7.4390e-15	4.4249e-15	1.2683e-14	2.6790e-12	3.5522e-10	6.6439e-12	5.0844e-10	6.4527e-10	2.3518e-22	5.7965e-22	1.0000e-37	1.0000e-37	1.8836e-15
iteration 3	9.9009e-15	2.1450e-20	4.3997e-08	1.0000e-37	8.4641e-03	2.1058e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.6411e-11	1.0000e-37	2.0177e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6673e-12	1.0000e-37	8.0079e-15	1.0000e-37	3.4351e-12	1.0000e-37	3.2222e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9586e-29	2.6490e-18	9.9833e-17	1.0000e-37	1.0596e-11	3.5425e-12	1.0000e-37	1.0000e-37	1.7703e-09	5.3830e-08	3.5570e-22	2.6588e-12	1.5966e-22	1.0000e-37	1.4074e-11	3.3056e-21	3.8727e-12	2.8688e-20	3.8649e-20	9.9618e-21	3.1204e-10	5.5857e-10	1.0000e-37	5.1325e-17	4.1257e-17	1.0000e-37	1.0000e-37	7.9495e-04	1.0966e-09	1.0000e-37	1.0000e-37	1.4794e-14	1.0000e-37	2.2207e-26	1.1797e-18	2.7443e-11	5.4085e-17	1.5399e-25	1.7248e-17	3.2305e-09	1.9754e-17	5.2285e-16	1.6284e-15	1.1056e-15	1.0000e-37	6.4679e-19	3.7726e-29	1.0000e-37	1.5608e-19	1.0000e-37	5.4232e-24	4.9259e-23	3.3765e-23	8.8447e-23	5.1198e-17	2.5745e-11	1.2697e-16	3.6066e-11	3.3409e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.9833e-17
iteration 3	2.4287e-17	1.6212e-23	3.2981e-09	1.0000e-37	8.4641e-03	1.9983e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.5586e-12	1.0000e-37	1.1908e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5741e-13	1.0000e-37	7.4121e-17	1.0000e-37	2.2697e-13	1.0000e-37	1.4109e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4398e-20	4.1866e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1023e-10	5.4682e-09	3.0328e-35	7.2150e-14	1.2565e-35	1.0000e-37	4.9955e-13	3.0130e-33	1.4476e-13	1.5076e-31	2.0496e-31	5.4196e-32	2.1154e-11	3.7774e-11	1.0000e-37	4.7884e-19	4.2419e-19	1.0000e-37	1.0000e-37	7.9495e-04	7.4366e-11	1.0000e-37	1.0000e-37	3.6390e-16	1.0000e-37	1.0000e-37	8.9203e-21	1.0792e-12	1.7582e-24	1.0000e-37	5.6073e-25	2.1985e-10	1.0000e-37	1.0825e-23	3.6188e-23	2.5363e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.5092e-36	4.0957e-35	3.4927e-35	8.0393e-35	1.0000e-37	1.9441e-12	1.0000e-37	2.5957e-12	1.2428e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1866e-18
iteration 3	9.9417e-20	1.4523e-26	3.6339e-10	1.0000e-37	8.4641e-03	2.2707e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0866e-13	1.0000e-37	8.3017e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0974e-14	1.0000e-37	4.7647e-19	1.0000e-37	2.4634e-14	1.0000e-37	1.2533e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.9298e-22	2.8911e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1544e-11	5.2170e-10	8.5932e-34	2.9334e-15	3.4426e-34	1.0000e-37	1.1438e-14	1.8752e-31	3.5699e-15	8.2022e-30	1.0989e-29	2.7873e-30	2.2704e-12	4.0304e-12	1.0000e-37	2.7025e-21	2.3173e-21	1.0000e-37	1.0000e-37	7.9495e-04	7.8336e-12	1.0000e-37	1.0000e-37	1.1898e-17	1.0000e-37	1.0000e-37	7.9373e-23	2.9902e-14	5.8483e-23	1.0000e-37	1.8651e-23	2.2435e-11	1.0000e-37	1.8662e-23	6.2977e-23	4.4314e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8751e-34	2.6114e-33	2.1081e-33	5.0070e-33	1.0000e-37	2.2229e-13	1.0000e-37	2.8125e-13	3.1193e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8911e-19
iteration 3	2.0602e-17	8.7322e-25	4.0728e-07	1.0000e-37	8.4641e-03	1.4045e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.3783e-10	1.0000e-37	1.0556e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3954e-11	1.0000e-37	1.1708e-16	1.0000e-37	1.0720e-10	1.0000e-37	7.6579e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7624e-18	3.7773e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2237e-08	2.6080e-06	1.0000e-37	4.0309e-12	1.0000e-37	1.0000e-37	1.7684e-11	1.3318e-38	6.5932e-12	1.0987e-36	1.4483e-36	3.4959e-37	9.6853e-09	1.6254e-08	1.0000e-37	5.4783e-19	1.0000e-37	1.0000e-37	1.0000e-37	7.9495e-04	2.8941e-08	1.0000e-37	1.0000e-37	1.5294e-14	1.0000e-37	1.0000e-37	4.6595e-20	6.7170e-11	3.9010e-25	1.0000e-37	1.2441e-25	7.4277e-08	1.0000e-37	1.1226e-26	3.8928e-26	2.7702e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0363e-09	1.0000e-37	1.2549e-09	5.9316e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.7773e-16
iteration 3	4.6463e-19	1.2832e-26	3.6581e-07	1.0000e-37	8.4641e-03	1.1724e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.9045e-11	1.0000e-37	2.2202e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9349e-12	1.0000e-37	7.2645e-18	1.0000e-37	1.0704e-10	1.0000e-37	1.1340e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9971e-19	8.0440e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6887e-08	1.8370e-06	1.0000e-37	1.2599e-12	1.0000e-37	1.0000e-37	1.1373e-11	1.0000e-37	4.7749e-12	1.0000e-37	1.0000e-37	1.0000e-37	8.3518e-09	1.3643e-08	1.0000e-37	2.3618e-20	1.0000e-37	1.0000e-37	1.0000e-37	7.9495e-04	2.3017e-08	1.0000e-37	1.0000e-37	6.8096e-15	1.0000e-37	1.0000e-37	6.2382e-21	5.3834e-11	1.9215e-27	1.0000e-37	6.1280e-28	5.5455e-08	1.0000e-37	2.5113e-30	8.8125e-30	6.3012e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.1840e-10	1.0000e-37	9.9357e-10	4.3749e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.0440e-17
