#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.1043e-06	4.6274e-07	9.1425e-07	1.0000e-37	7.7722e-03	1.0473e-03	1.0995e-16	1.7946e-16	6.9507e-17	1.2673e-06	1.1486e-08	2.8466e-07	3.2025e-07	7.5536e-14	1.1577e-10	4.1600e-12	8.6527e-12	2.6738e-07	2.9675e-07	5.0387e-08	7.7332e-09	3.3276e-07	4.3075e-19	5.7380e-09	2.7676e-07	1.0942e-07	1.7702e-07	2.9313e-07	6.6078e-09	6.7185e-09	1.0852e-07	5.2896e-07	2.2823e-07	2.2450e-07	5.0312e-06	1.7234e-06	1.9688e-10	1.0000e-37	1.3123e-04	9.5151e-04	9.3856e-06	2.4278e-05	1.4102e-05	1.6256e-06	3.7615e-06	1.0640e-07	8.8513e-07	2.0274e-07	2.7078e-07	6.8039e-08	1.1151e-05	2.0115e-05	2.8483e-08	4.3036e-09	3.8226e-09	2.7453e-17	3.3170e-09	6.6338e-04	4.3399e-05	1.1658e-05	3.5090e-05	4.9391e-08	1.0000e-37	2.1156e-09	6.0534e-08	5.9387e-06	3.3506e-07	1.7616e-07	1.0686e-07	1.3281e-04	1.3360e-05	4.6108e-06	7.7754e-06	3.1646e-06	7.9362e-17	2.6449e-06	2.1525e-07	2.6540e-12	6.3825e-07	1.7718e-09	5.2355e-09	4.7554e-08	2.0266e-08	7.3056e-08	1.0455e-05	1.1616e-06	2.5928e-05	1.6691e-06	8.1313e-06	2.2379e-09	5.4953e-09	6.7139e-22	5.1828e-08	2.2823e-07
iteration 3	5.4572e-07	2.0527e-07	1.0489e-06	1.0000e-37	7.7722e-03	1.0538e-03	1.0000e-37	1.0000e-37	1.0000e-37	6.0464e-07	3.0828e-08	2.1256e-07	4.6375e-09	1.2355e-16	2.2032e-13	4.0098e-15	7.7443e-15	1.8372e-07	3.3283e-09	2.7448e-08	7.1436e-11	1.9504e-07	1.0000e-37	6.6898e-11	1.1074e-07	1.5059e-09	8.6448e-09	1.4311e-08	1.1856e-10	1.3432e-10	3.4684e-08	2.1320e-07	6.9011e-08	8.1452e-08	3.2419e-06	1.1209e-06	6.1923e-12	1.0000e-37	1.2771e-04	1.0292e-03	5.8491e-06	1.5101e-05	8.6838e-06	1.6529e-07	3.4341e-06	3.1953e-07	8.2591e-07	3.1678e-07	4.2324e-07	1.0647e-07	1.1051e-05	1.9969e-05	5.6951e-10	3.5019e-09	3.0998e-09	7.7159e-21	3.8540e-11	6.6338e-04	4.3274e-05	5.6683e-07	1.7061e-06	1.4836e-07	1.0000e-37	3.0443e-09	3.0419e-08	5.6770e-06	8.7703e-07	3.9934e-08	2.7970e-07	1.3407e-04	1.7289e-05	1.1096e-05	1.8781e-05	7.6849e-06	3.9711e-19	1.3492e-06	5.1496e-08	2.1228e-14	3.2558e-07	4.7564e-09	1.4373e-08	1.3055e-07	5.5463e-08	2.0039e-07	4.3956e-06	1.1686e-06	1.0901e-05	1.6812e-06	7.5980e-06	2.0619e-11	5.0818e-11	1.0000e-37	6.6638e-10	6.9011e-08
iteration 3	2.3340e-07	1.9721e-09	1.0085e-06	1.0000e-37	7.7722e-03	1.0540e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.9259e-07	3.0923e-08	1.3771e-07	1.0000e-37	1.0000e-37	1.4021e-16	1.0000e-37	1.0000e-37	1.1434e-07	1.0000e-37	7.7550e-09	1.5589e-13	1.1660e-07	1.0000e-37	1.6275e-13	5.4850e-09	9.4969e-12	1.9599e-10	3.2492e-10	1.0000e-37	5.7293e-13	5.3605e-09	3.7572e-08	1.0829e-08	1.7299e-08	9.8238e-07	3.5142e-07	7.2862e-14	1.0000e-37	1.1922e-04	1.0887e-03	1.6829e-06	4.4422e-06	2.2732e-06	8.6536e-09	2.4545e-06	4.1410e-07	6.0391e-07	2.1262e-07	2.8385e-07	7.1231e-08	1.0547e-05	1.9101e-05	2.4277e-12	6.5843e-10	5.7465e-10	1.0000e-37	1.8960e-13	6.6338e-04	4.1594e-05	5.7585e-09	1.7333e-08	2.1132e-07	1.0000e-37	1.4728e-09	6.7092e-09	4.2246e-06	1.0464e-06	4.1538e-09	3.3371e-07	1.3039e-04	9.0208e-06	1.0707e-05	1.8909e-05	8.2021e-06	1.0000e-37	4.5873e-07	7.0060e-09	6.2502e-17	1.1070e-07	4.7704e-09	8.6364e-09	7.8444e-08	3.0151e-08	1.1723e-07	9.0581e-07	1.1350e-06	2.2464e-06	1.6341e-06	5.6462e-06	4.4993e-14	1.1090e-13	1.0000e-37	4.1756e-12	1.0829e-08
iteration 3	5.1145e-11	1.0473e-14	5.9594e-07	1.0000e-37	7.7722e-03	1.9062e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.3153e-09	2.1563e-12	1.0037e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2971e-10	1.0000e-37	9.5505e-12	3.3130e-19	1.6057e-10	1.0000e-37	3.4975e-19	1.7497e-13	7.4325e-17	2.9695e-15	4.9640e-15	1.0000e-37	2.3395e-18	6.3909e-13	4.1643e-12	1.3474e-12	2.7493e-12	9.7382e-10	3.2752e-10	5.2827e-19	1.0000e-37	6.8534e-08	7.0364e-07	2.9165e-10	7.7257e-10	2.7116e-10	2.5773e-13	7.8580e-10	1.6882e-10	1.8884e-10	8.9598e-11	1.1928e-10	2.9678e-11	9.2897e-09	1.6373e-08	9.9130e-18	5.1362e-14	3.4198e-14	1.0000e-37	1.0000e-37	6.6338e-04	3.0398e-08	7.0660e-14	2.1269e-13	1.1804e-10	1.0000e-37	4.3650e-13	8.3570e-13	1.2255e-09	6.1541e-10	2.7541e-13	1.9626e-10	8.1364e-08	2.4450e-09	3.7378e-09	7.9705e-09	4.2327e-09	1.0000e-37	7.2777e-11	8.1804e-13	1.0000e-37	1.7562e-11	3.3260e-13	2.9781e-13	2.7050e-12	1.5310e-12	4.5338e-12	1.2362e-10	7.0521e-10	3.0658e-10	1.0151e-09	1.8917e-09	9.5622e-20	2.3568e-19	1.0000e-37	3.7087e-17	1.3474e-12
iteration 3	1.7888e-12	3.2839e-17	3.3815e-07	1.0000e-37	7.7722e-03	1.1748e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.8558e-10	3.1314e-13	2.9261e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.7818e-11	1.0000e-37	6.6895e-13	6.5950e-22	4.7552e-11	1.0000e-37	4.4546e-23	1.3571e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.0088e-24	4.3716e-17	3.1393e-16	1.5595e-15	9.3922e-16	2.2345e-10	7.4792e-11	1.7541e-25	1.0000e-37	2.9666e-08	4.7203e-07	2.4405e-13	7.1722e-11	1.4303e-13	7.0842e-17	2.5685e-10	3.7389e-13	6.5772e-11	6.2601e-13	8.3590e-13	2.0989e-13	4.3246e-09	7.7090e-09	1.6986e-23	3.8737e-15	2.7698e-15	1.0000e-37	1.0000e-37	6.6338e-04	1.4719e-08	2.0953e-17	6.3069e-17	2.2258e-12	1.0000e-37	2.6826e-16	3.1129e-16	4.4218e-10	1.4044e-11	1.4882e-16	4.4789e-12	4.1464e-08	1.5329e-11	8.3883e-11	2.2546e-10	1.4158e-10	1.0000e-37	5.5097e-13	1.7904e-16	1.0000e-37	1.3295e-13	4.8301e-14	6.4707e-16	5.8773e-15	3.5002e-15	1.0025e-14	2.3547e-12	3.4845e-10	5.8397e-12	4.9885e-10	6.1105e-10	1.9035e-22	4.6916e-22	1.0000e-37	1.0000e-37	1.5595e-15
iteration 3	6.6073e-15	1.7292e-20	3.7759e-08	1.0000e-37	7.7722e-03	1.9276e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.1807e-11	1.0000e-37	1.6487e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1319e-12	1.0000e-37	8.2117e-15	1.0000e-37	2.7735e-12	1.0000e-37	2.4127e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5418e-29	2.0225e-18	8.2414e-17	1.0000e-37	8.5667e-12	2.8631e-12	1.0000e-37	1.0000e-37	1.7699e-09	5.4434e-08	2.2962e-22	2.5949e-12	1.0300e-22	1.0000e-37	1.3200e-11	1.8638e-21	3.6355e-12	1.8520e-20	2.4956e-20	6.4361e-21	2.8206e-10	5.0536e-10	1.0000e-37	5.0662e-17	4.0125e-17	1.0000e-37	1.0000e-37	6.6338e-04	9.9190e-10	1.0000e-37	1.0000e-37	1.3718e-14	1.0000e-37	1.2756e-26	1.0568e-18	2.5791e-11	4.1041e-17	9.1436e-26	1.3089e-17	3.0250e-09	1.5363e-17	3.9189e-16	1.2215e-15	8.2959e-16	1.0000e-37	4.8222e-19	1.9660e-29	1.0000e-37	1.1637e-19	1.0000e-37	3.0536e-24	2.7735e-23	1.9080e-23	4.9868e-23	3.9214e-17	2.5257e-11	9.7250e-17	3.5376e-11	3.1361e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.2414e-17
iteration 3	1.6144e-17	1.3118e-23	2.8320e-09	1.0000e-37	7.7722e-03	1.8286e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.2713e-12	1.0000e-37	9.6114e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2429e-13	1.0000e-37	7.3410e-17	1.0000e-37	1.8360e-13	1.0000e-37	1.0434e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8581e-20	3.4151e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1047e-10	5.5269e-09	1.5842e-35	7.0435e-14	6.5647e-36	1.0000e-37	4.5285e-13	1.3632e-33	1.3140e-13	7.7101e-32	1.0485e-31	2.7745e-32	1.9176e-11	3.4284e-11	1.0000e-37	4.5632e-19	3.9836e-19	1.0000e-37	1.0000e-37	6.6338e-04	6.7553e-11	1.0000e-37	1.0000e-37	3.2378e-16	1.0000e-37	1.0000e-37	8.0163e-21	9.8197e-13	1.1917e-24	1.0000e-37	3.8006e-25	2.0672e-10	1.0000e-37	6.9392e-24	2.3212e-23	1.6273e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0355e-36	1.8485e-35	1.5851e-35	3.6371e-35	1.0000e-37	1.9133e-12	1.0000e-37	2.5525e-12	1.1286e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.4151e-18
iteration 3	6.8775e-20	1.1777e-26	3.1538e-10	1.0000e-37	7.7722e-03	2.0996e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.7105e-14	1.0000e-37	6.5855e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.5157e-15	1.0000e-37	4.7965e-19	1.0000e-37	2.0151e-14	1.0000e-37	9.2977e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.0738e-22	2.3151e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1723e-11	5.2751e-10	1.1518e-33	2.9012e-15	4.6132e-34	1.0000e-37	1.0539e-14	2.0610e-31	3.2967e-15	9.7508e-30	1.3062e-29	3.3111e-30	2.0768e-12	3.6890e-12	1.0000e-37	2.6202e-21	2.2025e-21	1.0000e-37	1.0000e-37	6.6338e-04	7.1663e-12	1.0000e-37	1.0000e-37	9.9981e-18	1.0000e-37	1.0000e-37	7.1473e-23	2.7780e-14	6.9364e-23	1.0000e-37	2.2121e-23	2.1213e-11	1.0000e-37	1.9979e-23	6.7407e-23	4.7428e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.1631e-34	2.8731e-33	2.3138e-33	5.5032e-33	1.0000e-37	2.2053e-13	1.0000e-37	2.7890e-13	2.8863e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3151e-19
iteration 3	1.4951e-17	7.1148e-25	3.6067e-07	1.0000e-37	7.7722e-03	1.3227e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0918e-10	1.0000e-37	8.2742e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0699e-11	1.0000e-37	1.2173e-16	1.0000e-37	8.7368e-11	1.0000e-37	5.6943e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4643e-18	2.9924e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2747e-08	2.6505e-06	1.0000e-37	3.9581e-12	1.0000e-37	1.0000e-37	1.6692e-11	6.6591e-39	6.2195e-12	7.0586e-37	9.2894e-37	2.2308e-37	8.8134e-09	1.4854e-08	1.0000e-37	5.5191e-19	1.0000e-37	1.0000e-37	1.0000e-37	6.6338e-04	2.6746e-08	1.0000e-37	1.0000e-37	1.2698e-14	1.0000e-37	1.0000e-37	4.2150e-20	6.3648e-11	2.9790e-25	1.0000e-37	9.5004e-26	7.1398e-08	1.0000e-37	8.4790e-27	2.9415e-26	2.0936e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0225e-09	1.0000e-37	1.2379e-09	5.6122e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9924e-16
iteration 3	3.4322e-19	1.0504e-26	3.2060e-07	1.0000e-37	7.7722e-03	1.0912e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.3181e-11	1.0000e-37	1.7535e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2674e-12	1.0000e-37	7.4460e-18	1.0000e-37	8.7233e-11	1.0000e-37	8.4627e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3867e-19	6.4262e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7334e-08	1.8821e-06	1.0000e-37	1.2203e-12	1.0000e-37	1.0000e-37	1.0681e-11	1.0000e-37	4.4874e-12	1.0000e-37	1.0000e-37	1.0000e-37	7.4810e-09	1.2247e-08	1.0000e-37	2.3727e-20	1.0000e-37	1.0000e-37	1.0000e-37	6.6338e-04	2.0830e-08	1.0000e-37	1.0000e-37	5.9215e-15	1.0000e-37	1.0000e-37	5.6652e-21	5.0942e-11	1.0256e-27	1.0000e-37	3.2707e-28	5.2454e-08	1.0000e-37	1.4004e-30	4.9187e-30	3.5182e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.9897e-10	1.0000e-37	9.7027e-10	4.1294e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.4262e-17
