#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.1221e-06	4.1702e-07	8.1445e-07	1.0000e-37	5.6692e-03	1.0417e-03	6.8879e-16	1.0901e-15	4.0131e-16	1.0503e-06	8.3514e-09	2.3284e-07	3.2069e-07	2.6999e-13	1.8257e-10	2.9139e-11	5.1444e-11	2.3589e-07	3.2485e-07	1.3285e-07	2.2177e-08	2.6946e-07	2.9679e-18	1.5250e-08	2.3405e-07	2.1407e-07	4.2780e-07	7.0765e-07	1.6969e-08	1.6232e-08	1.6647e-07	8.6893e-07	4.2912e-07	3.7736e-07	8.4508e-06	2.8689e-06	6.8004e-10	1.0000e-37	1.3318e-04	9.1153e-04	1.1563e-05	2.9825e-05	1.7371e-05	3.5027e-06	3.8469e-06	1.6572e-07	8.9432e-07	2.8156e-07	3.7598e-07	9.4415e-08	1.1117e-05	2.0123e-05	6.8820e-08	1.1362e-08	1.0146e-08	2.4362e-16	9.7879e-09	5.0079e-04	4.3341e-05	1.9687e-05	5.9258e-05	9.4333e-08	1.0000e-37	5.7400e-09	8.5295e-08	5.9207e-06	6.9811e-07	2.6744e-07	2.2264e-07	1.3171e-04	1.4584e-05	5.4184e-06	9.1463e-06	3.7280e-06	5.2565e-14	3.3645e-06	3.0491e-07	9.6035e-12	8.1190e-07	1.2877e-09	8.9386e-09	8.1189e-08	3.5027e-08	1.2515e-07	1.2538e-05	1.1452e-06	3.1095e-05	1.6488e-06	8.2318e-06	6.4212e-09	1.5756e-08	4.3873e-21	8.8626e-08	4.2912e-07
iteration 3	5.6875e-07	1.8760e-07	9.3966e-07	1.0000e-37	5.6692e-03	1.0463e-03	9.3404e-20	1.4782e-19	5.4420e-20	5.1614e-07	2.9713e-08	1.7631e-07	8.3638e-09	1.2887e-15	3.9457e-13	4.2376e-14	7.2064e-14	1.6276e-07	8.3844e-09	7.4551e-08	3.2936e-10	1.6341e-07	3.8857e-21	2.7865e-10	9.7181e-08	4.8222e-09	2.9621e-08	4.8991e-08	3.1810e-10	4.9100e-10	7.5386e-08	4.7069e-07	1.5989e-07	1.7138e-07	6.2249e-06	2.1231e-06	3.5557e-11	1.0000e-37	1.2982e-04	9.7604e-04	9.9038e-06	2.5283e-05	1.4710e-05	5.4916e-07	3.6372e-06	5.2763e-07	8.6284e-07	4.8616e-07	6.4942e-07	1.6326e-07	1.1018e-05	1.9972e-05	2.0830e-09	9.5726e-09	8.5270e-09	1.0269e-19	1.2422e-10	5.0079e-04	4.3182e-05	1.3246e-06	3.9871e-06	2.4458e-07	1.0000e-37	6.7331e-09	5.7310e-08	5.8389e-06	1.5152e-06	7.6752e-08	4.8321e-07	1.3266e-04	2.3699e-05	1.4155e-05	2.3965e-05	9.8107e-06	2.6208e-18	1.9446e-06	1.0748e-07	8.9574e-14	4.6927e-07	4.5842e-09	2.7430e-08	2.4914e-07	1.0778e-07	3.8436e-07	6.1384e-06	1.1510e-06	1.5223e-05	1.6588e-06	7.9577e-06	9.5066e-11	2.3430e-10	1.0000e-37	1.8989e-09	1.5989e-07
iteration 3	2.3689e-07	2.2796e-09	8.9615e-07	1.0000e-37	5.6692e-03	1.0573e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.5052e-07	3.1146e-08	1.1501e-07	3.6942e-13	1.0000e-37	2.5860e-16	1.0000e-37	1.0000e-37	1.0176e-07	1.0000e-37	2.2130e-08	6.6574e-13	9.7688e-08	1.0000e-37	6.3970e-13	5.4711e-09	3.1662e-11	6.4681e-10	1.0711e-09	1.0000e-37	1.9744e-12	1.1690e-08	8.6088e-08	2.5109e-08	3.6312e-08	1.8271e-06	6.3427e-07	4.5852e-13	1.0000e-37	1.2188e-04	1.0545e-03	2.8475e-06	7.2800e-06	3.8604e-06	3.1522e-08	2.7959e-06	6.7530e-07	6.8173e-07	3.3990e-07	4.5372e-07	1.1382e-07	1.0597e-05	1.9255e-05	8.3662e-12	2.0821e-09	1.8215e-09	1.0000e-37	6.5011e-13	5.0079e-04	4.1882e-05	1.2986e-08	3.9089e-08	3.3097e-07	1.0000e-37	3.1295e-09	1.2838e-08	4.7465e-06	1.6937e-06	8.3121e-09	5.4014e-07	1.3070e-04	1.2519e-05	1.4409e-05	2.5398e-05	1.0989e-05	1.0000e-37	6.8695e-07	1.5185e-08	2.7637e-16	1.6577e-07	4.8049e-09	1.5776e-08	1.4329e-07	5.5540e-08	2.1461e-07	1.3489e-06	1.1307e-06	3.3452e-06	1.6308e-06	6.4160e-06	1.9215e-13	4.7359e-13	1.0000e-37	1.2495e-11	2.5109e-08
iteration 3	7.1418e-09	1.5161e-12	8.1158e-07	1.0000e-37	5.6692e-03	9.2138e-05	1.0000e-37	1.0000e-37	1.0000e-37	7.1874e-08	2.1744e-09	1.0132e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3244e-08	1.0000e-37	3.2211e-09	1.0295e-16	1.4864e-08	1.0000e-37	1.0846e-16	2.1109e-11	1.8053e-14	7.8108e-13	1.3036e-12	1.0000e-37	7.1712e-16	1.2498e-10	8.3780e-10	2.7684e-10	5.3318e-10	7.1731e-08	2.7766e-08	2.8282e-16	1.0000e-37	9.0158e-06	9.0466e-05	4.9689e-08	1.2677e-07	4.6543e-08	9.9588e-11	1.2225e-07	2.7482e-08	3.0118e-08	1.4845e-08	1.9761e-08	4.9164e-09	8.6856e-07	1.5505e-06	3.0386e-15	2.1218e-11	1.4033e-11	1.0000e-37	1.0000e-37	5.0079e-04	3.2702e-06	1.7063e-11	5.1360e-11	1.9386e-08	1.0000e-37	8.4316e-11	1.5321e-10	2.0663e-07	1.0146e-07	5.6589e-11	3.2356e-08	1.0066e-05	3.7588e-07	5.6944e-07	1.2101e-06	6.4066e-07	1.0000e-37	1.2622e-08	1.6000e-10	1.0000e-37	3.0459e-09	3.3541e-10	5.8687e-11	5.3305e-10	2.7687e-10	8.6861e-10	2.1689e-08	8.8176e-08	5.3789e-08	1.2673e-07	3.0559e-07	2.9714e-17	7.3237e-17	1.0000e-37	7.9146e-15	2.7684e-10
iteration 3	1.9492e-12	3.8880e-17	2.9604e-07	1.0000e-37	5.6692e-03	9.5655e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.2607e-10	3.1900e-13	2.4315e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3508e-11	1.0000e-37	2.0342e-12	8.3676e-22	3.9403e-11	1.0000e-37	5.0415e-23	1.2677e-14	4.6043e-20	1.9917e-20	4.2963e-19	1.0000e-37	2.4650e-23	1.5766e-16	8.8225e-16	1.6093e-15	2.6145e-15	1.8947e-10	6.3508e-11	2.6766e-24	1.0000e-37	2.9209e-08	4.4159e-07	5.7822e-13	8.2432e-11	3.4275e-13	4.1306e-16	3.0639e-10	7.7773e-13	7.8124e-11	1.3417e-12	1.7907e-12	4.4904e-13	3.6776e-09	7.1287e-09	1.0445e-22	1.2315e-14	9.1645e-15	1.0000e-37	1.0000e-37	5.0079e-04	1.3544e-08	6.1579e-17	1.8535e-16	3.7216e-12	1.0000e-37	8.3712e-16	6.2413e-16	5.2488e-10	2.5840e-11	4.3034e-16	8.2407e-12	3.8171e-08	2.6142e-11	1.3584e-10	3.6292e-10	2.2709e-10	1.0000e-37	1.0728e-12	3.9051e-16	1.0000e-37	2.5888e-13	4.9205e-14	1.3494e-15	1.2257e-14	7.2471e-15	2.0853e-14	4.0860e-12	3.0853e-10	1.0133e-11	4.4225e-10	7.3914e-10	2.4151e-22	5.9525e-22	1.0000e-37	4.6018e-20	1.6093e-15
iteration 3	6.9006e-15	1.9592e-20	3.3258e-08	1.0000e-37	5.6692e-03	1.5238e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.8800e-11	1.0000e-37	1.3965e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9255e-12	1.0000e-37	2.6105e-14	1.0000e-37	2.3214e-12	1.0000e-37	2.6046e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.1334e-28	1.5181e-18	6.8192e-17	1.0000e-37	7.4266e-12	2.4855e-12	1.0000e-37	1.0000e-37	1.7592e-09	5.0784e-08	2.4286e-21	3.0409e-12	1.0946e-21	1.0000e-37	1.6353e-11	1.5060e-20	4.4864e-12	1.5099e-19	2.0324e-19	5.2253e-20	2.4249e-10	4.7154e-10	1.0000e-37	1.6910e-16	1.3828e-16	1.0000e-37	1.0000e-37	5.0079e-04	9.2130e-10	1.0000e-37	1.0000e-37	1.3141e-14	1.0000e-37	2.5209e-25	1.4703e-18	3.1766e-11	1.7879e-16	1.0441e-24	5.7018e-17	2.8079e-09	5.7761e-17	1.4412e-15	4.4706e-15	3.0294e-15	1.0000e-37	1.9001e-18	8.3577e-19	1.0000e-37	4.5852e-19	1.0000e-37	2.4862e-23	2.2582e-22	1.5237e-22	4.0305e-22	1.1350e-16	2.2714e-11	2.8147e-16	3.1860e-11	3.8767e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.8192e-17
iteration 3	1.6473e-17	1.4563e-23	2.4660e-09	1.0000e-37	5.6692e-03	1.4214e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.1288e-12	1.0000e-37	8.3848e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1561e-13	1.0000e-37	2.5645e-16	1.0000e-37	1.5190e-13	1.0000e-37	1.1199e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3593e-20	2.8985e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0819e-10	5.1693e-09	4.7937e-34	8.2240e-14	1.9850e-34	1.0000e-37	6.1948e-13	2.8966e-32	1.7924e-13	1.6774e-30	2.2778e-30	6.0045e-31	1.6304e-11	3.1616e-11	1.0000e-37	1.6767e-18	1.5107e-18	1.0000e-37	1.0000e-37	5.0079e-04	6.2079e-11	1.0000e-37	1.0000e-37	3.0560e-16	1.0000e-37	1.0000e-37	1.0951e-20	1.3356e-12	9.1951e-24	1.0000e-37	2.9325e-24	1.9027e-10	1.0000e-37	4.6370e-23	1.5454e-22	1.0817e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3790e-35	3.9774e-34	3.3156e-34	7.7309e-34	1.0000e-37	1.7076e-12	1.0000e-37	2.2802e-12	1.5396e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8985e-18
iteration 3	6.9773e-20	1.3137e-26	2.7357e-10	1.0000e-37	5.6692e-03	1.6235e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.5926e-14	1.0000e-37	6.3828e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.8007e-15	1.0000e-37	1.6851e-18	1.0000e-37	1.6626e-14	1.0000e-37	1.0014e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.5953e-22	3.1012e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1382e-11	4.9019e-10	1.8416e-32	3.4022e-15	7.3649e-33	1.0000e-37	1.4519e-14	2.3804e-30	4.5375e-15	1.2615e-28	1.6889e-28	4.2734e-29	1.7489e-12	3.3748e-12	1.0000e-37	9.5877e-21	8.3397e-21	1.0000e-37	1.0000e-37	5.0079e-04	6.5234e-12	1.0000e-37	1.0000e-37	9.2892e-18	1.0000e-37	1.0000e-37	9.8191e-23	3.8121e-14	3.6139e-22	1.5197e-36	1.1525e-22	1.9308e-11	1.0000e-37	9.9918e-23	3.3624e-22	2.3632e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.6894e-33	3.3511e-32	2.6380e-32	6.3581e-32	6.8458e-24	1.9351e-13	1.6978e-23	2.4510e-13	3.9677e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.1012e-19
iteration 3	1.4273e-17	7.6696e-25	3.0873e-07	1.0000e-37	5.6692e-03	1.0886e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0118e-10	1.0000e-37	7.5361e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0391e-11	1.0000e-37	3.5202e-16	1.0000e-37	6.9427e-11	1.0000e-37	5.9414e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0044e-18	2.6500e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9765e-08	2.3836e-06	1.0000e-37	4.4951e-12	1.0000e-37	1.0000e-37	2.0900e-11	1.6981e-37	7.9171e-12	1.7716e-35	2.3327e-35	5.6102e-36	7.1027e-09	1.3058e-08	1.0000e-37	1.6380e-18	1.4610e-18	1.0000e-37	1.0000e-37	5.0079e-04	2.3466e-08	1.0000e-37	1.0000e-37	1.1550e-14	1.0000e-37	1.0000e-37	5.6015e-20	8.1777e-11	2.4831e-24	1.0000e-37	7.9190e-25	6.2853e-08	1.0000e-37	5.9201e-26	2.0474e-25	1.4553e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3295e-39	3.3295e-39	6.6590e-39	1.0000e-37	8.4754e-10	1.0000e-37	1.0272e-09	7.1363e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6500e-16
iteration 3	3.1927e-19	1.0957e-26	2.7213e-07	1.0000e-37	5.6692e-03	8.7315e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.0426e-11	1.0000e-37	1.5182e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0932e-12	1.0000e-37	2.2922e-17	1.0000e-37	6.9328e-11	1.0000e-37	8.5475e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2495e-19	5.3994e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4941e-08	1.6489e-06	1.0000e-37	1.4498e-12	1.0000e-37	1.0000e-37	1.4225e-11	1.0000e-37	5.9979e-12	3.3270e-40	3.3270e-40	1.0000e-37	5.8058e-09	1.0543e-08	1.0000e-37	7.2694e-20	1.0000e-37	1.0000e-37	1.0000e-37	5.0079e-04	1.7752e-08	1.0000e-37	1.0000e-37	4.3050e-15	1.0000e-37	1.0000e-37	7.3122e-21	6.7706e-11	2.4225e-26	1.0000e-37	7.7257e-27	4.4501e-08	1.0000e-37	2.4062e-29	8.4130e-29	6.0068e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1177e-10	1.0000e-37	7.4393e-10	5.4914e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.3994e-17
