#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.9508e-06	7.7554e-07	1.4781e-06	1.0000e-37	1.4766e-02	1.0711e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.6733e-06	1.9507e-08	6.0092e-07	4.9750e-07	3.0153e-22	6.8587e-11	4.2476e-15	1.0438e-13	5.3165e-07	2.3078e-08	1.1316e-10	1.1109e-09	7.5291e-07	1.0000e-37	2.8009e-10	5.2972e-07	3.8646e-08	6.6579e-09	1.1645e-08	5.9396e-11	4.0243e-10	2.1869e-08	1.2107e-07	3.4078e-08	4.4357e-08	1.4479e-06	5.4138e-07	1.2464e-12	1.0000e-37	1.2755e-04	1.0642e-03	3.8113e-06	1.0094e-05	5.7273e-06	6.0393e-08	3.0784e-06	2.5270e-08	7.4751e-07	1.1161e-07	1.4916e-07	3.7545e-08	1.1331e-05	2.0324e-05	1.7052e-09	4.5990e-13	2.3547e-15	1.0000e-37	1.0165e-10	1.3360e-03	4.4040e-05	2.4040e-06	7.2359e-06	2.1226e-08	1.0000e-37	3.0297e-10	2.1062e-08	5.1802e-06	9.3632e-08	4.5562e-08	2.9861e-08	1.3679e-04	9.8922e-06	4.0615e-06	6.8359e-06	2.7744e-06	1.0000e-37	1.0461e-06	6.9930e-08	4.3273e-14	2.5243e-07	3.0092e-09	8.7133e-10	7.9143e-09	3.2258e-09	1.2011e-08	5.7042e-06	1.2139e-06	1.4146e-05	1.7349e-06	6.8306e-06	3.2110e-10	7.8978e-10	1.0000e-37	3.3856e-08	3.4078e-08
iteration 3	7.6783e-07	2.8471e-07	1.6591e-06	1.0000e-37	1.4766e-02	1.0748e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.1658e-06	3.2454e-08	4.2520e-07	2.1527e-09	1.6746e-25	1.0785e-13	1.8625e-18	2.4062e-17	3.4396e-07	2.3931e-13	3.7082e-11	7.7371e-12	3.9446e-07	1.0000e-37	1.9148e-12	1.7363e-07	2.3509e-10	2.2510e-10	3.8990e-10	5.9017e-15	4.9342e-12	4.0300e-09	2.5183e-08	7.6244e-09	1.1095e-08	8.5405e-07	3.3543e-07	2.7605e-14	1.0000e-37	1.2292e-04	1.1763e-03	1.3194e-06	3.6664e-06	1.9570e-06	3.3202e-09	2.7488e-06	7.0052e-08	6.8300e-07	1.0339e-07	1.3822e-07	3.4830e-08	1.1191e-05	2.0108e-05	2.0908e-11	2.3498e-13	1.6518e-15	1.0000e-37	8.6064e-13	1.3360e-03	4.3781e-05	7.4241e-08	2.2347e-07	5.2848e-08	1.0000e-37	4.4858e-10	5.5925e-09	4.8048e-06	2.4990e-07	5.5606e-09	7.9698e-08	1.3765e-04	7.1263e-06	6.0078e-06	1.0164e-05	4.1566e-06	1.0000e-37	4.2960e-07	8.1811e-09	2.1824e-16	1.0367e-07	5.0070e-09	2.0185e-09	1.8334e-08	7.4112e-09	2.7764e-08	1.4951e-06	1.2187e-06	3.7077e-06	1.7442e-06	6.2160e-06	2.2331e-12	5.5040e-12	1.0000e-37	2.0818e-10	7.6244e-09
iteration 3	1.5149e-07	3.5367e-10	1.6371e-06	1.0000e-37	1.4766e-02	1.2633e-04	1.0000e-37	1.0000e-37	1.0000e-37	3.1798e-07	3.6688e-09	9.6234e-08	1.0000e-37	1.0000e-37	1.4885e-17	1.0000e-37	1.0000e-37	9.7647e-08	1.0000e-37	1.3490e-11	5.4543e-15	1.1653e-07	1.0000e-37	2.7010e-15	8.1128e-10	3.4985e-13	2.5509e-12	4.2856e-12	1.0000e-37	1.3074e-14	1.6295e-10	8.6449e-10	2.4828e-10	4.6570e-10	2.0453e-07	9.0538e-08	1.0967e-16	1.0000e-37	1.3196e-05	1.3156e-04	7.9663e-08	2.1665e-07	1.0551e-07	3.4797e-11	1.9989e-07	2.1774e-08	4.9336e-08	9.2929e-09	1.2406e-08	3.1127e-09	1.4144e-06	2.3851e-06	5.5399e-14	1.1184e-13	2.9168e-17	1.0000e-37	1.0000e-37	1.3360e-03	5.0205e-06	2.8848e-10	8.6832e-10	5.6038e-09	1.0000e-37	2.3145e-11	2.4869e-10	3.4185e-07	2.6522e-08	1.1906e-10	8.4581e-09	1.5418e-05	5.7945e-07	6.1841e-07	1.1051e-06	4.8673e-07	1.0000e-37	2.3385e-08	2.2280e-10	1.0000e-37	5.6431e-09	5.6591e-10	6.7692e-11	6.1484e-10	2.8201e-10	9.6455e-10	4.3654e-08	1.4943e-07	1.0826e-07	2.0853e-07	4.5754e-07	1.5742e-15	3.8801e-15	1.0000e-37	2.5601e-13	2.4828e-10
iteration 3	5.7062e-11	1.0198e-14	1.1050e-06	1.0000e-37	1.4766e-02	3.1146e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.8342e-09	3.7699e-12	2.2373e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7119e-10	1.0000e-37	2.9928e-14	1.2260e-19	3.6641e-10	1.0000e-37	2.2446e-20	2.5958e-13	1.5075e-17	1.1757e-16	2.1246e-16	1.0000e-37	1.3479e-19	8.3431e-14	4.8940e-13	1.5804e-13	4.0696e-13	1.7147e-09	5.7511e-10	2.1067e-21	1.0000e-37	7.7357e-08	8.9982e-07	7.7771e-11	3.1450e-10	7.0583e-11	5.0569e-15	5.3178e-10	5.1457e-11	1.2967e-10	2.8279e-11	3.7656e-11	9.3764e-12	1.4266e-08	2.3463e-08	5.7116e-19	1.3438e-16	1.4201e-20	1.0000e-37	1.0000e-37	1.3360e-03	4.7285e-08	1.3849e-14	4.1685e-14	4.6580e-11	1.0000e-37	6.9519e-14	1.5241e-13	8.4285e-10	2.2604e-10	3.9211e-14	7.2088e-11	1.1996e-07	1.1110e-09	1.9018e-09	4.1015e-09	2.1998e-09	1.0000e-37	2.2017e-11	1.0878e-13	1.0000e-37	5.3129e-12	5.8151e-13	9.0428e-14	8.2136e-13	4.7039e-13	1.3822e-12	4.1060e-11	1.0386e-09	1.0183e-10	1.4918e-09	1.2431e-09	3.5385e-20	8.7214e-20	1.0000e-37	1.4003e-17	1.5804e-13
iteration 3	2.0093e-12	2.7442e-17	5.9366e-07	1.0000e-37	1.4766e-02	1.8490e-06	1.0000e-37	1.0000e-37	1.0000e-37	7.1950e-10	3.4288e-13	5.6427e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.8443e-11	1.0000e-37	1.6911e-15	6.7797e-22	9.5342e-11	1.0000e-37	4.1461e-23	1.8423e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.2125e-26	9.2589e-19	2.4120e-16	2.7352e-15	4.1788e-16	3.8410e-10	1.2838e-10	5.0379e-29	1.0000e-37	2.9751e-08	5.4243e-07	1.8221e-14	4.9310e-11	1.0420e-14	3.5236e-19	1.4111e-10	4.2539e-14	3.6569e-11	6.3962e-14	8.5517e-14	2.1555e-14	5.8902e-09	9.8326e-09	1.3612e-25	7.6962e-18	9.2124e-22	1.0000e-37	1.0000e-37	1.3360e-03	2.0554e-08	1.4976e-18	4.5077e-18	9.0179e-13	1.0000e-37	9.2140e-18	8.9846e-17	2.4659e-10	2.3436e-12	6.3705e-18	7.4740e-13	5.5620e-08	3.2039e-12	2.0136e-11	5.4857e-11	3.4720e-11	1.0000e-37	7.4227e-14	6.1162e-17	1.0000e-37	1.7912e-14	5.2888e-14	7.3059e-17	6.6360e-16	4.0368e-16	1.1403e-15	4.5805e-13	4.4971e-10	1.1360e-12	6.4215e-10	3.2758e-10	1.9568e-22	4.8229e-22	1.0000e-37	1.0000e-37	2.7352e-15
iteration 3	9.0471e-15	1.6117e-20	6.6349e-08	1.0000e-37	1.4766e-02	3.1382e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.8176e-11	1.0000e-37	2.9834e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.6186e-12	1.0000e-37	1.8186e-17	1.0000e-37	5.4780e-12	1.0000e-37	1.4380e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.5874e-34	5.2935e-18	1.4505e-16	1.0000e-37	1.5329e-11	5.1164e-12	1.0000e-37	1.0000e-37	1.7490e-09	6.2684e-08	3.2023e-25	1.7124e-12	1.4256e-25	1.0000e-37	6.4056e-12	6.2097e-24	1.7815e-12	5.4643e-23	7.3853e-23	1.9210e-23	3.7759e-10	6.3382e-10	1.0000e-37	8.2874e-20	1.1806e-23	1.0000e-37	1.0000e-37	1.3360e-03	1.3597e-09	1.0000e-37	1.0000e-37	1.7325e-14	1.0000e-37	3.1592e-30	5.0175e-19	1.2700e-11	7.1092e-19	9.9905e-29	2.2672e-19	4.0236e-09	1.0000e-37	1.0969e-17	3.4560e-17	2.3591e-17	1.0000e-37	1.0000e-37	1.0950e-33	1.0000e-37	1.0000e-37	1.0000e-37	9.9560e-27	9.0430e-26	6.5648e-26	1.6603e-25	1.9585e-18	3.1671e-11	4.8571e-18	4.4226e-11	1.5318e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4505e-16
iteration 3	2.3641e-17	1.2702e-23	5.1646e-09	1.0000e-37	1.4766e-02	3.0922e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.8585e-12	1.0000e-37	1.4524e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7617e-13	1.0000e-37	1.2436e-19	1.0000e-37	3.7611e-13	1.0000e-37	1.1413e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.2848e-20	5.0821e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1420e-10	6.3177e-09	3.8249e-39	4.7312e-14	1.2750e-39	1.0000e-37	1.6692e-13	9.0714e-37	4.8747e-14	4.2028e-35	5.7352e-35	1.5324e-35	2.6602e-11	4.4551e-11	1.0000e-37	5.6676e-22	8.9031e-26	1.0000e-37	1.0000e-37	1.3360e-03	9.5480e-11	1.0000e-37	1.0000e-37	4.4847e-16	1.0000e-37	1.0000e-37	3.9353e-21	3.6628e-13	7.9384e-27	1.0000e-37	2.5317e-27	2.8183e-10	1.0000e-37	7.0146e-26	2.3668e-25	1.6653e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2750e-39	1.2112e-38	1.0837e-38	2.4224e-38	1.0000e-37	2.4658e-12	1.0000e-37	3.2849e-12	4.1843e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.0821e-18
iteration 3	9.7437e-20	1.1277e-26	5.6772e-10	1.0000e-37	1.4766e-02	3.5076e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0304e-13	1.0000e-37	8.0527e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.7673e-15	1.0000e-37	9.8290e-22	1.0000e-37	4.0655e-14	1.0000e-37	1.0050e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9213e-21	2.7892e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2037e-11	6.1086e-10	2.0050e-37	1.8816e-15	8.0728e-38	1.0000e-37	4.5365e-15	1.1032e-34	1.4010e-15	4.1633e-33	5.5906e-33	1.4273e-33	2.8694e-12	4.7788e-12	1.0000e-37	4.4793e-24	6.0908e-28	1.0000e-37	1.0000e-37	1.3360e-03	1.0151e-11	1.0000e-37	1.0000e-37	1.5615e-17	1.0000e-37	1.0000e-37	3.4643e-23	1.1561e-14	4.1213e-25	1.0000e-37	1.3144e-25	2.9185e-11	1.0000e-37	1.7062e-25	5.8010e-25	4.0948e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6410e-37	1.4905e-36	1.2885e-36	2.9431e-36	1.0000e-37	2.8863e-13	1.0000e-37	3.6368e-13	1.2217e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7892e-19
iteration 3	2.2182e-17	7.4171e-25	6.5095e-07	1.0000e-37	1.4766e-02	2.0857e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.6572e-10	1.0000e-37	1.2974e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5736e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.9576e-10	1.0000e-37	6.7237e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1939e-18	4.6315e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9382e-08	3.3398e-06	1.0000e-37	2.8058e-12	1.0000e-37	1.0000e-37	8.2386e-12	1.0000e-37	2.9260e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.3633e-08	2.1347e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3360e-03	4.0694e-08	1.0000e-37	1.0000e-37	2.1788e-14	1.0000e-37	1.0000e-37	2.2191e-20	2.8580e-11	6.4199e-28	1.0000e-37	2.0474e-28	1.0226e-07	1.0000e-37	3.0838e-29	1.0795e-28	7.7108e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5436e-09	1.0000e-37	1.8635e-09	2.6206e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.6315e-16
iteration 3	4.3303e-19	1.0365e-26	5.9525e-07	1.0000e-37	1.4766e-02	1.8172e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.7680e-11	1.0000e-37	2.9446e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5716e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.9544e-10	1.0000e-37	9.4940e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.4490e-19	1.0695e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3511e-08	2.5419e-06	1.0000e-37	7.1906e-13	1.0000e-37	1.0000e-37	4.3017e-12	1.0000e-37	1.7843e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.2328e-08	1.8668e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3360e-03	3.4519e-08	1.0000e-37	1.0000e-37	2.0263e-14	1.0000e-37	1.0000e-37	2.7945e-21	2.0180e-11	1.4041e-31	1.0000e-37	4.4778e-32	8.2859e-08	1.0000e-37	4.0411e-34	1.4373e-33	1.0332e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3916e-09	1.0000e-37	1.6886e-09	1.6456e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0695e-16
