#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.6771e-06	4.4789e-07	9.7065e-07	1.0000e-37	7.6885e-03	1.0399e-03	8.5720e-21	1.6215e-20	7.6434e-21	1.3064e-06	1.7578e-08	3.0108e-07	3.5904e-07	1.1708e-14	5.1904e-11	1.0896e-12	2.0427e-12	2.9911e-07	1.7498e-07	5.6880e-09	7.0097e-09	3.5223e-07	4.5105e-23	8.9561e-09	2.9437e-07	1.8083e-07	2.4050e-07	3.9808e-07	7.5586e-10	6.3796e-09	1.6222e-07	6.0082e-07	2.4402e-07	2.6377e-07	5.0426e-06	1.7276e-06	1.2539e-10	1.0000e-37	1.3251e-04	9.1402e-04	1.4672e-05	3.7391e-05	2.2044e-05	1.0766e-06	3.7381e-06	1.1756e-07	8.7097e-07	2.0315e-07	2.7133e-07	6.8184e-08	1.1254e-05	2.0196e-05	2.7034e-08	5.4858e-10	4.9108e-10	2.1240e-17	1.9947e-09	6.1152e-04	4.3381e-05	9.9269e-06	2.9880e-05	3.3749e-08	1.0000e-37	1.4166e-09	6.7432e-08	5.7766e-06	2.4424e-07	2.3199e-07	7.7892e-08	1.3182e-04	1.5137e-05	4.6594e-06	7.8571e-06	3.1976e-06	8.5154e-18	3.0933e-06	2.5900e-07	1.8777e-12	7.4644e-07	2.7116e-09	5.8154e-09	5.2821e-08	2.2431e-08	8.1067e-08	1.2281e-05	1.1556e-06	3.0457e-05	1.6595e-06	8.0117e-06	2.0267e-09	4.9829e-09	1.0000e-37	7.9603e-08	2.4402e-07
iteration 3	6.7394e-07	1.9462e-07	1.0846e-06	1.0000e-37	7.6885e-03	1.0533e-03	1.0000e-37	1.0000e-37	1.0000e-37	6.2513e-07	3.2042e-08	2.2193e-07	2.9434e-09	2.1828e-19	9.1097e-14	5.4559e-16	1.0465e-15	2.0488e-07	4.4965e-10	3.2817e-09	2.8669e-11	2.0169e-07	1.0000e-37	6.0161e-11	1.1087e-07	1.4006e-09	6.5587e-09	1.0860e-08	1.3287e-11	5.3773e-11	2.8670e-08	1.6324e-07	5.2941e-08	6.5024e-08	2.6003e-06	9.0395e-07	1.7824e-12	1.0000e-37	1.2726e-04	1.0384e-03	5.2712e-06	1.3628e-05	7.8234e-06	5.7126e-08	3.3372e-06	2.8156e-07	8.0478e-07	2.6672e-07	3.5640e-07	8.9673e-08	1.1129e-05	2.0024e-05	2.2785e-10	4.4852e-10	3.9773e-10	1.9690e-21	1.6211e-11	6.1152e-04	4.3313e-05	2.3060e-07	6.9409e-07	1.1426e-07	1.0000e-37	2.0577e-09	2.5557e-08	5.5475e-06	6.7427e-07	3.5941e-08	2.1503e-07	1.3427e-04	1.6033e-05	9.9666e-06	1.6869e-05	6.9026e-06	8.8909e-21	1.2267e-06	3.9691e-08	8.8527e-15	2.9602e-07	4.9437e-09	1.1462e-08	1.0411e-07	4.3852e-08	1.5943e-07	4.2247e-06	1.1701e-06	1.0477e-05	1.6834e-06	7.3995e-06	8.2746e-12	2.0394e-11	1.0000e-37	6.2633e-10	5.2941e-08
iteration 3	2.9030e-07	1.7421e-09	1.0409e-06	1.0000e-37	7.6885e-03	1.0480e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.0204e-07	3.0765e-08	1.4247e-07	1.0000e-37	1.0000e-37	4.5723e-17	1.0000e-37	1.0000e-37	1.2665e-07	1.0000e-37	8.4985e-10	5.2533e-14	1.1989e-07	1.0000e-37	1.2539e-13	5.2144e-09	7.6771e-12	1.4670e-10	2.4328e-10	1.0000e-37	1.9662e-13	4.4886e-09	3.0450e-08	8.7520e-09	1.4302e-08	8.3733e-07	3.0182e-07	2.0593e-14	1.0000e-37	1.1808e-04	1.0916e-03	1.4884e-06	3.9625e-06	2.0072e-06	2.7530e-09	2.3232e-06	3.6722e-07	5.7285e-07	1.8583e-07	2.4808e-07	6.2257e-08	1.0553e-05	1.9035e-05	8.3315e-13	7.8806e-11	6.9082e-11	1.0000e-37	5.9662e-14	6.1152e-04	4.1377e-05	2.1354e-09	6.4276e-09	1.8018e-07	1.0000e-37	1.1714e-09	5.7599e-09	4.0121e-06	8.9596e-07	3.6901e-09	2.8573e-07	1.2974e-04	8.3320e-06	9.7448e-06	1.7227e-05	7.4818e-06	1.0000e-37	4.0684e-07	5.8025e-09	1.9041e-17	9.8175e-08	4.7461e-09	7.1452e-09	6.4899e-08	2.4849e-08	9.6894e-08	8.5944e-07	1.1295e-06	2.1314e-06	1.6260e-06	5.3491e-06	1.5162e-14	3.7370e-14	1.0000e-37	3.4533e-12	8.7520e-09
iteration 3	6.3165e-11	9.6834e-15	6.1815e-07	1.0000e-37	7.6885e-03	1.9216e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.3877e-09	2.2351e-12	1.0559e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4611e-10	1.0000e-37	9.5468e-13	1.2897e-19	1.6790e-10	1.0000e-37	3.1867e-19	1.7581e-13	7.1202e-17	2.7243e-15	4.5546e-15	1.0000e-37	8.9758e-19	6.2017e-13	4.0456e-12	1.3002e-12	2.6670e-12	9.5851e-10	3.2248e-10	1.8398e-19	1.0000e-37	6.8995e-08	7.1002e-07	2.8645e-10	7.6275e-10	2.6614e-10	9.2267e-14	7.6383e-10	1.6662e-10	1.8380e-10	8.8192e-11	1.1740e-10	2.9212e-11	1.1144e-08	1.8776e-08	3.8033e-18	6.1358e-15	4.2502e-15	1.0000e-37	1.0000e-37	6.1152e-04	3.3136e-08	2.7690e-14	8.3346e-14	1.1577e-10	1.0000e-37	4.2333e-13	8.1897e-13	1.1951e-09	6.0542e-10	2.7617e-13	1.9308e-10	8.4372e-08	2.4349e-09	3.7078e-09	7.9092e-09	4.2014e-09	1.0000e-37	6.9599e-11	7.9124e-13	1.0000e-37	1.6795e-11	3.4477e-13	2.9392e-13	2.6697e-12	1.5114e-12	4.4750e-12	1.2579e-10	7.1782e-10	3.1196e-10	1.0332e-09	1.8399e-09	3.7225e-20	9.1749e-20	1.0000e-37	3.5845e-17	1.3002e-12
iteration 3	2.2311e-12	3.0475e-17	3.5099e-07	1.0000e-37	7.6885e-03	1.1843e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.0567e-10	3.2459e-13	3.0698e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2479e-11	1.0000e-37	6.6351e-14	2.7475e-22	4.9619e-11	1.0000e-37	4.3493e-23	1.3601e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5892e-24	4.3839e-17	3.1775e-16	1.5455e-15	9.3557e-16	2.2008e-10	7.3691e-11	6.2704e-26	1.0000e-37	2.9851e-08	4.7506e-07	2.4474e-13	7.1752e-11	1.4332e-13	2.5408e-17	2.4756e-10	3.8037e-13	6.3449e-11	6.3109e-13	8.4268e-13	2.1160e-13	5.1733e-09	8.8254e-09	6.7338e-24	4.5982e-16	3.4107e-16	1.0000e-37	1.0000e-37	6.1152e-04	1.6037e-08	8.3274e-18	2.5066e-17	2.2496e-12	1.0000e-37	2.6775e-16	3.0495e-16	4.2722e-10	1.4043e-11	1.5360e-16	4.4785e-12	4.2922e-08	1.5539e-11	8.4466e-11	2.2711e-10	1.4265e-10	1.0000e-37	5.3451e-13	1.0494e-16	1.0000e-37	1.2898e-13	5.0067e-14	6.5828e-16	5.9791e-15	3.5609e-15	1.0198e-14	2.4346e-12	3.5406e-10	6.0377e-12	5.0681e-10	5.8956e-10	7.9301e-23	1.9545e-22	1.0000e-37	1.0000e-37	1.5455e-15
iteration 3	8.3973e-15	1.6101e-20	3.9310e-08	1.0000e-37	7.6885e-03	1.9263e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.2945e-11	1.0000e-37	1.7298e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3948e-12	1.0000e-37	8.1178e-16	1.0000e-37	2.8991e-12	1.0000e-37	2.3556e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7363e-29	2.0702e-18	8.1651e-17	1.0000e-37	8.5312e-12	2.8523e-12	1.0000e-37	1.0000e-37	1.7854e-09	5.4808e-08	2.4871e-22	2.5993e-12	1.1152e-22	1.0000e-37	1.2673e-11	2.0593e-21	3.4930e-12	2.0210e-20	2.7232e-20	7.0223e-21	3.3693e-10	5.7814e-10	1.0000e-37	6.0033e-18	4.9193e-18	1.0000e-37	1.0000e-37	6.1152e-04	1.0813e-09	1.0000e-37	1.0000e-37	1.4766e-14	1.0000e-37	1.4047e-26	1.0173e-18	2.4815e-11	4.3135e-17	1.0324e-25	1.3757e-17	3.1330e-09	1.6316e-17	4.1562e-16	1.2956e-15	8.7997e-16	1.0000e-37	4.8980e-19	2.2141e-29	1.0000e-37	1.1820e-19	1.0000e-37	3.3746e-24	3.0652e-23	2.1073e-23	5.5099e-23	4.2421e-17	2.5697e-11	1.0520e-16	3.5988e-11	3.0137e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.1651e-17
iteration 3	2.0594e-17	1.2232e-23	2.9514e-09	1.0000e-37	7.6885e-03	1.8247e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.3275e-12	1.0000e-37	1.0008e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3855e-13	1.0000e-37	7.1125e-18	1.0000e-37	1.9205e-13	1.0000e-37	1.0384e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8998e-20	3.3583e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1155e-10	5.5669e-09	1.9438e-35	7.0765e-14	8.0542e-36	1.0000e-37	4.2570e-13	1.6967e-33	1.2376e-13	9.4221e-32	1.2811e-31	3.3894e-32	2.2891e-11	3.9191e-11	1.0000e-37	5.3006e-20	4.7848e-20	1.0000e-37	1.0000e-37	6.1152e-04	7.3568e-11	1.0000e-37	1.0000e-37	3.6023e-16	1.0000e-37	1.0000e-37	7.7250e-21	9.2787e-13	1.3403e-24	1.0000e-37	4.2743e-25	2.1412e-10	1.0000e-37	7.9139e-24	2.6468e-23	1.8554e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5351e-36	2.3024e-35	1.9709e-35	4.5268e-35	1.0000e-37	1.9483e-12	1.0000e-37	2.5987e-12	1.0635e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3583e-18
iteration 3	8.5864e-20	1.0937e-26	3.2779e-10	1.0000e-37	7.6885e-03	2.0887e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.8728e-14	1.0000e-37	6.6891e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.2609e-15	1.0000e-37	4.6168e-20	1.0000e-37	2.1017e-14	1.0000e-37	9.2022e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.0838e-22	2.2218e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1801e-11	5.3142e-10	1.1025e-33	2.8945e-15	4.4156e-34	1.0000e-37	1.0041e-14	2.0360e-31	3.1647e-15	9.3592e-30	1.2537e-29	3.1777e-30	2.4800e-12	4.2181e-12	1.0000e-37	3.0129e-22	2.6350e-22	1.0000e-37	1.0000e-37	6.1152e-04	7.8062e-12	1.0000e-37	1.0000e-37	1.1663e-17	1.0000e-37	1.0000e-37	6.8589e-23	2.6928e-14	6.7501e-23	1.0000e-37	2.1527e-23	2.1967e-11	1.0000e-37	1.9439e-23	6.5589e-23	4.6150e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.1242e-34	2.8377e-33	2.2863e-33	5.4364e-33	1.0000e-37	2.2424e-13	1.0000e-37	2.8352e-13	2.7742e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2218e-19
iteration 3	1.8372e-17	6.5851e-25	3.7420e-07	1.0000e-37	7.6885e-03	1.3566e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.1167e-10	1.0000e-37	8.4383e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1683e-11	1.0000e-37	1.2003e-17	1.0000e-37	9.1181e-11	1.0000e-37	5.6335e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4431e-18	2.8818e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3084e-08	2.6676e-06	1.0000e-37	3.9512e-12	1.0000e-37	1.0000e-37	1.6597e-11	6.6591e-39	6.2246e-12	8.1574e-37	1.0754e-36	2.5971e-37	1.0564e-08	1.6957e-08	1.0000e-37	6.4487e-20	1.0000e-37	1.0000e-37	1.0000e-37	6.1152e-04	2.8905e-08	1.0000e-37	1.0000e-37	1.4862e-14	1.0000e-37	1.0000e-37	4.0310e-20	6.4043e-11	3.2662e-25	1.0000e-37	1.0416e-25	7.3970e-08	1.0000e-37	9.2397e-27	3.2049e-26	2.2810e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0422e-09	1.0000e-37	1.2614e-09	5.6203e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8818e-16
iteration 3	4.1841e-19	9.6378e-27	3.3337e-07	1.0000e-37	7.6885e-03	1.1246e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.3676e-11	1.0000e-37	1.7858e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4724e-12	1.0000e-37	7.2726e-19	1.0000e-37	9.1039e-11	1.0000e-37	8.3138e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3146e-19	6.1809e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7617e-08	1.9031e-06	1.0000e-37	1.2094e-12	1.0000e-37	1.0000e-37	1.0835e-11	1.0000e-37	4.5641e-12	1.0000e-37	1.0000e-37	1.0000e-37	9.2096e-09	1.4309e-08	1.0000e-37	2.6884e-21	1.0000e-37	1.0000e-37	1.0000e-37	6.1152e-04	2.2940e-08	1.0000e-37	1.0000e-37	6.7222e-15	1.0000e-37	1.0000e-37	5.3695e-21	5.1856e-11	9.5537e-28	1.0000e-37	3.0468e-28	5.5079e-08	1.0000e-37	1.3083e-30	4.5955e-30	3.2872e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.2118e-10	1.0000e-37	9.9692e-10	4.1984e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1809e-17
