#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.7974e-06	8.1058e-07	4.7718e-06	1.0000e-37	5.7711e-02	2.8376e-04	1.0000e-37	1.0000e-37	1.0000e-37	4.9654e-06	7.8862e-09	1.8594e-06	8.9529e-09	1.0000e-37	6.0585e-14	1.7810e-23	1.1401e-21	1.3990e-06	2.7283e-15	1.0000e-37	3.0667e-12	2.1389e-06	1.0000e-37	2.0924e-12	1.9265e-06	5.3293e-08	5.0884e-11	1.4566e-10	1.1975e-18	2.0075e-13	8.3458e-10	4.6562e-09	2.0254e-09	2.0709e-09	1.6479e-06	7.6491e-07	8.0889e-17	1.0000e-37	2.9859e-05	2.8897e-04	2.9475e-07	7.7637e-07	4.4287e-07	6.2718e-12	1.6442e-07	9.3066e-10	4.0486e-08	7.1597e-09	9.5750e-09	2.4154e-09	3.6054e-06	6.0383e-06	8.5065e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.1186e-14	1.5388e-02	1.1733e-05	1.4439e-09	4.3461e-09	2.5796e-09	1.0000e-37	9.2434e-13	1.0461e-09	2.8544e-07	7.2133e-10	2.7969e-09	2.3005e-10	3.6507e-05	1.5993e-06	4.7628e-07	8.0074e-07	3.2446e-07	1.0000e-37	3.5305e-08	1.0985e-09	4.6362e-18	8.5196e-09	1.2164e-09	4.4286e-12	4.0225e-11	1.6679e-11	6.1333e-11	7.2728e-07	3.7067e-07	1.8037e-06	5.0629e-07	3.7003e-07	8.8511e-13	2.1815e-12	1.0000e-37	5.3064e-08	2.0254e-09
iteration 3	2.7003e-09	1.6916e-11	1.7561e-06	1.0000e-37	5.7711e-02	5.3260e-06	1.0000e-37	1.0000e-37	1.0000e-37	8.1014e-08	1.2444e-12	6.5196e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.5565e-09	1.0000e-37	1.0000e-37	4.7916e-17	1.0844e-08	1.0000e-37	2.3520e-17	1.7346e-10	2.8667e-13	8.9855e-17	1.6741e-15	1.0000e-37	4.0950e-19	2.7858e-14	1.6086e-13	3.2920e-13	1.3671e-13	3.5272e-08	1.2040e-08	8.8932e-23	1.0000e-37	2.2004e-08	2.4924e-07	3.1002e-11	1.1432e-10	4.5855e-11	1.4833e-16	1.5914e-10	1.2039e-12	4.1622e-11	2.7716e-12	3.7089e-12	9.3734e-13	8.7280e-09	1.6414e-08	1.7352e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	2.3547e-08	3.1884e-14	9.5970e-14	2.0129e-12	1.0000e-37	6.1790e-16	7.8766e-14	3.1120e-10	1.6563e-12	9.3825e-14	5.2822e-13	8.6270e-08	4.1410e-10	3.7689e-10	6.3819e-10	2.6130e-10	1.0000e-37	7.6591e-12	4.0404e-14	1.0000e-37	1.8482e-12	1.9195e-13	2.1170e-15	1.9228e-14	1.0984e-14	3.2329e-14	8.1198e-11	4.3668e-10	2.0137e-10	6.2587e-10	3.7777e-10	1.3830e-17	3.4087e-17	1.0000e-37	2.8648e-13	3.2920e-13
iteration 3	1.7032e-10	1.5845e-13	4.0612e-06	1.0000e-37	5.7711e-02	9.6634e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.7046e-08	1.5526e-11	3.6918e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2862e-09	1.0000e-37	1.0000e-37	5.3072e-19	6.0709e-09	1.0000e-37	2.4532e-19	1.1342e-11	3.7377e-15	4.5215e-17	1.7079e-16	1.0000e-37	3.6666e-20	1.1463e-13	5.7122e-13	3.2122e-13	4.1347e-13	2.9590e-08	1.0072e-08	2.4876e-23	1.0000e-37	8.8108e-08	1.0008e-06	1.2084e-10	4.2677e-10	1.5915e-10	4.3036e-17	1.0703e-10	2.6014e-11	2.7998e-11	1.7184e-11	2.2950e-11	5.7660e-12	3.5455e-08	6.5243e-08	1.5536e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	8.9030e-08	2.9349e-15	8.8340e-15	1.6648e-11	1.0000e-37	2.0128e-14	2.6308e-13	2.0930e-10	5.5009e-11	6.1833e-14	1.7543e-11	2.7657e-07	1.6534e-09	1.9621e-09	3.5143e-09	1.5522e-09	1.0000e-37	4.8423e-12	1.4710e-13	1.0000e-37	1.1685e-12	2.3949e-12	4.5858e-14	4.1653e-13	2.3770e-13	7.0009e-13	5.4535e-11	1.7732e-09	1.3525e-10	2.5426e-09	2.5754e-10	1.5318e-19	3.7754e-19	1.0000e-37	3.7179e-15	3.2122e-13
iteration 3	7.1320e-12	6.6560e-16	3.8851e-06	1.0000e-37	5.7711e-02	9.6461e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.3564e-08	1.2096e-11	1.0393e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2085e-09	1.0000e-37	1.0000e-37	2.5699e-21	1.7507e-09	1.0000e-37	1.1466e-21	5.5763e-13	3.1735e-17	1.9476e-19	4.3418e-18	1.0000e-37	3.7529e-23	6.2704e-15	3.9404e-14	6.1826e-14	4.4416e-14	8.8833e-09	2.9939e-09	2.4993e-26	1.0000e-37	8.6068e-08	1.1461e-06	1.4319e-11	1.5022e-10	1.2696e-11	4.3817e-19	3.0874e-11	1.0299e-11	8.2453e-12	6.3450e-12	8.4549e-12	2.1099e-12	3.5466e-08	6.5056e-08	1.5902e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	8.8552e-08	1.7757e-17	5.3449e-17	1.7646e-11	1.0000e-37	6.9987e-15	1.7682e-14	6.1885e-11	6.5881e-11	2.2918e-15	2.1011e-11	2.7193e-07	4.1641e-10	7.8054e-10	1.7019e-09	9.2135e-10	1.0000e-37	4.0888e-13	7.9935e-15	1.0000e-37	9.8667e-14	1.8658e-12	1.8008e-14	1.6357e-13	9.5066e-14	2.7664e-13	6.9051e-12	1.8025e-09	1.7125e-11	2.5807e-09	7.7301e-11	7.4172e-22	1.8281e-21	1.0000e-37	3.1717e-17	6.1826e-14
iteration 3	2.7484e-13	1.6133e-18	1.9823e-06	1.0000e-37	5.7711e-02	5.6696e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.8596e-09	5.9407e-13	2.1742e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5300e-10	1.0000e-37	1.0000e-37	3.9599e-24	3.9789e-10	1.0000e-37	3.0272e-24	3.6270e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.6910e-31	6.3196e-21	1.3463e-15	1.1508e-14	1.0000e-37	1.7292e-09	5.8061e-10	1.0000e-37	1.0000e-37	2.9162e-08	6.1691e-07	6.3683e-16	3.1596e-11	3.5618e-16	1.0000e-37	6.3683e-12	2.5204e-15	1.7986e-12	3.4006e-15	4.5540e-15	1.1534e-15	1.2884e-08	2.4148e-08	2.8352e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	3.4430e-08	5.1981e-22	1.5646e-21	1.1409e-12	1.0000e-37	1.2341e-19	1.3936e-18	1.3929e-11	2.4567e-13	8.2410e-20	7.8349e-14	1.1826e-07	4.6739e-13	3.2834e-12	9.0645e-12	5.7810e-12	1.0000e-37	5.2543e-16	2.5265e-19	1.0000e-37	1.2679e-16	9.1634e-14	4.2859e-18	3.8929e-17	2.4337e-17	6.7551e-17	4.1500e-14	6.7541e-10	1.0292e-13	9.6166e-10	1.6063e-11	1.1429e-24	2.8170e-24	1.0000e-37	1.0000e-37	1.1508e-14
iteration 3	2.0084e-15	1.0781e-21	2.2978e-07	1.0000e-37	5.7711e-02	1.0612e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.2351e-10	1.0000e-37	9.3603e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0892e-11	1.0000e-37	1.0000e-37	1.0000e-37	2.3430e-11	1.0000e-37	1.2016e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6856e-37	4.6680e-17	4.9584e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7676e-09	7.1084e-08	8.7597e-28	1.0978e-12	3.8798e-28	1.0000e-37	2.4158e-13	5.7828e-26	7.4399e-14	3.2626e-25	4.4214e-25	1.1589e-25	8.4021e-10	1.5788e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	2.3149e-09	1.0000e-37	1.0000e-37	3.8720e-14	1.0000e-37	1.8481e-33	8.6158e-21	6.2622e-13	1.8534e-20	1.4869e-31	5.9107e-21	8.9080e-09	1.0000e-37	5.0043e-19	1.5910e-18	1.0906e-18	1.0000e-37	1.0000e-37	1.6856e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.0874e-29	8.2541e-28	6.2899e-28	1.5453e-27	9.1361e-20	4.7538e-11	2.2658e-19	6.6319e-11	6.5689e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9584e-16
iteration 3	6.9873e-18	8.8253e-25	1.8540e-08	1.0000e-37	5.7711e-02	1.0922e-07	1.0000e-37	1.0000e-37	1.0000e-37	4.4516e-12	1.0000e-37	3.3736e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9257e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.6654e-12	1.0000e-37	9.9168e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.2565e-19	1.3028e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2049e-10	7.1300e-09	1.0000e-37	3.0799e-14	1.0000e-37	1.0000e-37	7.9424e-15	7.1901e-39	2.7651e-15	1.8754e-37	2.5645e-37	6.8905e-38	6.1113e-11	1.1429e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	1.6751e-10	1.0000e-37	1.0000e-37	1.2209e-15	1.0000e-37	1.0000e-37	6.9864e-23	2.6861e-14	1.6876e-28	1.0000e-37	5.3819e-29	6.3588e-10	1.0000e-37	2.9639e-27	1.0068e-26	7.1040e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.7803e-12	1.0000e-37	5.0574e-12	2.4936e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3028e-17
iteration 3	2.4871e-20	7.5246e-28	1.8996e-09	1.0000e-37	5.7711e-02	1.1572e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.5153e-13	1.0000e-37	1.9063e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2182e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.6753e-13	1.0000e-37	8.4217e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9513e-20	7.3420e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1771e-11	6.9214e-10	1.0000e-37	1.0869e-15	1.0000e-37	1.0000e-37	4.4911e-16	1.7360e-39	1.7759e-16	4.9487e-38	6.6744e-38	1.7257e-38	6.1863e-12	1.1546e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	1.6836e-11	1.0000e-37	1.0000e-37	5.0247e-17	1.0000e-37	1.0000e-37	5.8984e-25	1.9677e-15	1.6955e-28	1.0000e-37	5.4072e-29	6.3111e-11	1.0000e-37	2.0506e-28	7.0522e-28	5.0017e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4111e-41	2.4111e-41	4.8221e-41	1.0000e-37	4.2496e-13	1.0000e-37	5.3652e-13	1.6468e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.3420e-19
iteration 3	3.4329e-18	4.5474e-26	2.1635e-06	1.0000e-37	5.7711e-02	5.7016e-06	1.0000e-37	1.0000e-37	1.0000e-37	5.8333e-10	1.0000e-37	4.4273e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.1518e-11	1.0000e-37	1.0000e-37	1.0000e-37	9.2176e-10	1.0000e-37	5.1959e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6830e-17	1.7588e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.5937e-08	4.2528e-06	1.0000e-37	1.5839e-12	1.0000e-37	1.0000e-37	1.8962e-12	1.0000e-37	8.1463e-13	1.0000e-37	1.0000e-37	1.0000e-37	3.3518e-08	5.7106e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	7.3757e-08	1.0000e-37	1.0000e-37	1.4960e-13	1.0000e-37	1.0000e-37	3.4618e-22	9.6652e-12	1.0000e-37	1.0000e-37	1.0000e-37	2.0809e-07	1.0000e-37	2.1485e-33	7.6350e-33	5.4865e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7258e-09	1.0000e-37	3.2929e-09	7.6671e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7588e-15
iteration 3	2.5877e-20	3.7922e-28	2.0659e-06	1.0000e-37	5.7711e-02	5.3575e-06	1.0000e-37	1.0000e-37	1.0000e-37	9.7045e-11	1.0000e-37	7.3546e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.5582e-12	1.0000e-37	1.0000e-37	1.0000e-37	9.2041e-10	1.0000e-37	4.3704e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0897e-18	2.9576e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1105e-08	3.3645e-06	1.0000e-37	3.5072e-13	1.0000e-37	1.0000e-37	1.7887e-12	1.0000e-37	7.8265e-13	1.0000e-37	1.0000e-37	1.0000e-37	3.2421e-08	5.4459e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	6.8432e-08	1.0000e-37	1.0000e-37	1.2196e-13	1.0000e-37	1.0000e-37	2.5790e-23	9.4066e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.9138e-07	1.0000e-37	6.6199e-38	2.3852e-37	1.7232e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8148e-09	1.0000e-37	3.4376e-09	7.3809e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9576e-16
