#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.7202e-06	6.3875e-07	1.0936e-06	1.0000e-37	7.9464e-03	1.0365e-03	9.3365e-23	1.4014e-22	4.6774e-23	1.5634e-06	1.7684e-08	3.6304e-07	3.5886e-07	1.9861e-19	5.2912e-11	8.8004e-13	1.5813e-12	3.3705e-07	9.7033e-08	8.8665e-10	1.1135e-08	4.0139e-07	2.3103e-25	1.5027e-08	3.6124e-07	2.7853e-07	3.9009e-07	6.4552e-07	3.3239e-10	9.1758e-09	2.2470e-07	7.5609e-07	3.3289e-07	3.4462e-07	6.5290e-06	2.2331e-06	1.9733e-10	1.0000e-37	1.3345e-04	8.8992e-04	1.8446e-05	4.6850e-05	2.7714e-05	1.3561e-06	3.7889e-06	1.3970e-07	8.7615e-07	2.5788e-07	3.4440e-07	8.6520e-08	1.1149e-05	2.0141e-05	3.8880e-08	6.3092e-12	1.2892e-12	3.7296e-22	2.7295e-09	6.8465e-04	4.3285e-05	1.1876e-05	3.5746e-05	4.0293e-08	1.0000e-37	1.9829e-09	8.1893e-08	5.7630e-06	3.0971e-07	2.9021e-07	9.8771e-08	1.3102e-04	1.6433e-05	5.4994e-06	9.2773e-06	3.7779e-06	3.1589e-20	3.6006e-06	3.3914e-07	2.8903e-12	8.6888e-07	2.7278e-09	6.3416e-09	5.7600e-08	2.4071e-08	8.8013e-08	1.3516e-05	1.1505e-06	3.3521e-05	1.6514e-06	8.0700e-06	3.2194e-09	7.9152e-09	1.0000e-37	1.1876e-07	3.3289e-07
iteration 3	6.9457e-07	2.8409e-07	1.2164e-06	1.0000e-37	7.9464e-03	1.0503e-03	1.0000e-37	1.0000e-37	1.0000e-37	7.5960e-07	3.2097e-08	2.6992e-07	3.6724e-09	7.2401e-22	9.1290e-14	5.4611e-16	9.7261e-16	2.3288e-07	1.8696e-10	3.0837e-10	5.3532e-11	2.3488e-07	1.0000e-37	1.2639e-10	1.3870e-07	2.7654e-09	1.2609e-08	2.0869e-08	5.6647e-12	8.6773e-11	4.2869e-08	2.3728e-07	7.9337e-08	9.3181e-08	3.5530e-06	1.2305e-06	3.1394e-12	1.0000e-37	1.2824e-04	1.0114e-03	6.9636e-06	1.7854e-05	1.0337e-05	7.5856e-08	3.4284e-06	3.5063e-07	8.2098e-07	3.4394e-07	4.5953e-07	1.1559e-07	1.1036e-05	1.9990e-05	3.6768e-10	3.8485e-12	1.0740e-12	1.4195e-24	2.4380e-11	6.8465e-04	4.3255e-05	2.8480e-07	8.5726e-07	1.3503e-07	1.0000e-37	2.7779e-09	3.4895e-08	5.6167e-06	8.2056e-07	4.6971e-08	2.6169e-07	1.3358e-04	1.8824e-05	1.1804e-05	1.9983e-05	8.1788e-06	3.5487e-23	1.5281e-06	5.7820e-08	1.5629e-14	3.6876e-07	4.9520e-09	1.3472e-08	1.2236e-07	5.1004e-08	1.8684e-07	4.6915e-06	1.1663e-06	1.1635e-05	1.6769e-06	7.5591e-06	1.5451e-11	3.8081e-11	1.0000e-37	1.1716e-09	7.9337e-08
iteration 3	2.9785e-07	2.6118e-09	1.1607e-06	1.0000e-37	7.9464e-03	1.0494e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.7017e-07	3.0902e-08	1.7276e-07	1.0000e-37	1.0000e-37	4.0026e-17	1.0000e-37	1.0000e-37	1.4420e-07	1.0000e-37	1.5114e-10	8.0770e-14	1.3980e-07	1.0000e-37	2.2009e-13	6.7115e-09	1.3630e-11	2.5280e-10	4.1907e-10	1.0000e-37	2.7227e-13	6.3555e-09	4.3859e-08	1.2607e-08	1.9683e-08	1.1144e-06	3.9924e-07	3.3570e-14	1.0000e-37	1.1910e-04	1.0763e-03	1.8767e-06	4.8989e-06	2.5336e-06	3.4859e-09	2.4550e-06	4.5060e-07	6.0283e-07	2.3137e-07	3.0886e-07	7.7495e-08	1.0500e-05	1.9060e-05	1.1537e-12	1.9564e-12	2.0125e-13	1.0000e-37	9.3955e-14	6.8465e-04	4.1468e-05	2.4104e-09	7.2554e-09	2.1414e-07	1.0000e-37	1.5903e-09	7.6419e-09	4.2118e-06	1.0826e-06	4.4448e-09	3.4527e-07	1.2979e-04	9.5904e-06	1.1235e-05	1.9850e-05	8.6150e-06	1.0000e-37	5.0468e-07	8.1885e-09	3.3671e-17	1.2179e-07	4.7672e-09	8.8722e-09	8.0586e-08	3.0877e-08	1.2034e-07	9.0768e-07	1.1309e-06	2.2510e-06	1.6274e-06	5.6453e-06	2.3312e-14	5.7458e-14	1.0000e-37	5.8938e-12	1.2607e-08
iteration 3	7.3980e-09	1.5641e-12	1.0428e-06	1.0000e-37	7.9464e-03	8.1656e-05	1.0000e-37	1.0000e-37	1.0000e-37	1.0264e-07	1.9155e-09	1.3463e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6675e-08	1.0000e-37	3.6767e-11	1.4855e-17	1.9001e-08	1.0000e-37	3.9063e-17	2.4575e-11	8.7433e-15	3.4728e-13	5.8078e-13	1.0000e-37	9.7710e-17	7.1447e-11	4.7944e-10	1.5214e-10	3.0941e-10	7.4062e-08	2.9133e-08	2.2730e-17	1.0000e-37	7.7626e-06	7.9892e-05	3.2562e-08	8.6636e-08	3.0321e-08	1.0911e-11	9.2748e-08	1.9512e-08	2.2870e-08	1.0154e-08	1.3517e-08	3.3633e-09	7.9159e-07	1.3950e-06	4.1403e-16	2.4743e-13	1.3777e-15	1.0000e-37	1.0000e-37	6.8465e-04	2.9042e-06	2.9421e-12	8.8557e-12	1.3351e-08	1.0000e-37	4.9304e-11	9.3550e-11	1.5641e-07	6.9502e-08	2.9407e-11	2.2165e-08	8.8716e-06	2.7401e-07	4.2587e-07	9.0748e-07	4.8161e-07	1.0000e-37	8.5289e-09	9.1140e-11	1.0000e-37	2.0581e-09	2.9546e-10	4.1092e-11	3.7324e-10	1.9530e-10	6.0963e-10	1.3252e-08	8.1635e-08	3.2865e-08	1.1572e-07	2.2984e-07	4.2875e-18	1.0567e-17	1.0000e-37	4.4907e-15	1.5214e-10
iteration 3	2.5253e-12	4.6755e-17	4.1375e-07	1.0000e-37	7.9464e-03	1.2213e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.9541e-10	4.1116e-13	3.7385e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8482e-11	1.0000e-37	2.2947e-14	3.0459e-22	5.7761e-11	1.0000e-37	5.6442e-23	1.7274e-14	1.0000e-37	7.8716e-21	5.9532e-19	1.0000e-37	2.9264e-24	8.1134e-17	5.6764e-16	1.9703e-15	1.5438e-15	2.6510e-10	8.8877e-11	1.6357e-25	1.0000e-37	2.9808e-08	4.6319e-07	3.7050e-13	7.4507e-11	2.1795e-13	4.1995e-17	2.6581e-10	6.2060e-13	6.7795e-11	9.3518e-13	1.2485e-12	3.1330e-13	4.2275e-09	8.1919e-09	1.2400e-23	1.3514e-16	1.0200e-18	1.0000e-37	1.0000e-37	6.8465e-04	1.5868e-08	1.0804e-17	3.2519e-17	2.8627e-12	1.0000e-37	4.6023e-16	4.0325e-16	4.5386e-10	1.8781e-11	2.2436e-16	5.9894e-12	4.4461e-08	2.0252e-11	1.0932e-10	2.9324e-10	1.8392e-10	1.0000e-37	7.5269e-13	1.5016e-16	1.0000e-37	1.8163e-13	6.3420e-14	1.0754e-15	9.7678e-15	5.7973e-15	1.6641e-14	2.7910e-12	3.5202e-10	6.9218e-12	5.0402e-10	6.3492e-10	8.7912e-23	2.1668e-22	1.0000e-37	1.0000e-37	1.9703e-15
iteration 3	9.9561e-15	2.4294e-20	4.7203e-08	1.0000e-37	7.9464e-03	2.0248e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.8332e-11	1.0000e-37	2.1299e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7636e-12	1.0000e-37	2.8661e-16	1.0000e-37	3.3970e-12	1.0000e-37	3.0080e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0589e-28	2.8126e-18	1.0122e-16	1.0000e-37	1.0743e-11	3.5960e-12	1.0000e-37	1.0000e-37	1.7957e-09	5.3393e-08	8.3818e-22	2.7260e-12	3.7644e-22	1.0000e-37	1.3863e-11	7.5325e-21	3.8026e-12	6.3570e-20	8.5612e-20	2.2042e-20	2.7809e-10	5.4062e-10	1.0000e-37	1.6947e-18	1.4993e-20	1.0000e-37	1.0000e-37	6.8465e-04	1.0769e-09	1.0000e-37	1.0000e-37	1.5526e-14	1.0000e-37	6.5207e-26	1.0968e-18	2.6846e-11	9.2276e-17	3.3072e-25	2.9428e-17	3.2899e-09	3.2753e-17	8.6416e-16	2.6883e-15	1.8241e-15	1.0000e-37	1.0196e-18	2.0296e-19	1.0000e-37	2.4605e-19	1.0000e-37	1.2392e-23	1.1255e-22	7.6618e-23	2.0156e-22	6.7209e-17	2.5656e-11	1.6668e-16	3.5972e-11	3.2813e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0122e-16
iteration 3	2.4384e-17	1.8242e-23	3.5337e-09	1.0000e-37	7.9464e-03	1.9157e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.6660e-12	1.0000e-37	1.2524e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6250e-13	1.0000e-37	2.6240e-18	1.0000e-37	2.2392e-13	1.0000e-37	1.3089e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5736e-20	4.2200e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1149e-10	5.4309e-09	1.1992e-34	7.3941e-14	4.9651e-35	1.0000e-37	4.8651e-13	1.1199e-32	1.4055e-13	5.4402e-31	7.3914e-31	1.9512e-31	1.8827e-11	3.6488e-11	1.0000e-37	1.5520e-20	1.5250e-22	1.0000e-37	1.0000e-37	6.8465e-04	7.2898e-11	1.0000e-37	1.0000e-37	3.8758e-16	1.0000e-37	1.0000e-37	8.2390e-21	1.0437e-12	3.9950e-24	1.0000e-37	1.2741e-24	2.2330e-10	1.0000e-37	2.4169e-23	8.0692e-23	5.6523e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6845e-35	1.5300e-34	1.2902e-34	2.9887e-34	1.0000e-37	1.9316e-12	1.0000e-37	2.5829e-12	1.2064e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2200e-18
iteration 3	9.5790e-20	1.6306e-26	3.8683e-10	1.0000e-37	7.9464e-03	2.1619e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.1423e-13	1.0000e-37	8.5877e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1142e-14	1.0000e-37	1.6596e-20	1.0000e-37	2.4141e-14	1.0000e-37	1.1605e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.0477e-22	2.8678e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1575e-11	5.1744e-10	1.7575e-33	2.9849e-15	7.0379e-34	1.0000e-37	1.0847e-14	3.7384e-31	3.3649e-15	1.5865e-29	2.1251e-29	5.3864e-30	2.0011e-12	3.8612e-12	1.0000e-37	9.8066e-23	8.1804e-25	1.0000e-37	1.0000e-37	6.8465e-04	7.6163e-12	1.0000e-37	1.0000e-37	1.2868e-17	1.0000e-37	1.0000e-37	7.3151e-23	2.7955e-14	8.9338e-23	1.0000e-37	2.8491e-23	2.2641e-11	1.0000e-37	2.8171e-23	9.5005e-23	6.6834e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7462e-34	5.2193e-33	4.1887e-33	9.9826e-33	1.0000e-37	2.1867e-13	1.0000e-37	2.7735e-13	2.9367e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8678e-19
iteration 3	1.8868e-17	9.6458e-25	4.2598e-07	1.0000e-37	7.9464e-03	1.3507e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.4302e-10	1.0000e-37	1.0779e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3985e-11	1.0000e-37	4.0927e-18	1.0000e-37	1.0408e-10	1.0000e-37	6.9752e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6965e-18	3.6968e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1927e-08	2.5564e-06	1.0000e-37	4.0706e-12	1.0000e-37	1.0000e-37	1.6267e-11	4.9944e-38	6.0165e-12	3.7392e-36	4.9245e-36	1.1853e-36	8.4300e-09	1.5427e-08	1.0000e-37	2.4166e-20	1.0000e-37	1.0000e-37	1.0000e-37	6.8465e-04	2.7899e-08	1.0000e-37	1.0000e-37	1.6665e-14	1.0000e-37	1.0000e-37	4.2258e-20	6.0796e-11	8.6765e-25	1.0000e-37	2.7671e-25	7.3230e-08	1.0000e-37	2.3440e-26	8.1188e-26	5.7749e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0048e-09	1.0000e-37	1.2205e-09	5.4036e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.6968e-16
iteration 3	4.1677e-19	1.3868e-26	3.8338e-07	1.0000e-37	7.9464e-03	1.1202e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.9515e-11	1.0000e-37	2.2201e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8805e-12	1.0000e-37	2.5670e-19	1.0000e-37	1.0392e-10	1.0000e-37	1.0106e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.7696e-19	7.7108e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6623e-08	1.8005e-06	1.0000e-37	1.2711e-12	1.0000e-37	1.0000e-37	1.0223e-11	1.0000e-37	4.2773e-12	1.0000e-37	1.0000e-37	1.0000e-37	7.1107e-09	1.2834e-08	1.0000e-37	1.5153e-21	1.0000e-37	1.0000e-37	1.0000e-37	6.8465e-04	2.2003e-08	1.0000e-37	1.0000e-37	7.2126e-15	1.0000e-37	1.0000e-37	5.5377e-21	4.8060e-11	4.2570e-27	1.0000e-37	1.3576e-27	5.4425e-08	1.0000e-37	5.1089e-30	1.7907e-29	1.2798e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.8503e-10	1.0000e-37	9.5681e-10	3.9149e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.7108e-17
