#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	5.3172e-06	1.6208e-06	2.2814e-06	9.0895e-13	2.2534e-02	1.1128e-03	8.2184e-08	1.2164e-07	3.9451e-08	5.0792e-06	5.1412e-09	1.1366e-06	1.6574e-06	2.1539e-10	1.8714e-09	2.8823e-10	5.9759e-10	1.0077e-06	1.4620e-06	9.2378e-06	5.0665e-08	1.3734e-06	6.7616e-11	2.6471e-08	1.1328e-06	3.3599e-07	8.7093e-07	1.4420e-06	1.0145e-07	2.4560e-08	2.6440e-07	1.6585e-06	8.6126e-07	6.2432e-07	1.5544e-05	5.3496e-06	2.1602e-09	6.9848e-11	1.3219e-04	9.2847e-04	1.2942e-05	3.3338e-05	1.9436e-05	5.3467e-06	3.7432e-06	1.0754e-07	8.7078e-07	5.9259e-07	7.9108e-07	1.9849e-07	1.1711e-05	2.0800e-05	1.1381e-07	1.6320e-06	1.4746e-06	2.4085e-12	3.0748e-08	3.2037e-03	4.4424e-05	2.2035e-05	6.6324e-05	2.2779e-07	1.0000e-37	2.2486e-08	1.2800e-07	5.7773e-06	1.8050e-06	2.6536e-07	5.7565e-07	1.3612e-04	1.4979e-05	9.3444e-06	1.5798e-05	6.4532e-06	9.4180e-10	3.2792e-06	4.4161e-07	3.1031e-11	7.9132e-07	7.9055e-10	1.9747e-09	1.7936e-08	6.7273e-09	2.6638e-08	1.0843e-05	1.2286e-06	2.6890e-05	1.7390e-06	8.0196e-06	1.4675e-08	3.5990e-08	2.6924e-12	1.6623e-07	8.6126e-07
iteration 3	1.3574e-06	6.9732e-07	2.4136e-06	1.0000e-37	2.2534e-02	1.1011e-03	6.0536e-12	8.8672e-12	2.8136e-12	2.5907e-06	2.7322e-08	8.5058e-07	8.6995e-08	6.0542e-13	3.8618e-12	3.0758e-13	6.8851e-13	6.9280e-07	1.8348e-07	6.6428e-06	6.7741e-10	8.5235e-07	4.3591e-14	3.6912e-10	5.3764e-07	7.0453e-09	7.2938e-08	1.2069e-07	2.5228e-09	7.8637e-10	1.2593e-07	1.1386e-06	3.7199e-07	3.2777e-07	1.1575e-05	4.0106e-06	2.8351e-10	8.0522e-16	1.2949e-04	9.7599e-04	1.2088e-05	3.0765e-05	1.7979e-05	1.8617e-06	3.7153e-06	4.5172e-07	8.7732e-07	9.2504e-07	1.2354e-06	3.1035e-07	1.1571e-05	2.0572e-05	4.0423e-09	1.2130e-06	1.0883e-06	3.9382e-14	4.8244e-10	3.2037e-03	4.4081e-05	2.1881e-06	6.5860e-06	6.6251e-07	1.0000e-37	2.7218e-08	8.9074e-08	5.9105e-06	3.9558e-06	7.1193e-08	1.2616e-06	1.3586e-04	2.6220e-05	2.2179e-05	3.7560e-05	1.5381e-05	1.0856e-12	2.2822e-06	1.8191e-07	3.2619e-13	5.5073e-07	4.2119e-09	1.2473e-08	1.1330e-07	4.3481e-08	1.6925e-07	4.9483e-06	1.2250e-06	1.2272e-05	1.7373e-06	8.1004e-06	1.9553e-10	4.8188e-10	1.7297e-16	3.1254e-09	3.7199e-07
iteration 3	5.9138e-07	1.1271e-08	2.2952e-06	1.0000e-37	2.2534e-02	1.1053e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.3008e-06	3.0953e-08	5.7744e-07	1.4781e-10	1.0000e-37	2.2821e-15	2.5076e-18	5.5321e-18	4.4722e-07	1.2320e-10	1.4557e-06	1.0275e-12	5.3170e-07	1.0000e-37	5.6708e-13	5.7057e-08	2.5885e-11	8.3025e-10	1.3775e-09	1.2234e-11	2.6427e-12	1.1015e-08	1.1607e-07	3.3024e-08	4.5343e-08	2.6864e-06	9.9155e-07	2.8250e-12	1.0000e-37	1.2261e-04	1.0748e-03	2.6598e-06	6.8635e-06	3.6434e-06	1.5519e-07	3.1349e-06	5.6371e-07	7.6417e-07	4.2646e-07	5.6937e-07	1.4291e-07	1.1181e-05	1.9964e-05	1.1198e-11	2.6915e-07	2.4081e-07	2.1868e-17	2.3972e-12	3.2037e-03	4.3072e-05	2.1234e-08	6.3914e-08	5.7621e-07	1.0000e-37	5.6162e-09	1.2718e-08	5.3103e-06	2.6150e-06	5.6833e-09	8.3398e-07	1.3460e-04	1.2116e-05	1.7875e-05	3.1303e-05	1.3428e-05	1.0000e-37	7.7564e-07	1.4559e-08	9.3303e-16	1.8717e-07	4.7748e-09	1.4278e-08	1.2968e-07	4.9933e-08	1.9389e-07	9.1586e-07	1.2076e-06	2.2713e-06	1.7178e-06	7.1616e-06	2.9657e-13	7.3096e-13	1.0000e-37	1.2816e-11	3.3024e-08
iteration 3	1.3186e-10	5.3021e-14	1.6116e-06	1.0000e-37	2.2534e-02	4.3544e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.9340e-09	5.7116e-12	3.7828e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.5701e-10	1.0000e-37	1.0470e-10	1.4793e-18	6.5630e-10	1.0000e-37	3.0393e-19	8.2672e-13	5.5020e-17	1.3091e-15	2.2405e-15	1.0000e-37	3.2911e-18	3.0070e-13	2.0559e-12	6.2816e-13	1.3767e-12	3.4967e-09	1.1766e-09	1.5228e-18	1.0000e-37	6.9197e-08	7.4386e-07	1.7680e-10	5.1508e-10	1.6335e-10	1.3016e-12	8.0721e-10	1.2077e-10	1.9396e-10	6.0405e-11	8.0420e-11	2.0015e-11	1.6592e-08	2.8159e-08	1.3946e-17	9.9175e-12	9.2288e-12	1.0000e-37	1.0000e-37	3.2037e-03	5.0693e-08	1.5295e-13	4.6037e-13	8.6018e-11	1.0000e-37	2.2625e-13	4.3635e-13	1.2456e-09	4.2721e-10	1.1054e-13	1.3625e-10	1.3716e-07	1.7399e-09	2.9951e-09	6.4047e-09	3.4096e-09	1.0000e-37	5.7749e-11	3.9699e-13	1.0000e-37	1.3936e-11	8.8100e-13	2.1280e-13	1.9329e-12	1.0985e-12	3.2441e-12	6.6850e-11	1.0788e-09	1.6579e-10	1.5471e-09	1.9073e-09	4.2696e-19	1.0523e-18	1.0000e-37	4.5056e-17	6.2816e-13
iteration 3	5.3808e-12	1.5421e-16	9.0356e-07	1.0000e-37	2.2534e-02	2.7233e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.3754e-09	6.7551e-13	1.0484e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2674e-10	1.0000e-37	7.2016e-12	7.9816e-21	1.8503e-10	1.0000e-37	3.0019e-22	6.2557e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6689e-24	6.5563e-18	5.7582e-16	5.7707e-15	9.9686e-16	8.7466e-10	2.9339e-10	1.1278e-25	1.0000e-37	2.8315e-08	4.8202e-07	6.7566e-14	5.6246e-11	3.9339e-14	1.7775e-16	2.5193e-10	1.8854e-13	6.4609e-11	2.2088e-13	2.9511e-13	7.4229e-14	7.2876e-09	1.2549e-08	7.0717e-24	7.2944e-13	7.1359e-13	1.0000e-37	1.0000e-37	3.2037e-03	2.3407e-08	2.4805e-17	7.4663e-17	1.3774e-12	1.0000e-37	5.2565e-17	3.5010e-16	4.3119e-10	5.8407e-12	3.0537e-17	1.8627e-12	6.8083e-08	6.6954e-12	4.5222e-11	1.2201e-10	7.6785e-11	1.0000e-37	2.7240e-13	3.7325e-16	1.0000e-37	6.5733e-14	1.0420e-13	3.2516e-16	2.9534e-15	1.7767e-15	5.0553e-15	9.9576e-13	4.9441e-10	2.4695e-12	7.0552e-10	5.8718e-10	2.3037e-21	5.6779e-21	1.0000e-37	1.0000e-37	5.7707e-15
iteration 3	2.7533e-14	8.6665e-20	1.0240e-07	1.0000e-37	2.2534e-02	4.8703e-07	1.0000e-37	1.0000e-37	1.0000e-37	7.6264e-11	1.0000e-37	5.7917e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.0014e-12	1.0000e-37	8.8713e-14	1.0000e-37	1.0607e-11	1.0000e-37	1.7271e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.3576e-32	1.4065e-17	3.1989e-16	1.0000e-37	3.8212e-11	1.2799e-11	1.0000e-37	1.0000e-37	1.6518e-09	5.5488e-08	5.7492e-24	1.9829e-12	2.5755e-24	1.0000e-37	1.2717e-11	1.5419e-22	3.5066e-12	8.5049e-22	1.1480e-21	2.9747e-22	4.6193e-10	7.9942e-10	1.0000e-37	9.5427e-15	1.0200e-14	1.0000e-37	1.0000e-37	3.2037e-03	1.5352e-09	1.0000e-37	1.0000e-37	2.1371e-14	1.0000e-37	1.2494e-28	1.8756e-18	2.4734e-11	4.2971e-18	2.3193e-27	1.3704e-18	4.9628e-09	1.0000e-37	6.4015e-17	2.0042e-16	1.3641e-16	1.0000e-37	7.7845e-20	8.1067e-32	1.0000e-37	1.8785e-20	1.0000e-37	2.4963e-25	2.2674e-24	1.6069e-24	4.1239e-24	8.2597e-18	3.4160e-11	2.0484e-17	4.7795e-11	3.0152e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.1989e-16
iteration 3	7.6346e-17	6.7094e-23	7.8146e-09	1.0000e-37	2.2534e-02	4.7557e-08	1.0000e-37	1.0000e-37	1.0000e-37	4.5233e-12	1.0000e-37	3.4352e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1527e-13	1.0000e-37	8.2367e-16	1.0000e-37	7.1264e-13	1.0000e-37	7.7889e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4816e-19	1.3634e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0488e-10	5.6008e-09	7.5021e-38	5.4318e-14	3.0930e-38	1.0000e-37	4.4630e-13	2.9729e-35	1.2860e-13	9.6077e-34	1.3096e-33	3.4887e-34	3.1741e-11	5.4766e-11	1.0000e-37	8.9337e-17	1.0498e-16	1.0000e-37	1.0000e-37	3.2037e-03	1.0515e-10	1.0000e-37	1.0000e-37	6.1623e-16	1.0000e-37	1.0000e-37	1.4517e-20	9.4515e-13	4.9361e-26	1.0000e-37	1.5742e-26	3.3801e-10	1.0000e-37	5.6363e-25	1.8945e-24	1.3309e-24	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3433e-38	3.9551e-37	3.5405e-37	7.9299e-37	1.0000e-37	2.5782e-12	1.0000e-37	3.4563e-12	1.1005e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3634e-17
iteration 3	2.8098e-19	5.9101e-26	8.3118e-10	1.0000e-37	2.2534e-02	5.2301e-09	1.0000e-37	1.0000e-37	1.0000e-37	3.0080e-13	1.0000e-37	2.2844e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7615e-14	1.0000e-37	4.9465e-18	1.0000e-37	7.4514e-14	1.0000e-37	6.8156e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8546e-21	9.0098e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0591e-11	5.3836e-10	1.6350e-37	2.0931e-15	6.5888e-38	1.0000e-37	9.4820e-15	1.7226e-34	2.8393e-15	5.5900e-33	7.5137e-33	1.9237e-33	3.3170e-12	5.7026e-12	1.0000e-37	4.8614e-19	5.8639e-19	1.0000e-37	1.0000e-37	3.2037e-03	1.0863e-11	1.0000e-37	1.0000e-37	2.3598e-17	1.0000e-37	1.0000e-37	1.2696e-22	2.2246e-14	3.7555e-25	1.0000e-37	1.1977e-25	3.4273e-11	1.0000e-37	2.5327e-25	8.6087e-25	6.0761e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5607e-37	2.3258e-36	2.0135e-36	4.5954e-36	1.0000e-37	2.9346e-13	1.0000e-37	3.7217e-13	2.4519e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.0098e-19
iteration 3	5.2104e-17	3.8376e-24	9.1697e-07	1.0000e-37	2.2534e-02	2.6907e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.7518e-10	1.0000e-37	3.6191e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3750e-11	1.0000e-37	1.2664e-15	1.0000e-37	3.5934e-10	1.0000e-37	4.4954e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.6210e-18	1.4628e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3260e-08	2.8591e-06	1.0000e-37	3.1972e-12	1.0000e-37	1.0000e-37	1.2971e-11	1.0000e-37	4.4652e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.5803e-08	2.5356e-08	1.0000e-37	1.0437e-16	1.0000e-37	1.0000e-37	1.0000e-37	3.2037e-03	4.3026e-08	1.0000e-37	1.0000e-37	3.2748e-14	1.0000e-37	1.0000e-37	8.0415e-20	4.1635e-11	3.6541e-27	1.0000e-37	1.1653e-27	1.1159e-07	1.0000e-37	1.8840e-28	6.5778e-28	4.6937e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5898e-09	1.0000e-37	1.9256e-09	3.9475e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4628e-15
iteration 3	1.0878e-18	6.0534e-26	8.5708e-07	1.0000e-37	2.2534e-02	2.4171e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0776e-10	1.0000e-37	8.1896e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.9002e-12	1.0000e-37	6.1272e-17	1.0000e-37	3.5880e-10	1.0000e-37	7.1469e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8198e-18	3.3495e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7917e-08	2.0234e-06	1.0000e-37	9.5780e-13	1.0000e-37	1.0000e-37	6.1507e-12	1.0000e-37	2.4910e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.4526e-08	2.2758e-08	1.0000e-37	3.2455e-18	1.0000e-37	1.0000e-37	1.0000e-37	3.2037e-03	3.7196e-08	1.0000e-37	1.0000e-37	2.1028e-14	1.0000e-37	1.0000e-37	1.1509e-20	2.7150e-11	1.2856e-29	1.0000e-37	4.1000e-30	9.3280e-08	1.0000e-37	2.9270e-32	1.0345e-31	7.4184e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4759e-09	1.0000e-37	1.7883e-09	2.2622e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3495e-16
