#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	5.9416e-06	2.4222e-06	3.7977e-06	3.6981e-13	4.3159e-02	1.1193e-03	4.9898e-08	7.3656e-08	2.3759e-08	9.5523e-06	1.2150e-08	2.1209e-06	2.4894e-06	1.6174e-10	1.1493e-09	4.2361e-12	9.4801e-11	1.8496e-06	2.4527e-06	5.3698e-06	6.7824e-09	2.7858e-06	1.8037e-11	9.4730e-10	2.0335e-06	1.2187e-07	1.2485e-08	2.3069e-08	3.4304e-08	1.1674e-09	2.5241e-08	1.7831e-07	5.7302e-08	6.1154e-08	3.6115e-06	1.4538e-06	3.1545e-11	8.2741e-12	1.2714e-04	1.0726e-03	3.3664e-06	9.1249e-06	5.0587e-06	7.2358e-07	3.2993e-06	1.7401e-08	8.0101e-07	1.3983e-07	1.8684e-07	4.7010e-08	1.2008e-05	2.1222e-05	1.0267e-08	9.8296e-07	8.7991e-07	1.5053e-13	5.0683e-09	8.1143e-03	4.4843e-05	4.6524e-06	1.4004e-05	2.8214e-08	1.0000e-37	4.1067e-10	2.4656e-08	5.5417e-06	1.0626e-07	4.9201e-08	3.3887e-08	1.3972e-04	8.5295e-06	4.5860e-06	7.7214e-06	3.1354e-06	1.7780e-10	1.1266e-06	1.0497e-07	2.7754e-12	2.7186e-07	1.8741e-09	2.4577e-10	2.2324e-09	8.3897e-10	3.3171e-09	5.3614e-06	1.2761e-06	1.3296e-05	1.8010e-06	7.3179e-06	1.9626e-09	4.8198e-09	1.5196e-12	1.1417e-07	5.7302e-08
iteration 3	1.5455e-06	1.0038e-06	3.9771e-06	1.0000e-37	4.3159e-02	1.1438e-03	5.8434e-14	8.5973e-14	2.7539e-14	4.5685e-06	3.1351e-08	1.5429e-06	5.7381e-08	2.7501e-13	2.0076e-12	4.3919e-15	9.8979e-14	1.2436e-06	1.0308e-07	2.9265e-06	9.8889e-11	1.5461e-06	1.9576e-16	1.3230e-11	7.9159e-07	1.0620e-09	1.0283e-09	1.7750e-09	6.6043e-10	4.1954e-11	1.1354e-08	8.5838e-08	2.6500e-08	3.1616e-08	2.9405e-06	1.2029e-06	4.2168e-12	8.2372e-17	1.2528e-04	1.1245e-03	2.5269e-06	6.7024e-06	3.7519e-06	2.0090e-07	2.8793e-06	8.1422e-08	7.0641e-07	2.1741e-07	2.9056e-07	7.3151e-08	1.2004e-05	2.1189e-05	3.7325e-10	5.5110e-07	4.9307e-07	6.2819e-16	6.8389e-11	8.1143e-03	4.4885e-05	3.8835e-07	1.1689e-06	1.4301e-07	1.0000e-37	1.7668e-09	1.2940e-08	4.9303e-06	6.2836e-07	9.9797e-09	2.0039e-07	1.4095e-04	1.0415e-05	9.7180e-06	1.6440e-05	6.7222e-06	8.0711e-14	6.6109e-07	2.4767e-08	2.3178e-14	1.5953e-07	4.8361e-09	1.3781e-09	1.2517e-08	4.7128e-09	1.8608e-08	1.7929e-06	1.2847e-06	4.4463e-06	1.8133e-06	6.4595e-06	2.8543e-11	7.0346e-11	3.2204e-18	9.5080e-10	2.6500e-08
iteration 3	3.0534e-07	2.1664e-09	3.8777e-06	1.0000e-37	4.3159e-02	1.6956e-04	1.0000e-37	1.0000e-37	1.0000e-37	1.2224e-06	5.0225e-09	3.9140e-07	2.0513e-11	1.0000e-37	2.5472e-16	1.0000e-37	1.0000e-37	3.8391e-07	1.4097e-11	5.1726e-08	6.5244e-14	4.9067e-07	1.0000e-37	9.3799e-15	4.2290e-09	1.1622e-12	3.0974e-12	5.3821e-12	7.6796e-13	5.9250e-14	2.2253e-10	1.2128e-09	3.6274e-10	6.3496e-10	8.7415e-07	3.9969e-07	6.0280e-15	1.0000e-37	1.6424e-05	1.6279e-04	1.0540e-07	2.8009e-07	1.3972e-07	1.7849e-09	2.1795e-07	2.2557e-08	5.3886e-08	1.2631e-08	1.6862e-08	4.2309e-09	2.1268e-06	3.4576e-06	2.5106e-13	8.0761e-09	7.3392e-09	5.7830e-20	7.5888e-14	8.1143e-03	6.6413e-06	1.2376e-09	3.7253e-09	7.6671e-09	1.0000e-37	3.1160e-11	3.3972e-10	3.7500e-07	3.4471e-08	1.1792e-10	1.0993e-08	2.0410e-05	7.4195e-07	8.2244e-07	1.4691e-06	6.4669e-07	1.0000e-37	2.6973e-08	3.4325e-10	1.6152e-17	6.5090e-09	7.7472e-10	6.9723e-11	6.3330e-10	2.9062e-10	9.9364e-10	4.1689e-08	2.1568e-07	1.0339e-07	2.9193e-07	5.0042e-07	1.8831e-14	4.6413e-14	1.0000e-37	1.0271e-12	3.6274e-10
iteration 3	9.5842e-11	4.9044e-14	2.9028e-06	1.0000e-37	4.3159e-02	7.5644e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0155e-08	9.7548e-12	7.7267e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.3069e-10	1.0000e-37	2.8679e-11	1.4485e-18	1.3541e-09	1.0000e-37	1.0105e-19	1.0694e-12	4.2704e-17	5.6744e-17	1.4898e-16	1.0000e-37	2.7190e-19	5.2340e-14	3.2194e-13	1.3229e-13	2.6994e-13	7.3148e-09	2.4653e-09	4.4341e-20	1.0000e-37	7.8033e-08	9.3098e-07	5.7160e-11	2.5691e-10	5.1720e-11	1.5089e-13	4.3094e-10	3.9874e-11	1.0564e-10	2.2086e-11	2.9411e-11	7.3249e-12	2.6964e-08	4.8308e-08	1.1521e-18	2.7842e-12	2.6287e-12	1.0000e-37	1.0000e-37	8.1143e-03	7.2025e-08	3.6526e-14	1.0994e-13	3.9090e-11	1.0000e-37	4.6212e-14	1.0559e-13	6.9039e-10	1.8082e-10	2.1087e-14	5.7666e-11	2.1167e-07	9.1264e-10	1.6529e-09	3.5696e-09	1.9167e-09	1.0000e-37	1.5068e-11	7.5243e-14	1.0000e-37	3.6362e-12	1.5047e-12	7.0016e-14	6.3596e-13	3.6514e-13	1.0711e-12	2.6582e-11	1.4548e-09	6.5925e-11	2.0841e-09	1.0052e-09	4.1808e-19	1.0305e-18	1.0000e-37	4.2205e-17	1.3229e-13
iteration 3	3.8638e-12	1.2911e-16	1.5522e-06	1.0000e-37	4.3159e-02	4.6001e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.4871e-09	7.6289e-13	1.8797e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2656e-10	1.0000e-37	1.5820e-12	7.9660e-21	3.4113e-10	1.0000e-37	2.6928e-22	7.4593e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6284e-26	2.4960e-19	1.1310e-15	1.0636e-14	1.6807e-15	1.6218e-09	5.4477e-10	3.3784e-28	1.0000e-37	2.8994e-08	5.5068e-07	7.5250e-15	4.2376e-11	4.2878e-15	6.0845e-18	1.0854e-10	2.5918e-14	2.8302e-11	3.1366e-14	4.1954e-14	1.0588e-14	1.0745e-08	1.9601e-08	1.1137e-25	1.6308e-13	1.6156e-13	1.0000e-37	1.0000e-37	8.1143e-03	3.0461e-08	2.5318e-18	7.6209e-18	1.0948e-12	1.0000e-37	2.9950e-18	1.4886e-16	1.9206e-10	1.2922e-12	2.1577e-18	4.1210e-13	9.8409e-08	1.9019e-12	1.3279e-11	3.6258e-11	2.2979e-11	1.0000e-37	3.7160e-14	1.9177e-16	1.0000e-37	8.9671e-15	1.1767e-13	4.4406e-17	4.0334e-16	2.4708e-16	6.9482e-16	2.5635e-13	6.0093e-10	6.3574e-13	8.5641e-10	2.5176e-10	2.2992e-21	5.6668e-21	1.0000e-37	1.0000e-37	1.0636e-14
iteration 3	2.4789e-14	7.9950e-20	1.7643e-07	1.0000e-37	4.3159e-02	8.4349e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.2974e-10	1.0000e-37	9.7708e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1777e-11	1.0000e-37	1.7048e-14	1.0000e-37	1.9584e-11	1.0000e-37	9.8857e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1982e-35	3.5351e-17	5.5444e-16	1.0000e-37	7.6314e-11	2.5600e-11	1.0000e-37	1.0000e-37	1.7013e-09	6.3528e-08	4.2476e-26	1.4644e-12	1.8908e-26	1.0000e-37	4.8012e-12	2.0802e-24	1.3424e-12	1.0801e-23	1.4612e-23	3.8107e-24	6.8229e-10	1.2490e-09	1.0000e-37	1.8589e-15	2.0235e-15	1.0000e-37	1.0000e-37	8.1143e-03	1.9990e-09	1.0000e-37	1.0000e-37	3.1577e-14	1.0000e-37	2.4868e-31	9.0969e-19	9.6303e-12	2.0358e-19	1.4115e-29	6.4925e-20	7.2368e-09	1.0000e-37	4.3801e-18	1.3831e-17	9.4505e-18	1.0000e-37	1.0000e-37	5.3554e-35	1.0000e-37	1.0000e-37	1.0000e-37	3.3128e-27	3.0090e-26	2.2206e-26	5.5609e-26	8.8901e-19	4.1374e-11	2.2048e-18	5.7799e-11	1.1545e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.5444e-16
iteration 3	7.9712e-17	6.3820e-23	1.3944e-08	1.0000e-37	4.3159e-02	8.5269e-08	1.0000e-37	1.0000e-37	1.0000e-37	6.2842e-12	1.0000e-37	4.7328e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7045e-13	1.0000e-37	1.1716e-16	1.0000e-37	1.3629e-12	1.0000e-37	7.9493e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3548e-19	1.9464e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1288e-10	6.3887e-09	6.2435e-40	4.0835e-14	1.0000e-37	1.0000e-37	1.2665e-13	3.8335e-37	3.7212e-14	9.7387e-36	1.3302e-35	3.5632e-36	4.8551e-11	8.8493e-11	1.0000e-37	1.2831e-17	1.5336e-17	1.0000e-37	1.0000e-37	8.1143e-03	1.4157e-10	1.0000e-37	1.0000e-37	9.7623e-16	1.0000e-37	1.0000e-37	7.2192e-21	2.8205e-13	2.2515e-27	1.0000e-37	7.1804e-28	5.0677e-10	1.0000e-37	3.4201e-26	1.1562e-25	8.1420e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.2435e-40	4.9948e-39	4.3705e-39	9.9897e-39	1.0000e-37	3.2213e-12	1.0000e-37	4.3163e-12	3.1974e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9464e-17
iteration 3	2.8821e-19	5.5296e-26	1.4634e-09	1.0000e-37	4.3159e-02	9.2561e-09	1.0000e-37	1.0000e-37	1.0000e-37	3.5510e-13	1.0000e-37	2.6744e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.2234e-14	1.0000e-37	8.7271e-19	1.0000e-37	1.4051e-13	1.0000e-37	6.8484e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3886e-20	1.0944e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1292e-11	6.1821e-10	3.2183e-40	1.5237e-15	1.2873e-40	1.0000e-37	3.5732e-15	8.7978e-37	1.1191e-15	2.2747e-35	3.0622e-35	7.8746e-36	5.0251e-12	9.1377e-12	1.0000e-37	8.7278e-20	1.0797e-19	1.0000e-37	1.0000e-37	8.1143e-03	1.4523e-11	1.0000e-37	1.0000e-37	3.9057e-17	1.0000e-37	1.0000e-37	6.1999e-23	9.3697e-15	9.4671e-27	1.0000e-37	3.0192e-27	5.1261e-11	1.0000e-37	8.8613e-27	3.0291e-26	2.1430e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2745e-39	1.1599e-38	1.0575e-38	2.3449e-38	1.0000e-37	3.6689e-13	1.0000e-37	4.6459e-13	9.7649e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0944e-18
iteration 3	4.9152e-17	3.6835e-24	1.6365e-06	1.0000e-37	4.3159e-02	4.5099e-06	1.0000e-37	1.0000e-37	1.0000e-37	6.9755e-10	1.0000e-37	5.2649e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.3458e-11	1.0000e-37	2.9331e-16	1.0000e-37	7.2420e-10	1.0000e-37	4.6375e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2822e-17	2.2088e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9795e-08	3.4802e-06	1.0000e-37	2.4301e-12	1.0000e-37	1.0000e-37	7.0705e-12	1.0000e-37	2.5584e-12	1.0000e-37	1.0000e-37	1.0000e-37	2.5598e-08	4.2897e-08	1.0000e-37	2.4841e-17	1.0000e-37	1.0000e-37	1.0000e-37	8.1143e-03	6.0405e-08	1.0000e-37	1.0000e-37	6.3045e-14	1.0000e-37	1.0000e-37	4.0205e-20	2.5374e-11	4.6045e-29	1.0000e-37	1.4685e-29	1.6486e-07	1.0000e-37	3.6412e-30	1.2794e-29	9.1532e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1667e-09	1.0000e-37	2.6239e-09	2.2938e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2088e-15
iteration 3	7.2737e-19	4.6258e-26	1.5348e-06	1.0000e-37	4.3159e-02	4.1352e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.5086e-10	1.0000e-37	1.1368e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3702e-11	1.0000e-37	1.1819e-17	1.0000e-37	7.2302e-10	1.0000e-37	5.8858e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5047e-18	4.8418e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.4140e-08	2.6550e-06	1.0000e-37	5.9573e-13	1.0000e-37	1.0000e-37	3.9218e-12	1.0000e-37	1.6426e-12	1.0000e-37	1.0000e-37	1.0000e-37	2.4303e-08	4.0020e-08	1.0000e-37	6.6182e-19	1.0000e-37	1.0000e-37	1.0000e-37	8.1143e-03	5.4374e-08	1.0000e-37	1.0000e-37	7.2001e-14	1.0000e-37	1.0000e-37	4.5412e-21	1.8612e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.4605e-07	1.0000e-37	3.7169e-35	1.3270e-34	9.5533e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1502e-09	1.0000e-37	2.6165e-09	1.5114e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8418e-16
