#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	4.5151e-03	3.4244e-05	5.2412e-01	1.0000e-37	9.9804e+07	2.7640e+00	1.7266e+04	3.3875e+04	1.6610e+04	1.0000e-37	1.0000e-37	1.0000e-37	7.9549e+00	3.9865e+00	5.7632e-09	5.8813e-07	2.3151e-02	1.0000e-37	9.6850e+03	2.4644e+00	8.3189e-08	2.7655e-11	5.7911e-06	5.5554e-11	1.5865e-02	1.0000e-37	2.0863e-13	1.1256e-09	3.6393e-09	1.1366e-13	1.0000e-37	1.1231e-20	2.4462e-23	1.0000e-37	1.1986e-08	4.0076e-09	1.8521e-11	1.1077e-01	2.2531e-02	4.8349e-02	3.8117e-23	1.7825e-22	1.4013e-22	7.8207e-10	4.4114e-11	1.0000e-37	2.5384e-12	1.0000e-37	1.0000e-37	1.0000e-37	2.5386e-03	4.4264e-03	1.0365e-08	9.3536e-03	4.5089e-03	2.3673e-05	5.9146e-13	1.0906e+07	8.1827e-03	2.6740e-12	8.0488e-12	3.7386e-43	1.0000e-37	1.0000e-37	6.9068e-20	1.2946e-11	1.0000e-37	2.1154e-24	1.0000e-37	2.1838e-02	8.8396e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0591e-07	1.7566e-21	1.0000e-37	6.8472e-15	4.2390e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.0661e-24	1.4524e-04	1.5044e-23	2.0387e-04	1.6412e-10	2.4010e-08	5.9179e-08	7.2355e+03	1.0000e-37	2.4462e-23
iteration 3	4.2967e-01	8.4037e-02	5.4833e+00	1.0000e-37	9.9804e+07	2.8912e+01	6.8332e+04	1.2384e+05	5.5510e+04	5.1756e-15	1.0000e-37	3.9818e-16	8.2603e+01	4.0477e+01	5.9244e-06	1.2853e-03	5.8573e+00	5.0748e-16	1.3192e+04	2.3373e+01	8.6511e-06	2.6570e-09	1.5537e-03	1.3643e-07	1.6623e-01	4.7732e-10	1.7717e-10	1.0745e-07	3.9647e-07	1.0714e-10	6.2154e-20	9.2961e-18	2.0359e-20	1.0000e-37	1.7356e-06	5.8032e-07	2.0053e-07	4.8824e-01	2.3582e-01	5.2909e-01	6.0638e-19	1.5029e-18	8.9650e-19	9.4256e-06	4.8153e-09	1.9110e-24	2.8088e-10	1.0000e-37	1.0000e-37	1.0000e-37	2.6703e-02	4.6567e-02	1.1693e-06	1.0808e-01	4.8244e-02	2.4115e-02	4.6652e-09	1.0906e+07	8.6157e-02	2.6896e-09	8.0957e-09	6.9902e-37	1.0000e-37	1.0000e-37	1.7814e-15	1.4332e-09	1.0000e-37	1.9144e-19	1.0000e-37	2.3002e-01	1.8651e-20	1.0000e-37	1.0000e-37	1.0000e-37	8.7174e-05	1.4164e-16	7.9561e-20	5.2031e-11	3.4180e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7623e-19	1.5419e-03	1.4290e-18	2.1648e-03	1.7914e-08	2.4969e-06	6.1542e-06	7.0119e+03	4.7732e-10	2.0359e-20
iteration 3	4.5286e+01	1.1512e+02	6.7432e+01	1.0000e-37	9.9804e+07	3.5363e+02	6.9608e+04	1.2561e+05	5.5997e+04	2.0205e-12	2.3666e-26	1.5545e-13	9.2343e+02	4.7385e+03	2.9295e-02	7.6460e-01	7.1343e+02	1.9812e-13	1.6966e+04	5.8480e+01	1.4651e-02	2.1368e-07	1.8984e-02	1.8987e-04	2.0738e+00	3.3915e-08	9.7513e-08	1.1534e-05	7.6823e-05	1.0487e-06	6.6708e-15	6.1240e-15	7.9521e-18	9.3622e-13	8.7414e-02	2.9229e-02	2.4578e-05	3.4532e-01	2.8857e+00	7.9488e+00	7.5723e-14	3.6969e-08	1.0419e-13	1.8855e-03	7.4296e-07	8.6897e-18	4.5819e-08	8.5666e-23	1.1403e-22	2.8361e-23	3.3638e-01	5.8703e-01	2.2964e-03	9.6231e-01	6.5322e-01	1.8698e-01	2.7095e-05	1.0906e+07	1.0903e+00	3.7482e-05	1.1282e-04	2.4858e-27	1.0000e-37	1.0913e-26	3.0589e-11	2.3446e-07	1.5384e-28	5.8264e-14	4.9061e-29	2.9177e+00	1.4489e-15	4.0844e-22	7.2879e-22	3.2035e-22	5.2764e-02	1.0010e-11	5.3038e-09	2.4679e-07	2.4155e-12	2.0630e-27	1.5653e-20	1.4217e-19	7.5405e-20	2.3323e-19	2.2718e-13	2.0240e-02	5.6340e-13	2.8433e-02	2.7700e-06	4.2285e-03	1.0422e-02	6.0760e+03	3.3913e-08	7.9521e-18
iteration 3	3.8335e+03	3.1598e+03	8.4511e+02	1.0000e-37	9.9804e+07	4.0147e+03	2.1716e+04	4.0024e+04	1.8307e+04	6.7875e-10	2.0784e-22	5.2219e-11	4.3298e+03	1.1471e+04	4.6893e+00	8.4402e+00	2.2782e+03	6.6553e-11	5.1865e+04	1.4092e+02	1.0839e+00	1.2473e-05	1.9933e-02	1.0485e-02	2.7333e+01	2.0966e-06	6.7633e-05	2.6035e-03	3.2404e-02	2.8423e-04	3.5064e-11	1.2035e-11	2.6761e-15	5.5218e-11	9.7337e+00	3.2586e+00	2.1830e-03	8.6016e-02	3.6857e+01	1.3458e+02	3.7960e-10	2.7890e-05	3.2397e-10	3.5446e-01	1.3702e-04	3.6250e-13	8.8693e-06	1.0824e-17	1.4389e-17	3.5655e-18	4.4561e+00	7.7887e+00	1.5052e-01	1.0577e+01	9.5148e+00	4.3771e-01	2.3149e-02	1.0906e+07	1.4566e+01	1.8037e-02	5.4291e-02	9.0348e-24	1.0000e-37	2.9166e-22	2.0572e-08	4.6067e-05	6.0164e-24	4.9452e-10	1.9187e-24	3.9380e+01	4.8417e-12	3.0909e-17	6.9415e-17	3.8506e-17	3.6032e+00	1.0716e-07	4.7103e-06	1.4763e-04	2.5859e-08	1.9196e-23	6.5174e-16	5.9197e-15	3.1574e-15	9.7289e-15	2.9276e-09	2.8248e-01	7.2604e-09	3.9685e-01	5.1492e-04	3.1285e-01	7.7110e-01	2.7255e+03	2.0961e-06	2.6761e-15
iteration 3	1.0635e+04	5.3724e+03	7.3116e+03	1.0000e-37	9.9804e+07	1.8289e+04	9.2505e+03	1.8576e+04	9.3255e+03	4.5601e-07	8.0347e-16	3.5083e-08	6.6501e+03	8.4926e+03	6.5899e+01	7.7061e+00	2.1783e+03	4.4713e-08	2.3633e+05	6.6905e+03	2.6185e+03	6.5448e-04	1.8486e-02	1.3805e-01	3.3913e+02	1.8353e-04	1.2798e-02	5.5290e-01	9.1219e+00	1.2605e+00	5.2709e-06	2.8124e-08	1.8014e-12	2.9326e-09	1.4049e+02	4.8043e+01	1.6782e-01	2.4212e-02	4.5489e+02	2.0712e+03	2.9576e-05	6.5605e-01	1.3188e-05	1.1213e+02	3.1639e+01	6.4638e-10	2.1879e+00	8.9460e-14	1.1908e-13	2.9620e-14	5.9391e+01	1.0599e+02	6.3923e+00	6.4765e+01	3.1549e+01	2.4828e-01	1.0930e+01	1.0906e+07	2.0407e+02	2.7738e+02	8.3492e+02	1.6776e-20	1.0000e-37	2.2442e-16	3.3266e-06	1.1814e+01	1.1839e-17	2.0020e-07	3.7756e-18	5.5091e+02	3.5459e-09	5.6242e-14	1.7369e-13	1.1744e-13	5.8051e+00	5.3660e-04	2.3834e-01	3.2440e-02	1.2949e-04	1.2315e-16	1.1580e-12	1.0518e-11	5.6691e-12	1.7346e-11	2.3463e-06	3.9548e+00	5.8188e-06	5.4891e+00	1.0238e+02	9.8152e+02	1.6370e+03	3.9516e+02	1.8348e-04	1.8014e-12
iteration 3	2.8338e+04	7.2477e+03	1.3437e+04	1.0000e-37	9.9804e+07	7.7147e+04	5.8080e+03	1.1979e+04	6.1713e+03	4.1458e-04	5.0922e-13	3.1895e-05	1.0384e+04	6.3074e+03	6.4596e+02	2.1857e+01	2.1676e+03	4.0651e-05	2.4819e+05	7.2423e+03	3.2317e+03	5.7608e-02	1.2078e-02	1.5441e+00	1.9573e+03	1.8124e-02	4.7016e-01	7.7443e+00	1.0122e+02	2.1874e+01	1.0129e-03	5.0455e-06	1.6757e-09	2.8178e-07	9.2209e+02	3.7246e+02	1.5164e+00	1.1727e-02	4.6147e+03	2.1064e+04	6.8975e-04	1.5274e+00	2.6547e-04	1.1968e+03	3.5738e+02	7.0380e-07	2.9000e+01	7.3195e-10	9.6392e-10	2.3197e-10	6.7709e+02	1.1846e+03	9.9207e+01	6.9936e+01	3.2074e+01	3.3038e-01	1.3787e+02	1.0906e+07	2.1134e+03	3.5212e+03	1.0599e+04	1.7412e-17	1.0000e-37	3.1514e-13	3.5859e-04	1.5745e+02	1.6277e-14	1.6186e-04	5.1909e-15	5.1873e+03	1.6171e-06	5.5220e-11	1.8212e-10	1.2690e-10	2.8704e+00	5.8803e-02	3.3656e+00	6.6131e-01	1.4190e-02	7.7436e-14	1.2603e-09	1.1448e-08	6.1799e-09	1.8888e-08	1.6405e-03	4.6155e+01	4.0685e-03	6.0618e+01	6.0009e+02	1.2500e+03	1.9817e+03	2.6183e+01	1.8113e-02	1.6757e-09
iteration 4	1.1866e+05	1.5306e+04	1.4876e+04	1.0000e-37	9.9804e+07	5.1006e+05	3.2312e+03	6.1871e+03	2.9558e+03	4.0984e-01	1.0604e-10	3.1534e-02	2.6373e+04	2.0843e+03	5.0086e+03	8.4290e+01	3.0699e+03	4.0189e-02	2.6516e+05	6.4313e+03	5.4880e+03	5.6803e+00	3.1264e-03	4.7787e+01	3.8298e+03	2.0060e+00	2.2095e+01	5.8436e+02	9.1831e+02	7.3785e+02	1.7595e-01	6.0900e-03	2.2710e-06	6.3555e-05	1.9658e+03	9.2170e+02	3.0629e+01	6.5933e-04	4.3868e+04	1.8674e+05	1.2437e-02	2.2120e+00	4.7059e-03	1.4013e+04	1.4694e+03	3.0315e-03	2.9130e+02	6.7464e-06	8.4694e-06	1.7230e-06	4.8341e+03	7.8892e+03	3.1384e+03	6.3771e+01	3.1247e+01	1.6451e-01	6.4173e+02	1.0906e+07	1.4921e+04	2.6467e+04	7.9667e+04	2.9891e-14	1.0000e-37	5.7641e-10	5.6447e-02	1.6181e+03	2.4243e-11	3.1565e-01	7.7316e-12	4.0201e+04	5.0236e-04	6.8977e-08	2.2776e-07	1.5878e-07	5.6934e-01	5.2519e+00	3.8092e+01	1.7333e+01	1.2674e+00	1.2941e-11	5.5769e-06	5.0646e-05	2.6828e-05	8.3050e-05	8.1159e-01	4.7977e+02	2.0127e+00	6.0976e+02	3.5216e+03	2.1752e+03	3.3128e+03	5.9717e-01	2.0034e+00	2.2710e-06
iteration 4	6.8376e+05	7.5747e+04	2.1414e+04	1.0000e-37	9.9804e+07	3.9445e+06	2.4662e+02	3.9117e+02	1.4455e+02	5.2166e+02	2.8186e-07	4.4805e+01	9.8915e+04	3.1914e+02	1.4329e+04	6.6031e+01	6.6477e+03	5.6689e+01	2.0609e+05	3.2334e+03	6.1146e+04	5.8321e+02	6.9892e-04	2.4166e+04	5.7493e+03	4.9718e+02	2.3112e+03	4.1860e+05	1.2674e+03	1.6108e+04	1.6884e+01	3.7323e+01	2.2391e-02	9.3801e-02	3.1034e+03	1.4567e+03	1.2536e+03	5.0217e-10	3.9738e+05	1.4865e+06	2.1596e-01	2.6288e+00	8.1814e-02	1.1578e+05	2.8719e+03	9.3945e+00	2.6353e+03	8.8248e-03	1.0686e-02	1.8615e-03	3.2270e+04	5.3475e+04	6.8261e+04	4.4177e+01	2.8359e+01	4.0792e-02	1.2561e+03	1.0906e+07	1.0771e+05	6.2767e+04	1.8893e+05	1.9058e-10	1.0000e-37	1.1703e-06	1.2589e+01	1.5271e+04	3.8213e-08	1.4227e+02	1.2187e-08	3.1899e+05	2.5571e-01	3.1275e-05	1.0242e-04	7.1140e-05	7.0267e-02	2.5907e+02	1.8792e+02	2.0165e+02	6.2517e+01	2.5576e-08	5.2779e-02	4.3882e-01	1.7127e-01	6.6287e-01	5.7281e+01	3.6677e+03	1.4206e+02	4.7049e+03	3.3093e+04	2.4554e+04	3.6592e+04	9.0506e-03	4.9620e+02	2.2391e-02
iteration 3	6.5139e+05	7.0094e+04	4.9981e+04	1.0000e-37	9.9804e+07	1.5954e+07	9.1970e+00	1.4478e+01	5.2810e+00	3.5092e+05	2.1904e+05	6.3348e+04	5.7579e+05	1.3464e+02	5.2901e+04	1.1533e+01	9.6344e+03	7.3242e+04	2.1118e+05	1.5559e+03	4.8381e+05	9.6187e+04	1.0000e-37	2.2221e+05	2.0003e+04	2.6428e+05	2.4697e+03	3.4455e+06	1.0000e-37	3.4189e+04	1.2011e+04	2.9459e+05	8.3673e+04	4.8974e+04	9.6775e+05	3.3438e+05	8.0673e+03	1.5487e-11	2.4495e+06	9.7487e+06	1.8098e+02	2.5081e+02	6.8818e+01	1.1879e+05	4.6206e+03	1.5018e+02	8.4943e+03	1.0295e+04	1.2392e+04	2.0969e+03	9.2528e+04	1.5798e+05	1.4487e+05	3.1855e+01	2.5851e+01	1.2068e-02	6.0449e+02	1.0906e+07	4.3283e+05	3.5882e+04	1.0800e+05	8.6086e-04	1.0000e-37	3.8324e+03	7.0655e+03	6.3379e+04	6.9611e+02	2.7482e+03	2.2202e+02	2.7670e+06	1.5229e+03	4.8170e+01	1.5745e+02	1.0928e+02	7.2723e-03	2.5827e+03	1.4901e+04	2.1537e+02	6.2324e+02	3.4157e+04	2.1127e+00	1.6852e+01	6.0743e+00	2.5039e+01	4.5627e+02	2.6731e+04	1.1316e+03	3.5868e+04	2.4143e+05	1.7722e+05	3.0658e+05	4.0156e-04	2.6417e+05	8.3673e+04
iteration 3	2.6962e+05	2.9635e+04	5.1578e+04	1.0000e-37	9.9804e+07	1.6292e+07	9.1578e-06	1.4411e-05	5.2532e-06	3.8717e+05	1.4269e+06	8.1859e+04	2.3693e+05	7.4248e+01	1.9023e+04	8.2792e-01	5.4739e+03	1.0820e+05	1.4303e+05	9.3609e+02	3.7415e+05	1.4166e+05	1.0000e-37	1.6776e+05	7.4817e+04	1.0275e+06	3.4846e+02	2.3770e+06	1.0000e-37	3.5830e+03	8.3391e+03	1.6023e+06	5.2934e+05	3.3575e+05	6.0190e+06	2.2538e+06	1.3060e+03	4.6868e-14	6.4333e+06	3.1579e+07	1.2748e+02	1.7607e+02	4.8497e+01	1.1115e+04	9.9833e+03	1.3826e+03	9.3114e+03	1.3164e+04	1.5831e+04	2.6670e+03	1.9974e+05	4.0285e+05	1.5182e+04	2.3844e+01	2.4768e+01	1.4462e-03	2.0428e+01	1.0906e+07	1.3818e+06	3.2601e+03	9.8129e+03	1.6194e-01	1.0000e-37	2.3241e+04	8.8258e+03	8.0862e+04	1.1360e+04	1.1798e+03	3.6238e+03	6.3721e+06	2.0102e+03	6.8060e+01	2.2246e+02	1.5440e+02	3.3584e-04	7.8770e+02	1.0262e+04	7.8538e+00	1.9008e+02	2.6418e+05	2.0720e+01	1.6085e+02	6.0580e+01	2.4215e+02	1.9071e+02	9.5735e+04	4.7296e+02	1.2630e+05	6.0548e+05	1.1431e+05	2.5984e+05	6.1505e-09	1.0274e+06	5.2934e+05
