#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	5.3045e-04	3.1250e-05	6.6735e-03	1.0000e-37	7.7722e+06	2.1355e-02	5.6659e+02	1.3952e+03	6.9929e+02	5.7006e-09	1.5914e-11	1.0023e-08	6.1492e-01	1.3888e-01	1.1864e-06	7.2509e-07	1.0050e-02	1.4864e-08	4.9945e+02	6.1755e-02	4.2865e-05	1.1832e-08	9.2087e-07	1.4861e-06	1.8214e-03	1.1402e-06	5.5068e-06	9.1041e-06	6.8797e-06	6.5574e-07	5.4923e-09	2.2220e-07	3.5210e-08	2.7287e-08	5.3595e-06	6.3140e-07	2.7854e-08	9.8932e-04	1.0000e-37	2.7396e-03	2.8326e-07	4.0745e-06	4.2535e-07	5.7459e-05	1.6445e-05	1.5353e-07	2.9287e-06	7.7151e-09	1.0299e-08	2.5853e-09	6.8808e-05	1.2798e-04	1.4371e-04	2.4342e-04	1.1308e-04	1.6374e-06	5.1225e-06	6.6338e+05	2.8775e-04	3.7243e-04	1.1292e-03	3.1856e-12	1.0000e-37	1.1836e-12	4.8861e-08	2.4400e-05	1.0411e-10	1.9943e-07	3.3243e-11	1.1478e-03	1.1333e-07	1.2226e-07	2.0688e-07	8.4611e-08	2.5857e-07	2.0210e-06	8.1872e-07	1.5247e-08	5.0501e-07	2.6517e-12	6.1101e-10	5.5581e-09	1.9807e-09	2.4341e-08	5.1011e-06	1.6445e-05	1.2894e-05	2.4859e-05	4.3005e-03	9.9251e-07	2.2125e-06	4.9984e+01	1.3674e-07	3.5210e-08
iteration 3	4.6730e-02	8.3286e-03	8.2268e-02	1.0000e-37	7.7722e+06	2.5873e-01	5.8262e+02	1.3159e+03	6.4964e+02	2.0557e-06	4.9395e-08	4.9122e-07	5.5085e+00	1.5109e+00	4.9687e-04	1.1846e-04	2.4614e-01	2.1014e-06	7.6178e+02	5.2756e-01	1.4901e-02	1.7406e-06	2.8697e-05	6.5284e-04	1.6871e-02	9.4533e-04	1.4450e-03	2.3892e-03	2.8951e-05	5.8618e-05	9.7823e-06	1.8972e-04	1.4944e-04	6.7284e-05	6.8269e-04	6.0674e-05	4.7517e-06	3.8123e-03	1.0000e-37	3.0696e-02	2.6182e-04	6.7921e-04	3.8910e-04	1.8952e-03	1.5185e-04	1.6234e-05	2.0280e-05	1.3416e-05	1.7898e-05	4.4837e-06	6.5413e-04	1.2090e-03	1.1625e-02	2.7787e-03	1.3478e-03	5.0434e-05	1.1700e-04	6.6338e+05	2.6506e-03	9.5640e-03	2.9020e-02	1.8291e-06	1.0000e-37	3.8055e-07	8.7780e-06	1.6004e-04	2.0845e-05	3.0128e-05	6.6497e-06	1.0139e-02	1.9437e-04	1.3172e-04	2.2487e-04	9.3157e-05	5.7848e-05	1.2775e-04	2.0033e-05	8.0553e-07	3.1638e-05	6.3134e-09	8.1305e-07	7.3894e-06	3.6036e-06	2.7842e-05	3.1256e-04	1.3546e-04	7.8730e-04	2.0319e-04	7.9832e-02	2.3507e-04	5.2482e-04	4.8703e+01	1.1704e-04	1.4944e-04
iteration 3	5.7024e+00	1.5092e+00	1.0693e+00	1.0000e-37	7.7722e+06	3.2368e+00	4.8814e+02	1.1145e+03	5.4190e+02	2.3053e-05	6.2143e-07	5.6911e-06	4.6120e+01	2.0557e+01	1.8372e-02	1.2691e-03	3.6879e+00	2.3984e-05	7.5320e+02	1.7121e+00	2.0454e-01	2.1343e-05	2.6810e-04	1.0530e-02	2.0441e-01	1.2595e-02	2.0843e-02	3.4498e-02	2.5568e-04	6.7769e-04	1.2285e-04	2.2928e-03	1.6275e-03	7.7241e-04	1.9570e-02	8.0292e-04	5.7200e-05	1.9661e-03	1.0000e-37	4.0300e-01	2.9788e-03	7.3378e-03	4.0826e-03	2.0730e-02	1.0799e-03	1.9080e-04	2.0348e-04	1.5528e-04	2.0695e-04	5.1688e-05	8.2273e-03	1.5391e-02	1.3452e-01	2.7941e-02	1.9789e-02	1.2886e-04	1.2480e-03	6.6338e+05	3.4054e-02	1.0228e-01	3.1033e-01	1.8590e-05	1.0000e-37	4.2202e-06	9.8290e-05	1.6486e-03	2.1967e-04	3.5723e-04	7.0062e-05	1.3452e-01	2.0287e-03	1.3103e-03	2.3234e-03	1.0130e-03	3.0506e-03	1.4509e-03	2.3369e-04	9.0961e-06	3.5972e-04	7.6588e-08	1.0257e-05	9.3224e-05	4.6016e-05	3.6489e-04	3.5362e-03	1.6132e-03	8.9173e-03	2.4149e-03	1.2777e+00	2.9665e-03	6.5714e-03	4.0570e+01	1.5570e-03	1.6275e-03
iteration 3	1.5988e+02	4.7769e+01	1.1068e+01	1.0000e-37	7.7722e+06	2.8713e+01	3.9085e+02	9.0766e+02	4.6502e+02	2.1591e-04	6.5076e-06	5.4983e-05	1.7211e+02	5.5730e+01	2.8963e-01	1.3174e-02	1.0320e+01	2.3990e-04	9.3841e+02	4.3533e+00	2.7442e+00	2.1338e-04	6.4934e-04	1.2585e-01	1.9288e+00	1.3154e-01	2.2646e-01	3.7869e-01	5.8109e-03	6.3149e-03	1.9432e-03	2.3446e-02	1.5949e-02	7.4082e-03	4.2852e-01	2.0186e-02	5.6088e-04	7.1647e-04	1.0000e-37	4.4413e+00	3.2733e-02	6.3557e-02	2.8299e-02	2.2740e-01	4.7677e-03	2.0045e-03	2.2469e-03	2.0384e-03	2.7102e-03	6.7212e-04	9.8196e-02	1.8578e-01	1.0421e+00	2.3867e-01	2.0846e-01	4.9285e-04	1.5064e-02	6.6338e+05	4.0549e-01	1.0239e+00	3.1096e+00	1.1734e-04	1.0000e-37	4.3083e-05	1.0502e-03	2.0652e-02	2.2038e-03	3.6995e-03	7.0292e-04	1.5539e+00	1.9861e-02	8.4085e-03	1.8618e-02	1.0210e-02	4.2217e-02	1.5610e-02	3.4484e-03	1.0596e-04	3.8787e-03	8.0483e-07	1.0880e-04	9.8806e-04	4.8975e-04	4.1072e-03	3.7639e-02	1.6779e-02	9.5065e-02	2.5131e-02	9.4022e+00	3.2852e-02	7.4153e-02	1.3458e+01	1.6547e-02	1.5949e-02
iteration 3	4.0580e+02	1.9942e+02	8.2364e+01	1.0000e-37	7.7722e+06	1.2026e+02	3.1199e+02	7.4817e+02	3.5920e+02	2.2427e-03	7.0222e-05	5.6483e-04	3.3711e+02	3.6194e+01	2.8419e+00	1.5339e-01	1.4221e+01	2.5963e-03	1.2728e+03	2.5525e+01	2.1261e+01	2.5463e-03	5.8815e-04	1.4515e+00	1.5743e+01	1.3974e+00	2.0865e+00	3.8437e+00	1.1426e-01	6.7441e-02	4.2688e-02	2.3760e-01	1.5926e-01	7.0375e-02	5.4660e+00	4.2209e-01	7.3047e-03	6.0960e-04	1.0000e-37	4.2492e+01	1.9923e-01	3.0965e-01	9.1157e-02	3.2857e+00	2.6572e-01	2.1411e-02	3.9350e-02	3.1964e-02	4.2545e-02	1.0585e-02	1.0452e+00	1.9567e+00	7.1581e+00	1.1303e+00	1.0200e+00	4.8648e-03	3.2498e-01	6.6338e+05	4.2185e+00	1.3059e+01	3.9707e+01	2.0708e-04	1.0000e-37	4.5338e-04	1.3497e-02	3.9335e-01	2.2164e-02	3.8455e-02	7.0710e-03	1.6250e+01	1.7744e-01	2.3194e-02	7.0213e-02	4.7018e-02	1.2480e-01	1.6912e-01	7.3599e-02	1.8140e-03	4.2213e-02	8.7473e-06	9.4396e-04	8.4943e-03	4.1257e-03	3.9010e-02	3.9368e-01	1.7694e-01	9.9748e-01	2.6246e-01	3.5371e+01	7.6302e-01	1.7135e+00	1.3887e+00	2.0735e-01	1.5926e-01
iteration 3	5.4859e+02	3.6259e+02	3.4914e+02	1.0000e-37	7.7722e+06	3.6355e+02	1.6349e+02	4.3744e+02	1.5303e+02	3.4547e-02	8.0796e-04	7.5405e-03	4.6243e+02	8.9041e+00	2.3284e+01	4.1974e-01	2.3639e+01	3.3631e-02	1.4079e+03	5.8251e+01	7.8000e+01	4.7717e-02	2.1709e-04	1.7130e+01	7.9810e+01	1.6678e+01	1.0997e+01	3.8898e+01	1.2609e+00	9.9403e-01	6.5289e-01	2.5077e+00	1.6353e+00	6.8765e-01	3.9750e+01	5.2747e+00	6.9587e-02	6.0586e-05	1.0000e-37	4.3063e+02	3.7566e-01	5.6532e-01	1.4468e-01	3.4542e+01	4.7754e+00	2.2595e-01	5.9112e-01	3.6096e-01	4.7647e-01	1.1554e-01	1.1255e+01	2.0833e+01	6.0921e+01	2.0058e+00	1.8159e+00	6.2893e-03	3.5400e+00	6.6338e+05	4.3989e+01	1.4997e+02	4.5543e+02	1.1479e-04	1.0000e-37	5.3538e-03	2.4628e-01	5.5550e+00	2.1634e-01	4.8606e-01	6.9024e-02	1.6064e+02	9.3460e-01	3.0677e-02	1.0103e-01	7.0350e-02	4.4688e-02	1.9806e+00	1.0967e+00	2.9642e-02	4.9831e-01	9.9739e-05	5.9636e-03	5.0485e-02	2.3186e-02	2.6960e-01	3.8809e+00	1.9859e+00	9.8880e+00	2.7796e+00	1.1147e+02	4.0960e+00	9.2318e+00	5.1257e-02	4.0618e+00	1.6353e+00
iteration 3	9.8769e+02	4.6139e+02	6.4252e+02	1.0000e-37	7.7722e+06	1.9306e+03	1.1051e+01	3.0869e+01	7.1490e+00	1.4873e+00	9.1802e-03	2.0557e-01	6.0941e+02	3.8140e+00	1.1502e+02	1.1843e+00	9.9350e+01	6.1746e-01	1.6121e+03	6.3443e+01	7.2626e+02	1.6987e+00	5.0118e-05	2.7012e+02	2.0502e+02	3.3257e+02	2.8085e+01	5.6489e+02	9.5719e+00	2.4175e+01	7.5815e+00	3.2341e+01	1.8255e+01	8.8758e+00	2.0631e+02	3.5547e+01	1.1629e+00	5.2579e-10	1.0000e-37	3.8198e+03	4.8054e-01	7.1291e-01	1.8144e-01	3.8717e+02	2.7667e+01	2.8035e+00	5.9546e+00	2.5564e+00	3.2290e+00	6.7277e-01	9.5948e+01	1.7066e+02	9.9918e+02	2.1646e+00	2.0151e+00	1.8845e-03	1.5104e+01	6.6338e+05	3.6234e+02	8.7754e+02	2.6642e+03	4.6385e-05	1.0000e-37	7.8015e-02	3.5058e+00	5.6594e+01	1.3371e+00	9.4459e+00	4.2669e-01	1.3034e+03	1.7176e+00	3.0791e-02	1.0184e-01	7.1046e-02	8.0815e-03	2.5203e+01	1.2571e+01	6.8907e-01	6.4473e+00	1.1582e-03	2.9456e-02	2.1187e-01	8.6585e-02	1.3444e+00	2.3333e+01	1.8868e+01	6.0000e+01	2.5963e+01	5.5690e+02	3.8917e+01	8.7648e+01	7.0046e-04	9.4953e+01	1.8255e+01
iteration 3	2.2239e+03	5.5813e+02	8.8883e+02	1.0000e-37	7.7722e+06	9.4021e+03	4.5077e-01	1.2354e+00	2.8530e-01	1.0395e+02	1.0247e-01	2.1671e+01	1.8386e+03	5.8944e+00	6.1027e+02	1.4549e+00	4.5062e+02	3.0752e+01	3.4505e+03	5.6758e+01	7.2088e+03	5.5926e+01	1.8778e-05	3.1680e+03	4.9063e+02	7.3438e+03	5.8168e+01	1.0516e+04	3.1953e+01	3.5173e+02	5.1022e+01	4.5564e+02	1.9184e+02	1.3604e+02	1.5979e+03	2.2476e+02	2.9199e+01	5.2146e-12	1.0000e-37	3.2901e+04	6.6819e-01	9.7096e-01	2.5307e-01	2.5997e+03	1.0012e+02	3.3652e+01	5.3902e+01	6.0153e+00	7.2996e+00	1.2851e+00	7.2318e+02	1.2497e+03	8.1491e+03	2.0338e+00	1.9832e+00	1.6655e-03	2.0539e+01	6.6338e+05	2.7669e+03	1.6354e+03	4.9602e+03	2.2844e-05	1.0000e-37	8.3136e-01	2.6070e+01	5.3602e+02	2.4998e+00	1.3567e+02	7.9853e-01	9.8593e+03	2.1791e+00	2.8615e-02	9.3772e-02	6.5157e-02	2.5874e-03	1.8985e+02	8.7846e+01	4.7872e+00	4.8755e+01	1.5019e-02	2.1341e-01	1.4124e+00	5.3692e-01	6.5548e+00	6.6936e+01	1.3844e+02	1.7200e+02	1.9066e+02	3.8658e+03	5.4141e+02	1.2218e+03	3.6994e-05	2.2411e+03	1.9184e+02
iteration 3	3.4877e+03	6.5911e+02	1.3288e+03	1.0000e-37	7.7722e+06	4.1050e+04	1.1134e-03	2.4081e-03	6.7727e-04	4.5400e+02	5.0730e+00	2.0713e+02	4.5678e+03	4.8615e+00	8.9426e+02	1.8828e-01	4.0837e+02	2.1189e+02	4.2138e+03	4.8239e+01	2.0639e+04	2.6792e+02	1.0000e-37	9.9639e+03	2.2409e+03	5.9701e+04	3.1106e+01	4.9068e+04	1.9548e-05	5.0809e+02	7.2022e+01	5.2490e+03	1.5345e+03	2.0109e+03	1.0720e+04	1.2966e+03	1.0689e+02	3.0820e-14	1.0000e-37	1.0734e+05	5.9243e-01	8.3935e-01	2.2505e-01	2.0340e+03	3.4462e+02	1.6034e+02	2.3820e+02	1.1559e+01	1.4070e+01	2.5211e+00	3.4492e+03	6.0201e+03	7.0451e+03	1.8302e+00	1.9046e+00	6.6407e-04	4.6758e+00	6.6338e+05	1.3413e+04	7.3223e+02	2.2158e+03	1.6693e-03	1.0000e-37	2.0046e+00	6.9761e+01	2.2738e+03	1.3586e+01	2.6376e+02	4.3832e+00	5.5334e+04	6.1331e+00	3.2693e-01	1.0721e+00	7.4512e-01	2.2220e-04	2.1309e+02	1.4997e+02	1.8418e+00	5.3779e+01	3.9358e+00	1.2967e+00	8.6446e+00	3.4673e+00	3.1753e+01	6.3408e+01	5.1581e+02	1.6115e+02	6.8300e+02	2.3869e+04	1.8595e+03	4.3733e+03	7.0525e-10	1.8672e+04	1.5345e+03
iteration 3	3.4638e+03	6.6069e+02	1.3897e+03	1.0000e-37	7.7722e+06	4.1794e+05	4.7899e-09	9.5176e-09	2.8929e-09	1.5760e+03	7.6587e+01	4.1702e+02	1.5913e+03	6.0249e-01	1.1154e+02	3.4629e-03	4.3844e+01	5.9629e+02	1.5986e+03	3.1336e+01	1.2860e+04	1.1673e+03	1.0000e-37	6.7517e+03	4.8285e+03	7.4790e+04	8.1558e+00	5.9573e+04	1.0000e-37	8.4034e+01	1.3257e+02	2.2711e+04	6.3128e+03	1.0876e+04	9.2031e+04	2.3934e+04	2.4347e+01	1.0000e-37	1.0000e-37	2.5412e+05	1.0783e+00	1.4924e+00	4.0986e-01	2.7651e+02	1.8953e+03	5.5820e+02	5.9370e+02	4.0534e+01	4.8863e+01	8.3495e+00	7.1516e+03	1.1989e+04	6.0189e+02	1.6344e+00	1.8674e+00	3.4249e-05	7.7648e-02	6.6338e+05	2.6186e+04	9.5973e+01	2.8938e+02	1.2649e-02	1.0000e-37	2.0450e+01	7.5478e+01	4.4028e+03	1.0103e+02	7.6296e+01	3.2562e+01	1.2833e+05	1.0490e+01	6.8281e-01	2.2363e+00	1.5535e+00	1.6625e-10	4.8111e+01	1.7897e+02	2.8619e-02	1.1771e+01	3.1415e+01	4.6049e+00	2.1081e+01	9.9437e+00	8.5750e+01	1.5575e+01	1.1126e+03	3.8842e+01	1.4809e+03	7.2812e+04	1.9239e+03	4.7224e+03	2.8073e-11	4.1371e+04	6.3128e+03
