#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	3.0711e+03	5.9671e+01	5.1266e-01	1.0000e-37	1.1673e+08	2.9774e+00	1.0000e-37	1.0000e-37	1.0000e-37	3.6753e-17	9.1954e-26	1.0000e-37	2.8278e+01	1.1006e+04	4.9906e-02	9.6690e-02	2.9508e+03	3.7700e-19	1.8171e+05	1.5036e+01	3.1443e+03	5.4067e-11	1.0000e-37	9.6194e-05	2.7158e-02	1.0000e-37	2.0998e-07	1.3647e-03	2.6921e-04	5.4048e-03	5.0806e-13	1.5564e-14	1.4658e-22	1.0000e-37	7.2162e-03	2.4086e-03	1.2333e-03	1.0000e-37	2.3282e-02	5.3507e-02	4.9576e-12	9.2242e-05	7.3803e-12	5.6704e-02	5.2716e-06	1.0459e-19	3.2598e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.5593e-03	4.2449e-03	2.2955e-02	6.5960e-02	4.7241e-03	1.8378e-03	3.6149e-03	9.9581e+06	8.2396e-03	1.3602e-01	4.0943e-01	7.0721e-37	1.0000e-37	1.8693e-26	1.1358e-13	1.6373e-06	1.9402e-28	2.8611e-17	6.1877e-29	2.2152e-02	2.0306e-19	1.0000e-37	1.0000e-37	1.0000e-37	2.1091e-03	5.0473e-11	1.3263e-05	4.0604e-05	1.2180e-11	7.7469e-27	2.1175e-22	1.7057e-21	9.0182e-22	2.8193e-21	8.5022e-17	1.6280e-04	2.1085e-16	2.2805e-04	1.6378e-05	1.0910e+03	2.0532e+03	1.0000e-37	1.0000e-37	1.4658e-22
iteration 3	6.6320e+03	5.4621e+02	5.8297e+00	1.0000e-37	1.1673e+08	3.3851e+01	1.0000e-37	1.0000e-37	1.0000e-37	1.9020e-14	4.7498e-23	1.4626e-15	2.9072e+02	1.8314e+03	4.9255e-01	5.8410e-01	2.8516e+03	1.7470e-15	2.1809e+05	9.4433e+01	4.8000e+03	4.7868e-09	1.0000e-37	9.2425e-04	3.1373e-01	2.3877e-09	1.5776e-05	1.5388e-02	4.3883e-03	8.1525e-02	7.0240e-11	1.1879e-12	7.5862e-20	1.0000e-37	8.3828e-02	2.7980e-02	1.1902e-02	1.0000e-37	2.6513e-01	6.7532e-01	7.6792e-10	2.1360e-03	1.1361e-09	7.5199e-01	1.1708e-03	1.1438e-16	7.5266e-05	1.0000e-37	1.0000e-37	1.0000e-37	2.9596e-02	4.9160e-02	3.4551e-01	6.2232e-01	5.4373e-02	1.0836e-03	4.7688e-02	9.9581e+06	9.5608e-02	2.5265e+00	7.6049e+00	2.0952e-28	1.0000e-37	1.5499e-23	1.2333e-11	3.7803e-04	1.7952e-25	1.8866e-14	5.7252e-26	2.5741e-01	1.2732e-16	1.4759e-23	2.8772e-23	1.4013e-23	7.2047e-04	6.5505e-09	3.1085e-04	4.7527e-04	1.5807e-09	4.0960e-24	2.0615e-19	1.8725e-18	9.9155e-19	3.0702e-18	6.5630e-14	1.9303e-03	1.6276e-13	2.7054e-03	3.6430e-03	1.8063e+03	2.9938e+03	1.0000e-37	2.3877e-09	7.5862e-20
iteration 3	7.2940e+03	3.4681e+03	7.9168e+01	1.0000e-37	1.1673e+08	4.5672e+02	1.0000e-37	1.0000e-37	1.0000e-37	3.9936e-12	2.2852e-21	3.0710e-13	2.4981e+03	2.5360e+02	5.4294e+00	8.2838e-01	2.5634e+03	3.6682e-13	2.2045e+05	4.0345e+02	4.3278e+03	2.4181e-07	1.0000e-37	1.1013e-02	4.3943e+00	1.2064e-07	2.1530e-04	9.9157e-02	6.6974e-02	2.3040e-01	2.8102e-09	5.3000e-11	1.5931e-17	1.0753e-12	1.2124e+00	4.0472e-01	2.3017e-02	1.0000e-37	3.5291e+00	1.1789e+01	4.4996e-08	2.7237e-02	6.1577e-08	3.9230e+00	1.6445e-01	7.2951e-14	1.1376e-02	1.8799e-20	2.5048e-20	6.2489e-21	4.1600e-01	6.9339e-01	9.7640e-01	3.7276e+00	3.9483e-01	6.8165e-05	2.6096e-01	9.9581e+06	1.3559e+00	1.5280e+01	4.5992e+01	1.2692e-25	1.0000e-37	3.7033e-21	1.9279e-09	5.8539e-02	7.2760e-23	8.3265e-12	2.3204e-23	3.6769e+00	7.3250e-14	1.1316e-19	2.0173e-19	8.8571e-20	7.3502e-05	5.1833e-07	4.0312e-03	1.6704e-03	1.2508e-07	2.0154e-22	1.3114e-16	1.1912e-15	6.3559e-16	1.9579e-15	5.0456e-11	2.8738e-02	1.2513e-10	4.0306e-02	5.1693e-01	1.6661e+03	2.6618e+03	1.0000e-37	1.2063e-07	1.5931e-17
iteration 3	1.1571e+04	5.3018e+03	1.0395e+03	1.0000e-37	1.1673e+08	5.1759e+03	1.0000e-37	1.0000e-37	1.0000e-37	3.2376e-09	5.5021e-19	2.4896e-10	4.7434e+03	5.2109e+01	5.8520e+01	3.0271e-01	2.2595e+03	2.9738e-10	2.1921e+05	4.9264e+02	3.7902e+03	1.2608e-05	1.0000e-37	1.4085e-01	6.1971e+01	1.2245e-05	1.7742e-03	1.1634e+00	1.0279e+00	2.5267e-01	8.0443e-08	7.3926e-09	1.2915e-14	5.6228e-11	1.7751e+01	5.9405e+00	1.3663e-02	1.0000e-37	4.6522e+01	2.1489e+02	1.7667e-06	2.9246e-01	1.4472e-06	1.1895e+01	3.8498e+00	2.9966e-11	2.8201e-01	9.6140e-17	1.2783e-16	3.1689e-17	5.8392e+00	9.7758e+00	1.0710e+00	5.1704e+00	6.1700e-01	2.5510e-07	9.7613e-01	9.9581e+06	1.9308e+01	5.8498e+01	1.7608e+02	2.6557e-22	1.0000e-37	8.0593e-19	3.2208e-07	1.5164e+00	3.9906e-20	2.2786e-09	1.2727e-20	5.3365e+01	5.8267e-11	4.1818e-16	9.5746e-16	5.3928e-16	3.5662e-06	3.2545e-05	4.9557e-02	2.8991e-03	7.8535e-06	8.2134e-20	5.3645e-14	4.8726e-13	2.6322e-13	8.0412e-13	3.3703e-08	4.2788e-01	8.3583e-08	5.9902e-01	1.2051e+01	1.5079e+03	2.2822e+03	1.0000e-37	1.2245e-05	1.2915e-14
iteration 3	3.6250e+04	6.7519e+03	7.5415e+03	1.0000e-37	1.1673e+08	1.9580e+04	1.0000e-37	1.0000e-37	1.0000e-37	3.6340e-06	3.7126e-15	2.7945e-07	6.7817e+03	3.1478e+01	5.5259e+02	8.3775e-01	2.1757e+03	3.3379e-07	2.1823e+05	4.8577e+02	3.6473e+03	1.2725e-03	1.0000e-37	1.5615e+00	6.0813e+02	1.3920e-03	6.9781e-02	1.3763e+01	1.1534e+01	1.1490e+00	9.2991e-06	9.4602e-07	1.4509e-11	5.6970e-09	1.8625e+02	6.4149e+01	4.8634e-02	1.0000e-37	5.0202e+02	2.5686e+03	6.5624e-05	1.4036e+00	2.9082e-05	7.6318e+01	4.3148e+01	2.3536e-08	3.2578e+00	1.0941e-12	1.4565e-12	3.6243e-13	6.6197e+01	1.1269e+02	4.8707e+00	5.1926e+00	6.3897e-01	2.0395e-08	8.9246e+00	9.9581e+06	2.2727e+02	4.0387e+02	1.2156e+03	3.3637e-19	1.0000e-37	4.6066e-16	3.8419e-05	1.7732e+01	3.1956e-17	1.3626e-06	1.0191e-17	6.1323e+02	4.6861e-08	8.5141e-13	2.6314e-12	1.7800e-12	1.1393e-06	2.6577e-03	5.2398e-01	1.9193e-02	6.4133e-04	5.7202e-16	4.2073e-11	3.8215e-10	2.0735e-10	6.3158e-10	2.6746e-05	4.8843e+00	6.6330e-05	6.7453e+00	1.1186e+02	1.4530e+03	2.1944e+03	1.0000e-37	1.3919e-03	1.4509e-11
iteration 3	3.2376e+05	1.3370e+04	1.3473e+04	1.0000e-37	1.1673e+08	8.3079e+04	1.0000e-37	1.0000e-37	1.0000e-37	3.4468e-03	1.6059e-12	2.6505e-04	1.5090e+04	1.1918e+01	4.1768e+03	6.3934e+00	2.1888e+03	3.1659e-04	1.9255e+05	4.1324e+02	3.7093e+03	1.2160e-01	1.0000e-37	2.4661e+01	2.5119e+03	1.4168e-01	3.0342e+01	9.3328e+02	8.7362e+01	1.5959e+01	1.3777e-03	1.0147e-03	1.3916e-08	5.7124e-07	1.0423e+03	4.3360e+02	6.0040e-01	1.0000e-37	4.9493e+03	2.4826e+04	1.1261e-03	2.2203e+00	4.3380e-04	8.1933e+02	3.6418e+02	1.0758e-04	3.2488e+01	1.3616e-08	1.7919e-08	4.3029e-09	7.2648e+02	1.2073e+03	6.7630e+01	4.5462e+00	5.7194e-01	4.7984e-08	1.0147e+02	9.9581e+06	2.2597e+03	3.7620e+03	1.1324e+04	4.8045e-16	1.0000e-37	4.9974e-13	5.8959e-03	1.7812e+02	3.1860e-14	1.8093e-03	1.0161e-14	5.6094e+03	3.4380e-05	1.1502e-09	3.7858e-09	2.6356e-09	1.1136e-06	2.6360e-01	5.1027e+00	3.9010e-01	6.3610e-02	2.4688e-13	1.9736e-07	1.7926e-06	9.5992e-07	2.9499e-06	2.4221e-02	5.5290e+01	6.0068e-02	7.2091e+01	5.5519e+02	1.4772e+03	2.2322e+03	1.0000e-37	1.4165e-01	1.3916e-08
iteration 3	6.5624e+05	6.6214e+04	1.5226e+04	1.0000e-37	1.1673e+08	5.3626e+05	1.0000e-37	1.0000e-37	1.0000e-37	2.9683e+00	1.8749e-10	2.2838e-01	4.7424e+04	1.4555e+00	8.8340e+03	2.5074e+01	1.7391e+03	2.7278e-01	6.7627e+04	2.5572e+02	5.1793e+03	1.1441e+01	1.0000e-37	1.0940e+03	4.3271e+03	1.4093e+01	6.0082e+02	1.5147e+04	8.9934e+01	6.0954e+02	2.5242e-01	2.4358e-01	1.5318e-05	1.1042e-04	2.0754e+03	9.7531e+02	2.1807e+01	1.0000e-37	4.5192e+04	2.0018e+05	1.9125e-02	2.3722e+00	7.2415e-03	1.2120e+04	1.4512e+03	5.2977e-02	3.0421e+02	5.9183e-05	7.4251e-05	1.5068e-05	5.0433e+03	8.0475e+03	2.5828e+03	3.1768e+00	3.9882e-01	3.6131e-07	5.7042e+02	9.9581e+06	1.5625e+04	2.5053e+04	7.5408e+04	1.2500e-12	1.0000e-37	9.1404e-10	1.5069e+00	1.6995e+03	3.9249e-11	1.8654e+00	1.2517e-11	4.2393e+04	2.0256e-02	6.3112e-07	2.0827e-06	1.4516e-06	1.3118e-06	2.6520e+01	4.1478e+01	1.4289e+01	6.3997e+00	2.4868e-11	1.4147e-04	1.2802e-03	5.8515e-04	2.0068e-03	5.2115e+00	5.3796e+02	1.2925e+01	6.8158e+02	3.4920e+03	2.0666e+03	3.1127e+03	1.0000e-37	1.4081e+01	1.5318e-05
iteration 4	6.9722e+05	8.7605e+04	2.3163e+04	1.0000e-37	1.1673e+08	4.0781e+06	1.0000e-37	1.0000e-37	1.0000e-37	1.9203e+03	4.1595e-07	2.5483e+02	1.7024e+05	3.2418e-01	1.4028e+04	1.4974e+01	1.5950e+03	2.9260e+02	2.8999e+04	1.7076e+02	5.0073e+04	9.8117e+02	1.0000e-37	2.3411e+04	6.6734e+03	2.0602e+03	2.2169e+03	4.0666e+05	8.5235e+01	1.3838e+04	2.4785e+01	4.9922e+01	1.0902e-01	1.5772e-01	3.3010e+03	1.5484e+03	1.0301e+03	1.0000e-37	4.0605e+05	1.5621e+06	3.3269e-01	2.8030e+00	1.2608e-01	1.0572e+05	2.9059e+03	1.0001e+01	2.7116e+03	2.2213e-02	2.6895e-02	4.6825e-03	3.3591e+04	5.5156e+04	5.8634e+04	2.2802e+00	2.5694e-01	1.0309e-06	1.0902e+03	9.9581e+06	1.1137e+05	5.8488e+04	1.7605e+05	3.6576e-10	1.0000e-37	1.8951e-06	1.5892e+01	1.5739e+04	6.2415e-08	2.5076e+02	1.9905e-08	3.3045e+05	4.8362e-01	8.1572e-05	2.6709e-04	1.8552e-04	9.8231e-11	1.3713e+03	1.9961e+02	1.6712e+02	3.3091e+02	3.9979e-08	6.3270e-02	5.1954e-01	1.9960e-01	7.8242e-01	1.0674e+02	3.9052e+03	2.6472e+02	4.9919e+03	3.3299e+04	2.0095e+04	2.9979e+04	1.0000e-37	2.0560e+03	1.0902e-01
iteration 3	5.5620e+05	6.6948e+04	5.2399e+04	1.0000e-37	1.1673e+08	1.5979e+07	1.0000e-37	1.0000e-37	1.0000e-37	3.8076e+05	2.3948e+05	6.8537e+04	4.9017e+05	3.7435e-01	3.4976e+04	2.0349e+00	1.7299e+03	7.4472e+04	2.0246e+04	7.4001e+01	3.6299e+05	1.0244e+05	1.0000e-37	1.7511e+05	2.7051e+04	3.9936e+05	1.9624e+03	2.7824e+06	1.0000e-37	2.7424e+04	1.3528e+04	3.2224e+05	9.1084e+04	5.3609e+04	9.7388e+05	3.3669e+05	5.2324e+03	1.0000e-37	2.4896e+06	1.0136e+07	1.9832e+02	2.7471e+02	7.5410e+01	8.9208e+04	4.6155e+03	1.3599e+02	8.5062e+03	1.0823e+04	1.3027e+04	2.2041e+03	9.5280e+04	1.6249e+05	1.1620e+05	8.1673e-01	6.7747e-02	7.5565e-11	2.1876e+02	9.9581e+06	4.4605e+05	3.1746e+04	9.5556e+04	8.0294e-04	1.0000e-37	3.9739e+03	7.5509e+03	6.2704e+04	6.5816e+02	4.4676e+03	2.0992e+02	2.8487e+06	1.5919e+03	5.0120e+01	1.6382e+02	1.1370e+02	1.4779e-11	6.7288e+03	1.6764e+04	7.2065e+01	1.6237e+03	3.7358e+04	1.9129e+00	1.5337e+01	5.5483e+00	2.2798e+01	7.9392e+02	2.8035e+04	1.9689e+03	3.7536e+04	2.2816e+05	1.3257e+05	2.3042e+05	1.0000e-37	3.9920e+05	9.1084e+04
iteration 3	2.1165e+05	2.5084e+04	5.3203e+04	1.0000e-37	1.1673e+08	1.6314e+07	1.0000e-37	1.0000e-37	1.0000e-37	4.1759e+05	1.5333e+06	8.7578e+04	1.2672e+05	1.7894e-01	8.7519e+03	7.2077e-02	4.8524e+02	1.0948e+05	1.2607e+04	2.7416e+01	2.6600e+05	1.4958e+05	1.0000e-37	1.2760e+05	8.3559e+04	9.7198e+05	2.7160e+02	1.8686e+06	1.0000e-37	2.7167e+03	9.8600e+03	1.8156e+06	5.9096e+05	3.7868e+05	6.2973e+06	2.3656e+06	6.5863e+02	1.0000e-37	7.0179e+06	3.4870e+07	1.4578e+02	2.0133e+02	5.5459e+01	6.4194e+03	9.5432e+03	1.1549e+03	9.1875e+03	1.3726e+04	1.6507e+04	2.7806e+03	2.2333e+05	4.5055e+05	1.1511e+04	1.1594e-01	5.2027e-03	8.3835e-12	3.8195e+00	9.9581e+06	1.5494e+06	2.7312e+03	8.2208e+03	1.3809e-01	1.0000e-37	2.3967e+04	9.4523e+03	7.7412e+04	1.1103e+04	1.3092e+03	3.5417e+03	6.7579e+06	2.0878e+03	6.9817e+01	2.2819e+02	1.5837e+02	3.4013e-13	9.0410e+02	1.2130e+04	1.3827e+00	2.1817e+02	2.8573e+05	1.6596e+01	1.3107e+02	4.9471e+01	1.9714e+02	2.2717e+02	1.0738e+05	5.6338e+02	1.4009e+05	5.7106e+05	8.1004e+04	1.8500e+05	1.0000e-37	9.7194e+05	5.9096e+05
