#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.5404e+00	1.4846e+01	3.3083e-01	1.0000e-37	5.6334e+07	1.5739e+00	1.1844e+04	2.1910e+04	1.0066e+04	2.6747e-18	2.9201e-29	1.0000e-37	5.4896e+00	7.0838e+03	5.5311e-03	1.4371e-01	1.6959e+03	1.0000e-37	1.2880e+04	1.3253e+01	2.7624e-01	7.5297e-12	3.3097e-06	1.8837e-05	5.1399e-03	1.0000e-37	2.2226e-10	5.4372e-07	6.6562e-07	8.1300e-07	6.8682e-17	4.9200e-18	2.3880e-23	1.0000e-37	2.7000e-03	9.0423e-04	1.2868e-06	1.0000e-37	2.0102e-02	4.0582e-02	5.9922e-16	1.4904e-15	8.9109e-16	4.3439e-05	7.6952e-09	3.1774e-22	5.0572e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.5422e-03	2.9304e-03	8.3720e-05	1.4067e-01	3.8095e-03	7.3077e-03	6.6553e-06	5.0805e+06	5.6767e-03	1.6748e-05	5.0412e-05	3.0193e-37	1.0000e-37	3.7876e-30	3.6235e-14	2.5550e-09	4.5161e-32	6.1045e-18	1.4403e-32	1.4987e-02	4.9016e-20	1.0000e-37	1.0000e-37	1.0000e-37	4.7943e-03	1.1207e-14	8.7910e-17	8.3488e-08	2.7044e-15	2.3730e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5752e-17	1.0422e-04	3.9065e-17	1.4755e-04	2.7120e-08	7.9728e-02	1.9651e-01	9.8109e+02	1.0000e-37	2.3880e-23
iteration 3	1.3277e+03	1.3544e+02	3.6017e+00	1.0000e-37	5.6334e+07	1.7138e+01	7.8747e+03	1.5262e+04	7.3870e+03	4.8686e-15	3.7156e-25	3.6293e-16	5.8734e+01	6.9942e+03	8.4378e-02	1.1663e+00	1.6902e+03	4.8443e-16	5.6470e+04	2.8460e+01	1.1860e+01	7.3035e-10	2.8896e-06	1.7465e-04	5.6061e-02	3.7105e-10	1.0897e-06	3.5197e-04	5.7803e-04	2.7624e-04	1.9355e-13	2.2923e-14	1.7970e-20	1.0000e-37	3.1507e-02	1.0552e-02	8.6677e-04	1.0000e-37	2.1927e-01	4.6071e-01	1.8477e-12	4.4753e-06	2.7315e-12	3.9554e-02	5.4189e-06	5.4495e-18	3.6934e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.7040e-02	3.2347e-02	2.0688e-03	3.0935e-01	4.3313e-02	5.5509e-02	3.1703e-03	5.0805e+06	6.2741e-02	6.7475e-03	2.0310e-02	1.0310e-28	1.0000e-37	6.7761e-26	3.6407e-12	1.8695e-06	9.1539e-28	7.0758e-15	2.9193e-28	1.6578e-01	3.4668e-17	1.0000e-37	1.0000e-37	1.0000e-37	5.7853e-02	5.8429e-11	6.4696e-07	3.6359e-05	1.4100e-11	3.1028e-26	9.8295e-21	8.9288e-20	4.7154e-20	1.4627e-19	1.9770e-14	1.1728e-03	4.9030e-14	1.6606e-03	1.9117e-05	3.4252e+00	8.4349e+00	1.0578e+02	3.7104e-10	1.7970e-20
iteration 3	4.5478e+03	1.2030e+03	5.8699e+01	1.0000e-37	5.6334e+07	2.7801e+02	5.1559e+03	9.7502e+03	4.5943e+03	5.5066e-13	1.3346e-21	4.1049e-14	7.2657e+02	3.2428e+03	8.9140e-01	1.2560e+00	1.4711e+03	5.4791e-14	1.4477e+05	5.5590e+02	2.0604e+03	3.9864e-08	3.9326e-06	1.9453e-03	9.4165e-01	1.4548e-08	6.1562e-05	1.1159e-02	6.3391e-02	2.0073e-01	1.5158e-09	3.3188e-12	2.0331e-18	1.7920e-13	5.7119e-01	1.9131e-01	2.8558e-02	1.0000e-37	3.5102e+00	1.2129e+01	2.2843e-08	1.9337e-02	3.1201e-08	4.2182e+00	1.1173e-02	7.6112e-15	8.5192e-04	2.5634e-21	3.4152e-21	8.5181e-22	2.9972e-01	5.6717e-01	8.5502e-01	5.5233e+00	8.4859e-01	9.1260e-03	2.8126e-01	5.0805e+06	1.1103e+00	1.1988e+01	3.6083e+01	2.5014e-26	1.0000e-37	1.7558e-21	6.3622e-10	4.3816e-03	4.2762e-23	1.9285e-12	1.3638e-23	2.9700e+00	1.1607e-14	1.4584e-20	2.6036e-20	1.1452e-20	2.5196e-02	5.8495e-08	2.8650e-03	1.9237e-03	1.4116e-08	1.1765e-22	1.3688e-17	1.2433e-16	6.6257e-17	2.0428e-16	1.0577e-11	2.2866e-02	2.6230e-11	3.2360e-02	3.9810e-02	7.8014e+02	1.2803e+03	7.4528e+00	1.4548e-08	2.0331e-18
iteration 3	5.7593e+03	3.1201e+03	7.4523e+02	1.0000e-37	5.6334e+07	3.0384e+03	1.9421e+03	3.3135e+03	1.3714e+03	3.2740e-10	2.4567e-19	2.4406e-11	2.3549e+03	1.5654e+03	9.8154e+00	7.0699e-01	1.3053e+03	3.2577e-11	1.4858e+05	2.4163e+03	2.0521e+03	1.8984e-06	1.6537e-06	2.4305e-02	1.2995e+01	1.2251e-06	6.8806e-04	1.2165e-01	9.7086e-01	3.8905e-01	7.2331e-08	4.0562e-10	1.2091e-15	8.5741e-12	8.1359e+00	2.7302e+00	2.7879e-02	1.0000e-37	4.5341e+01	2.0848e+02	1.3370e-06	2.5348e-01	1.0976e-06	1.6336e+01	1.8038e+00	3.6717e-12	1.4537e-01	1.4500e-17	1.9279e-17	4.7787e-18	4.1528e+00	7.8697e+00	1.6739e+00	3.7250e+01	6.5156e+00	3.9958e-04	1.2896e+00	5.0805e+06	1.5584e+01	6.6689e+01	2.0073e+02	4.4720e-23	1.0000e-37	5.9622e-19	1.0150e-07	7.7783e-01	3.1534e-20	6.2445e-10	1.0057e-20	4.2618e+01	9.2964e-12	5.6314e-17	1.2883e-16	7.2521e-17	4.0268e-03	4.2118e-06	4.3103e-02	4.5923e-03	1.0164e-06	3.4256e-20	6.5796e-15	5.9762e-14	3.2189e-14	9.8531e-14	7.4607e-09	3.3966e-01	1.8503e-08	4.7926e-01	6.4116e+00	8.0956e+02	1.2425e+03	1.8193e-01	1.2251e-06	1.2091e-15
iteration 4	1.1824e+04	4.1639e+03	4.9940e+03	1.0000e-37	5.6334e+07	1.2056e+04	7.0202e+01	1.0560e+02	3.5400e+01	3.1774e-07	1.1339e-15	2.3686e-08	3.3792e+03	1.2106e+03	9.2251e+01	2.4513e+00	1.2668e+03	3.1616e-08	1.4767e+05	2.9263e+03	2.0244e+03	1.6806e-04	2.8249e-07	2.5481e-01	1.3365e+02	1.2689e-04	2.9158e-02	1.3256e+00	1.0463e+01	2.1384e+00	9.6362e-06	4.7598e-08	1.1772e-12	7.6940e-10	8.3379e+01	2.8594e+01	1.2072e-01	1.0000e-37	4.7103e+02	2.2166e+03	5.5724e-05	1.2503e+00	2.4818e-05	1.1275e+02	3.3369e+01	2.7343e-09	2.7923e+00	1.5587e-13	2.0749e-13	5.1622e-14	4.5024e+01	8.7115e+01	9.2553e+00	5.4857e+01	9.7744e+00	1.8933e-05	1.2272e+01	5.0805e+06	1.7620e+02	5.0447e+02	1.5184e+03	4.9635e-20	1.0000e-37	3.7918e-16	1.0965e-05	1.5055e+01	2.6050e-17	3.8176e-07	8.3078e-18	4.7453e+02	7.0322e-09	1.0829e-13	3.3434e-13	2.2605e-13	4.5603e-04	3.5429e-04	4.5665e-01	3.3274e-02	8.5495e-05	1.7376e-16	4.8940e-12	4.4452e-11	2.4027e-11	7.3373e-11	5.6659e-06	3.7055e+00	1.4051e-05	5.1691e+00	9.0289e+01	8.0024e+02	1.2241e+03	1.4181e-03	1.2687e-04	1.1772e-12
iteration 4	3.8582e+04	6.1218e+03	8.8048e+03	1.0000e-37	5.6334e+07	6.2114e+04	3.2227e+00	4.8334e+00	1.6108e+00	2.9600e-04	4.8074e-13	2.2065e-05	5.7222e+03	8.4330e+02	8.5476e+02	1.8122e+01	1.3146e+03	2.9452e-05	1.4762e+05	2.8379e+03	2.1466e+03	1.6204e-02	1.2329e-07	3.1600e+00	8.9140e+02	1.2677e-02	1.8086e+00	2.1430e+01	1.0180e+02	2.9185e+01	1.4476e-03	1.1150e-05	1.1406e-09	8.5787e-08	5.2644e+02	2.1182e+02	1.4049e+00	1.0000e-37	4.6350e+03	2.1249e+04	9.9149e-04	2.0820e+00	3.8161e-04	1.1780e+03	2.7915e+02	3.9189e-06	2.9444e+01	1.7107e-09	2.2528e-09	5.4205e-10	4.8423e+02	9.2377e+02	1.2487e+02	5.2225e+01	9.2745e+00	7.6403e-06	1.3618e+02	5.0805e+06	1.7577e+03	4.7728e+03	1.4366e+04	5.3485e-17	1.0000e-37	4.1747e-13	1.2433e-03	1.5950e+02	2.7215e-14	4.4720e-04	8.6793e-15	4.4428e+03	3.8435e-06	1.3062e-10	4.3068e-10	3.0006e-10	1.5137e-04	3.4078e-02	4.5935e+00	6.3960e-01	8.2235e-03	7.2728e-14	7.0205e-09	6.3767e-08	3.4427e-08	1.0521e-07	4.6644e-03	4.0391e+01	1.1568e-02	5.3481e+01	4.5406e+02	8.5028e+02	1.2963e+03	1.5421e-05	1.2665e-02	1.1406e-09
iteration 4	3.8312e+05	3.2268e+04	1.0568e+04	1.0000e-37	5.6334e+07	4.5182e+05	1.8251e-01	2.7370e-01	9.1191e-02	2.6611e-01	1.2483e-10	1.9839e-02	1.5649e+04	1.4141e+02	4.0808e+03	8.8072e+01	2.0872e+03	2.6480e-02	1.0668e+05	2.1904e+03	4.8010e+03	1.6402e+00	6.8569e-08	5.6759e+02	2.0496e+03	1.3627e+00	7.2203e+02	1.6178e+04	3.6411e+02	9.7382e+02	2.4238e-01	1.2261e-01	1.8524e-06	3.0780e-05	1.1470e+03	5.3732e+02	4.0139e+01	1.0000e-37	4.2712e+04	1.7547e+05	1.6146e-02	2.3427e+00	6.1056e-03	1.5772e+04	9.6327e+02	5.1259e-02	2.7750e+02	1.6349e-05	2.0538e-05	4.1891e-06	3.7581e+03	6.6167e+03	4.1278e+03	3.8690e+01	6.9596e+00	3.1902e-05	7.0285e+02	5.0805e+06	1.3163e+04	3.1132e+04	9.3706e+04	3.2100e-13	1.0000e-37	7.1581e-10	7.0345e-01	1.5205e+03	3.3734e-11	9.6010e-01	1.0758e-11	3.5755e+04	4.8041e-03	1.6059e-07	5.3062e-07	3.7003e-07	1.5613e-04	3.1834e+00	3.9701e+01	2.0146e+01	7.6820e-01	1.3818e-11	1.2415e-04	1.1243e-03	5.3088e-04	1.7793e-03	2.2806e+00	3.9963e+02	5.6558e+00	5.1485e+02	3.1618e+03	1.9193e+03	2.8817e+03	3.0927e-10	1.3589e+00	1.8524e-06
iteration 4	5.0865e+05	5.9719e+04	1.6635e+04	1.0000e-37	5.6334e+07	3.7259e+06	1.5007e-06	2.2505e-06	7.4979e-07	2.9817e+02	3.8397e-07	2.4553e+01	6.1583e+04	3.2441e+01	1.2302e+04	4.4517e+01	4.1105e+03	3.2557e+01	7.6991e+04	1.5593e+03	7.7539e+04	1.9007e+02	5.5057e-12	3.4315e+04	3.1679e+03	4.3353e+02	3.3288e+03	5.8834e+05	3.6280e+02	1.9542e+04	2.0972e+01	3.5176e+01	2.3303e-02	5.5803e-02	1.9318e+03	8.9694e+02	1.5866e+03	1.0000e-37	3.8662e+05	1.3966e+06	2.5345e-01	2.6863e+00	9.5983e-02	1.2890e+05	2.0342e+03	1.2003e+01	2.4495e+03	8.0525e-03	9.7526e-03	1.7001e-03	2.9507e+04	4.9699e+04	8.2805e+04	2.8940e+01	4.8463e+00	8.7308e-05	1.3614e+03	5.0805e+06	1.0141e+05	6.9000e+04	2.0769e+05	1.7492e-10	1.0000e-37	1.3256e-06	1.3666e+01	1.4194e+04	5.0457e-08	1.5988e+02	1.6092e-08	3.0014e+05	2.0506e-01	2.7385e-05	8.9684e-05	6.2300e-05	1.2079e-04	1.4741e+02	1.9219e+02	2.3113e+02	3.5572e+01	3.4241e-08	7.2403e-02	5.9253e-01	2.3046e-01	8.9540e-01	6.0334e+01	3.3347e+03	1.4963e+02	4.3144e+03	3.4186e+04	3.1072e+04	4.6467e+04	3.2130e-12	4.3236e+02	2.3303e-02
iteration 3	5.9655e+05	6.3126e+04	4.3052e+04	1.0000e-37	5.6334e+07	1.5522e+07	5.5627e-08	8.3422e-08	2.7795e-08	2.0848e+05	1.3993e+05	3.7212e+04	6.7340e+05	2.9708e+01	6.5512e+04	7.1121e+00	5.7842e+03	4.5401e+04	8.0284e+04	7.7398e+02	6.1856e+05	5.4585e+04	1.0000e-37	2.8664e+05	1.3155e+04	2.8717e+05	3.1770e+03	4.3520e+06	1.0000e-37	4.1366e+04	7.8623e+03	1.9353e+05	5.5749e+04	3.3180e+04	8.8344e+05	3.0450e+05	1.0174e+04	1.0000e-37	2.2465e+06	8.6472e+06	1.2785e+02	1.7752e+02	4.8620e+01	1.3483e+05	3.4626e+03	1.7122e+02	7.5803e+03	8.7052e+03	1.0481e+04	1.7755e+03	8.2110e+04	1.3868e+05	1.7528e+05	1.4671e+01	1.5684e+00	5.4454e-05	7.4309e+02	5.0805e+06	3.6519e+05	3.9865e+04	1.1999e+05	1.7932e-03	1.0000e-37	3.4181e+03	5.4814e+03	6.3597e+04	9.9998e+02	2.9865e+03	3.1894e+02	2.4032e+06	1.3493e+03	4.3535e+01	1.4232e+02	9.8787e+01	2.3255e-05	1.7364e+03	9.7978e+03	2.7960e+02	4.1902e+02	2.1810e+04	2.5409e+00	1.9996e+01	7.2282e+00	2.9765e+01	4.6884e+02	2.3148e+04	1.1627e+03	3.1106e+04	2.8414e+05	2.2700e+05	3.9157e+05	4.8009e-13	2.8705e+05	5.5749e+04
iteration 3	2.9012e+05	2.9660e+04	4.5628e+04	1.0000e-37	5.6334e+07	1.5983e+07	7.6603e-10	1.1488e-09	3.8280e-10	2.2828e+05	8.9806e+05	4.8367e+04	3.2426e+05	1.9256e+01	2.5760e+04	4.1596e-01	2.7082e+03	6.7301e+04	5.5188e+04	1.8090e+02	4.8553e+05	8.2058e+04	1.0000e-37	2.2003e+05	6.1069e+04	1.1951e+06	4.5190e+02	3.0523e+06	1.0000e-37	4.3762e+03	4.5341e+03	8.7775e+05	2.8927e+05	1.8790e+05	4.5040e+06	1.6669e+06	1.7261e+03	1.0000e-37	4.1876e+06	1.9658e+07	7.2351e+01	9.9982e+01	2.7528e+01	1.2997e+04	9.4480e+03	1.6907e+03	8.7724e+03	1.0637e+04	1.2794e+04	2.1573e+03	1.2705e+05	2.4729e+05	1.8543e+04	1.7541e+00	1.3051e-01	1.5058e-06	3.2385e+01	5.0805e+06	7.9503e+05	3.6218e+03	1.0902e+04	2.9335e-01	1.0000e-37	1.8502e+04	6.3489e+03	8.4348e+04	1.1785e+04	1.3185e+03	3.7595e+03	4.5197e+06	1.6756e+03	6.0111e+01	1.9652e+02	1.3641e+02	2.0764e-10	7.2338e+02	5.5852e+03	1.3194e+01	1.7456e+02	1.5959e+05	2.7325e+01	2.0650e+02	7.7945e+01	3.1177e+02	1.9972e+02	5.3791e+04	4.9532e+02	7.2285e+04	6.7197e+05	1.4838e+05	3.3715e+05	5.0750e-14	1.1950e+06	2.8927e+05
