#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	4.7746e-06	3.5570e-06	6.6504e-06	1.0000e-37	7.6067e-02	4.4824e-04	6.4262e-09	1.1408e-08	3.0905e-09	4.7525e-06	1.6285e-08	2.3636e-06	1.9901e-06	5.5360e-11	3.3164e-10	9.5849e-12	5.1213e-11	1.8185e-06	3.9187e-06	1.4463e-06	5.9412e-09	2.2257e-06	1.4156e-12	2.3994e-09	2.2900e-06	6.7315e-08	4.1106e-08	6.9701e-08	5.7380e-09	2.2084e-09	1.9659e-07	2.3804e-06	5.1145e-08	3.3247e-08	3.0035e-06	1.2966e-06	4.9046e-11	1.4348e-12	1.0000e-37	7.9694e-04	1.5400e-05	3.8833e-05	2.3138e-05	5.4318e-07	1.4286e-06	5.2265e-10	3.3477e-07	4.4902e-07	5.9963e-07	1.5066e-07	1.1231e-05	1.9551e-05	1.1512e-08	2.7408e-07	2.4810e-07	2.1519e-13	3.8403e-09	1.8748e-02	3.9785e-05	3.8768e-06	1.1678e-05	1.1139e-07	1.0000e-37	4.0128e-09	1.5038e-07	2.2918e-06	4.2014e-07	1.3687e-07	1.3408e-07	1.2472e-04	3.0886e-05	9.5998e-06	1.6198e-05	6.5982e-06	3.4993e-11	1.0895e-06	2.8883e-07	3.8235e-12	2.6426e-07	2.9606e-09	9.2613e-13	8.4148e-12	4.4868e-12	1.4766e-11	6.9082e-06	1.2028e-06	1.7183e-05	1.6758e-06	3.4616e-06	1.4379e-09	3.5426e-09	1.7106e-13	4.3241e-08	5.1145e-08
iteration 3	2.1568e-06	1.5175e-06	7.5664e-06	1.0000e-37	7.6067e-02	1.0423e-03	4.6400e-15	7.1346e-15	2.2297e-15	3.9879e-06	2.7912e-08	2.1340e-06	1.1107e-08	2.6909e-13	1.1554e-12	5.5573e-13	9.7514e-13	1.6581e-06	5.9680e-08	6.5766e-07	1.5103e-09	1.8000e-06	1.0065e-17	1.0809e-09	1.6896e-07	1.7867e-08	5.0549e-08	8.3640e-08	1.3058e-10	1.0313e-09	3.8426e-07	4.2286e-06	1.1427e-07	6.3892e-08	4.3664e-06	1.7765e-06	1.1109e-10	5.2999e-17	1.0000e-37	8.4144e-04	2.9379e-05	7.3288e-05	4.3672e-05	5.7464e-07	1.5896e-06	6.7941e-09	3.6339e-07	1.6685e-06	2.2278e-06	5.5934e-07	1.2958e-05	2.2437e-05	4.5079e-09	1.1598e-07	1.0593e-07	4.5724e-14	2.2236e-10	1.8748e-02	4.5051e-05	9.5222e-07	2.8666e-06	5.8916e-07	1.0000e-37	1.7560e-08	2.6139e-07	2.3761e-06	2.2601e-06	8.4421e-08	7.2089e-07	1.3743e-04	5.3167e-05	3.3207e-05	5.6320e-05	2.3114e-05	7.7767e-16	1.5225e-06	5.0182e-07	3.0988e-13	3.6780e-07	4.5077e-09	1.2688e-11	1.1525e-10	6.1361e-11	1.9166e-10	3.3246e-06	1.3072e-06	8.2498e-06	1.8184e-06	3.4721e-06	4.2011e-10	1.0356e-09	1.0000e-37	7.2420e-09	1.1427e-07
iteration 3	1.1488e-06	1.0937e-08	7.8510e-06	1.0000e-37	7.6067e-02	1.2083e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.9988e-06	2.8806e-08	1.4201e-06	1.9535e-11	1.0000e-37	1.9126e-15	1.0000e-37	1.0000e-37	1.1989e-06	1.0000e-37	9.8994e-08	3.8682e-11	1.2188e-06	1.0000e-37	2.6379e-11	7.1565e-09	2.1943e-09	1.3857e-08	2.2935e-08	1.0000e-37	2.9636e-11	3.5154e-07	4.6970e-06	1.3750e-07	7.2962e-08	5.1269e-06	1.9759e-06	2.8030e-11	1.0000e-37	1.0000e-37	8.6001e-04	2.7187e-05	6.4758e-05	3.7337e-05	1.5457e-07	1.0732e-06	4.3494e-08	2.4569e-07	2.6132e-06	3.4860e-06	8.7281e-07	1.3171e-05	2.2747e-05	1.2659e-10	1.6468e-08	1.5076e-08	1.0000e-37	1.6190e-12	1.8748e-02	4.5672e-05	2.9621e-08	8.9163e-08	2.8816e-06	1.0000e-37	6.5008e-08	2.3489e-07	1.6052e-06	9.9220e-06	1.9126e-08	3.1644e-06	1.3899e-04	5.2036e-05	4.8791e-05	8.5653e-05	3.6862e-05	1.0000e-37	8.7633e-07	4.5168e-07	2.1035e-15	2.1154e-07	4.5150e-09	8.2035e-11	7.4514e-10	3.9677e-10	1.2283e-09	7.8791e-07	1.3232e-06	1.9543e-06	1.8360e-06	2.4561e-06	1.1041e-11	2.7213e-11	1.0000e-37	8.2435e-10	1.3750e-07
iteration 3	3.0669e-07	6.8195e-11	7.5768e-06	1.0000e-37	7.6067e-02	1.3005e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.2384e-06	2.6619e-08	7.1439e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.1477e-07	1.0000e-37	1.6332e-08	3.2514e-13	6.6400e-07	1.0000e-37	2.3251e-13	5.1880e-10	1.0740e-10	1.1017e-09	1.8336e-09	1.0000e-37	3.7328e-13	1.3903e-07	2.1994e-06	6.6394e-08	4.0717e-08	3.4305e-06	1.3290e-06	8.5081e-13	1.0000e-37	1.0000e-37	9.3073e-04	1.2266e-05	2.4803e-05	1.2330e-05	1.2008e-08	5.7829e-07	7.8669e-08	1.3613e-07	2.8270e-06	3.7628e-06	9.3583e-07	1.2843e-05	2.2280e-05	1.5865e-12	2.2544e-09	2.0460e-09	1.0000e-37	1.0000e-37	1.8748e-02	4.5135e-05	6.4142e-10	1.9307e-09	4.6272e-06	1.0000e-37	6.8598e-08	8.2032e-08	9.1484e-07	1.6576e-05	3.2482e-09	5.2866e-06	1.3761e-04	2.8621e-05	4.5575e-05	9.1474e-05	4.5899e-05	1.0000e-37	2.2215e-07	1.7730e-07	1.0000e-37	5.3615e-08	4.1305e-09	1.4783e-10	1.3427e-09	7.2099e-10	2.2145e-09	2.2180e-07	1.3105e-06	5.5010e-07	1.8241e-06	1.5448e-06	9.3445e-14	2.3032e-13	1.0000e-37	4.0905e-11	6.6394e-08
iteration 3	1.8236e-08	5.6357e-13	6.6741e-06	1.0000e-37	7.6067e-02	1.1966e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.3849e-06	2.0458e-08	2.1735e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4673e-07	1.0000e-37	2.1824e-09	4.9039e-16	2.1624e-07	1.0000e-37	2.8431e-16	2.9878e-11	7.0363e-13	1.3236e-11	2.2606e-11	1.0000e-37	1.4455e-15	1.3521e-08	2.4070e-07	7.9046e-09	6.5697e-09	1.1788e-06	4.5932e-07	2.9046e-15	1.0000e-37	1.0000e-37	9.1572e-04	1.5212e-06	2.5682e-06	9.3985e-07	2.2422e-10	2.3530e-07	3.1022e-08	5.7610e-08	1.6041e-06	2.1353e-06	5.3123e-07	1.0573e-05	1.8415e-05	6.1306e-15	1.6350e-10	1.4605e-10	1.0000e-37	1.0000e-37	1.8748e-02	3.7562e-05	9.8337e-12	2.9600e-11	1.6267e-06	1.0000e-37	1.5688e-08	5.8428e-09	3.9954e-07	9.0188e-06	2.4574e-10	2.8763e-06	1.1576e-04	5.2954e-06	1.7073e-05	4.4185e-05	2.7112e-05	1.0000e-37	2.1783e-08	1.7208e-08	1.0000e-37	5.2568e-09	3.1621e-09	5.6155e-11	5.1005e-10	2.8204e-10	8.4858e-10	4.5740e-08	1.1136e-06	1.1344e-07	1.5477e-06	7.9259e-07	1.4136e-16	3.4841e-16	1.0000e-37	2.9448e-13	7.9046e-09
iteration 3	7.4064e-14	4.2918e-19	7.9957e-07	1.0000e-37	7.6067e-02	3.6048e-06	1.0000e-37	1.0000e-37	1.0000e-37	8.8897e-11	3.9663e-14	6.6427e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.9905e-12	1.0000e-37	1.4019e-14	3.8866e-23	7.0996e-12	1.0000e-37	6.2901e-24	2.5200e-16	9.1456e-20	2.9946e-18	5.6274e-18	1.0000e-37	2.0679e-22	3.7919e-14	7.9701e-13	3.3485e-14	4.4183e-14	4.6564e-11	1.5656e-11	2.7001e-22	1.0000e-37	1.0000e-37	6.3451e-08	5.6644e-12	1.1421e-11	2.5545e-12	2.7191e-16	7.5091e-12	5.0139e-13	1.8286e-12	4.9326e-11	6.5783e-11	1.6458e-11	2.8305e-09	5.5525e-09	8.7624e-22	1.1451e-15	1.0827e-15	1.0000e-37	1.0000e-37	1.8748e-02	7.1053e-09	1.0576e-17	3.1833e-17	2.2527e-11	1.0000e-37	1.3750e-13	1.3930e-14	1.1966e-11	2.8498e-10	1.0952e-15	9.0883e-11	2.8975e-08	4.4137e-11	3.1728e-10	9.6751e-10	6.5023e-10	1.0000e-37	1.1768e-13	4.8358e-14	1.0000e-37	2.8397e-14	6.1179e-15	8.8137e-16	8.0054e-15	4.5594e-15	1.3446e-14	6.9638e-13	1.2795e-10	1.7270e-12	1.7996e-10	3.0330e-11	1.1218e-23	2.7649e-23	1.0000e-37	6.6029e-20	3.3485e-14
iteration 3	3.9422e-16	2.3920e-22	7.5444e-08	1.0000e-37	7.6067e-02	4.5661e-07	1.0000e-37	1.0000e-37	1.0000e-37	6.6342e-12	1.0000e-37	4.9574e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.9632e-13	1.0000e-37	2.4342e-16	5.8229e-26	5.6356e-13	1.0000e-37	5.6607e-28	6.1701e-18	5.2911e-23	3.0840e-23	3.5892e-22	1.0000e-37	4.2764e-27	1.3121e-17	2.9630e-16	5.2410e-17	6.6747e-17	3.3745e-12	1.1337e-12	2.5569e-27	1.0000e-37	1.0000e-37	6.2216e-09	4.5127e-15	1.2180e-13	1.8268e-15	1.5368e-19	4.5498e-13	2.4673e-15	1.1599e-13	5.0737e-13	6.7606e-13	1.6869e-13	2.3120e-10	4.5122e-10	1.8120e-26	1.9608e-17	1.9175e-17	1.0000e-37	1.0000e-37	1.8748e-02	5.7408e-10	4.7337e-21	1.4248e-20	1.6152e-13	1.0000e-37	2.8280e-16	4.1137e-18	7.8287e-13	5.5080e-12	2.1989e-19	1.7566e-12	2.3176e-09	8.1620e-14	3.9187e-12	1.2591e-11	8.6720e-12	1.0000e-37	1.7428e-17	1.6759e-17	1.0000e-37	4.2056e-18	1.0000e-37	4.2904e-18	3.8970e-17	2.2884e-17	6.6144e-17	1.1284e-15	1.1027e-11	2.7984e-15	1.5085e-11	1.6346e-12	1.6806e-26	4.1423e-26	1.0000e-37	5.2857e-23	5.2410e-17
iteration 3	1.4373e-18	1.1509e-25	6.2445e-09	1.0000e-37	7.6067e-02	3.9662e-08	1.0000e-37	1.0000e-37	1.0000e-37	4.5026e-13	1.0000e-37	3.3645e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.0472e-14	1.0000e-37	1.7574e-18	1.1818e-28	4.5461e-14	1.0000e-37	2.7065e-31	1.6434e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4581e-32	6.7550e-22	4.4081e-19	2.0136e-18	2.5283e-19	2.6753e-13	8.9877e-14	3.0440e-33	1.0000e-37	1.0000e-37	4.8281e-10	9.0779e-19	3.6217e-15	3.5580e-19	3.3648e-23	1.1362e-14	3.2557e-18	3.1389e-15	1.6598e-15	2.1966e-15	5.3680e-16	1.8366e-11	3.5886e-11	6.1782e-32	1.2723e-19	1.2717e-19	1.0000e-37	1.0000e-37	1.8748e-02	4.4815e-11	7.5485e-25	2.2721e-24	6.2573e-16	1.0000e-37	1.4397e-19	3.4496e-22	2.3487e-14	6.4640e-14	2.8219e-23	2.0615e-14	1.8156e-10	5.0246e-17	2.4570e-14	8.0533e-14	5.5963e-14	1.0000e-37	1.8544e-21	9.0708e-22	1.0000e-37	4.4748e-22	1.0000e-37	5.5820e-21	5.0701e-20	3.0953e-20	8.7236e-20	1.8800e-18	9.0921e-13	4.6624e-18	1.1866e-12	3.4302e-14	3.4109e-29	8.4070e-29	1.0000e-37	1.0000e-37	2.0136e-18
iteration 3	1.2406e-18	3.6870e-27	2.8458e-07	1.0000e-37	7.6067e-02	1.2941e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.0450e-11	1.0000e-37	1.5281e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8382e-12	1.0000e-37	6.4363e-19	1.0000e-37	2.5071e-12	1.0000e-37	4.8900e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7403e-18	6.4833e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5006e-08	1.0000e-37	3.0156e-14	1.0000e-37	1.0000e-37	7.6429e-14	4.3846e-40	3.2007e-14	3.7269e-36	4.9589e-36	1.2321e-36	9.2277e-10	1.8262e-09	1.0000e-37	3.9356e-20	4.7497e-20	1.0000e-37	1.0000e-37	1.8748e-02	2.2116e-09	1.0000e-37	1.0000e-37	1.1570e-14	1.0000e-37	1.0000e-37	2.5895e-23	3.6848e-13	1.3321e-26	1.0000e-37	4.2484e-27	9.4550e-09	1.0000e-37	2.0184e-26	6.9761e-26	4.9577e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3352e-11	1.0000e-37	5.4074e-11	2.9792e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.4833e-17
iteration 3	2.3887e-21	2.0303e-29	1.4424e-07	1.0000e-37	7.6067e-02	7.0242e-07	1.0000e-37	1.0000e-37	1.0000e-37	8.8531e-12	1.0000e-37	6.6154e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.9576e-13	1.0000e-37	2.3957e-20	1.0000e-37	1.2519e-12	1.0000e-37	2.8328e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4226e-19	3.0005e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.5151e-09	1.0000e-37	5.4274e-15	1.0000e-37	1.0000e-37	3.3700e-14	1.0000e-37	1.4722e-14	1.0000e-37	1.0000e-37	1.0000e-37	4.4001e-10	8.7081e-10	1.0000e-37	7.9038e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.8748e-02	1.0367e-09	1.0000e-37	1.0000e-37	6.3488e-15	1.0000e-37	1.0000e-37	1.3228e-24	1.7494e-13	1.0000e-37	1.0000e-37	1.0000e-37	4.4895e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1633e-11	1.0000e-37	2.6121e-11	1.3791e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0005e-17
