#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.3826e-03	4.9354e-06	3.3729e-01	1.0000e-37	6.1848e+07	1.7050e+00	8.2364e+03	1.7896e+04	9.6600e+03	1.0000e-37	1.0000e-37	1.0000e-37	3.1161e+00	1.3629e+00	9.8066e-10	2.3044e-07	4.1139e-03	1.0000e-37	6.1228e+03	1.9102e+00	1.7894e-08	1.1858e-11	2.3767e-06	6.9930e-12	6.8327e-03	1.0000e-37	1.0831e-13	2.6608e-10	1.7684e-09	5.1163e-14	1.0000e-37	2.9096e-21	9.6891e-24	1.0000e-37	2.9084e-09	9.7302e-10	6.7716e-12	1.2437e-01	2.0365e-02	3.9668e-02	1.0000e-37	1.0000e-37	1.0000e-37	2.3386e-10	1.8583e-11	1.0000e-37	1.2187e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.8184e-03	3.3428e-03	5.3805e-09	7.4963e-03	3.8815e-03	1.5268e-05	1.2217e-13	5.1960e+06	5.9438e-03	1.0524e-12	3.1679e-12	1.2676e-43	1.0000e-37	1.0000e-37	1.3852e-20	6.2512e-12	1.0000e-37	6.3121e-25	1.0000e-37	1.5433e-02	2.1650e-26	1.0000e-37	1.0000e-37	1.0000e-37	3.6004e-08	2.2561e-22	1.0000e-37	1.5202e-15	5.4443e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6463e-24	1.0022e-04	4.0828e-24	1.4195e-04	6.5712e-11	5.1647e-09	1.2730e-08	4.7315e+03	1.0000e-37	9.6891e-24
iteration 3	1.3136e-01	1.6929e-02	3.6258e+00	1.0000e-37	6.1848e+07	1.8331e+01	3.1278e+04	6.1075e+04	2.9797e+04	2.1151e-15	1.0000e-37	1.5695e-16	3.3302e+01	1.3299e+01	8.6786e-07	6.9306e-04	1.5086e+00	2.1615e-16	8.9139e+03	2.2539e+01	1.6810e-06	1.1591e-09	1.0125e-03	2.4022e-08	7.3649e-02	1.5953e-10	8.8245e-11	2.5441e-08	2.0212e-07	4.2105e-11	2.0977e-20	2.2644e-18	7.7246e-21	1.0000e-37	4.4704e-07	1.4956e-07	5.4231e-08	9.2694e-01	2.1893e-01	4.5709e-01	1.9322e-19	4.7880e-19	2.8558e-19	2.1948e-06	2.1106e-09	1.0000e-37	1.4117e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.9742e-02	3.6280e-02	5.9302e-07	8.8311e-02	4.3197e-02	1.1111e-02	1.0462e-09	5.1960e+06	6.4631e-02	9.4816e-10	2.8540e-09	2.8780e-37	1.0000e-37	1.0000e-37	5.1684e-16	7.2394e-10	1.0000e-37	4.5004e-20	1.0000e-37	1.6795e-01	5.9940e-21	1.0000e-37	1.0000e-37	1.0000e-37	3.2189e-05	2.0110e-17	2.6847e-20	1.2360e-11	4.8529e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2562e-19	1.1077e-03	3.1154e-19	1.5689e-03	7.4648e-09	4.8519e-07	1.1959e-06	4.5568e+03	1.5953e-10	7.7246e-21
iteration 3	1.2900e+01	4.1694e+00	4.7658e+01	1.0000e-37	6.1848e+07	2.4004e+02	4.2289e+04	8.1604e+04	3.9315e+04	6.9223e-13	7.9063e-28	5.1364e-14	4.1100e+02	2.6305e+02	1.6333e-03	6.5491e-02	3.8349e+01	7.0741e-14	1.0745e+04	7.5888e+01	3.6231e-04	9.4219e-08	2.2728e-02	5.9499e-06	9.8378e-01	1.0908e-08	3.9521e-08	2.5623e-06	4.1789e-05	4.6181e-08	2.1831e-16	1.1942e-15	2.5304e-18	4.1311e-13	1.6761e-04	5.6074e-05	1.3655e-05	5.9917e-01	2.8502e+00	7.7490e+00	2.4384e-15	1.5349e-09	3.3568e-15	1.0141e-03	3.6971e-07	5.6611e-19	2.6578e-08	5.1677e-24	6.9060e-24	1.7383e-24	2.6913e-01	4.9420e-01	1.6762e-04	9.7497e-01	6.4091e-01	1.9211e-01	5.1531e-06	5.1960e+06	8.8657e-01	1.5925e-06	4.7933e-06	1.3794e-28	1.0000e-37	3.4161e-28	1.6215e-12	1.3663e-07	5.7579e-30	4.3284e-15	1.8363e-30	2.3147e+00	6.5429e-17	2.4653e-23	4.3879e-23	1.9226e-23	1.6882e-02	1.2626e-12	2.7907e-16	4.7647e-08	3.0468e-13	6.8803e-29	1.0199e-21	9.2632e-21	4.9116e-21	1.5195e-20	1.6558e-14	1.6113e-02	4.1064e-14	2.2823e-02	1.3116e-06	1.0457e-04	2.5774e-04	3.8821e+03	1.0907e-08	2.5304e-18
iteration 3	1.5002e+03	1.6701e+03	6.0485e+02	1.0000e-37	6.1848e+07	2.7631e+03	1.5326e+04	2.9909e+04	1.4583e+04	2.1969e-10	7.7408e-23	1.6301e-11	2.3952e+03	6.5156e+03	1.4329e+00	8.0305e+00	1.3209e+03	2.2451e-11	2.3911e+04	1.6292e+02	3.1046e-01	5.3895e-06	3.4104e-02	3.9468e-03	1.3215e+01	6.5854e-07	1.9196e-05	4.3726e-04	1.3725e-02	1.4045e-04	1.3514e-11	1.7615e-12	8.0557e-16	2.3993e-11	5.1442e+00	1.7229e+00	9.3009e-04	1.7296e-01	3.6978e+01	1.3565e+02	1.4621e-10	1.3845e-05	1.2479e-10	1.5118e-01	6.5166e-05	1.4341e-13	4.9452e-06	3.6572e-18	4.8619e-18	1.2047e-18	3.6643e+00	6.7317e+00	1.4224e-01	1.0710e+01	9.5673e+00	4.3535e-01	1.0695e-02	5.1960e+06	1.2195e+01	8.8419e-03	2.6614e-02	6.2976e-24	1.0000e-37	1.0769e-22	1.3536e-08	2.5800e-05	2.7534e-24	2.0051e-10	8.7811e-25	3.2232e+01	2.6557e-12	1.0416e-17	2.3383e-17	1.2967e-17	3.2872e+00	3.3341e-08	2.3385e-06	6.8589e-05	8.0457e-09	7.0711e-24	2.5785e-16	2.3420e-15	1.2491e-15	3.8489e-15	1.1778e-09	2.3525e-01	2.9210e-09	3.3291e-01	2.3335e-04	8.9605e-02	2.2085e-01	2.1045e+03	6.5827e-07	8.0557e-16
iteration 3	7.0972e+03	3.3820e+03	4.9168e+03	1.0000e-37	6.1848e+07	1.2957e+04	5.9620e+03	1.2676e+04	6.7142e+03	1.4369e-07	2.0839e-16	1.0662e-08	3.9989e+03	5.8309e+03	2.5688e+01	1.5514e+01	1.3559e+03	1.4684e-08	1.5584e+05	8.5350e+03	1.0917e+03	3.1143e-04	3.3182e-02	5.2392e-02	1.5427e+02	5.5583e-05	1.3498e-02	1.9988e-01	7.6887e+00	1.1436e+00	3.3992e-06	9.1567e-09	5.3151e-13	1.4365e-09	7.2894e+01	2.4847e+01	2.7137e-01	5.4328e-02	4.3086e+02	1.8471e+03	1.6857e-05	3.7253e-01	7.5452e-06	1.2932e+02	1.9208e+01	6.4916e-10	1.5495e+00	4.9229e-14	6.5525e-14	1.6296e-14	4.5560e+01	8.5387e+01	6.2196e+00	8.2825e+01	5.0843e+01	5.5827e-01	1.0693e+01	5.1960e+06	1.5870e+02	1.9475e+02	5.8620e+02	1.0261e-20	1.0000e-37	1.3399e-16	2.0579e-06	8.3293e+00	7.3207e-18	1.4469e-07	2.3347e-18	4.2140e+02	2.1874e-09	2.8466e-14	8.7874e-14	5.9408e-14	1.1291e+01	3.2621e-04	1.3307e-01	3.6770e-02	7.8719e-05	3.1376e-17	1.1641e-12	1.0574e-11	5.6831e-12	1.7421e-11	1.3806e-06	3.0458e+00	3.4239e-06	4.2610e+00	5.8353e+01	3.8784e+02	7.0390e+02	4.3048e+02	5.5535e-05	5.3151e-13
iteration 3	1.7130e+04	4.6502e+03	9.4610e+03	1.0000e-37	6.1848e+07	6.1851e+04	3.5302e+03	7.8468e+03	4.3166e+03	1.2182e-04	1.9664e-13	9.0394e-06	5.9172e+03	4.7005e+03	2.5426e+02	4.1512e+01	1.3990e+03	1.2449e-05	1.7261e+05	9.9302e+03	1.7291e+03	2.5155e-02	2.4641e-02	6.2713e-01	1.0093e+03	5.2802e-03	4.9048e-01	3.9081e+00	9.3985e+01	2.5144e+01	8.2722e-04	2.5532e-06	4.7785e-10	1.4146e-07	5.1615e+02	2.0474e+02	2.5313e+00	3.0664e-02	4.4081e+03	1.8940e+04	5.0668e-04	1.1676e+00	1.9489e-04	1.4813e+03	2.6642e+02	6.7014e-07	2.6798e+01	3.6537e-10	4.8137e-10	1.1600e-10	5.2027e+02	9.6498e+02	1.1593e+02	9.3627e+01	5.2331e+01	7.9556e-01	1.6335e+02	5.1960e+06	1.6977e+03	3.2293e+03	9.7201e+03	1.0643e-17	1.0000e-37	2.3560e-13	2.2183e-04	1.4481e+02	1.2728e-14	1.0555e-04	4.0592e-15	4.2136e+03	9.5468e-07	2.5899e-11	8.5532e-11	5.9632e-11	6.5737e+00	4.2877e-02	2.5014e+00	8.8772e-01	1.0347e-02	2.9028e-14	1.2010e-09	1.0908e-08	5.8752e-09	1.7984e-08	9.1159e-04	3.5294e+01	2.2607e-03	4.6743e+01	4.3347e+02	6.5242e+02	1.0766e+03	3.3782e+01	5.2712e-03	4.7785e-10
iteration 3	6.2669e+04	9.0887e+03	1.0962e+04	1.0000e-37	6.1848e+07	4.5899e+05	2.2258e+03	4.7782e+03	2.5525e+03	1.2043e-01	7.9262e-11	8.9364e-03	1.3507e+04	2.0315e+03	2.2186e+03	1.1452e+02	2.5499e+03	1.2307e-02	1.9881e+05	9.2400e+03	4.3158e+03	2.4694e+00	8.0973e-03	2.2334e+01	2.1478e+03	6.0161e-01	1.3567e+01	3.1929e+02	9.0032e+02	8.3449e+02	1.4847e-01	2.8104e-03	8.1899e-07	4.4718e-05	1.1553e+03	5.4060e+02	3.8652e+01	2.9171e-03	4.2931e+04	1.7764e+05	1.0021e-02	2.1011e+00	3.7898e-03	1.5467e+04	9.7319e+02	1.9864e-03	2.8255e+02	2.7652e-06	3.4732e-06	7.0794e-07	4.0842e+03	6.9887e+03	3.5557e+03	8.8464e+01	5.1530e+01	5.0013e-01	6.9204e+02	5.1960e+06	1.3359e+04	2.7312e+04	8.2210e+04	1.5152e-14	1.0000e-37	4.5562e-10	2.8631e-02	1.5612e+03	2.2122e-11	1.6139e-01	7.0551e-12	3.6104e+04	2.2372e-04	2.7414e-08	9.0565e-08	6.3151e-08	1.5694e+00	3.5985e+00	3.5767e+01	1.9675e+01	8.6836e-01	8.9391e-12	3.6191e-06	3.2869e-05	1.7478e-05	5.3966e-05	3.9013e-01	3.8905e+02	9.6753e-01	4.9843e+02	3.2147e+03	1.7045e+03	2.6113e+03	1.0827e+00	5.9997e-01	8.1899e-07
iteration 4	4.8960e+05	5.0122e+04	1.6752e+04	1.0000e-37	6.1848e+07	3.7976e+06	2.9762e+02	5.0464e+02	2.0702e+02	1.6770e+02	2.3645e-07	1.3148e+01	5.2027e+04	5.2648e+02	1.1120e+04	1.0514e+02	9.8841e+03	1.8041e+01	2.6298e+05	4.9456e+03	6.7413e+04	2.6654e+02	1.6233e-03	2.4376e+04	3.2278e+03	2.2184e+02	2.3919e+03	4.2889e+05	1.8209e+03	1.7621e+04	1.3788e+01	3.2161e+01	1.1630e-02	7.5346e-02	1.8995e+03	8.8150e+02	1.4091e+03	5.2452e-06	3.9210e+05	1.4418e+06	1.7136e-01	2.5562e+00	6.4908e-02	1.2212e+05	2.0227e+03	1.0062e+01	2.5140e+03	5.5367e-03	6.7051e-03	1.1684e-03	3.0440e+04	5.1061e+04	7.4676e+04	6.5038e+01	4.7390e+01	1.1044e-01	1.3103e+03	5.1960e+06	1.0340e+05	6.5388e+04	1.9682e+05	1.7577e-10	1.0000e-37	9.0335e-07	1.1125e+01	1.4662e+04	3.5169e-08	1.0729e+02	1.1216e-08	3.0627e+05	1.9489e-01	1.9208e-05	6.2904e-05	4.3695e-05	1.7126e-01	1.7146e+02	1.8269e+02	2.1628e+02	4.1375e+01	2.1113e-08	5.5253e-02	4.5883e-01	1.8080e-01	6.9488e-01	4.1787e+01	3.3955e+03	1.0363e+02	4.3741e+03	3.4781e+04	2.7058e+04	4.0355e+04	2.3771e-02	2.2127e+02	1.1630e-02
iteration 3	5.7346e+05	5.7335e+04	4.3993e+04	1.0000e-37	6.1848e+07	1.5523e+07	1.1003e+01	1.8313e+01	7.3092e+00	2.0817e+05	1.4938e+05	3.6978e+04	5.3390e+05	2.6810e+02	6.0884e+04	1.8456e+01	1.5207e+04	4.6535e+04	3.2261e+05	2.3381e+03	5.5950e+05	5.5647e+04	1.0000e-37	2.5128e+05	1.4756e+04	2.0785e+05	2.7858e+03	3.8522e+06	1.0000e-37	3.8257e+04	8.0411e+03	2.0303e+05	5.7795e+04	3.4708e+04	9.1558e+05	3.1554e+05	9.2728e+03	4.7861e-11	2.2613e+06	8.7988e+06	1.3168e+02	1.8279e+02	5.0076e+01	1.2805e+05	3.3933e+03	1.5864e+02	7.6101e+03	8.9045e+03	1.0720e+04	1.8159e+03	8.3886e+04	1.4200e+05	1.6211e+05	5.0290e+01	4.3505e+01	2.4621e-02	7.0255e+02	5.1960e+06	3.7359e+05	3.8127e+04	1.1476e+05	1.7934e-03	1.0000e-37	3.5095e+03	5.6504e+03	6.3537e+04	1.0331e+03	2.2089e+03	3.2950e+02	2.4395e+06	1.3758e+03	4.4311e+01	1.4486e+02	1.0054e+02	1.4239e-02	1.8383e+03	1.0016e+04	2.5890e+02	4.4360e+02	2.3287e+04	2.3146e+00	1.8389e+01	6.6309e+00	2.7335e+01	3.5390e+02	2.3391e+04	8.7767e+02	3.1382e+04	2.8011e+05	2.0527e+05	3.5423e+05	1.4476e-03	2.0777e+05	5.7795e+04
iteration 3	2.6210e+05	2.7342e+04	4.6387e+04	1.0000e-37	6.1848e+07	1.5925e+07	1.0081e-01	1.6758e-01	6.6767e-02	2.2602e+05	8.8691e+05	4.7649e+04	2.9901e+05	1.4973e+02	2.6057e+04	1.4481e+00	9.4722e+03	6.8024e+04	2.4015e+05	1.4793e+03	4.3619e+05	8.3344e+04	1.0000e-37	1.9007e+05	6.8334e+04	1.0255e+06	3.9113e+02	2.6574e+06	1.0000e-37	4.0367e+03	4.2782e+03	8.7222e+05	2.8285e+05	1.8882e+05	4.4906e+06	1.6631e+06	1.5502e+03	6.2868e-13	4.1496e+06	1.9554e+07	7.0217e+01	9.7036e+01	2.6717e+01	1.2307e+04	9.2611e+03	1.5602e+03	8.6461e+03	1.0575e+04	1.2720e+04	2.1449e+03	1.2742e+05	2.4766e+05	1.7105e+04	4.0111e+01	4.1663e+01	2.9693e-03	2.9302e+01	5.1960e+06	7.8769e+05	3.4805e+03	1.0476e+04	2.9374e-01	1.0000e-37	1.8357e+04	6.2994e+03	8.3297e+04	1.1792e+04	1.0869e+03	3.7615e+03	4.4981e+06	1.6688e+03	5.9928e+01	1.9592e+02	1.3600e+02	7.5254e-04	7.1672e+02	5.2707e+03	1.1649e+01	1.7295e+02	1.5719e+05	2.4592e+01	1.8765e+02	7.0804e+01	2.8304e+02	1.6924e+02	5.3382e+04	4.1970e+02	7.1706e+04	6.6054e+05	1.3333e+05	3.0285e+05	2.3450e-08	1.0255e+06	2.8285e+05
