#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 4	2.4058e-06	6.0525e-07	1.2823e-06	1.0000e-37	1.0723e-02	3.4963e-04	1.0795e-16	2.0000e-16	6.1020e-17	5.2086e-07	7.5281e-09	2.7817e-07	3.9263e-07	2.5848e-13	2.0678e-10	4.6862e-11	9.7321e-11	2.2688e-07	4.9300e-07	3.7105e-08	6.4648e-08	2.3269e-07	2.5810e-19	6.1538e-08	2.9096e-07	1.4972e-07	1.3780e-06	2.2789e-06	5.5950e-09	2.8998e-08	4.5367e-07	4.1473e-06	1.4585e-07	8.1632e-08	1.6360e-06	5.5656e-07	1.1630e-09	1.0000e-37	1.0000e-37	7.0027e-04	2.2519e-05	5.6876e-05	3.3815e-05	3.0309e-06	3.5348e-06	5.2611e-09	8.0046e-07	4.1550e-07	5.5463e-07	1.3918e-07	9.4445e-06	1.6975e-05	1.4262e-07	3.2307e-09	2.9059e-09	2.6694e-16	9.5911e-09	1.3607e-03	3.6556e-05	2.1145e-05	6.3700e-05	1.4227e-07	1.0000e-37	9.5206e-09	2.3928e-07	5.2999e-06	7.4559e-07	3.9336e-07	2.3796e-07	1.1212e-04	2.4934e-05	6.3396e-06	1.0725e-05	4.3851e-06	1.2021e-16	5.3152e-06	6.7714e-07	1.4311e-11	1.2899e-06	1.3619e-09	1.0968e-11	9.9661e-11	4.9229e-11	1.7122e-10	1.2014e-05	1.0152e-06	2.9886e-05	1.4550e-06	8.4112e-06	1.5297e-08	3.7622e-08	5.9396e-22	4.9558e-08	1.4585e-07
iteration 3	9.2573e-07	3.7242e-07	1.5351e-06	1.0000e-37	1.0723e-02	8.9878e-04	1.0000e-37	1.0000e-37	1.0000e-37	4.6854e-07	2.4473e-08	2.6119e-07	5.1002e-09	1.5989e-14	5.9443e-12	1.3967e-12	2.3849e-12	2.1905e-07	8.8442e-09	2.4470e-08	1.2666e-08	2.0730e-07	1.0000e-37	1.5409e-08	3.7140e-08	7.9493e-08	1.1202e-06	1.8521e-06	1.4365e-10	6.0767e-09	1.0982e-06	1.0561e-05	3.4635e-07	1.6986e-07	5.3020e-06	1.7908e-06	5.7518e-10	1.0000e-37	1.0000e-37	7.4676e-04	5.8762e-05	1.4653e-04	8.7340e-05	1.3171e-06	3.8319e-06	5.0432e-08	8.5250e-07	2.1118e-06	2.8188e-06	7.0707e-07	1.0898e-05	1.9499e-05	2.6545e-08	2.8641e-09	2.6002e-09	4.5685e-19	3.9299e-10	1.3607e-03	4.1551e-05	3.3649e-06	1.0130e-05	1.0516e-06	1.0000e-37	5.3859e-08	6.0051e-07	5.4254e-06	4.9733e-06	3.8479e-07	1.5863e-06	1.2404e-04	7.7027e-05	3.2256e-05	5.4798e-05	2.2542e-05	1.0969e-18	6.1520e-06	1.4342e-06	7.3317e-13	1.4864e-06	3.9372e-09	1.0835e-10	9.8423e-10	4.9029e-10	1.6049e-09	1.0018e-05	1.1042e-06	2.4860e-05	1.5793e-06	8.2398e-06	3.5062e-09	8.6427e-09	1.0000e-37	2.8580e-08	3.4635e-07
iteration 3	4.7275e-07	4.8257e-09	1.5881e-06	1.0000e-37	1.0723e-02	1.0571e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.5437e-07	2.6995e-08	1.7457e-07	2.9562e-12	1.0000e-37	2.9535e-14	1.0000e-37	1.0000e-37	1.6089e-07	1.0000e-37	8.9619e-09	2.1952e-10	1.4235e-07	1.0000e-37	3.0138e-10	1.2754e-09	1.1057e-08	2.2048e-07	3.6488e-07	1.0000e-37	1.1208e-10	9.3013e-07	1.2566e-05	3.8580e-07	1.8193e-07	7.7758e-06	2.6279e-06	8.1152e-11	1.0000e-37	1.0000e-37	7.7679e-04	5.2266e-05	1.2467e-04	7.1983e-05	2.2440e-07	3.1074e-06	1.7425e-07	6.9435e-07	4.3240e-06	5.7672e-06	1.4432e-06	1.1141e-05	1.9929e-05	4.7899e-10	7.7188e-10	6.8939e-10	1.0000e-37	4.1396e-12	1.3607e-03	4.2465e-05	6.4428e-08	1.9394e-07	4.6999e-06	1.0000e-37	1.6891e-07	5.4593e-07	4.4288e-06	1.9295e-05	1.1653e-07	6.1538e-06	1.2659e-04	8.0343e-05	6.5084e-05	1.1420e-04	4.9112e-05	1.0000e-37	3.9949e-06	1.1951e-06	7.4727e-15	9.6435e-07	4.1533e-09	3.5793e-10	3.2512e-09	1.6596e-09	5.2887e-09	3.2656e-06	1.1233e-06	8.1002e-06	1.6061e-06	7.1448e-06	6.2612e-11	1.5433e-10	1.0000e-37	4.0749e-09	3.8580e-07
iteration 3	2.1254e-07	3.1855e-11	1.5201e-06	1.0000e-37	1.0723e-02	1.1709e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.7221e-07	2.4499e-08	9.8562e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0267e-07	1.0000e-37	3.8654e-09	1.6272e-12	8.4958e-08	1.0000e-37	2.5960e-12	1.1718e-10	5.5062e-10	1.6207e-08	2.6956e-08	1.0000e-37	1.2682e-12	3.5739e-07	6.0688e-06	2.0204e-07	1.0933e-07	5.2442e-06	1.7828e-06	3.5997e-12	1.0000e-37	1.0000e-37	8.5847e-04	2.3390e-05	4.7875e-05	2.4101e-05	2.4222e-08	2.2427e-06	1.9144e-07	5.1593e-07	5.1260e-06	6.8230e-06	1.6970e-06	1.1105e-05	1.9917e-05	5.3935e-12	1.4623e-10	1.2284e-10	1.0000e-37	1.0000e-37	1.3607e-03	4.2654e-05	1.2812e-09	3.8566e-09	8.6217e-06	1.0000e-37	1.9308e-07	2.0277e-07	3.3899e-06	3.3354e-05	2.2776e-08	1.0637e-05	1.2819e-04	4.7286e-05	6.9070e-05	1.3692e-04	6.7850e-05	1.0000e-37	1.4660e-06	4.5598e-07	1.0000e-37	3.5382e-07	3.7790e-09	3.7293e-10	3.3874e-09	1.7819e-09	5.5512e-09	1.0310e-06	1.1416e-06	2.5571e-06	1.6332e-06	6.3090e-06	4.6723e-13	1.1516e-12	1.0000e-37	2.0684e-10	2.0204e-07
iteration 3	2.4867e-08	3.0540e-13	1.3339e-06	1.0000e-37	1.0723e-02	1.1782e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.8851e-07	2.0463e-08	4.0612e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.6850e-08	1.0000e-37	1.9271e-09	1.8193e-15	3.6406e-08	1.0000e-37	2.4511e-15	1.0953e-11	2.4497e-12	1.3261e-10	2.2551e-10	1.0000e-37	4.2252e-15	2.8168e-08	4.5580e-07	2.0875e-08	1.5808e-08	9.3056e-07	3.2422e-07	1.3696e-14	1.0000e-37	1.0000e-37	9.3765e-04	2.6950e-06	4.6860e-06	1.7405e-06	6.6774e-10	1.3956e-06	4.6454e-08	3.3867e-07	2.6427e-06	3.5170e-06	8.7434e-07	9.8591e-06	1.7765e-05	1.7930e-14	2.4746e-11	1.7538e-11	1.0000e-37	1.0000e-37	1.3607e-03	3.8424e-05	1.9407e-11	5.8416e-11	3.2491e-06	1.0000e-37	3.8055e-08	1.2628e-08	2.3373e-06	1.7287e-05	1.7646e-09	5.5131e-06	1.1793e-04	8.6658e-06	2.7872e-05	6.9821e-05	4.1949e-05	1.0000e-37	2.0285e-07	3.5852e-08	1.0000e-37	4.8952e-08	3.1670e-09	8.4782e-11	7.7008e-10	4.2296e-10	1.2786e-09	2.5110e-07	1.0593e-06	6.2274e-07	1.5106e-06	4.6931e-06	5.2403e-16	1.2916e-15	1.0000e-37	9.7589e-13	2.0875e-08
iteration 3	5.0043e-14	1.9828e-19	1.2701e-07	1.0000e-37	1.0723e-02	5.7051e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0831e-11	1.0000e-37	8.3136e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0506e-12	1.0000e-37	2.7899e-14	5.3670e-23	7.7992e-13	1.0000e-37	4.5176e-23	6.2276e-17	1.8283e-19	1.8025e-17	3.3184e-17	1.0000e-37	5.5405e-22	6.8584e-14	8.1042e-13	7.4635e-14	8.5718e-14	9.4239e-12	3.1821e-12	1.2570e-21	1.0000e-37	1.0000e-37	5.1224e-08	8.5497e-12	1.8100e-11	3.9166e-12	7.1118e-16	3.7703e-11	2.8925e-13	9.0846e-12	5.8788e-11	7.8390e-11	1.9601e-11	8.0376e-10	1.4317e-09	2.3477e-21	1.5264e-16	1.0439e-16	1.0000e-37	1.0000e-37	1.3607e-03	2.6877e-09	1.8246e-17	5.4922e-17	3.3212e-11	1.0000e-37	2.5928e-13	2.5290e-14	5.8786e-11	3.9771e-10	5.7881e-15	1.2684e-10	7.6793e-09	5.9125e-11	3.4723e-10	1.0511e-09	7.0384e-10	1.0000e-37	9.8276e-13	8.7450e-14	1.0000e-37	2.3715e-13	1.0000e-37	5.0923e-16	4.6253e-15	2.6229e-15	7.7574e-15	2.7192e-12	5.6596e-11	6.7436e-12	7.9997e-11	1.5650e-10	1.5491e-23	3.8180e-23	1.0000e-37	8.8267e-20	7.4635e-14
iteration 3	2.1192e-16	1.3535e-22	1.2237e-08	1.0000e-37	1.0723e-02	7.2565e-08	1.0000e-37	1.0000e-37	1.0000e-37	8.8142e-13	1.0000e-37	6.7658e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.5495e-14	1.0000e-37	5.5445e-16	8.7694e-27	6.3960e-14	1.0000e-37	4.1505e-28	1.5673e-18	1.9714e-23	6.5769e-22	1.5424e-21	1.0000e-37	3.9682e-26	7.7848e-17	7.8041e-16	1.8866e-16	3.6594e-16	3.6011e-13	1.2067e-13	6.1647e-26	1.0000e-37	1.0000e-37	4.9008e-09	1.5599e-14	2.4007e-13	6.3536e-15	8.9277e-19	2.5159e-12	1.6942e-15	6.3091e-13	1.2348e-12	1.6452e-12	4.1045e-13	6.6383e-11	1.1777e-10	1.6814e-25	2.9429e-18	2.0485e-18	1.0000e-37	1.0000e-37	1.3607e-03	2.1981e-10	1.4869e-20	4.4756e-20	4.2176e-13	1.0000e-37	1.4610e-15	2.2402e-17	4.1828e-12	1.3079e-11	2.4075e-18	4.1710e-12	6.2408e-10	2.0886e-13	6.7629e-12	2.1646e-11	1.4883e-11	1.0000e-37	2.5356e-16	9.9399e-17	1.0000e-37	6.1188e-17	1.0000e-37	2.9571e-18	2.6860e-17	1.5606e-17	4.5422e-17	5.8788e-15	4.8785e-12	1.4579e-14	6.6994e-12	1.0000e-11	2.5310e-27	6.2383e-27	1.0000e-37	1.8002e-23	1.8866e-16
iteration 3	1.7449e-18	1.7271e-25	1.1471e-09	1.0000e-37	1.0723e-02	7.1356e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.0767e-14	1.0000e-37	6.1997e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.8342e-15	1.0000e-37	9.4389e-18	1.0000e-37	5.9285e-15	1.0000e-37	3.1955e-31	4.7688e-20	1.3005e-25	7.0342e-25	2.7978e-24	1.0000e-37	3.1567e-29	7.0613e-19	1.7917e-17	5.6975e-18	1.3609e-17	3.2372e-14	1.0838e-14	9.2121e-29	1.0000e-37	1.0000e-37	3.3939e-10	1.0869e-16	8.9225e-15	4.2639e-17	5.9148e-21	1.1961e-13	4.6013e-17	3.0913e-14	1.1387e-13	1.5075e-13	3.6879e-14	5.5139e-12	9.7397e-12	1.3376e-28	4.2391e-20	2.7134e-20	1.0000e-37	1.0000e-37	1.3607e-03	1.7719e-11	3.2492e-23	9.7801e-23	1.6321e-14	1.0000e-37	6.3309e-17	2.0577e-19	2.1281e-13	1.5092e-12	1.4585e-20	4.8132e-13	4.9340e-11	2.3017e-15	3.8473e-13	1.2544e-12	8.6964e-13	1.0000e-37	4.0483e-19	9.0156e-19	1.0000e-37	9.7692e-20	1.0000e-37	7.9998e-20	7.2662e-19	4.2687e-19	1.2335e-18	6.6518e-17	3.7754e-13	1.6496e-16	4.9832e-13	4.9077e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.2849e-25	5.6975e-18
iteration 3	7.6460e-19	8.3145e-28	2.5128e-08	1.0000e-37	1.0723e-02	1.2408e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.5444e-12	1.0000e-37	1.1855e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4981e-13	1.0000e-37	7.8818e-19	1.0000e-37	1.5857e-13	1.0000e-37	7.6665e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.7696e-19	4.3042e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1161e-09	1.0000e-37	4.4494e-14	1.0000e-37	1.0000e-37	1.8210e-13	1.0000e-37	7.7093e-14	1.7859e-39	2.4162e-39	6.3031e-40	1.0632e-10	1.8759e-10	1.0000e-37	2.9126e-21	1.0000e-37	1.0000e-37	1.0000e-37	1.3607e-03	3.2580e-10	1.0000e-37	1.0000e-37	9.6138e-16	1.0000e-37	1.0000e-37	3.9603e-23	8.7734e-13	9.7329e-29	1.0000e-37	3.1040e-29	9.1010e-10	1.0000e-37	1.9366e-28	6.7278e-28	4.7912e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9763e-12	1.0000e-37	6.3012e-12	7.0931e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3042e-18
iteration 3	1.8061e-21	8.7856e-30	1.1240e-08	1.0000e-37	1.0723e-02	5.8797e-08	1.0000e-37	1.0000e-37	1.0000e-37	6.5607e-13	1.0000e-37	5.0360e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.3637e-14	1.0000e-37	3.0528e-20	1.0000e-37	7.1938e-14	1.0000e-37	8.7251e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2013e-20	2.0162e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5625e-09	1.0000e-37	6.0868e-15	1.0000e-37	1.0000e-37	7.5368e-14	1.0000e-37	3.2940e-14	1.0000e-37	1.0000e-37	1.0000e-37	4.4442e-11	7.8147e-11	1.0000e-37	8.0650e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.3607e-03	1.3380e-10	1.0000e-37	1.0000e-37	5.3386e-16	1.0000e-37	1.0000e-37	3.8670e-24	3.8345e-13	1.0000e-37	1.0000e-37	1.0000e-37	3.7035e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0377e-12	1.0000e-37	2.4661e-12	3.0426e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0162e-18
