#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	9.3294e-05	1.2246e-05	5.5135e-03	1.0000e-37	5.6714e+06	1.5810e-02	5.1804e+02	1.2300e+03	5.5197e+02	3.9483e-09	1.0000e-37	7.3245e-10	2.6576e-01	4.0421e-02	6.2386e-07	1.0272e-06	1.3550e-03	2.0864e-09	3.1979e+02	5.2027e-02	6.2309e-05	9.8888e-09	3.6858e-07	7.2146e-07	9.9798e-04	1.4770e-07	2.0044e-06	3.3137e-06	9.0612e-06	9.6976e-07	2.0472e-09	2.5700e-08	7.4507e-10	4.1159e-09	3.7760e-06	2.9753e-07	4.4884e-08	1.1152e-03	1.0000e-37	3.4546e-03	9.8841e-08	3.7217e-06	1.4840e-07	7.3341e-05	1.5855e-05	2.1620e-08	2.9248e-06	3.8229e-10	5.1028e-10	1.2811e-10	6.3492e-05	1.2140e-04	1.5365e-04	2.0245e-04	1.0241e-04	6.7910e-07	6.6362e-06	5.0087e+05	2.7199e-04	4.5675e-04	1.3847e-03	5.8886e-17	1.0000e-37	1.0000e-37	1.4101e-08	2.3524e-05	1.0000e-37	4.4135e-08	1.0000e-37	1.0675e-03	7.3423e-09	5.9591e-09	1.0088e-08	4.1287e-09	7.9469e-08	6.4181e-07	8.1762e-07	2.1972e-08	1.6153e-07	1.0000e-37	1.6900e-11	1.5380e-10	6.9390e-11	8.7279e-10	1.0345e-06	1.5062e-05	2.6212e-06	2.2770e-05	1.5368e-03	1.5961e-06	3.5188e-06	3.6713e+01	1.3202e-08	7.4507e-10
iteration 3	7.3787e-03	7.7964e-04	7.1599e-02	1.0000e-37	5.6714e+06	2.0139e-01	5.2085e+02	1.1434e+03	5.4709e+02	2.3184e-06	5.7230e-08	5.5162e-07	2.5413e+00	4.1215e-01	4.1229e-04	1.6070e-04	6.1216e-02	2.3514e-06	5.9471e+02	5.9882e-01	1.7244e-02	1.9999e-06	2.1981e-05	5.1204e-04	9.5276e-03	1.0182e-03	1.1979e-03	1.9807e-03	3.6924e-05	6.9053e-05	1.0969e-05	1.8965e-04	1.6781e-04	7.7984e-05	6.4440e-04	5.4096e-05	5.8674e-06	5.5506e-03	1.0000e-37	3.0208e-02	2.8525e-04	7.3699e-04	4.2390e-04	2.0678e-03	1.4375e-04	1.5706e-05	1.9495e-05	1.3547e-05	1.8071e-05	4.5263e-06	5.9093e-04	1.1376e-03	1.2310e-02	2.6253e-03	1.3069e-03	2.4071e-05	1.3068e-04	5.0087e+05	2.4867e-03	1.0272e-02	3.1170e-02	2.0111e-06	1.0000e-37	4.3716e-07	9.2046e-06	1.5282e-04	2.3156e-05	2.9408e-05	7.3870e-06	9.4298e-03	2.0450e-04	1.3118e-04	2.2400e-04	9.2821e-05	1.9881e-05	1.1790e-04	2.1626e-05	9.5664e-07	2.9142e-05	7.2057e-09	6.5848e-07	5.9847e-06	2.8408e-06	2.1475e-05	2.8712e-04	1.2380e-04	7.2230e-04	1.8561e-04	2.3220e-02	2.9032e-04	6.4768e-04	3.5944e+01	1.2426e-04	1.6781e-04
iteration 3	8.2458e-01	1.5747e-01	8.8444e-01	1.0000e-37	5.6714e+06	2.4285e+00	4.6355e+02	1.0097e+03	4.7043e+02	2.5503e-05	7.1303e-07	6.2269e-06	2.3198e+01	5.9466e+00	7.4549e-03	1.8172e-03	1.1098e+00	2.6117e-05	6.4049e+02	2.7840e+00	2.0970e-01	2.3606e-05	3.2079e-04	7.4795e-03	1.0882e-01	1.2742e-02	1.6261e-02	2.6913e-02	3.3575e-04	7.6955e-04	1.3342e-04	2.2221e-03	1.7963e-03	8.7348e-04	9.0588e-03	6.3745e-04	6.7335e-05	5.5466e-03	1.0000e-37	3.6352e-01	3.1668e-03	7.7815e-03	4.3432e-03	2.2010e-02	1.0438e-03	1.8131e-04	1.9577e-04	1.5525e-04	2.0692e-04	5.1692e-05	7.0254e-03	1.3742e-02	1.4336e-01	2.7624e-02	1.7469e-02	1.5334e-04	1.3676e-03	5.0087e+05	3.0194e-02	1.0775e-01	3.2696e-01	2.0285e-05	1.0000e-37	4.7826e-06	1.0071e-04	1.5778e-03	2.4252e-04	3.3753e-04	7.7355e-05	1.1723e-01	2.1221e-03	1.3011e-03	2.3062e-03	1.0051e-03	1.8103e-03	1.2883e-03	2.4757e-04	1.0395e-05	3.1867e-04	8.7053e-08	8.1292e-06	7.3875e-05	3.5424e-05	2.7144e-04	3.1648e-03	1.3920e-03	7.9678e-03	2.0838e-03	3.9071e-01	3.4297e-03	7.5935e-03	3.2421e+01	1.5607e-03	1.7963e-03
iteration 3	5.7897e+01	1.3459e+01	9.3345e+00	1.0000e-37	5.6714e+06	2.1730e+01	4.1173e+02	9.0160e+02	4.3085e+02	2.3908e-04	7.4244e-06	6.0112e-05	1.1314e+02	3.8328e+01	1.2487e-01	2.1020e-02	7.1370e+00	2.5769e-04	7.2272e+02	6.7369e+00	1.8074e+00	2.2889e-04	1.4806e-03	8.7747e-02	1.0973e+00	1.3007e-01	1.8222e-01	3.0458e-01	4.5621e-03	7.1539e-03	2.0949e-03	2.3148e-02	1.7581e-02	8.3574e-03	2.3128e-01	1.0109e-02	6.3556e-04	3.3786e-03	1.0000e-37	4.1376e+00	3.4586e-02	6.6977e-02	2.9993e-02	2.2271e-01	3.9119e-03	1.9211e-03	2.0816e-03	2.0659e-03	2.7468e-03	6.8120e-04	8.4608e-02	1.6937e-01	1.2062e+00	2.4308e-01	2.0216e-01	8.6591e-04	1.4679e-02	5.0087e+05	3.6821e-01	1.0467e+00	3.1770e+00	1.2860e-04	1.0000e-37	4.8543e-05	1.0590e-03	1.8426e-02	2.4203e-03	3.4887e-03	7.7196e-04	1.4043e+00	2.0929e-02	8.4910e-03	1.8764e-02	1.0273e-02	4.8280e-02	1.3538e-02	3.5567e-03	1.1003e-04	3.3538e-03	9.0769e-07	8.9799e-05	8.1553e-04	3.9385e-04	3.1362e-03	3.3355e-02	1.5011e-02	8.4077e-02	2.2474e-02	4.2707e+00	3.1542e-02	7.0132e-02	2.0142e+01	1.6351e-02	1.7581e-02
iteration 3	3.1277e+02	1.0881e+02	6.9523e+01	1.0000e-37	5.6714e+06	9.3315e+01	3.4428e+02	7.6827e+02	3.6776e+02	2.3984e-03	7.9832e-05	6.0386e-04	2.6172e+02	4.7372e+01	1.3223e+00	3.0828e-01	1.4781e+01	2.6835e-03	1.0419e+03	2.7802e+01	1.5578e+01	2.4937e-03	1.9415e-03	1.0719e+00	9.1651e+00	1.3553e+00	1.8984e+00	3.4879e+00	9.7976e-02	7.1209e-02	4.5858e-02	2.4679e-01	1.7539e-01	7.9049e-02	3.4672e+00	2.2804e-01	8.4275e-03	3.0211e-03	1.0000e-37	3.9239e+01	2.1046e-01	3.2137e-01	9.6435e-02	3.1714e+00	9.2144e-02	2.0875e-02	2.8078e-02	3.3264e-02	4.4275e-02	1.1016e-02	8.7816e-01	1.7506e+00	8.7536e+00	1.6067e+00	1.4523e+00	1.2760e-02	2.9999e-01	5.0087e+05	3.7609e+00	1.1680e+01	3.5516e+01	2.5291e-04	1.0000e-37	5.0765e-04	1.3531e-02	2.9265e-01	2.4198e-02	3.6382e-02	7.7199e-03	1.4450e+01	1.8947e-01	2.4030e-02	7.2696e-02	4.8666e-02	3.2120e-01	1.4349e-01	7.4381e-02	1.9612e-03	3.5657e-02	9.7932e-06	8.5908e-04	7.7430e-03	3.6911e-03	3.2534e-02	3.4622e-01	1.5387e-01	8.7484e-01	2.2883e-01	2.6189e+01	3.6512e-01	8.2368e-01	3.2858e+00	2.0242e-01	1.7539e-01
iteration 3	4.8752e+02	2.5872e+02	3.0304e+02	1.0000e-37	5.6714e+06	2.8600e+02	2.3656e+02	5.6613e+02	2.3809e+02	3.1838e-02	9.1560e-04	7.3986e-03	3.9140e+02	2.0441e+01	1.2522e+01	1.0519e+00	3.6163e+01	3.2718e-02	1.2811e+03	1.1656e+02	9.0117e+01	3.9376e-02	1.1367e-03	1.4914e+01	5.2565e+01	1.5679e+01	1.1917e+01	4.1648e+01	1.2485e+00	1.1117e+00	6.9058e-01	2.7564e+00	1.8034e+00	7.6837e-01	3.0522e+01	3.6793e+00	9.7941e-02	7.7598e-04	1.0000e-37	4.0157e+02	3.9165e-01	5.8200e-01	1.5084e-01	3.9600e+01	3.4246e+00	2.2852e-01	5.1286e-01	3.8668e-01	5.1046e-01	1.2383e-01	9.5448e+00	1.8876e+01	7.5254e+01	4.4749e+00	4.0719e+00	3.8544e-02	4.1545e+00	5.0087e+05	3.9889e+01	1.4949e+02	4.5423e+02	1.6792e-04	1.0000e-37	5.9920e-03	2.5440e-01	4.9904e+00	2.3621e-01	4.5233e-01	7.5361e-02	1.4654e+02	1.0081e+00	3.2549e-02	1.0723e-01	7.4678e-02	2.5482e-01	1.6158e+00	1.1268e+00	3.8169e-02	4.0401e-01	1.1108e-04	5.9570e-03	5.0795e-02	2.3019e-02	2.4994e-01	3.3225e+00	1.7469e+00	8.4351e+00	2.4574e+00	1.0306e+02	3.9706e+00	8.9692e+00	2.2162e-01	3.8558e+00	1.8034e+00
iteration 3	7.2413e+02	3.6967e+02	5.6269e+02	1.0000e-37	5.6714e+06	1.6145e+03	4.5520e+01	1.2490e+02	2.9390e+01	7.9881e-01	1.0489e-02	1.3394e-01	5.3912e+02	1.3172e+01	1.0431e+02	2.0220e+00	1.9952e+02	4.7874e-01	1.7767e+03	1.5725e+02	9.1932e+02	1.1320e+00	2.6568e-04	2.7001e+02	1.5243e+02	2.8902e+02	3.1221e+01	6.1438e+02	1.0600e+01	2.7765e+01	7.6838e+00	3.5612e+01	1.9937e+01	9.6323e+00	1.8069e+02	2.8577e+01	1.4537e+00	1.9148e-05	1.0000e-37	3.6252e+03	4.8102e-01	7.1182e-01	1.8158e-01	4.2688e+02	2.3512e+01	2.8689e+00	5.7157e+00	2.8718e+00	3.6282e+00	7.5661e-01	8.4991e+01	1.5912e+02	1.1927e+03	5.5845e+00	5.1960e+00	1.4370e-02	1.7307e+01	5.0087e+05	3.3880e+02	9.2263e+02	2.8014e+03	7.1329e-05	1.0000e-37	8.9632e-02	3.6633e+00	5.5268e+01	1.5023e+00	8.1687e+00	4.7942e-01	1.2244e+03	1.8487e+00	3.3866e-02	1.1204e-01	7.8178e-02	4.6736e-02	1.9002e+01	1.2514e+01	8.3300e-01	4.8230e+00	1.2878e-03	2.9561e-02	2.1498e-01	8.6818e-02	1.3133e+00	1.8588e+01	1.6980e+01	4.7638e+01	2.3506e+01	5.6421e+02	4.7530e+01	1.0722e+02	6.2741e-03	8.4568e+01	1.9937e+01
iteration 3	1.7689e+03	4.5989e+02	7.7100e+02	1.0000e-37	5.6714e+06	8.3302e+03	1.8491e+00	4.9338e+00	1.0826e+00	5.8574e+01	1.1553e-01	1.0165e+01	1.7575e+03	2.1533e+01	7.8046e+02	2.8700e+00	1.0104e+03	1.7652e+01	6.1924e+03	1.4918e+02	8.7688e+03	3.8078e+01	8.3482e-05	3.3694e+03	4.1957e+02	6.0728e+03	5.8871e+01	1.0460e+04	5.3560e+01	3.9277e+02	4.6184e+01	4.6797e+02	2.0622e+02	1.3490e+02	1.5656e+03	2.0453e+02	3.4007e+01	4.1658e-11	1.0000e-37	3.1691e+04	5.9576e-01	8.7107e-01	2.2561e-01	2.7996e+03	9.0008e+01	3.4562e+01	5.3133e+01	7.0697e+00	8.5798e+00	1.5109e+00	6.7982e+02	1.1982e+03	9.4186e+03	5.4379e+00	5.2742e+00	6.0685e-03	2.5127e+01	5.0087e+05	2.6655e+03	1.7265e+03	5.2371e+03	3.3634e-05	1.0000e-37	1.0316e+00	2.6044e+01	5.4185e+02	3.0757e+00	1.0765e+02	9.8244e-01	9.5480e+03	2.2171e+00	3.2510e-02	1.0654e-01	7.4034e-02	9.2478e-03	1.3512e+02	7.8084e+01	6.1280e+00	3.4610e+01	1.6077e-02	2.1273e-01	1.4129e+00	5.3475e-01	6.6508e+00	5.0210e+01	1.3071e+02	1.2894e+02	1.8079e+02	4.0487e+03	6.4155e+02	1.4483e+03	4.0681e-04	1.8492e+03	2.0622e+02
iteration 3	3.5168e+03	6.0615e+02	1.1439e+03	1.0000e-37	5.6714e+06	3.8536e+04	4.8835e-02	1.0602e-01	2.7439e-02	3.6209e+02	3.5462e+00	1.5747e+02	6.4505e+03	1.6742e+01	1.4473e+03	5.0115e-01	1.1012e+03	1.7965e+02	9.3431e+03	1.2420e+02	2.5558e+04	2.1848e+02	1.0000e-37	1.1531e+04	2.2198e+03	5.7817e+04	3.4869e+01	5.4378e+04	1.1864e-04	5.8977e+02	5.2411e+01	4.8297e+03	1.6715e+03	1.8588e+03	1.1540e+04	1.3495e+03	1.3154e+02	1.0448e-12	1.0000e-37	1.0722e+05	4.2209e-01	6.0495e-01	1.6033e-01	2.3134e+03	3.3997e+02	1.6851e+02	2.3921e+02	1.0711e+01	1.3044e+01	2.3423e+00	3.3101e+03	5.8127e+03	8.3300e+03	4.9215e+00	5.0924e+00	2.1528e-03	7.8336e+00	5.0087e+05	1.3044e+04	8.0226e+02	2.4281e+03	1.7691e-03	1.0000e-37	2.5819e+00	6.0406e+01	2.3363e+03	1.3865e+01	2.2764e+02	4.4718e+00	5.4174e+04	5.3954e+00	3.0424e-01	9.9770e-01	6.9346e-01	9.1211e-04	1.8020e+02	1.1271e+02	3.2515e+00	4.5599e+01	2.5949e+00	1.3420e+00	8.9817e+00	3.5971e+00	3.2969e+01	5.2745e+01	5.0365e+02	1.3423e+02	6.6878e+02	2.4975e+04	2.2880e+03	5.3730e+03	6.9018e-09	1.7439e+04	1.6715e+03
iteration 3	4.1021e+03	6.4097e+02	1.2132e+03	1.0000e-37	5.6714e+06	4.1596e+05	3.0881e-08	5.9942e-08	1.7205e-08	1.3417e+03	6.2385e+01	3.6267e+02	2.4548e+03	2.1891e+00	2.3122e+02	1.0401e-02	1.3095e+02	5.9746e+02	3.6695e+03	8.1729e+01	1.7700e+04	1.1658e+03	1.0000e-37	8.6237e+03	5.5292e+03	8.5843e+04	1.0012e+01	7.2722e+04	1.0000e-37	1.0973e+02	1.1081e+02	2.1589e+04	7.1890e+03	1.1425e+04	9.9292e+04	2.5751e+04	3.7506e+01	1.0000e-37	1.0000e-37	2.4882e+05	8.7277e-01	1.2093e+00	3.3173e-01	3.9225e+02	1.9486e+03	6.1738e+02	6.0081e+02	3.8691e+01	4.6650e+01	7.9782e+00	7.0344e+03	1.1814e+04	7.9280e+02	4.3908e+00	4.9878e+00	1.3232e-04	1.6860e-01	5.0087e+05	2.5608e+04	1.1731e+02	3.5373e+02	1.3588e-02	1.0000e-37	2.1128e+01	6.6908e+01	4.5342e+03	1.0274e+02	8.1842e+01	3.3103e+01	1.2663e+05	9.2732e+00	6.6170e-01	2.1673e+00	1.5056e+00	6.1136e-06	5.0715e+01	1.5057e+02	6.4885e-02	1.2413e+01	2.3943e+01	4.9286e+00	2.3096e+01	1.0715e+01	8.7479e+01	1.5943e+01	1.0799e+03	3.9771e+01	1.4368e+03	7.5131e+04	2.6326e+03	6.4570e+03	3.1484e-10	4.7263e+04	7.1890e+03
