#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 4	1.7818e-06	4.7066e-07	1.0387e-06	1.0000e-37	8.5001e-03	3.4555e-04	9.8502e-17	1.8601e-16	5.8657e-17	3.7073e-07	7.2837e-09	1.9609e-07	2.6966e-07	2.5410e-13	1.7408e-10	5.1836e-11	1.0686e-10	1.6143e-07	3.5742e-07	4.1620e-08	6.4708e-08	1.6295e-07	3.5864e-19	5.9269e-08	2.0690e-07	1.4511e-07	1.3520e-06	2.2356e-06	6.4466e-09	2.9217e-08	4.4265e-07	4.1146e-06	1.4475e-07	8.0855e-08	1.5575e-06	5.2240e-07	1.1662e-09	1.0000e-37	1.0000e-37	7.0142e-04	2.1939e-05	5.5430e-05	3.2944e-05	3.0465e-06	3.5347e-06	6.3944e-09	8.0070e-07	4.1637e-07	5.5580e-07	1.3948e-07	9.3479e-06	1.6856e-05	1.4368e-07	3.5026e-09	3.1469e-09	2.6620e-16	9.6345e-09	7.7906e-04	3.6402e-05	2.1404e-05	6.4478e-05	1.4263e-07	1.0000e-37	9.5538e-09	2.3953e-07	5.3031e-06	7.4832e-07	3.8824e-07	2.3883e-07	1.1170e-04	2.5135e-05	6.3600e-06	1.0759e-05	4.3991e-06	1.2993e-16	5.2846e-06	6.6311e-07	1.4298e-11	1.2825e-06	1.3174e-09	1.3844e-11	1.2579e-10	6.1227e-11	2.1513e-10	1.1926e-05	1.0077e-06	2.9667e-05	1.4470e-06	8.4121e-06	1.5314e-08	3.7661e-08	6.5104e-22	4.7390e-08	1.4475e-07
iteration 3	6.8680e-07	2.8608e-07	1.2546e-06	1.0000e-37	8.5001e-03	8.9271e-04	1.0000e-37	1.0000e-37	1.0000e-37	3.3367e-07	2.4310e-08	1.8447e-07	3.6121e-09	1.8041e-14	6.1364e-12	1.5454e-12	2.6382e-12	1.5714e-07	7.2093e-09	2.7071e-08	1.3374e-08	1.4608e-07	1.0000e-37	1.4909e-08	2.6918e-08	7.9658e-08	1.1232e-06	1.8570e-06	1.6508e-10	6.4126e-09	1.0986e-06	1.0590e-05	3.4750e-07	1.7034e-07	5.2440e-06	1.7623e-06	5.9109e-10	1.0000e-37	1.0000e-37	7.4648e-04	5.8715e-05	1.4642e-04	8.7269e-05	1.3500e-06	3.8329e-06	5.8584e-08	8.5254e-07	2.1222e-06	2.8327e-06	7.1056e-07	1.0780e-05	1.9351e-05	2.8013e-08	3.1033e-09	2.8150e-09	4.5898e-19	3.9861e-10	7.7906e-04	4.1359e-05	3.5473e-06	1.0679e-05	1.0560e-06	1.0000e-37	5.4110e-08	6.0343e-07	5.4245e-06	4.9911e-06	3.8422e-07	1.5920e-06	1.2349e-04	7.7336e-05	3.2392e-05	5.5030e-05	2.2638e-05	1.1876e-18	6.1653e-06	1.4351e-06	7.4409e-13	1.4896e-06	3.9104e-09	1.2953e-10	1.1766e-09	5.7930e-10	1.9117e-09	9.9945e-06	1.0952e-06	2.4802e-05	1.5693e-06	8.2404e-06	3.7018e-09	9.1250e-09	1.0000e-37	2.8605e-08	3.4750e-07
iteration 3	3.4837e-07	3.5963e-09	1.3004e-06	1.0000e-37	8.5001e-03	1.0513e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.5261e-07	2.6883e-08	1.2362e-07	2.1338e-12	1.0000e-37	3.1207e-14	1.0000e-37	1.0000e-37	1.1618e-07	1.0000e-37	1.0031e-08	2.3383e-10	1.0095e-07	1.0000e-37	2.9167e-10	9.8638e-10	1.1121e-08	2.2025e-07	3.6449e-07	1.0000e-37	1.1917e-10	9.3301e-07	1.2526e-05	3.8675e-07	1.8238e-07	7.7356e-06	2.6072e-06	8.3498e-11	1.0000e-37	1.0000e-37	7.7649e-04	5.2376e-05	1.2494e-04	7.2136e-05	2.3058e-07	3.1099e-06	1.8481e-07	6.9475e-07	4.3273e-06	5.7715e-06	1.4443e-06	1.1025e-05	1.9786e-05	5.0929e-10	8.3865e-10	7.4755e-10	1.0000e-37	4.1772e-12	7.7906e-04	4.2284e-05	6.8328e-08	2.0568e-07	4.7074e-06	1.0000e-37	1.6919e-07	5.4731e-07	4.4303e-06	1.9328e-05	1.1605e-07	6.1642e-06	1.2609e-04	8.0452e-05	6.5107e-05	1.1424e-04	4.9128e-05	1.0000e-37	4.0065e-06	1.1989e-06	7.5479e-15	9.6714e-07	4.1356e-09	3.8405e-10	3.4884e-09	1.7720e-09	5.6659e-09	3.2481e-06	1.1145e-06	8.0566e-06	1.5964e-06	7.1493e-06	6.6695e-11	1.6439e-10	1.0000e-37	4.0975e-09	3.8675e-07
iteration 3	1.5423e-07	2.3688e-11	1.2430e-06	1.0000e-37	8.5001e-03	1.1660e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.9360e-07	2.4366e-08	6.9810e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.3457e-08	1.0000e-37	4.3989e-09	1.6573e-12	5.9928e-08	1.0000e-37	2.3988e-12	8.9057e-11	5.2335e-10	1.5176e-08	2.5243e-08	1.0000e-37	1.3055e-12	3.4683e-07	5.7141e-06	1.9551e-07	1.0623e-07	5.0624e-06	1.7164e-06	3.5316e-12	1.0000e-37	1.0000e-37	8.6098e-04	2.2912e-05	4.6901e-05	2.3603e-05	2.4307e-08	2.2473e-06	1.8734e-07	5.1732e-07	4.9868e-06	6.6377e-06	1.6510e-06	1.1004e-05	1.9797e-05	5.5525e-12	1.5985e-10	1.3356e-10	1.0000e-37	1.0000e-37	7.7906e-04	4.2519e-05	1.3388e-09	4.0300e-09	8.4826e-06	1.0000e-37	1.8754e-07	1.9760e-07	3.4010e-06	3.2759e-05	2.2006e-08	1.0448e-05	1.2790e-04	4.6650e-05	6.7726e-05	1.3424e-04	6.6517e-05	1.0000e-37	1.4538e-06	4.4251e-07	1.0000e-37	3.5087e-07	3.7605e-09	3.6547e-10	3.3196e-09	1.7454e-09	5.4393e-09	1.0087e-06	1.1348e-06	2.5017e-06	1.6260e-06	6.3080e-06	4.7586e-13	1.1729e-12	1.0000e-37	1.9658e-10	1.9551e-07
iteration 3	1.6793e-08	2.2379e-13	1.0903e-06	1.0000e-37	8.5001e-03	1.1715e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.3318e-07	2.0336e-08	2.8335e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.2864e-08	1.0000e-37	2.2005e-09	1.6772e-15	2.5177e-08	1.0000e-37	2.0369e-15	7.7345e-12	2.0639e-12	1.0831e-10	1.8420e-10	1.0000e-37	4.0436e-15	2.5465e-08	3.7900e-07	1.8753e-08	1.4374e-08	8.2859e-07	2.8698e-07	1.2200e-14	1.0000e-37	1.0000e-37	9.4130e-04	2.5113e-06	4.3824e-06	1.6205e-06	6.3589e-10	1.3913e-06	3.8811e-08	3.3810e-07	2.4175e-06	3.2174e-06	7.9988e-07	9.7496e-06	1.7619e-05	1.7158e-14	2.7060e-11	1.8901e-11	1.0000e-37	1.0000e-37	7.7906e-04	3.8222e-05	1.9567e-11	5.8896e-11	3.0706e-06	1.0000e-37	3.4672e-08	1.1532e-08	2.3352e-06	1.6311e-05	1.5939e-09	5.2017e-06	1.1748e-04	8.2367e-06	2.6036e-05	6.5256e-05	3.9220e-05	1.0000e-37	1.9570e-07	3.2412e-08	1.0000e-37	4.7228e-08	3.1472e-09	7.0594e-11	6.4121e-10	3.5290e-10	1.0654e-09	2.3570e-07	1.0517e-06	5.8455e-07	1.5019e-06	4.6544e-06	4.8310e-16	1.1907e-15	1.0000e-37	8.2196e-13	1.8753e-08
iteration 3	3.2119e-14	1.4450e-19	9.5892e-08	1.0000e-37	8.5001e-03	4.5838e-07	1.0000e-37	1.0000e-37	1.0000e-37	7.6577e-12	1.0000e-37	5.8222e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.3841e-13	1.0000e-37	3.2048e-14	4.9567e-23	5.4054e-13	1.0000e-37	3.7901e-23	4.3931e-17	1.5596e-19	1.4192e-17	2.6124e-17	1.0000e-37	5.3683e-22	6.2804e-14	6.5001e-13	6.8255e-14	7.9234e-14	7.7967e-12	2.6349e-12	1.1459e-21	1.0000e-37	1.0000e-37	5.1110e-08	8.0471e-12	1.7382e-11	3.6866e-12	6.8766e-16	3.7600e-11	2.1260e-13	9.0636e-12	5.3398e-11	7.1204e-11	1.7806e-11	6.7998e-10	1.2046e-09	2.2747e-21	1.6891e-16	1.1301e-16	1.0000e-37	1.0000e-37	7.7906e-04	2.3090e-09	1.8499e-17	5.5681e-17	3.1804e-11	1.0000e-37	2.4043e-13	2.3307e-14	5.8653e-11	3.8034e-10	5.1587e-15	1.2130e-10	6.6343e-09	5.6398e-11	3.2147e-10	9.7308e-10	6.5160e-10	1.0000e-37	9.4162e-13	8.0081e-14	1.0000e-37	2.2722e-13	1.0000e-37	3.7422e-16	3.3990e-15	1.9284e-15	5.7016e-15	2.5007e-12	5.3170e-11	6.2016e-12	7.5194e-11	1.5504e-10	1.4306e-23	3.5261e-23	1.0000e-37	7.4688e-20	6.8255e-14
iteration 3	1.3895e-16	9.9254e-23	9.2329e-09	1.0000e-37	8.5001e-03	5.8072e-08	1.0000e-37	1.0000e-37	1.0000e-37	6.2527e-13	1.0000e-37	4.7540e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.0292e-14	1.0000e-37	6.4003e-16	6.5810e-27	4.4469e-14	1.0000e-37	3.2565e-28	1.1097e-18	1.5013e-23	5.6798e-22	1.3190e-21	1.0000e-37	4.0861e-26	7.5602e-17	6.7733e-16	1.8248e-16	3.5681e-16	2.6183e-13	8.7717e-14	6.1028e-26	1.0000e-37	1.0000e-37	4.8847e-09	1.5296e-14	2.4111e-13	6.2307e-15	8.9988e-19	2.5166e-12	1.2249e-15	6.3088e-13	1.1699e-12	1.5588e-12	3.8890e-13	5.6091e-11	9.8991e-11	1.7314e-25	3.2725e-18	2.2255e-18	1.0000e-37	1.0000e-37	7.7906e-04	1.8877e-10	1.5527e-20	4.6735e-20	4.1618e-13	1.0000e-37	1.4266e-15	2.1692e-17	4.1815e-12	1.2898e-11	2.2338e-18	4.1134e-12	5.3920e-10	2.0456e-13	6.4543e-12	2.0657e-11	1.4203e-11	1.0000e-37	2.4857e-16	9.6531e-17	1.0000e-37	5.9984e-17	1.0000e-37	2.1379e-18	1.9419e-17	1.1284e-17	3.2841e-17	5.5079e-15	4.5816e-12	1.3660e-14	6.2934e-12	9.9795e-12	1.8994e-27	4.6816e-27	1.0000e-37	1.3379e-23	1.8248e-16
iteration 3	1.2608e-18	1.3375e-25	8.6690e-10	1.0000e-37	8.5001e-03	5.7256e-09	1.0000e-37	1.0000e-37	1.0000e-37	5.7740e-14	1.0000e-37	4.3900e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.5676e-15	1.0000e-37	1.1030e-17	1.0000e-37	4.1512e-15	1.0000e-37	2.4734e-31	3.4220e-20	1.0662e-25	8.5892e-25	3.1620e-24	1.0000e-37	4.0162e-29	8.3916e-19	2.0831e-17	6.6472e-18	1.5864e-17	2.3620e-14	7.9058e-15	1.2096e-28	1.0000e-37	1.0000e-37	3.3693e-10	1.2322e-16	9.1492e-15	4.8348e-17	6.8456e-21	1.1967e-13	3.7171e-17	3.0880e-14	1.2527e-13	1.6586e-13	4.0584e-14	4.5767e-12	8.0285e-12	1.7018e-28	4.7762e-20	2.9644e-20	1.0000e-37	1.0000e-37	7.7906e-04	1.4902e-11	3.7596e-23	1.1316e-22	1.7799e-14	1.0000e-37	7.3201e-17	2.4320e-19	2.1243e-13	1.6262e-12	1.6358e-20	5.1861e-13	4.1672e-11	2.5516e-15	4.1067e-13	1.3387e-12	9.2801e-13	1.0000e-37	4.3890e-19	1.0714e-18	1.0000e-37	1.0591e-19	1.0000e-37	6.4647e-20	5.8718e-19	3.4463e-19	9.9647e-19	6.9955e-17	3.4857e-13	1.7349e-16	4.6036e-13	4.9597e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0449e-25	6.6472e-18
iteration 3	4.9481e-19	5.7365e-28	1.7878e-08	1.0000e-37	8.5001e-03	9.4602e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0438e-12	1.0000e-37	7.9362e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0065e-13	1.0000e-37	8.6342e-19	1.0000e-37	1.0556e-13	1.0000e-37	4.7511e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4178e-19	2.8872e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7445e-09	1.0000e-37	4.2610e-14	1.0000e-37	1.0000e-37	1.7008e-13	1.0000e-37	7.2027e-14	4.0194e-40	5.5267e-40	1.5073e-40	7.8488e-11	1.3684e-10	1.0000e-37	3.1032e-21	1.0000e-37	1.0000e-37	1.0000e-37	7.7906e-04	2.4047e-10	1.0000e-37	1.0000e-37	6.6293e-16	1.0000e-37	1.0000e-37	3.5286e-23	8.2483e-13	3.7851e-29	1.0000e-37	1.2071e-29	6.7251e-10	1.0000e-37	7.8671e-29	2.7365e-28	1.9497e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9823e-12	1.0000e-37	5.0321e-12	6.6541e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8872e-18
iteration 3	1.0455e-21	5.7830e-30	7.5781e-09	1.0000e-37	8.5001e-03	4.2676e-08	1.0000e-37	1.0000e-37	1.0000e-37	4.0676e-13	1.0000e-37	3.0927e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9222e-14	1.0000e-37	3.2083e-20	1.0000e-37	4.5671e-14	1.0000e-37	5.1249e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.1090e-21	1.2484e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3684e-09	1.0000e-37	5.6803e-15	1.0000e-37	1.0000e-37	6.7058e-14	1.0000e-37	2.9330e-14	1.0000e-37	1.0000e-37	1.0000e-37	3.0674e-11	5.3222e-11	1.0000e-37	8.3569e-23	1.0000e-37	1.0000e-37	1.0000e-37	7.7906e-04	9.1819e-11	1.0000e-37	1.0000e-37	3.6183e-16	1.0000e-37	1.0000e-37	3.2855e-24	3.4378e-13	1.0000e-37	1.0000e-37	1.0000e-37	2.5344e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4753e-12	1.0000e-37	1.7833e-12	2.7212e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2484e-18
