#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.1308e-06	8.2763e-07	5.2676e-06	1.0000e-37	5.7711e-02	4.2576e-04	1.0000e-37	1.0000e-37	1.0000e-37	3.3983e-06	2.1106e-08	1.6827e-06	1.1551e-09	1.0000e-37	4.7754e-14	1.0441e-21	3.2926e-21	1.2490e-06	3.8416e-15	1.0000e-37	5.5584e-12	1.5258e-06	1.0000e-37	2.3148e-11	1.5375e-06	4.8614e-08	6.6364e-09	1.1128e-08	1.2405e-18	2.8033e-12	1.8488e-07	2.1834e-06	4.6138e-08	2.9315e-08	2.0460e-06	8.6213e-07	2.5843e-15	1.0000e-37	1.0000e-37	8.2888e-04	1.5442e-05	3.8817e-05	2.3203e-05	2.5965e-11	1.5247e-07	5.5823e-10	3.5953e-08	4.2678e-07	5.6995e-07	1.4322e-07	1.1009e-05	1.9265e-05	1.3305e-11	1.0000e-37	1.0000e-37	1.0000e-37	5.8675e-14	1.5388e-02	4.0083e-05	4.2512e-09	1.2804e-08	1.0819e-07	1.0000e-37	3.9349e-09	1.4239e-07	2.4749e-07	4.1484e-07	1.1303e-07	1.3239e-07	1.2583e-04	3.3536e-05	9.5011e-06	1.6028e-05	6.5265e-06	1.0000e-37	1.0580e-07	2.5204e-07	6.3008e-17	2.5643e-08	3.8342e-09	1.0037e-12	9.1196e-12	4.8316e-12	1.5984e-11	6.2249e-06	1.2065e-06	1.5484e-05	1.6884e-06	3.6678e-07	1.3727e-12	3.3853e-12	1.0000e-37	3.0842e-08	4.6138e-08
iteration 3	1.1302e-06	1.9372e-08	5.4616e-06	1.0000e-37	5.7711e-02	1.0324e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.7225e-06	2.8586e-08	1.4992e-06	5.2442e-13	1.0000e-37	1.3374e-18	2.1465e-24	3.8332e-24	1.1205e-06	2.0911e-18	1.0000e-37	5.1547e-13	1.1915e-06	1.0000e-37	2.9870e-12	8.7229e-08	6.1213e-09	1.9594e-09	3.2435e-09	6.8499e-21	4.7332e-13	2.3420e-07	2.6681e-06	7.3040e-08	4.1067e-08	2.8532e-06	1.1457e-06	1.2834e-15	1.0000e-37	1.0000e-37	9.0415e-04	2.0611e-05	5.1472e-05	3.0648e-05	1.2204e-11	1.5854e-07	5.8014e-09	3.7212e-08	1.2749e-06	1.7025e-06	4.2762e-07	1.2649e-05	2.2090e-05	2.0578e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.3349e-17	1.5388e-02	4.5538e-05	6.9031e-10	2.0781e-09	5.0668e-07	1.0000e-37	1.4377e-08	1.7242e-07	2.5086e-07	1.9460e-06	4.6321e-08	6.2070e-07	1.3945e-04	4.3236e-05	2.8431e-05	4.8187e-05	1.9756e-05	1.0000e-37	1.0343e-07	3.0410e-07	1.5810e-20	2.4983e-08	4.6175e-09	1.0988e-11	9.9814e-11	5.2921e-11	1.6572e-10	2.3170e-06	1.3145e-06	5.7495e-06	1.8368e-06	3.5283e-07	1.4362e-13	3.5404e-13	1.0000e-37	2.6323e-09	7.3040e-08
iteration 3	2.8038e-07	1.8424e-10	6.1127e-06	1.0000e-37	5.7711e-02	1.1705e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.9965e-06	2.8736e-08	8.9830e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.5923e-07	1.0000e-37	1.0000e-37	5.6428e-14	7.4707e-07	1.0000e-37	3.0333e-13	1.9496e-09	1.0273e-09	8.1308e-10	1.3459e-09	1.0000e-37	5.1932e-14	2.2479e-07	2.8175e-06	8.1946e-08	4.6255e-08	3.2365e-06	1.2357e-06	6.9472e-16	1.0000e-37	1.0000e-37	9.0247e-04	2.0177e-05	4.8051e-05	2.7668e-05	5.3351e-12	1.1944e-07	3.6983e-08	2.7895e-08	1.9469e-06	2.5973e-06	6.5042e-07	1.2780e-05	2.2248e-05	2.2147e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	4.5776e-05	6.6373e-11	1.9979e-10	1.9951e-06	1.0000e-37	3.7644e-08	1.6063e-07	1.8662e-07	6.6995e-06	9.8190e-09	2.1367e-06	1.3927e-04	4.3196e-05	4.0196e-05	7.0655e-05	3.0459e-05	1.0000e-37	7.9276e-08	2.8856e-07	1.0000e-37	1.9135e-08	4.5015e-09	7.0142e-11	6.3710e-10	3.3921e-10	1.0494e-09	4.8268e-07	1.3147e-06	1.1972e-06	1.8364e-06	2.7681e-07	1.6142e-14	3.9787e-14	1.0000e-37	3.8805e-10	8.1946e-08
iteration 3	2.7833e-08	1.2547e-12	6.1088e-06	1.0000e-37	5.7711e-02	1.2737e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.4813e-06	2.6295e-08	4.1640e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1878e-07	1.0000e-37	1.0000e-37	6.7368e-16	3.7496e-07	1.0000e-37	3.9285e-15	1.3245e-10	6.5011e-11	8.9337e-11	1.4877e-10	1.0000e-37	8.5965e-16	1.0218e-07	1.4521e-06	4.3906e-08	2.8091e-08	2.2253e-06	8.4553e-07	2.1553e-17	1.0000e-37	1.0000e-37	9.5809e-04	9.8396e-06	1.9771e-05	9.7596e-06	3.5334e-13	6.2786e-08	6.2986e-08	1.5028e-08	2.1895e-06	2.9140e-06	7.2454e-07	1.2443e-05	2.1715e-05	3.6513e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	4.4943e-05	1.7190e-12	5.1742e-12	3.4156e-06	1.0000e-37	4.5405e-08	6.1351e-08	1.0319e-07	1.2227e-05	1.6216e-09	3.8995e-06	1.3717e-04	2.4307e-05	3.6641e-05	7.4412e-05	3.7770e-05	1.0000e-37	2.1972e-08	1.3025e-07	1.0000e-37	5.3026e-09	4.0770e-09	1.1762e-10	1.0683e-09	5.7622e-10	1.7640e-09	1.2497e-07	1.2974e-06	3.0994e-07	1.8138e-06	1.7239e-07	1.9379e-16	4.7765e-16	1.0000e-37	2.4775e-11	4.3906e-08
iteration 3	1.6064e-09	9.5772e-15	5.3713e-06	1.0000e-37	5.7711e-02	1.0942e-03	1.0000e-37	1.0000e-37	1.0000e-37	8.7536e-07	1.8679e-08	1.2110e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3480e-07	1.0000e-37	1.0000e-37	9.7320e-19	1.1805e-07	1.0000e-37	4.5130e-18	9.5096e-12	3.9573e-13	1.1313e-12	1.9343e-12	1.0000e-37	3.1965e-18	9.6599e-09	1.5688e-07	5.1565e-09	4.5451e-09	6.9836e-07	2.6333e-07	7.4964e-20	1.0000e-37	1.0000e-37	8.5841e-04	1.1651e-06	1.9577e-06	7.0996e-07	6.5817e-15	2.6180e-08	2.2556e-08	6.5356e-09	1.2120e-06	1.6135e-06	4.0154e-07	9.5454e-06	1.6670e-05	1.3554e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	3.4578e-05	2.5192e-14	7.5829e-14	1.2024e-06	1.0000e-37	1.0848e-08	4.2374e-09	4.6532e-08	6.7941e-06	1.2123e-10	2.1667e-06	1.0654e-04	4.2839e-06	1.2950e-05	3.3902e-05	2.0951e-05	1.0000e-37	2.2377e-09	1.2293e-08	1.0000e-37	5.3999e-10	2.8861e-09	4.0599e-11	3.6876e-10	2.0469e-10	6.1424e-10	2.4389e-08	1.0251e-06	6.0485e-08	1.4267e-06	9.1177e-08	2.8060e-19	6.9161e-19	1.0000e-37	1.6538e-13	5.1565e-09
iteration 3	8.5667e-15	8.0662e-21	6.2556e-07	1.0000e-37	5.7711e-02	2.7119e-06	1.0000e-37	1.0000e-37	1.0000e-37	5.5997e-11	2.8935e-14	4.2437e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9382e-12	1.0000e-37	1.0000e-37	7.9365e-26	4.8000e-12	1.0000e-37	8.6725e-26	1.1338e-16	4.2915e-20	2.3745e-19	4.4772e-19	1.0000e-37	4.3481e-25	2.5741e-14	4.8192e-13	1.9660e-14	3.0444e-14	2.8973e-11	9.7268e-12	6.6316e-27	1.0000e-37	1.0000e-37	6.5703e-08	4.3367e-12	9.2458e-12	1.9505e-12	8.9713e-21	1.1429e-12	3.5099e-13	3.0223e-13	3.8149e-11	5.0882e-11	1.2733e-11	2.3449e-09	4.3986e-09	1.8424e-24	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	6.3297e-09	2.7885e-20	8.3934e-20	1.8273e-11	1.0000e-37	9.6339e-14	9.7273e-15	2.2731e-12	2.3326e-10	5.6795e-16	7.4390e-11	2.3913e-08	3.6388e-11	2.6475e-10	8.0837e-10	5.4362e-10	1.0000e-37	1.3321e-14	3.2828e-14	1.0000e-37	3.2145e-15	4.4632e-15	6.1651e-16	5.5998e-15	3.1963e-15	9.4126e-15	4.2220e-13	1.2160e-10	1.0471e-12	1.7096e-10	4.8827e-12	2.2907e-26	5.6459e-26	1.0000e-37	3.1740e-20	1.9660e-14
iteration 3	4.0302e-17	3.6478e-24	5.7639e-08	1.0000e-37	5.7711e-02	3.3426e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.3923e-12	1.0000e-37	2.5708e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9916e-13	1.0000e-37	1.0000e-37	1.2237e-28	3.7234e-13	1.0000e-37	7.2391e-30	2.7374e-18	1.5072e-23	7.3531e-25	2.4429e-23	1.0000e-37	3.5777e-30	3.7162e-18	6.9904e-17	1.8503e-17	2.1721e-17	2.0119e-12	6.7469e-13	1.9328e-32	1.0000e-37	1.0000e-37	6.4612e-09	1.8976e-15	1.0525e-13	7.6757e-16	2.8853e-24	5.6639e-14	8.8994e-16	1.6288e-14	2.2626e-13	3.0156e-13	7.5303e-14	1.8721e-10	3.4948e-10	1.5160e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	5.0038e-10	7.9513e-24	2.3933e-23	8.6839e-14	1.0000e-37	9.4050e-17	1.2311e-18	1.3301e-13	3.0279e-12	5.6914e-20	9.6566e-13	1.8734e-09	4.1033e-14	2.2935e-12	7.3771e-12	5.0836e-12	1.0000e-37	1.0293e-18	4.7446e-18	1.0000e-37	2.4837e-19	1.0000e-37	1.5437e-18	1.4022e-17	8.2900e-18	2.3855e-17	4.7224e-16	1.0292e-11	1.1711e-15	1.4049e-11	2.1504e-13	3.5318e-29	8.7049e-29	1.0000e-37	1.5067e-23	1.8503e-17
iteration 3	8.8791e-20	5.2480e-28	3.7153e-09	1.0000e-37	5.7711e-02	2.2601e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.4838e-13	1.0000e-37	1.1245e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3085e-14	1.0000e-37	1.0000e-37	1.0000e-37	2.3448e-14	1.0000e-37	1.0335e-33	6.1528e-20	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.5023e-28	1.5085e-19	6.0759e-19	1.0000e-37	1.1756e-13	3.9424e-14	1.0000e-37	1.0000e-37	1.0000e-37	5.3208e-10	5.8412e-23	2.1746e-15	2.3007e-23	1.0000e-37	1.1686e-15	2.8000e-22	4.3326e-16	2.7771e-19	3.6851e-19	9.0808e-20	1.1610e-11	2.1680e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	3.0692e-11	1.0000e-37	1.0000e-37	1.0162e-16	1.0000e-37	8.1161e-25	4.6146e-25	4.5803e-15	1.5253e-16	8.4461e-28	4.8645e-17	1.1529e-10	6.5546e-20	1.0172e-16	3.3615e-16	2.3444e-16	1.0000e-37	4.0500e-25	9.1510e-26	1.0000e-37	9.7732e-26	1.0000e-37	4.6654e-25	4.2376e-24	2.7916e-24	7.4957e-24	1.2242e-20	6.8838e-13	3.0361e-20	8.8965e-13	4.0455e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.0759e-19
iteration 3	6.3303e-20	5.7871e-29	2.0876e-07	1.0000e-37	5.7711e-02	9.2208e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.1292e-11	1.0000e-37	8.5575e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.9579e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.5864e-12	1.0000e-37	6.5004e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5778e-18	3.3160e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8081e-08	1.0000e-37	2.1149e-14	1.0000e-37	1.0000e-37	4.8198e-14	1.0000e-37	2.1102e-14	4.6125e-38	6.1420e-38	1.5295e-38	7.0302e-10	1.3255e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	1.8181e-09	1.0000e-37	1.0000e-37	8.7206e-15	1.0000e-37	1.0000e-37	5.0003e-25	2.5430e-13	7.8518e-28	1.0000e-37	2.5041e-28	7.1671e-09	1.0000e-37	1.1829e-27	4.1043e-27	2.9214e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9315e-11	1.0000e-37	4.8567e-11	1.9951e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3160e-17
iteration 3	1.2431e-22	1.0000e-37	1.1220e-07	1.0000e-37	5.7711e-02	5.2344e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.2437e-12	1.0000e-37	2.4583e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8606e-13	1.0000e-37	1.0000e-37	1.0000e-37	8.4420e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.8268e-20	1.0226e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1858e-09	1.0000e-37	4.7752e-15	1.0000e-37	1.0000e-37	2.5133e-14	1.0000e-37	1.1089e-14	1.0000e-37	1.0000e-37	1.0000e-37	3.5441e-10	6.6781e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5388e-02	8.9692e-10	1.0000e-37	1.0000e-37	4.6195e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.3431e-13	1.0000e-37	1.0000e-37	1.0000e-37	3.5842e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0222e-11	1.0000e-37	2.4281e-11	1.0490e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0226e-17
