#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	4.5084e+01	9.7560e-01	1.0095e-02	1.0000e-37	1.1673e+07	3.3170e-02	1.0000e-37	1.0000e-37	1.0000e-37	8.6735e-08	8.7785e-10	1.4326e-08	3.7377e+00	4.2300e+01	3.8956e-03	4.5395e-04	1.7079e+01	4.4361e-08	2.0999e+03	6.2230e-01	2.1037e+01	4.0159e-08	1.0000e-37	1.3177e-05	4.7479e-03	1.9380e-06	4.7807e-06	1.7871e-05	6.2166e-06	1.2399e-05	5.6413e-08	1.1420e-06	1.2821e-06	3.9620e-07	8.7326e-04	4.4899e-05	3.6889e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.7180e-06	1.4584e-05	5.5856e-06	3.8921e-04	3.6409e-05	2.4391e-07	4.2799e-06	2.6929e-07	3.5957e-07	9.0314e-08	8.2075e-05	1.4919e-04	4.8153e-04	2.5249e-03	5.8521e-05	1.6111e-05	4.6175e-05	9.9581e+05	3.4162e-04	1.1921e-03	3.6275e-03	3.2309e-08	1.0000e-37	2.7879e-09	4.2945e-07	4.0708e-05	4.0606e-07	4.6048e-07	1.2959e-07	1.3779e-03	6.6303e-06	5.1129e-06	8.6346e-06	3.5218e-06	1.4156e-05	6.8567e-06	1.4892e-06	5.0993e-07	1.7077e-06	1.4818e-10	2.1597e-08	1.9636e-07	1.0368e-07	8.7421e-07	1.6352e-05	1.9464e-05	4.1237e-05	2.9390e-05	5.2302e-01	9.1141e-01	2.0823e+00	1.0000e-37	2.6698e-07	1.2821e-06
iteration 3	2.0522e+02	1.1219e+01	1.3209e-01	1.0000e-37	1.1673e+07	4.2893e-01	1.0000e-37	1.0000e-37	1.0000e-37	1.4915e-06	3.4161e-08	3.5541e-07	3.1652e+01	4.4112e+00	3.9708e-02	4.9868e-04	1.6882e+01	1.5408e-06	1.9494e+03	1.5309e+00	3.5203e+01	1.2109e-06	1.0000e-37	1.5951e-03	4.6972e-02	8.0040e-04	1.7868e-03	3.0534e-03	1.0051e-04	1.7598e-04	7.1908e-06	1.6667e-04	1.1093e-04	4.6155e-05	1.0465e-02	6.9611e-04	1.7213e-05	1.0000e-37	1.0000e-37	2.7189e-02	2.0970e-04	5.8840e-04	3.1167e-04	4.9711e-03	6.8388e-04	1.5899e-05	4.8497e-05	1.1989e-05	1.5995e-05	4.0078e-06	8.4751e-04	1.5194e-03	1.1492e-02	4.8026e-03	1.6313e-04	1.5150e-06	3.4923e-04	9.9581e+05	3.4082e-03	2.3247e-02	7.0513e-02	1.4396e-06	1.0000e-37	2.6417e-07	9.2625e-06	4.0560e-04	1.5998e-05	2.9913e-05	5.1033e-06	1.3131e-02	1.6004e-04	1.2440e-04	2.1224e-04	8.7837e-05	1.9798e-06	1.8942e-04	2.7984e-05	2.3479e-06	4.7357e-05	4.6624e-09	1.0618e-06	9.6543e-06	4.9752e-06	4.4163e-05	3.6401e-04	1.7047e-04	9.2009e-04	2.5514e-04	1.8930e+00	3.0864e+00	7.0590e+00	1.0000e-37	9.6453e-05	1.1093e-04
iteration 3	3.8806e+02	9.0816e+01	1.6038e+00	1.0000e-37	1.1673e+07	5.0591e+00	1.0000e-37	1.0000e-37	1.0000e-37	1.8058e-05	4.5992e-07	4.5350e-06	1.6261e+02	2.3195e-01	3.7936e-01	3.5678e-04	1.6777e+01	1.9636e-05	1.6490e+03	1.7371e+00	3.6426e+01	1.7350e-05	1.0000e-37	2.5899e-02	5.0909e-01	1.3007e-02	2.5517e-02	4.3420e-02	1.3517e-03	7.8495e-04	1.0307e-04	2.0997e-03	1.3184e-03	5.9599e-04	1.2162e-01	9.4739e-03	5.5131e-05	1.0000e-37	1.0000e-37	4.3856e-01	2.6306e-03	6.9775e-03	3.5989e-03	3.1646e-02	8.6580e-03	1.9168e-04	5.9907e-04	1.4613e-04	1.9477e-04	4.8648e-05	1.0294e-02	1.8618e-02	1.1136e-01	5.4283e-03	2.2084e-04	8.9257e-09	2.0979e-03	9.9581e+05	4.2355e-02	1.7450e-01	5.2966e-01	1.5254e-05	1.0000e-37	3.1272e-06	1.0767e-04	4.9205e-03	1.7495e-04	3.9099e-04	5.5796e-05	1.6610e-01	1.7266e-03	1.2664e-03	2.2468e-03	9.8035e-04	1.6399e-07	2.3550e-03	3.3560e-04	1.1174e-05	5.8957e-04	5.9130e-08	1.2679e-05	1.1527e-04	5.9188e-05	5.2453e-04	4.2991e-03	1.8804e-03	1.0872e-02	2.8088e-03	6.5491e+00	3.3775e+00	7.6534e+00	1.0000e-37	1.5582e-03	1.3184e-03
iteration 3	5.2057e+02	2.7856e+02	1.5533e+01	1.0000e-37	1.1673e+07	4.0020e+01	1.0000e-37	1.0000e-37	1.0000e-37	1.7177e-04	4.8950e-06	4.4352e-05	3.5702e+02	2.7139e-02	3.3366e+00	1.8846e-03	1.6865e+01	2.0839e-04	1.5920e+03	1.7327e+00	3.7209e+01	1.9846e-04	1.0000e-37	2.4512e-01	4.9364e+00	1.4069e-01	2.2887e-01	3.9498e-01	1.4188e-02	6.6808e-03	1.6587e-03	2.0046e-02	1.3093e-02	5.8286e-03	1.2273e+00	1.0096e-01	4.6305e-04	1.0000e-37	1.0000e-37	4.7360e+00	2.9264e-02	6.0909e-02	2.5110e-02	2.8240e-01	8.0377e-02	1.9515e-03	6.3389e-03	1.8687e-03	2.4846e-03	6.1606e-04	1.1967e-01	2.1793e-01	7.4808e-01	5.3488e-03	2.2706e-04	1.8758e-09	1.9180e-02	9.9581e+05	4.9428e-01	1.5885e+00	4.8223e+00	9.3856e-05	1.0000e-37	3.2089e-05	1.1782e-03	5.3879e-02	1.7575e-03	4.0262e-03	5.6051e-04	1.9067e+00	1.6762e-02	7.8519e-03	1.7452e-02	9.5999e-03	8.2240e-08	2.6039e-02	4.2486e-03	9.4650e-05	6.5438e-03	6.3444e-07	1.1747e-04	1.0668e-03	5.4024e-04	4.9884e-03	4.5508e-02	2.0116e-02	1.1530e-01	3.0148e-02	1.9495e+01	3.3618e+00	7.5597e+00	1.0000e-37	1.6816e-02	1.3093e-02
iteration 3	7.4346e+02	4.6097e+02	1.2102e+02	1.0000e-37	1.1673e+07	1.6325e+02	1.0000e-37	1.0000e-37	1.0000e-37	2.1155e-03	5.3830e-05	5.0922e-04	5.1858e+02	1.0151e-02	2.6322e+01	1.2609e-02	1.6967e+01	2.5838e-03	1.5848e+03	1.7089e+00	4.1368e+01	3.1326e-03	1.0000e-37	2.0923e+00	3.7216e+01	1.5366e+00	1.8112e+00	3.4639e+00	1.3789e-01	6.1122e-02	3.7519e-02	1.9376e-01	1.3237e-01	5.6620e-02	1.0551e+01	1.0233e+00	4.0478e-03	1.0000e-37	1.0000e-37	4.8627e+01	1.8086e-01	2.9365e-01	8.2435e-02	2.6422e+00	7.5623e-01	2.0242e-02	6.6341e-02	2.8543e-02	3.7993e-02	9.4521e-03	1.3432e+00	2.4012e+00	4.9961e+00	5.2460e-03	2.2661e-04	1.6506e-09	2.2734e-01	9.9581e+05	5.3532e+00	1.4896e+01	4.5224e+01	1.2765e-04	1.0000e-37	3.4006e-04	1.4838e-02	5.9218e-01	1.7653e-02	4.2176e-02	5.6311e-03	2.0363e+01	1.5060e-01	2.0927e-02	6.3446e-02	4.2519e-02	7.4993e-08	2.9229e-01	7.2477e-02	1.0043e-03	7.3925e-02	7.0336e-06	8.8716e-04	7.9763e-03	3.8977e-03	4.0036e-02	4.8238e-01	2.1772e-01	1.2265e+00	3.2167e-01	4.9511e+01	3.4264e+00	7.6831e+00	1.0000e-37	2.1695e-01	1.3237e-01
iteration 3	1.7054e+03	5.8452e+02	4.7010e+02	1.0000e-37	1.1673e+07	5.2154e+02	1.0000e-37	1.0000e-37	1.0000e-37	5.8576e-02	6.3711e-04	9.9421e-03	6.6325e+02	7.0706e-03	9.8251e+01	9.3281e-02	1.5583e+01	4.1598e-02	1.4912e+03	1.5481e+00	7.2894e+01	8.4916e-02	1.0000e-37	1.8205e+01	1.5476e+02	1.8910e+01	9.2544e+00	3.4334e+01	8.9322e-01	7.7032e-01	6.0228e-01	2.0328e+00	1.3823e+00	5.7398e-01	6.0940e+01	8.8168e+00	4.2692e-02	1.0000e-37	1.0000e-37	4.7225e+02	3.5473e-01	5.4021e-01	1.3660e-01	2.7547e+01	6.2288e+00	2.0359e-01	6.6722e-01	3.1127e-01	4.1077e-01	9.9540e-02	1.3599e+01	2.4022e+01	4.3912e+01	4.7687e-03	2.1354e-04	5.6929e-09	2.4115e+00	9.9581e+05	5.2107e+01	1.3744e+02	4.1723e+02	5.5064e-05	1.0000e-37	4.0404e-03	2.4412e-01	6.0838e+00	1.7138e-01	5.5026e-01	5.4676e-02	1.8653e+02	8.0350e-01	2.6693e-02	8.7878e-02	6.1185e-02	7.7563e-08	3.5937e+00	1.0474e+00	1.7660e-02	9.1955e-01	8.2858e-05	5.0707e-03	4.2982e-02	1.9716e-02	2.4254e-01	4.9641e+00	2.3533e+00	1.2700e+01	3.2745e+00	1.3042e+02	4.8071e+00	1.0806e+01	1.0000e-37	4.4105e+00	1.3823e+00
iteration 3	3.0373e+03	7.0691e+02	8.5826e+02	1.0000e-37	1.1673e+07	2.5140e+03	1.0000e-37	1.0000e-37	1.0000e-37	7.1237e+00	7.6449e-03	7.9771e-01	1.0568e+03	4.0420e-03	1.6108e+02	2.8662e-01	2.0265e+01	1.5999e+00	1.0536e+03	1.3280e+00	5.1347e+02	3.9502e+00	1.0000e-37	2.4028e+02	3.4203e+02	3.9339e+02	2.7587e+01	5.7929e+02	1.9478e+00	1.9239e+01	7.8144e+00	2.8159e+01	1.5974e+01	8.1216e+00	2.5764e+02	5.0717e+01	8.2411e-01	1.0000e-37	1.0000e-37	4.1049e+03	5.0440e-01	7.4651e-01	1.9052e-01	3.2858e+02	3.3899e+01	2.4742e+00	6.2024e+00	2.1155e+00	2.6699e+00	5.5460e-01	1.1084e+02	1.8931e+02	7.5431e+02	4.0773e-03	1.8562e-04	2.6926e-08	1.0181e+01	9.9581e+05	4.0495e+02	7.9055e+02	2.3998e+03	2.2276e-05	1.0000e-37	5.7797e-02	3.3851e+00	5.7626e+01	1.0017e+00	1.1603e+01	3.1968e-01	1.4325e+03	1.5542e+00	2.5817e-02	8.5347e-02	5.9530e-02	7.3249e-11	4.9983e+01	1.3142e+01	4.1919e-01	1.2991e+01	1.0335e-03	2.5349e-02	1.8417e-01	7.5257e-02	1.1653e+00	3.2027e+01	2.1722e+01	8.2597e+01	2.9680e+01	5.5892e+02	2.9358e+01	6.6129e+01	1.0000e-37	1.0904e+02	1.5974e+01
iteration 3	3.6012e+03	8.1233e+02	1.1907e+03	1.0000e-37	1.1673e+07	1.1419e+04	1.0000e-37	1.0000e-37	1.0000e-37	2.2947e+02	1.0045e-01	6.3186e+01	2.2782e+03	8.4804e-03	4.2597e+02	1.7840e-01	5.4635e+01	7.1467e+01	9.5629e+02	1.2580e+00	5.2654e+03	1.1055e+02	1.0000e-37	2.6324e+03	6.7737e+02	8.4997e+03	5.3661e+01	9.9231e+03	2.2175e+00	2.9095e+02	6.6049e+01	4.6971e+02	1.7163e+02	1.4838e+02	1.5562e+03	2.5061e+02	2.1138e+01	1.0000e-37	1.0000e-37	3.4918e+04	8.8820e-01	1.2739e+00	3.3648e-01	2.1451e+03	1.2141e+02	3.0064e+01	5.5077e+01	5.0695e+00	6.1482e+00	1.0794e+00	7.8747e+02	1.3340e+03	6.4388e+03	3.6701e-03	1.5696e-04	8.9630e-12	9.3073e+00	9.9581e+05	2.9432e+03	1.4815e+03	4.4929e+03	1.2521e-05	1.0000e-37	5.4212e-01	2.8865e+01	5.2633e+02	1.5466e+00	1.7637e+02	4.9405e-01	1.0383e+04	2.3430e+00	2.4558e-02	8.0460e-02	5.5902e-02	4.4135e-12	3.4659e+02	1.1458e+02	1.9830e+00	8.9123e+01	1.6368e-02	1.8773e-01	1.2614e+00	4.7963e-01	5.6929e+00	9.4090e+01	1.5104e+02	2.4183e+02	2.0676e+02	3.5966e+03	4.1065e+02	9.2746e+02	1.0000e-37	2.6730e+03	1.7163e+02
iteration 3	4.0044e+03	8.4711e+02	1.7579e+03	1.0000e-37	1.1673e+07	4.6929e+04	1.0000e-37	1.0000e-37	1.0000e-37	7.0653e+02	1.0052e+01	3.3409e+02	3.0181e+03	8.1154e-03	4.0177e+02	1.3524e-02	2.9372e+01	2.9958e+02	9.7306e+02	1.0688e+00	1.4374e+04	4.0294e+02	1.0000e-37	7.5102e+03	2.3131e+03	5.5151e+04	2.4702e+01	3.9657e+04	1.0000e-37	3.9693e+02	1.2147e+02	7.2586e+03	1.3413e+03	2.3037e+03	9.2655e+03	1.2090e+03	6.1735e+01	1.0000e-37	1.0000e-37	1.0989e+05	1.0473e+00	1.4660e+00	3.9788e-01	1.3295e+03	3.6508e+02	1.4363e+02	2.3833e+02	1.3710e+01	1.6662e+01	2.9627e+00	3.7046e+03	6.4018e+03	5.2736e+03	3.1064e-03	1.2796e-04	3.2876e-12	9.6346e-01	9.9581e+05	1.4045e+04	6.2708e+02	1.8971e+03	1.4644e-03	1.0000e-37	1.6041e+00	1.0487e+02	2.1834e+03	1.2403e+01	2.9101e+02	4.0026e+00	5.7500e+04	8.0006e+00	3.5703e-01	1.1706e+00	8.1355e-01	1.7559e-13	2.4748e+02	2.4793e+02	3.4912e-01	6.2230e+01	8.0757e+00	1.1657e+00	7.8128e+00	3.1325e+00	2.8520e+01	7.4297e+01	5.4008e+02	1.8850e+02	7.1255e+02	2.2026e+04	1.3301e+03	3.1376e+03	1.0000e-37	1.7956e+04	1.3413e+03
iteration 3	3.0862e+03	7.9257e+02	1.7887e+03	1.0000e-37	1.1673e+07	4.3880e+05	1.0000e-37	1.0000e-37	1.0000e-37	2.2914e+03	1.1797e+02	5.8786e+02	1.0813e+03	7.1388e-09	3.6260e+01	1.8975e-04	2.4178e+00	6.8029e+02	2.8274e+02	5.7062e-01	7.2944e+03	1.2731e+03	1.0000e-37	4.2693e+03	3.8339e+03	5.7621e+04	5.5231e+00	4.0696e+04	1.0000e-37	5.2054e+01	1.5448e+02	2.6900e+04	5.2453e+03	9.8996e+03	8.1977e+04	2.1409e+04	6.2746e+00	1.0000e-37	1.0000e-37	2.6375e+05	1.3406e+00	1.8537e+00	5.0961e-01	8.1245e+01	1.7716e+03	4.9036e+02	5.6203e+02	4.4766e+01	5.3947e+01	9.2035e+00	7.3353e+03	1.2299e+04	3.6661e+02	2.0987e-03	1.1613e-04	9.6976e-14	1.1958e-02	9.9581e+05	2.7318e+04	6.6130e+01	1.9937e+02	1.1289e-02	1.0000e-37	2.1562e+01	9.2188e+01	4.0363e+03	9.6513e+01	6.4623e+01	3.1121e+01	1.3201e+05	1.2665e+01	7.2008e-01	2.3582e+00	1.6381e+00	2.3579e-16	4.1721e+01	2.0703e+02	4.1078e-03	1.0200e+01	5.2884e+01	4.2330e+00	1.9019e+01	9.0766e+00	8.5018e+01	1.4265e+01	1.1716e+03	3.5562e+01	1.5612e+03	6.5884e+04	1.1046e+03	2.7147e+03	1.0000e-37	3.2115e+04	5.2453e+03
