#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.6153e-06	8.4908e-07	1.5079e-06	6.0063e-14	1.1563e-02	3.3875e-04	5.0196e-09	9.2133e-09	2.5331e-09	6.4349e-07	6.6456e-09	3.3379e-07	4.6295e-07	1.3607e-10	3.9390e-10	5.4795e-10	1.1268e-09	2.7538e-07	7.7485e-07	2.4541e-06	9.9711e-08	2.7310e-07	8.9906e-12	8.7480e-08	3.5304e-07	1.9129e-07	1.8199e-06	3.0095e-06	3.2112e-08	4.1449e-08	4.8934e-07	4.7543e-06	1.7308e-07	9.3276e-08	1.8274e-06	6.1945e-07	2.4225e-09	4.4914e-11	1.0000e-37	6.8247e-04	2.3013e-05	5.8131e-05	3.4554e-05	5.2519e-06	3.5159e-06	5.0258e-09	7.9100e-07	5.1139e-07	6.8260e-07	1.7128e-07	9.3753e-06	1.6913e-05	2.0636e-07	4.5323e-07	4.1371e-07	5.4607e-12	3.3429e-08	1.3046e-03	3.6299e-05	2.6393e-05	7.9511e-05	2.1507e-07	1.0000e-37	1.4290e-08	2.5657e-07	5.2082e-06	1.0365e-06	4.3906e-07	3.3083e-07	1.1120e-04	2.4782e-05	7.5097e-06	1.2709e-05	5.1991e-06	2.6323e-10	5.7443e-06	7.3218e-07	5.5527e-11	1.3943e-06	1.2068e-09	1.0105e-11	9.1819e-11	4.5941e-11	1.5881e-10	1.2468e-05	1.0075e-06	3.1018e-05	1.4429e-06	8.3653e-06	2.3496e-08	5.7776e-08	1.9101e-13	6.2810e-08	1.7308e-07
iteration 3	9.8949e-07	4.9263e-07	1.7194e-06	1.0000e-37	1.1563e-02	8.9820e-04	6.8166e-15	1.0728e-14	3.4257e-15	5.8461e-07	2.4193e-08	3.1772e-07	1.1510e-08	4.4564e-12	1.3763e-11	1.8299e-11	3.1394e-11	2.6772e-07	6.6148e-08	1.9654e-06	2.0503e-08	2.4530e-07	1.1641e-16	2.2729e-08	5.5714e-08	1.0492e-07	1.4325e-06	2.3685e-06	1.0010e-09	9.1018e-09	1.2831e-06	1.2783e-05	4.1738e-07	1.9752e-07	5.7943e-06	1.9600e-06	1.7928e-09	1.1556e-15	1.0000e-37	7.3517e-04	6.5086e-05	1.6228e-04	9.6745e-05	3.6143e-06	3.8660e-06	5.1284e-08	8.5570e-07	2.5079e-06	3.3474e-06	8.3958e-07	1.0852e-05	1.9495e-05	3.9984e-08	3.4147e-07	3.1291e-07	7.6505e-13	1.5035e-09	1.3046e-03	4.1419e-05	4.5623e-06	1.3735e-05	1.3815e-06	1.0000e-37	7.1789e-08	6.8604e-07	5.4232e-06	6.2591e-06	4.1202e-07	1.9965e-06	1.2357e-04	8.1816e-05	3.6970e-05	6.2819e-05	2.5849e-05	1.0785e-13	6.7868e-06	1.6790e-06	2.9716e-12	1.6400e-06	3.8941e-09	1.0876e-10	9.8792e-10	4.9400e-10	1.6157e-09	1.0051e-05	1.0999e-06	2.4943e-05	1.5721e-06	8.3132e-06	5.6483e-09	1.3923e-08	3.5870e-18	3.7558e-08	4.1738e-07
iteration 3	5.0341e-07	7.0297e-09	1.7657e-06	1.0000e-37	1.1563e-02	1.0614e-03	1.0000e-37	1.0000e-37	1.0000e-37	4.4757e-07	2.7181e-08	2.2526e-07	2.6035e-11	1.0000e-37	6.2398e-14	1.0000e-37	1.0000e-37	2.0392e-07	3.6116e-11	4.5083e-07	3.2344e-10	1.7695e-07	1.0000e-37	4.0965e-10	2.9434e-09	1.3634e-08	2.6517e-07	4.3882e-07	4.0927e-12	1.5652e-10	1.0535e-06	1.4804e-05	4.5284e-07	2.0926e-07	8.7086e-06	2.9443e-06	3.1567e-10	1.0000e-37	1.0000e-37	7.6715e-04	5.6877e-05	1.3574e-04	7.8423e-05	8.0554e-07	3.1879e-06	1.8497e-07	7.1002e-07	4.8734e-06	6.4999e-06	1.6266e-06	1.1095e-05	1.9924e-05	6.7012e-10	7.7175e-08	7.0356e-08	1.8207e-15	1.5954e-11	1.3046e-03	4.2337e-05	8.3975e-08	2.5278e-07	5.5471e-06	1.0000e-37	2.0510e-07	6.1031e-07	4.5165e-06	2.2589e-05	1.1662e-07	7.2044e-06	1.2609e-04	8.5109e-05	7.1735e-05	1.2572e-04	5.3984e-05	1.0000e-37	4.3461e-06	1.3548e-06	3.0114e-14	1.0492e-06	4.1621e-09	3.8279e-10	3.4769e-09	1.7677e-09	5.6537e-09	3.1140e-06	1.1192e-06	7.7245e-06	1.5994e-06	7.3307e-06	9.2024e-11	2.2682e-10	1.0000e-37	5.0135e-09	4.5284e-07
iteration 3	2.3442e-07	4.7078e-11	1.6870e-06	1.0000e-37	1.1563e-02	1.1685e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.3742e-07	2.4438e-08	1.2644e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2955e-07	1.0000e-37	8.1109e-08	2.3387e-12	1.0560e-07	1.0000e-37	3.4872e-12	2.2695e-10	6.7465e-10	1.9523e-08	3.2467e-08	1.0000e-37	1.7402e-12	4.0134e-07	7.1595e-06	2.3488e-07	1.2513e-07	5.9633e-06	2.0288e-06	1.4540e-11	1.0000e-37	1.0000e-37	8.4886e-04	2.5360e-05	5.2023e-05	2.6264e-05	9.1671e-08	2.3125e-06	2.1205e-07	5.3073e-07	5.6697e-06	7.5470e-06	1.8773e-06	1.1061e-05	1.9909e-05	7.4043e-12	1.3666e-08	1.2260e-08	1.0000e-37	1.0000e-37	1.3046e-03	4.2532e-05	1.6528e-09	4.9751e-09	9.6284e-06	1.0000e-37	2.2379e-07	2.2638e-07	3.4801e-06	3.7235e-05	2.2706e-08	1.1875e-05	1.2766e-04	5.0224e-05	7.5502e-05	1.4900e-04	7.3494e-05	1.0000e-37	1.5748e-06	5.1217e-07	1.0000e-37	3.8009e-07	3.7627e-09	4.1709e-10	3.7885e-09	1.9834e-09	6.2002e-09	9.8349e-07	1.1373e-06	2.4393e-06	1.6265e-06	6.4940e-06	6.7113e-13	1.6542e-12	1.0000e-37	2.5324e-10	2.3488e-07
iteration 3	2.8880e-08	4.5920e-13	1.4845e-06	1.0000e-37	1.1563e-02	1.1813e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.3266e-07	2.0590e-08	5.0937e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.8796e-08	1.0000e-37	1.2593e-08	2.7798e-15	4.4612e-08	1.0000e-37	3.5541e-15	1.7378e-11	3.2676e-12	1.7085e-10	2.9037e-10	1.0000e-37	6.0601e-15	3.3067e-08	5.7365e-07	2.5210e-08	1.8715e-08	1.1010e-06	3.8442e-07	5.8196e-14	1.0000e-37	1.0000e-37	9.3316e-04	3.0258e-06	5.2539e-06	1.9665e-06	2.5794e-09	1.4290e-06	5.5705e-08	3.4601e-07	2.9988e-06	3.9908e-06	9.9201e-07	9.8815e-06	1.7866e-05	2.5718e-14	1.9237e-09	1.6430e-09	1.0000e-37	1.0000e-37	1.3046e-03	3.8558e-05	2.5578e-11	7.6990e-11	3.6570e-06	1.0000e-37	4.5004e-08	1.4726e-08	2.3840e-06	1.9356e-05	1.8128e-09	6.1729e-06	1.1821e-04	9.4584e-06	3.1179e-05	7.7711e-05	4.6531e-05	1.0000e-37	2.1873e-07	4.2090e-08	1.0000e-37	5.2787e-08	3.1871e-09	1.0208e-10	9.2717e-10	5.0791e-10	1.5382e-09	2.4404e-07	1.0616e-06	6.0523e-07	1.5141e-06	4.7975e-06	8.0057e-16	1.9732e-15	1.0000e-37	1.3001e-12	2.5210e-08
iteration 3	5.5601e-14	2.9283e-19	1.4794e-07	1.0000e-37	1.1563e-02	6.1597e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.3135e-11	1.0000e-37	9.8484e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2537e-12	1.0000e-37	7.7956e-14	8.3135e-23	9.0582e-13	1.0000e-37	6.8005e-23	8.4455e-17	2.5350e-19	2.4250e-17	4.4580e-17	1.0000e-37	7.9815e-22	8.1667e-14	1.0622e-12	9.0815e-14	1.0180e-13	1.1268e-11	3.8063e-12	5.3981e-21	1.0000e-37	1.0000e-37	4.9984e-08	9.6545e-12	1.9770e-11	4.4324e-12	2.6559e-15	3.6319e-11	3.6859e-13	8.7214e-12	6.7035e-11	8.9383e-11	2.2347e-11	7.6945e-10	1.4988e-09	3.3820e-21	1.0092e-14	8.7342e-15	1.0000e-37	1.0000e-37	1.3046e-03	2.6819e-09	2.3618e-17	7.1090e-17	3.6644e-11	1.0000e-37	3.0572e-13	2.9892e-14	5.6233e-11	4.3605e-10	5.9397e-15	1.3906e-10	8.1388e-09	6.4691e-11	3.8375e-10	1.1604e-09	7.7669e-10	1.0000e-37	1.0537e-12	1.0413e-13	1.0000e-37	2.5427e-13	1.0000e-37	6.4914e-16	5.8961e-15	3.3401e-15	9.8854e-15	2.5919e-12	5.5641e-11	6.4280e-12	7.8716e-11	1.5220e-10	2.3995e-23	5.9140e-23	1.0000e-37	1.2178e-19	9.0815e-14
iteration 3	2.3390e-16	2.0130e-22	1.4241e-08	1.0000e-37	1.1563e-02	7.8420e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0657e-12	1.0000e-37	7.9902e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0171e-13	1.0000e-37	1.4995e-15	1.2133e-26	7.4081e-14	1.0000e-37	5.9729e-28	2.1156e-18	2.5557e-23	8.6970e-22	2.0285e-21	1.0000e-37	5.6404e-26	9.1533e-17	1.0083e-15	2.2650e-16	4.2943e-16	4.3573e-13	1.4619e-13	2.5989e-25	1.0000e-37	1.0000e-37	4.7775e-09	1.7484e-14	2.4474e-13	7.1265e-15	3.2980e-18	2.4044e-12	2.2072e-15	6.0132e-13	1.4008e-12	1.8665e-12	4.6566e-13	6.3294e-11	1.2299e-10	2.3900e-25	1.9167e-16	1.7036e-16	1.0000e-37	1.0000e-37	1.3046e-03	2.1863e-10	1.9116e-20	5.7540e-20	4.6216e-13	1.0000e-37	1.6981e-15	2.6377e-17	3.9726e-12	1.4154e-11	2.4725e-18	4.5139e-12	6.5963e-10	2.2953e-13	7.4494e-12	2.3833e-11	1.6383e-11	1.0000e-37	2.7109e-16	1.1687e-16	1.0000e-37	6.5418e-17	1.0000e-37	3.8540e-18	3.5006e-17	2.0319e-17	5.9179e-17	5.6364e-15	4.7703e-12	1.3978e-14	6.5654e-12	9.6382e-12	3.5020e-27	8.6315e-27	1.0000e-37	2.3223e-23	2.2650e-16
iteration 3	1.8308e-18	2.4616e-25	1.3297e-09	1.0000e-37	1.1563e-02	7.6752e-09	1.0000e-37	1.0000e-37	1.0000e-37	9.6980e-14	1.0000e-37	7.2715e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.2564e-15	1.0000e-37	2.2279e-17	1.0000e-37	6.8243e-15	1.0000e-37	4.1836e-31	6.4033e-20	1.5132e-25	7.2542e-25	2.9417e-24	1.0000e-37	3.7541e-29	7.0150e-19	1.8707e-17	5.8191e-18	1.3728e-17	3.8766e-14	1.2995e-14	3.1181e-28	1.0000e-37	1.0000e-37	3.2880e-10	1.0870e-16	8.9771e-15	4.2655e-17	1.9672e-20	1.1195e-13	5.4753e-17	2.8863e-14	1.1472e-13	1.5190e-13	3.7179e-14	5.1937e-12	1.0168e-11	1.5907e-28	2.5687e-18	2.2160e-18	1.0000e-37	1.0000e-37	1.3046e-03	1.7511e-11	3.8236e-23	1.1509e-22	1.6514e-14	1.0000e-37	6.3693e-17	2.0464e-19	1.9785e-13	1.5087e-12	1.2743e-20	4.8115e-13	5.2347e-11	2.2916e-15	3.9108e-13	1.2748e-12	8.8377e-13	1.0000e-37	3.8904e-19	8.9567e-19	1.0000e-37	9.3881e-20	1.0000e-37	9.5199e-20	8.6469e-19	5.0792e-19	1.4678e-18	5.7787e-17	3.6405e-13	1.4331e-16	4.8265e-13	4.5816e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.4972e-25	5.8191e-18
iteration 3	7.6504e-19	1.2142e-27	2.9583e-08	1.0000e-37	1.1563e-02	1.3504e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.8857e-12	1.0000e-37	1.4139e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7999e-13	1.0000e-37	1.6111e-18	1.0000e-37	1.8454e-13	1.0000e-37	1.0479e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.4489e-19	5.3078e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.9571e-09	1.0000e-37	4.5124e-14	1.0000e-37	1.0000e-37	1.6308e-13	1.0000e-37	6.8849e-14	3.3486e-39	4.5180e-39	1.1694e-39	1.0043e-10	2.0236e-10	1.0000e-37	1.6408e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.3046e-03	3.2802e-10	1.0000e-37	1.0000e-37	1.1907e-15	1.0000e-37	1.0000e-37	4.5771e-23	7.8035e-13	1.4628e-28	1.0000e-37	4.6650e-29	1.0116e-09	1.0000e-37	2.8783e-28	9.9926e-28	7.1144e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8165e-12	1.0000e-37	6.1552e-12	6.3237e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.3078e-18
iteration 3	1.8909e-21	1.2905e-29	1.3540e-08	1.0000e-37	1.1563e-02	6.5331e-08	1.0000e-37	1.0000e-37	1.0000e-37	8.2144e-13	1.0000e-37	6.1591e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.8403e-14	1.0000e-37	5.2479e-20	1.0000e-37	8.5489e-14	1.0000e-37	1.1990e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4630e-20	2.5408e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5403e-09	1.0000e-37	6.3627e-15	1.0000e-37	1.0000e-37	6.8498e-14	1.0000e-37	2.9912e-14	1.0000e-37	1.0000e-37	1.0000e-37	4.2850e-11	8.6597e-11	1.0000e-37	3.7662e-21	1.0000e-37	1.0000e-37	1.0000e-37	1.3046e-03	1.3798e-10	1.0000e-37	1.0000e-37	6.6379e-16	1.0000e-37	1.0000e-37	4.4994e-24	3.4728e-13	1.0000e-37	1.0000e-37	1.0000e-37	4.2455e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0006e-12	1.0000e-37	2.4496e-12	2.7587e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5408e-18
