#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.7072e-06	9.0704e-07	1.6007e-06	6.4096e-14	1.2625e-02	3.4127e-04	5.4860e-09	1.0068e-08	2.7702e-09	7.1190e-07	6.7050e-09	3.6861e-07	5.0798e-07	1.3326e-10	4.0532e-10	5.2567e-10	1.0835e-09	3.0100e-07	8.4870e-07	2.4452e-06	9.6699e-08	3.0306e-07	8.8574e-12	8.4794e-08	3.8996e-07	1.8799e-07	1.7665e-06	2.9213e-06	3.1732e-08	4.0432e-08	4.8460e-07	4.7272e-06	1.7045e-07	9.2156e-08	1.8451e-06	6.2983e-07	2.3532e-09	4.3802e-11	1.0000e-37	6.8370e-04	2.2897e-05	5.7840e-05	3.4380e-05	5.1663e-06	3.5130e-06	4.7138e-09	7.9072e-07	5.0874e-07	6.7907e-07	1.7039e-07	9.4051e-06	1.6957e-05	2.0126e-07	4.5176e-07	4.1234e-07	5.2866e-12	3.2804e-08	1.6252e-03	3.6342e-05	2.6018e-05	7.8382e-05	2.1136e-07	1.0000e-37	1.3901e-08	2.5490e-07	5.2085e-06	1.0147e-06	4.3372e-07	3.2386e-07	1.1137e-04	2.4787e-05	7.4988e-06	1.2690e-05	5.1911e-06	2.5890e-10	5.6983e-06	7.2530e-07	5.4158e-11	1.3831e-06	1.2174e-09	9.4022e-12	8.5431e-11	4.2892e-11	1.4789e-10	1.2396e-05	1.0096e-06	3.0840e-05	1.4453e-06	8.3592e-06	2.2797e-08	5.6059e-08	1.9761e-13	6.2121e-08	1.7045e-07
iteration 3	1.0239e-06	5.2812e-07	1.8220e-06	1.0000e-37	1.2625e-02	9.0090e-04	7.4357e-15	1.1705e-14	3.7394e-15	6.4651e-07	2.4225e-08	3.5071e-07	1.2488e-08	4.3259e-12	1.3387e-11	1.7705e-11	3.0377e-11	2.9203e-07	7.1681e-08	1.9540e-06	1.9979e-08	2.7132e-07	1.1452e-16	2.2144e-08	6.1020e-08	1.0304e-07	1.3968e-06	2.3095e-06	9.8787e-10	8.9143e-09	1.2686e-06	1.2660e-05	4.1230e-07	1.9540e-07	5.7772e-06	1.9589e-06	1.7485e-09	1.1325e-15	1.0000e-37	7.3607e-04	6.4591e-05	1.6105e-04	9.6009e-05	3.5564e-06	3.8562e-06	4.8789e-08	8.5383e-07	2.4974e-06	3.3333e-06	8.3605e-07	1.0885e-05	1.9545e-05	3.9159e-08	3.3961e-07	3.1120e-07	7.4459e-13	1.4812e-09	1.6252e-03	4.1461e-05	4.4992e-06	1.3545e-05	1.3697e-06	1.0000e-37	7.0781e-08	6.7974e-07	5.4131e-06	6.1958e-06	4.0693e-07	1.9763e-06	1.2374e-04	8.1465e-05	3.6914e-05	6.2721e-05	2.5808e-05	1.0646e-13	6.7327e-06	1.6600e-06	2.9157e-12	1.6269e-06	3.9002e-09	1.0272e-10	9.3305e-10	4.6801e-10	1.5274e-09	9.9745e-06	1.1021e-06	2.4754e-05	1.5747e-06	8.2938e-06	5.5043e-09	1.3568e-08	3.4818e-18	3.6903e-08	4.1230e-07
iteration 3	5.2184e-07	7.4900e-09	1.8710e-06	1.0000e-37	1.2625e-02	1.0634e-03	1.0000e-37	1.0000e-37	1.0000e-37	4.9362e-07	2.7176e-08	2.4760e-07	2.8227e-11	1.0000e-37	6.0601e-14	1.0000e-37	1.0000e-37	2.2161e-07	3.8843e-11	4.4588e-07	3.1686e-10	1.9488e-07	1.0000e-37	4.0083e-10	3.1493e-09	1.3434e-08	2.5978e-07	4.2990e-07	4.0442e-12	1.5394e-10	1.0440e-06	1.4679e-05	4.4829e-07	2.0738e-07	8.6669e-06	2.9340e-06	3.0881e-10	1.0000e-37	1.0000e-37	7.6784e-04	5.6532e-05	1.3491e-04	7.7944e-05	7.9306e-07	3.1694e-06	1.8036e-07	7.0602e-07	4.8494e-06	6.4680e-06	1.6186e-06	1.1128e-05	1.9971e-05	6.5905e-10	7.6331e-08	6.9585e-08	1.7777e-15	1.5699e-11	1.6252e-03	4.2375e-05	8.3028e-08	2.4993e-07	5.5123e-06	1.0000e-37	2.0299e-07	6.0543e-07	4.4919e-06	2.2421e-05	1.1514e-07	7.1507e-06	1.2623e-04	8.4753e-05	7.1511e-05	1.2533e-04	5.3819e-05	1.0000e-37	4.3049e-06	1.3426e-06	2.9540e-14	1.0392e-06	4.1637e-09	3.7168e-10	3.3761e-09	1.7196e-09	5.4927e-09	3.0856e-06	1.1213e-06	7.6539e-06	1.6018e-06	7.2878e-06	9.0155e-11	2.2222e-10	1.0000e-37	4.9405e-09	4.4829e-07
iteration 3	2.4336e-07	5.0169e-11	1.7885e-06	1.0000e-37	1.2625e-02	1.1708e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.7338e-07	2.4507e-08	1.3962e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4155e-07	1.0000e-37	8.0203e-08	2.3166e-12	1.1692e-07	1.0000e-37	3.4480e-12	2.4637e-10	6.7309e-10	1.9415e-08	3.2287e-08	1.0000e-37	1.7253e-12	4.0084e-07	7.1855e-06	2.3427e-07	1.2483e-07	5.9715e-06	2.0343e-06	1.4336e-11	1.0000e-37	1.0000e-37	8.4918e-04	2.5340e-05	5.1975e-05	2.6238e-05	9.0486e-08	2.2943e-06	2.1127e-07	5.2659e-07	5.6722e-06	7.5503e-06	1.8781e-06	1.1092e-05	1.9954e-05	7.3408e-12	1.3516e-08	1.2128e-08	1.0000e-37	1.0000e-37	1.6252e-03	4.2571e-05	1.6405e-09	4.9380e-09	9.6053e-06	1.0000e-37	2.2310e-07	2.2592e-07	3.4531e-06	3.7135e-05	2.2546e-08	1.1843e-05	1.2778e-04	5.0158e-05	7.5518e-05	1.4905e-04	7.3530e-05	1.0000e-37	1.5593e-06	5.1153e-07	1.0000e-37	3.7634e-07	3.7735e-09	4.1516e-10	3.7709e-09	1.9750e-09	6.1723e-09	9.7725e-07	1.1392e-06	2.4238e-06	1.6287e-06	6.4429e-06	6.6480e-13	1.6386e-12	1.0000e-37	2.5267e-10	2.3427e-07
iteration 3	3.0338e-08	4.9064e-13	1.5743e-06	1.0000e-37	1.2625e-02	1.1839e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.5776e-07	2.0635e-08	5.6353e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.4457e-08	1.0000e-37	1.2450e-08	2.8259e-15	4.9555e-08	1.0000e-37	3.6090e-15	1.9119e-11	3.3647e-12	1.7614e-10	2.9936e-10	1.0000e-37	6.1220e-15	3.3652e-08	5.9492e-07	2.5640e-08	1.8997e-08	1.1296e-06	3.9551e-07	5.8690e-14	1.0000e-37	1.0000e-37	9.3314e-04	3.0629e-06	5.3138e-06	1.9905e-06	2.5727e-09	1.4172e-06	5.7704e-08	3.4309e-07	3.0480e-06	4.0562e-06	1.0083e-06	9.9149e-06	1.7917e-05	2.5981e-14	1.9013e-09	1.6241e-09	1.0000e-37	1.0000e-37	1.6252e-03	3.8618e-05	2.5616e-11	7.7104e-11	3.6870e-06	1.0000e-37	4.5658e-08	1.4946e-08	2.3635e-06	1.9523e-05	1.8298e-09	6.2263e-06	1.1838e-04	9.5356e-06	3.1560e-05	7.8662e-05	4.7102e-05	1.0000e-37	2.1766e-07	4.2834e-08	1.0000e-37	5.2528e-08	3.1941e-09	1.0582e-10	9.6120e-10	5.2632e-10	1.5944e-09	2.4479e-07	1.0639e-06	6.0710e-07	1.5167e-06	4.7623e-06	8.1386e-16	2.0059e-15	1.0000e-37	1.3391e-12	2.5640e-08
iteration 3	5.9458e-14	3.1332e-19	1.5944e-07	1.0000e-37	1.2625e-02	6.6837e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.4552e-11	1.0000e-37	1.0896e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3748e-12	1.0000e-37	7.6783e-14	8.5056e-23	1.0067e-12	1.0000e-37	6.9240e-23	9.2975e-17	2.6213e-19	2.5453e-17	4.6798e-17	1.0000e-37	8.0759e-22	8.3259e-14	1.1217e-12	9.2431e-14	1.0342e-13	1.1972e-11	4.0430e-12	5.4315e-21	1.0000e-37	1.0000e-37	5.0133e-08	9.7835e-12	1.9934e-11	4.4908e-12	2.6433e-15	3.6025e-11	3.9821e-13	8.6496e-12	6.8553e-11	9.1406e-11	2.2853e-11	8.0543e-10	1.5788e-09	3.4220e-21	9.9535e-15	8.6197e-15	1.0000e-37	1.0000e-37	1.6252e-03	2.7607e-09	2.3696e-17	7.1326e-17	3.6953e-11	1.0000e-37	3.1040e-13	3.0412e-14	5.5768e-11	4.4018e-10	6.0358e-15	1.4038e-10	8.5010e-09	6.5376e-11	3.9063e-10	1.1813e-09	7.9071e-10	1.0000e-37	1.0513e-12	1.0616e-13	1.0000e-37	2.5368e-13	1.0000e-37	7.0132e-16	6.3701e-15	3.6083e-15	1.0680e-14	2.6184e-12	5.6515e-11	6.4937e-12	7.9948e-11	1.5120e-10	2.4549e-23	6.0507e-23	1.0000e-37	1.2634e-19	9.2431e-14
iteration 3	2.4966e-16	2.1466e-22	1.5343e-08	1.0000e-37	1.2625e-02	8.5229e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.1792e-12	1.0000e-37	8.8294e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1140e-13	1.0000e-37	1.4746e-15	1.3289e-26	8.2241e-14	1.0000e-37	6.2375e-28	2.3262e-18	2.7546e-23	8.8548e-22	2.0747e-21	1.0000e-37	5.5712e-26	9.1170e-17	1.0385e-15	2.2552e-16	4.2715e-16	4.8314e-13	1.6211e-13	2.5310e-25	1.0000e-37	1.0000e-37	4.7942e-09	1.7431e-14	2.4338e-13	7.1041e-15	3.2290e-18	2.3824e-12	2.3978e-15	5.9586e-13	1.4114e-12	1.8805e-12	4.6916e-13	6.6260e-11	1.2956e-10	2.3607e-25	1.8879e-16	1.6793e-16	1.0000e-37	1.0000e-37	1.6252e-03	2.2499e-10	1.8957e-20	5.7060e-20	4.6059e-13	1.0000e-37	1.6896e-15	2.6296e-17	3.9367e-12	1.4123e-11	2.4777e-18	4.5041e-12	6.8876e-10	2.2933e-13	7.5064e-12	2.4016e-11	1.6510e-11	1.0000e-37	2.6813e-16	1.1641e-16	1.0000e-37	6.4703e-17	1.0000e-37	4.1868e-18	3.8029e-17	2.2074e-17	6.4290e-17	5.6632e-15	4.8443e-12	1.4045e-14	6.6675e-12	9.5485e-12	3.8355e-27	9.4534e-27	1.0000e-37	2.5238e-23	2.2552e-16
iteration 3	1.8992e-18	2.5898e-25	1.4312e-09	1.0000e-37	1.2625e-02	8.3362e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0708e-13	1.0000e-37	8.0173e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0116e-14	1.0000e-37	2.1842e-17	1.0000e-37	7.5609e-15	1.0000e-37	4.4664e-31	7.0259e-20	1.6084e-25	6.6660e-25	2.8095e-24	1.0000e-37	3.4861e-29	6.5878e-19	1.7649e-17	5.5027e-18	1.2941e-17	4.3019e-14	1.4423e-14	2.8003e-28	1.0000e-37	1.0000e-37	3.3041e-10	1.0406e-16	8.8911e-15	4.0833e-17	1.8527e-20	1.1072e-13	5.7702e-17	2.8558e-14	1.1051e-13	1.4632e-13	3.5812e-14	5.4592e-12	1.0758e-11	1.4772e-28	2.5240e-18	2.1806e-18	1.0000e-37	1.0000e-37	1.6252e-03	1.8067e-11	3.6811e-23	1.1080e-22	1.5983e-14	1.0000e-37	6.0213e-17	1.9250e-19	1.9581e-13	1.4652e-12	1.2104e-20	4.6727e-13	5.4928e-11	2.2110e-15	3.8159e-13	1.2440e-12	8.6238e-13	1.0000e-37	3.7423e-19	8.4112e-19	1.0000e-37	9.0307e-20	1.0000e-37	1.0031e-19	9.1114e-19	5.3540e-19	1.5469e-18	5.6255e-17	3.7088e-13	1.3951e-16	4.9171e-13	4.5134e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.5942e-25	5.5027e-18
iteration 3	8.1953e-19	1.3244e-27	3.2474e-08	1.0000e-37	1.2625e-02	1.4917e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.1223e-12	1.0000e-37	1.5890e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0049e-13	1.0000e-37	1.6147e-18	1.0000e-37	2.0816e-13	1.0000e-37	1.1810e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.0992e-19	6.0133e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1239e-09	1.0000e-37	4.5580e-14	1.0000e-37	1.0000e-37	1.6451e-13	1.0000e-37	6.9433e-14	5.2370e-39	7.0727e-39	1.8357e-39	1.0920e-10	2.2155e-10	1.0000e-37	1.6482e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.6252e-03	3.4894e-10	1.0000e-37	1.0000e-37	1.3184e-15	1.0000e-37	1.0000e-37	4.6435e-23	7.8686e-13	1.9602e-28	1.0000e-37	6.2513e-29	1.1005e-09	1.0000e-37	3.7980e-28	1.3181e-27	9.3827e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.0938e-12	1.0000e-37	6.5125e-12	6.3773e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.0133e-18
iteration 3	2.0730e-21	1.4248e-29	1.5071e-08	1.0000e-37	1.2625e-02	7.3095e-08	1.0000e-37	1.0000e-37	1.0000e-37	9.4236e-13	1.0000e-37	7.0558e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.9025e-14	1.0000e-37	5.3065e-20	1.0000e-37	9.7621e-14	1.0000e-37	1.3661e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7003e-20	2.9299e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5947e-09	1.0000e-37	6.5191e-15	1.0000e-37	1.0000e-37	6.9893e-14	1.0000e-37	3.0522e-14	1.0000e-37	1.0000e-37	1.0000e-37	4.7359e-11	9.6384e-11	1.0000e-37	3.8074e-21	1.0000e-37	1.0000e-37	1.0000e-37	1.6252e-03	1.4913e-10	1.0000e-37	1.0000e-37	7.4554e-16	1.0000e-37	1.0000e-37	4.6212e-24	3.5438e-13	1.0000e-37	1.0000e-37	1.0000e-37	4.6999e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1534e-12	1.0000e-37	2.6389e-12	2.8150e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9299e-18
