#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.5820e-07	7.9635e-16	1.9246e+00	1.7159e+06	4.3159e+08	1.0623e+01	2.1929e+02	3.2286e+02	1.0357e+02	1.0000e-37	1.0000e-37	1.0000e-37	7.1040e+00	3.8474e-10	2.3982e-18	2.5734e-17	1.0797e-11	1.0000e-37	6.9794e+01	1.0504e-01	4.1358e-20	1.0000e-37	7.8477e-12	1.7816e-21	8.9188e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0673e-12	6.2737e-27	1.0000e-37	1.1129e-24	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7881e-27	6.2275e-08	2.7187e-02	7.0082e-02	1.0000e-37	1.0000e-37	1.0000e-37	1.8362e-25	5.1206e-13	1.0000e-37	2.4839e-14	1.0000e-37	1.0000e-37	1.0000e-37	6.2430e-03	1.1299e-02	2.4204e-19	6.3380e-03	5.9628e-03	1.5382e-17	1.0000e-37	8.1143e+07	1.7910e-02	1.0851e-25	3.2663e-25	3.6916e-243	1.0000e-37	1.0000e-37	4.6045e-31	1.2531e-13	1.0000e-37	1.0000e-37	1.0000e-37	6.0804e-02	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5387e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.2861e-04	1.0000e-37	4.5524e-04	1.7273e-12	1.1937e-20	2.9421e-20	7.1073e-02	1.0000e-37	1.0000e-37
iteration 3	1.5598e-05	7.8996e-13	1.9381e+01	1.7936e+06	4.3159e+08	1.0693e+02	2.1140e+03	3.1318e+03	1.0178e+03	1.4835e-15	1.0000e-37	1.1173e-16	7.1315e+01	3.8215e-08	2.3655e-15	2.5077e-14	1.0741e-09	1.3466e-16	6.8892e+02	1.0598e+00	4.1065e-17	1.4042e-15	7.8934e-10	1.7674e-18	8.9921e-08	1.8380e-10	1.6309e-15	8.8169e-12	1.0732e-10	6.1439e-23	1.0000e-37	1.0615e-21	6.5826e-21	1.0000e-37	5.5008e-17	1.8453e-17	2.7390e-23	6.1804e-06	2.7314e-01	7.0763e-01	1.0000e-37	1.0000e-37	1.0000e-37	1.8242e-21	5.1542e-11	1.0000e-37	2.5034e-12	1.0000e-37	1.0000e-37	1.0000e-37	6.2867e-02	1.1378e-01	2.4171e-16	6.3760e-02	6.0053e-02	1.5087e-14	9.1380e-26	8.1143e+07	1.8034e-01	1.0708e-21	3.2232e-21	2.1161e-226	1.0000e-37	1.0000e-37	4.5893e-27	1.2630e-11	1.0000e-37	4.0625e-30	1.0000e-37	6.1230e-01	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5110e-18	1.0000e-37	1.0000e-37	8.8911e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4585e-29	3.3097e-03	3.6171e-29	4.5850e-03	1.7387e-10	1.1852e-17	2.9213e-17	7.0637e-01	1.8380e-10	6.5826e-21
iteration 3	1.4739e-03	7.7405e-10	2.0099e+02	1.8153e+06	4.3159e+08	1.1029e+03	1.5003e+04	2.3607e+04	8.6045e+03	1.1761e-12	1.0000e-37	8.8572e-14	7.3014e+02	3.7382e-06	2.2653e-12	2.0951e-11	1.0571e-07	1.0676e-13	6.2739e+03	1.2213e+01	4.0610e-14	1.3256e-12	8.3236e-08	1.7328e-15	9.6951e-06	1.6888e-08	1.3544e-12	8.3535e-10	1.1596e-08	5.4426e-19	1.0000e-37	9.0326e-19	5.2189e-18	1.0000e-37	6.1389e-14	2.0594e-14	2.5961e-19	5.9821e-04	2.8300e+00	7.6166e+00	1.0000e-37	1.0000e-37	1.0000e-37	1.8883e-17	5.5126e-09	1.0000e-37	2.7040e-10	1.0000e-37	1.0000e-37	1.0000e-37	6.5385e-01	1.1833e+00	2.4610e-13	6.7484e-01	6.3372e-01	1.3578e-11	8.9892e-21	8.1143e+07	1.8768e+00	1.0131e-17	3.0495e-17	4.5082e-43	1.0000e-37	1.0000e-37	4.6570e-23	1.3653e-09	1.0000e-37	3.5442e-25	1.0000e-37	6.3677e+00	2.6178e-27	1.0000e-37	1.0000e-37	1.0000e-37	3.5090e-14	6.8801e-28	1.0000e-37	8.3956e-23	1.6603e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3366e-24	3.4576e-02	3.3149e-24	4.7905e-02	1.8602e-08	1.1721e-14	2.8889e-14	6.8433e+00	1.6888e-08	5.2189e-18
iteration 3	1.3337e-01	8.1300e-07	2.2208e+03	1.8529e+06	4.3159e+08	1.1419e+04	3.2451e+04	5.9060e+04	2.6608e+04	6.3984e-10	1.0000e-37	4.8188e-11	6.9697e+03	3.6988e-04	2.1864e-09	1.1795e-08	1.0642e-05	5.8081e-11	2.6551e+04	1.4446e+02	4.2306e-11	1.1973e-09	9.9635e-06	1.8263e-12	1.2553e-03	1.3216e-06	7.7281e-10	7.6735e-08	1.4989e-06	3.8537e-15	2.3223e-22	6.9497e-16	2.8412e-15	1.0000e-37	8.8918e-11	2.9828e-11	2.2520e-15	5.4452e-02	3.1529e+01	9.5632e+01	2.0575e-21	3.8606e-21	1.8031e-21	2.2195e-13	6.8612e-07	1.0000e-37	3.4590e-08	1.0000e-37	1.0000e-37	1.0000e-37	7.3716e+00	1.3340e+01	2.7521e-10	8.1543e+00	7.4581e+00	9.9048e-09	9.4602e-16	8.1143e+07	2.1215e+01	9.0194e-14	2.7148e-13	1.2436e-37	1.0000e-37	1.0000e-37	5.4347e-19	1.7498e-07	1.0000e-37	2.5270e-20	1.0000e-37	7.2212e+01	2.0652e-22	1.0000e-37	1.0000e-37	1.0000e-37	3.7327e-10	7.7801e-22	2.9528e-22	7.5690e-18	1.8774e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1259e-19	3.9556e-01	2.7922e-19	5.4792e-01	2.3188e-06	1.2210e-11	3.0095e-11	6.4740e+01	1.3214e-06	2.8412e-15
iteration 3	1.2742e+01	8.2343e-04	1.9904e+04	1.8707e+06	4.3159e+08	6.0322e+04	4.2090e+04	7.8870e+04	3.6779e+04	4.5522e-07	3.4027e-27	3.4284e-08	2.5089e+04	3.9701e-02	2.1605e-06	8.3232e-06	1.0804e-03	4.1322e-08	4.0458e+04	9.4590e+02	4.5769e-08	1.2268e-06	1.1023e-03	1.9005e-09	1.6421e-01	1.1505e-04	5.2938e-07	8.1684e-06	1.7362e-04	3.4102e-11	4.3724e-17	7.2220e-13	2.0327e-12	5.9954e-12	1.1255e-07	3.7757e-08	2.8282e-11	6.7618e+00	3.3123e+02	1.0633e+03	1.1571e-16	1.0012e-12	5.2682e-17	3.2666e-09	7.5952e-05	7.5564e-23	3.8593e-06	1.3632e-21	1.8141e-21	4.5096e-22	7.8280e+01	1.4325e+02	3.1282e-07	8.5500e+01	7.9924e+01	1.2884e-05	1.3998e-10	8.1143e+07	2.3312e+02	8.8479e-10	2.6632e-09	1.2804e-29	1.0000e-37	2.3192e-27	5.7853e-15	1.9553e-05	1.4865e-29	2.0465e-15	4.7407e-30	8.2085e+02	1.6661e-17	6.2733e-22	1.9283e-21	1.3010e-21	4.5988e-06	9.3973e-16	3.2563e-13	9.8446e-13	2.2677e-16	3.5110e-28	1.3571e-25	1.2362e-24	6.5596e-25	2.0278e-24	9.6679e-15	4.2536e+00	2.3976e-14	5.8395e+00	2.5705e-04	1.3210e-08	3.2559e-08	6.8139e+02	1.1498e-04	2.0327e-12
iteration 3	1.1976e+03	1.1289e+00	6.4800e+04	1.8407e+06	4.3159e+08	1.5948e+05	6.1003e+04	1.1195e+05	5.0949e+04	3.3945e-04	7.1761e-21	2.5565e-05	3.9732e+04	1.4121e+01	2.5443e-03	4.8353e-03	1.5357e-01	3.0813e-05	5.4161e+04	7.8688e+03	1.9257e-04	5.1597e-03	1.6040e-01	3.0564e-06	9.6646e+01	1.0555e-02	1.9645e-04	1.3785e-03	2.1404e-02	1.0289e-06	1.8087e-11	1.4465e-09	1.5807e-09	2.7497e-08	2.8228e-04	9.4695e-05	1.6427e-06	2.9411e+03	3.5165e+03	1.2147e+04	6.5482e-12	7.3326e-09	2.5045e-12	2.4765e-04	8.5137e-03	6.9237e-16	4.3676e-04	1.3367e-15	1.7642e-15	4.2749e-16	9.8462e+02	1.8511e+03	1.2459e-03	9.0949e+02	8.6787e+02	1.1832e-01	2.1645e-05	8.1143e+07	2.9212e+03	2.8667e-05	8.6287e-05	1.6717e-24	1.0000e-37	6.8753e-21	8.4876e-11	2.2239e-03	5.3725e-23	1.9348e-10	1.7134e-23	8.6417e+03	9.9832e-13	7.0792e-17	2.3588e-16	1.6508e-16	7.1445e-02	1.3628e-09	1.4112e-08	2.1285e-07	3.2886e-10	7.8442e-22	1.2450e-18	1.1308e-17	6.0289e-18	1.8582e-17	7.9494e-10	5.5367e+01	1.9715e-09	7.2156e+01	2.8877e-02	5.5580e-05	1.3699e-04	1.1982e+04	1.0534e-02	1.5807e-09
iteration 3	3.9029e+04	2.7602e+04	6.0680e+04	6.1334e+05	4.3159e+08	7.2251e+05	2.4733e+05	4.1241e+05	1.6508e+05	2.9489e-01	3.6095e-12	2.2209e-02	6.5293e+04	3.3182e+04	1.0083e+03	1.2775e+02	6.7150e+03	2.6769e-02	5.7068e+05	8.0529e+04	1.0968e+03	5.1894e+01	6.2558e+01	3.4641e+00	2.2726e+04	1.1552e+00	7.3910e-01	2.3589e+01	2.2232e+02	2.6304e+01	3.5843e-03	3.5953e-04	1.7845e-06	4.9310e-04	8.7864e+03	3.8873e+03	1.5104e+01	2.3085e+04	3.6814e+04	1.3254e+05	2.1691e-04	4.5835e-02	8.1934e-05	4.6990e+03	1.1386e+03	6.5375e-06	6.5975e+01	2.5295e-07	3.1819e-07	6.5245e-08	8.5572e+03	1.3369e+04	1.6247e+02	7.0037e+03	6.4499e+03	3.5180e+02	2.0610e+02	8.1143e+07	1.9877e+04	6.6731e+02	2.0086e+03	2.0087e-16	1.0000e-37	1.4227e-11	8.2847e-04	3.5529e+02	1.9260e-13	5.2310e-03	6.1422e-14	5.5048e+04	1.0814e-05	2.2726e-09	7.5211e-09	5.2485e-09	3.1782e+02	4.5727e-01	7.6020e-01	6.5203e+00	1.1034e-01	3.7874e-13	1.1743e-08	1.0666e-07	5.7051e-08	1.7546e-07	1.0304e-02	7.3373e+02	2.5553e-02	9.4898e+02	2.1633e+03	3.2501e+02	7.7181e+02	3.6219e+04	1.1530e+00	1.7845e-06
iteration 4	3.5997e+05	8.1728e+04	6.9695e+04	1.7967e+05	4.3159e+08	4.6251e+06	1.1620e+05	1.9911e+05	8.2914e+04	5.7484e+02	8.9563e-08	4.4240e+01	2.3888e+05	3.9809e+04	2.8354e+04	2.3572e+02	3.2360e+04	5.3252e+01	1.5231e+06	8.8792e+04	4.5656e+04	4.4121e+03	9.9199e+01	7.3486e+02	3.5330e+04	2.6383e+02	6.1968e+01	1.2554e+04	7.6469e+03	8.5368e+03	5.4067e+00	2.0932e+00	5.8652e-03	1.4982e-01	1.8426e+04	8.7876e+03	8.5224e+02	1.6287e+04	4.0605e+05	1.5743e+06	7.5273e-02	1.7369e+00	2.8531e-02	9.2695e+04	1.1235e+04	1.4819e-01	2.7276e+03	2.3643e-03	2.8625e-03	4.9819e-04	4.1631e+04	6.7390e+04	3.6473e+04	6.7867e+03	6.2175e+03	6.3107e+02	1.0695e+03	8.1143e+07	1.2648e+05	3.8339e+04	1.1540e+05	3.4918e-12	1.0000e-37	4.7902e-07	4.3406e-01	1.5796e+04	7.1768e-09	1.6639e+01	2.2888e-09	3.7767e+05	8.9168e-03	8.9000e-06	2.9140e-05	2.0240e-05	6.5227e+02	6.5633e+01	1.2484e+02	1.6012e+02	1.5838e+01	8.4258e-09	2.8074e-04	2.5465e-03	1.3150e-03	4.1422e-03	7.3646e+00	4.8401e+03	1.8264e+01	6.1775e+03	3.2150e+04	1.7586e+04	2.8070e+04	3.3073e+04	2.6370e+02	5.8652e-03
iteration 4	1.1443e+06	2.1394e+05	1.0234e+05	7.1909e+04	4.3159e+08	1.8785e+07	5.5788e+04	1.0243e+05	4.6645e+04	1.9077e+06	5.0195e+05	3.1699e+05	8.3536e+05	1.9309e+04	6.7202e+04	6.3945e+01	5.6418e+04	3.3697e+05	1.3715e+06	6.2624e+04	3.5915e+05	5.4227e+05	1.0000e-37	1.2904e+05	7.0143e+04	2.0471e+05	1.4970e+03	2.1639e+06	1.0000e-37	2.6251e+04	3.7694e+04	8.9386e+05	2.2568e+05	1.3612e+05	9.8145e+05	3.4969e+05	6.0929e+03	1.4846e+03	3.2449e+06	1.3181e+07	4.3563e+02	6.0218e+02	1.6559e+02	1.0258e+05	1.6968e+04	1.1649e+02	1.1589e+04	1.5537e+04	1.8693e+04	3.1559e+03	1.2709e+05	2.2149e+05	1.1129e+05	6.1224e+03	5.9850e+03	4.2035e+02	6.3898e+02	8.1143e+07	9.2556e+05	3.0685e+04	9.2363e+04	1.0056e-04	1.0000e-37	2.8689e+03	1.3612e+04	6.8746e+04	1.1381e+02	1.5562e+03	3.6296e+01	4.2045e+06	2.0189e+03	5.9959e+01	1.9589e+02	1.3593e+02	1.6708e+02	1.1104e+03	4.6498e+04	2.1399e+02	2.6796e+02	7.8021e+04	1.1903e+00	9.7790e+00	3.5184e+00	1.4488e+01	2.7679e+02	3.9644e+04	6.8643e+02	5.2905e+04	1.5557e+05	1.3096e+05	2.2819e+05	7.5745e+03	2.0462e+05	2.2568e+05
iteration 3	4.2834e+05	9.1257e+04	9.4851e+04	4.9480e+03	4.3159e+08	1.9451e+07	2.8677e+04	5.2272e+04	2.3594e+04	2.3448e+06	2.8644e+06	4.3362e+05	3.7364e+05	8.4075e+03	2.3576e+04	5.2455e+00	3.5254e+04	5.0938e+05	9.0276e+05	5.0293e+04	2.9116e+05	7.4888e+05	1.0000e-37	1.0709e+05	1.1198e+05	7.9229e+05	2.2741e+02	1.5799e+06	1.0000e-37	2.9472e+03	3.3954e+04	5.6218e+06	1.9671e+06	1.1514e+06	7.3312e+06	2.7169e+06	1.0834e+03	1.4588e+01	1.9083e+07	9.5257e+07	4.4142e+02	6.0941e+02	1.6789e+02	1.0463e+04	2.0960e+04	1.0345e+03	1.3201e+04	2.0694e+04	2.4880e+04	4.1857e+03	5.6771e+05	1.0192e+06	1.2492e+04	5.8759e+03	6.0977e+03	3.3535e+01	3.6708e+01	8.1143e+07	3.5189e+06	2.9649e+03	8.9242e+03	6.3918e-03	1.0000e-37	1.7129e+04	1.7239e+04	7.7097e+04	2.9264e+03	7.8294e+02	9.3337e+02	1.4325e+07	2.8416e+03	8.8386e+01	2.8876e+02	2.0037e+02	6.4898e+00	5.0955e+02	4.1742e+04	1.3371e+01	1.2296e+02	5.2584e+05	1.3381e+01	1.0929e+02	4.1077e+01	1.6375e+02	1.3542e+02	2.6630e+05	3.3584e+02	3.2436e+05	3.6076e+05	8.9054e+04	2.0210e+05	3.9835e+02	7.9225e+05	1.9671e+06
