#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.0286e-06	4.2563e-07	8.6034e-07	1.0000e-37	6.9157e-03	1.0451e-03	1.4876e-16	2.4702e-16	9.8260e-17	1.1283e-06	1.0801e-08	2.5251e-07	3.0621e-07	1.0017e-13	1.1787e-10	7.1937e-12	1.3838e-11	2.4467e-07	2.9312e-07	6.4188e-08	1.0330e-08	2.9580e-07	6.8620e-19	7.6856e-09	2.4943e-07	1.3347e-07	2.2988e-07	3.8048e-07	8.3420e-09	8.7237e-09	1.2390e-07	6.0334e-07	2.7073e-07	2.6023e-07	5.7545e-06	1.9640e-06	2.8128e-10	1.0000e-37	1.3187e-04	9.3791e-04	1.0155e-05	2.6227e-05	1.5257e-05	2.0550e-06	3.7882e-06	1.2293e-07	8.8794e-07	2.1678e-07	2.8952e-07	7.2738e-08	1.1139e-05	2.0112e-05	3.6984e-08	5.4929e-09	4.8895e-09	5.4981e-17	4.5430e-09	5.6729e-04	4.3365e-05	1.3637e-05	4.1047e-05	5.7682e-08	1.0000e-37	2.6749e-09	6.6776e-08	5.9313e-06	3.9931e-07	2.0190e-07	1.2735e-07	1.3241e-04	1.3832e-05	4.7288e-06	7.9763e-06	3.2474e-06	1.3077e-16	2.8613e-06	2.3845e-07	3.8890e-12	6.9047e-07	1.6661e-09	6.4175e-09	5.8290e-08	2.5060e-08	8.9767e-08	1.1158e-05	1.1557e-06	2.7672e-05	1.6619e-06	8.1617e-06	2.9898e-09	7.3403e-09	1.0292e-21	5.9674e-08	2.7073e-07
iteration 3	5.3058e-07	1.8979e-07	9.8938e-07	1.0000e-37	6.9157e-03	1.0516e-03	1.0000e-37	1.0000e-37	1.0000e-37	5.4268e-07	3.0595e-08	1.8937e-07	5.1250e-09	2.4003e-16	2.3149e-13	8.0013e-15	1.4445e-14	1.6841e-07	4.0310e-09	3.5346e-08	1.0882e-10	1.7473e-07	1.0000e-37	1.0303e-10	1.0095e-07	2.1448e-09	1.2368e-08	2.0465e-08	1.5159e-10	1.9254e-10	4.3223e-08	2.6365e-07	8.6680e-08	9.9870e-08	3.8372e-06	1.3193e-06	9.9445e-12	1.0000e-37	1.2837e-04	1.0142e-03	6.8183e-06	1.7537e-05	1.0124e-05	2.2922e-07	3.4890e-06	3.7240e-07	8.3595e-07	3.5236e-07	4.7076e-07	1.1840e-07	1.1042e-05	1.9970e-05	8.1651e-10	4.5262e-09	4.0127e-09	1.7188e-20	5.3496e-11	5.6729e-04	4.3250e-05	7.0303e-07	2.1161e-06	1.6609e-07	1.0000e-37	3.6755e-09	3.6315e-08	5.7234e-06	9.9815e-07	4.8788e-08	3.1833e-07	1.3370e-04	1.8951e-05	1.1747e-05	1.9885e-05	8.1378e-06	6.6065e-19	1.4968e-06	6.3060e-08	3.2159e-14	3.6119e-07	4.7205e-09	1.7681e-08	1.6060e-07	6.8813e-08	2.4709e-07	4.8968e-06	1.1631e-06	1.2144e-05	1.6746e-06	7.6966e-06	3.1410e-11	7.7414e-11	1.0000e-37	8.9913e-10	8.6680e-08
iteration 3	2.2516e-07	1.9143e-09	9.4729e-07	1.0000e-37	6.9157e-03	1.0541e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.6273e-07	3.0967e-08	1.2285e-07	1.0000e-37	1.0000e-37	1.5028e-16	1.0000e-37	1.0000e-37	1.0489e-07	1.0000e-37	1.0081e-08	2.2903e-13	1.0447e-07	1.0000e-37	2.4386e-13	5.1593e-09	1.3742e-11	2.8121e-10	4.6596e-10	1.0000e-37	7.9893e-13	6.8075e-09	4.8092e-08	1.3917e-08	2.1580e-08	1.1652e-06	4.1144e-07	1.2203e-13	1.0000e-37	1.1994e-04	1.0778e-03	1.9760e-06	5.1577e-06	2.6715e-06	1.2256e-08	2.5423e-06	4.8112e-07	6.2389e-07	2.4373e-07	3.2536e-07	8.1638e-08	1.0553e-05	1.9129e-05	3.3853e-12	8.8322e-10	7.7157e-10	1.0000e-37	2.6909e-13	5.6729e-04	4.1644e-05	7.0132e-09	2.1110e-08	2.3842e-07	1.0000e-37	1.8249e-09	8.1693e-09	4.3588e-06	1.1966e-06	5.1875e-09	3.8162e-07	1.3038e-04	9.9610e-06	1.1645e-05	2.0556e-05	8.9115e-06	1.0000e-37	5.1577e-07	8.8694e-09	9.6338e-17	1.2446e-07	4.7773e-09	1.0350e-08	9.4005e-08	3.6216e-08	1.4057e-07	1.0331e-06	1.1324e-06	2.5622e-06	1.6314e-06	5.8450e-06	6.6103e-14	1.6293e-13	1.0000e-37	5.7456e-12	1.3917e-08
iteration 3	3.4734e-09	6.9559e-13	8.3398e-07	1.0000e-37	6.9157e-03	5.0675e-05	1.0000e-37	1.0000e-37	1.0000e-37	5.4837e-08	1.1502e-09	6.0126e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.7464e-09	1.0000e-37	1.0774e-09	2.6612e-17	9.1682e-09	1.0000e-37	2.9263e-17	1.1323e-11	5.8558e-15	2.4518e-13	4.0959e-13	1.0000e-37	1.9287e-16	4.8988e-11	3.2157e-10	1.0508e-10	2.1167e-10	4.5248e-08	1.6859e-08	5.2069e-17	1.0000e-37	4.7895e-06	4.8896e-05	2.1676e-08	5.7103e-08	2.0209e-08	2.3604e-11	5.8850e-08	1.2277e-08	1.4454e-08	6.6272e-09	8.8223e-09	2.1951e-09	5.1200e-07	8.7574e-07	8.1726e-16	5.1073e-12	3.2227e-12	1.0000e-37	1.0000e-37	5.6729e-04	1.7929e-06	5.5117e-12	1.6590e-11	8.7854e-09	1.0000e-37	3.3689e-11	6.3172e-11	9.8266e-08	4.5782e-08	2.2002e-11	1.4601e-08	5.4526e-06	1.7741e-07	2.7156e-07	5.7829e-07	3.0673e-07	1.0000e-37	5.4887e-09	6.2696e-11	1.0000e-37	1.3245e-09	1.7741e-10	2.4136e-11	2.1923e-10	1.1802e-10	3.6139e-10	9.5150e-09	4.9594e-08	2.3597e-08	7.0571e-08	1.4562e-07	7.6810e-18	1.8931e-17	1.0000e-37	2.7904e-15	1.0508e-10
iteration 3	1.7554e-12	3.2349e-17	3.1358e-07	1.0000e-37	6.9157e-03	1.0861e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.4697e-10	3.0733e-13	2.6161e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.4769e-11	1.0000e-37	8.9382e-13	6.3473e-22	4.2604e-11	1.0000e-37	4.2997e-23	1.2639e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.2524e-24	7.0748e-17	4.3360e-16	1.4707e-15	1.3322e-15	2.0230e-10	6.7750e-11	4.3684e-25	1.0000e-37	2.9583e-08	4.6200e-07	3.3747e-13	7.5512e-11	1.9853e-13	1.2329e-16	2.7222e-10	4.8137e-13	6.9617e-11	8.3077e-13	1.1091e-12	2.7836e-13	4.1108e-09	7.4612e-09	3.0730e-23	5.2410e-15	3.8104e-15	1.0000e-37	1.0000e-37	5.6729e-04	1.4107e-08	2.8793e-17	8.6666e-17	2.6709e-12	1.0000e-37	4.1016e-16	3.8799e-16	4.6819e-10	1.7631e-11	2.2102e-16	5.6228e-12	3.9922e-08	1.8759e-11	1.0016e-10	2.6867e-10	1.6851e-10	1.0000e-37	7.0028e-13	2.2329e-16	1.0000e-37	1.6899e-13	4.7405e-14	8.3387e-16	7.5740e-15	4.4986e-15	1.2906e-14	2.8913e-12	3.3428e-10	7.1704e-12	4.7878e-10	6.5098e-10	1.8320e-22	4.5153e-22	1.0000e-37	1.0000e-37	1.4707e-15
iteration 3	6.3309e-15	1.6749e-20	3.5031e-08	1.0000e-37	6.9157e-03	1.7644e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.9760e-11	1.0000e-37	1.4843e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9737e-12	1.0000e-37	1.1134e-14	1.0000e-37	2.4941e-12	1.0000e-37	2.2899e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7741e-29	1.7191e-18	7.3764e-17	1.0000e-37	7.7742e-12	2.5996e-12	1.0000e-37	1.0000e-37	1.7716e-09	5.3236e-08	5.5766e-22	2.7502e-12	2.5049e-22	1.0000e-37	1.4173e-11	3.9590e-21	3.8991e-12	4.0552e-20	5.4622e-20	1.4070e-20	2.6920e-10	4.9093e-10	1.0000e-37	6.9634e-17	5.5906e-17	1.0000e-37	1.0000e-37	5.6729e-04	9.5433e-10	1.0000e-37	1.0000e-37	1.3390e-14	1.0000e-37	3.9194e-26	1.1415e-18	2.7658e-11	7.1280e-17	2.2685e-25	2.2733e-17	2.9199e-09	2.5360e-17	6.3455e-16	1.9747e-15	1.3401e-15	1.0000e-37	7.9836e-19	5.7016e-19	1.0000e-37	1.9266e-19	1.0000e-37	6.5047e-24	5.9082e-23	4.0349e-23	1.0594e-22	5.8097e-17	2.4372e-11	1.4408e-16	3.4154e-11	3.3657e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.3764e-17
iteration 3	1.5391e-17	1.2663e-23	2.6159e-09	1.0000e-37	6.9157e-03	1.6641e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.1654e-12	1.0000e-37	8.7535e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1640e-13	1.0000e-37	1.0301e-16	1.0000e-37	1.6442e-13	1.0000e-37	9.8778e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5659e-20	3.0876e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0999e-10	5.4112e-09	5.7020e-35	7.4785e-14	2.3624e-35	1.0000e-37	5.0214e-13	4.1283e-33	1.4563e-13	2.4113e-31	3.2773e-31	8.6604e-32	1.8229e-11	3.3169e-11	1.0000e-37	6.4946e-19	5.7459e-19	1.0000e-37	1.0000e-37	5.6729e-04	6.4775e-11	1.0000e-37	1.0000e-37	3.1295e-16	1.0000e-37	1.0000e-37	8.6347e-21	1.0885e-12	2.5556e-24	1.0000e-37	8.1504e-25	1.9903e-10	1.0000e-37	1.3974e-23	4.6681e-23	3.2706e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1922e-36	5.6247e-35	4.7719e-35	1.1016e-34	1.0000e-37	1.8419e-12	1.0000e-37	2.4575e-12	1.2512e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0876e-18
iteration 3	6.5609e-20	1.1363e-26	2.9147e-10	1.0000e-37	6.9157e-03	1.9110e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.2598e-14	1.0000e-37	6.2043e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.2500e-15	1.0000e-37	6.6831e-19	1.0000e-37	1.8064e-14	1.0000e-37	8.7966e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1079e-21	3.0671e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1663e-11	5.1522e-10	3.7982e-33	3.0839e-15	1.5202e-33	1.0000e-37	1.1707e-14	5.7442e-31	3.6707e-15	2.8656e-29	3.8374e-29	9.7185e-30	1.9717e-12	3.5651e-12	1.0000e-37	3.6885e-21	3.1445e-21	1.0000e-37	1.0000e-37	5.6729e-04	6.8577e-12	1.0000e-37	1.0000e-37	9.4941e-18	1.0000e-37	1.0000e-37	7.6969e-23	3.1039e-14	1.4091e-22	1.0000e-37	4.4938e-23	2.0366e-11	1.0000e-37	3.8921e-23	1.3117e-22	9.2250e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.8533e-34	8.0414e-33	6.4132e-33	1.5340e-32	1.0000e-37	2.1133e-13	1.0000e-37	2.6741e-13	3.2155e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0671e-19
iteration 3	1.4033e-17	6.7687e-25	3.3311e-07	1.0000e-37	6.9157e-03	1.2287e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0051e-10	1.0000e-37	7.5685e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0064e-11	1.0000e-37	1.5950e-16	1.0000e-37	7.7088e-11	1.0000e-37	5.3131e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2169e-18	2.7163e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1769e-08	2.5562e-06	1.0000e-37	4.1473e-12	1.0000e-37	1.0000e-37	1.8169e-11	2.3307e-38	6.8265e-12	2.5039e-36	3.2963e-36	7.9244e-37	8.2197e-09	1.4122e-08	1.0000e-37	7.2672e-19	1.0000e-37	1.0000e-37	1.0000e-37	5.6729e-04	2.5267e-08	1.0000e-37	1.0000e-37	1.1926e-14	1.0000e-37	1.0000e-37	4.4772e-20	7.0360e-11	6.8765e-25	1.0000e-37	2.1930e-25	6.7898e-08	1.0000e-37	1.8141e-26	6.2855e-26	4.4714e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.5800e-10	1.0000e-37	1.1603e-09	6.1658e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7163e-16
iteration 3	3.2071e-19	9.8797e-27	2.9451e-07	1.0000e-37	6.9157e-03	1.0025e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.0937e-11	1.0000e-37	1.5735e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0924e-12	1.0000e-37	9.9909e-18	1.0000e-37	7.6970e-11	1.0000e-37	7.8054e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7955e-19	5.7190e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6492e-08	1.7974e-06	1.0000e-37	1.3023e-12	1.0000e-37	1.0000e-37	1.1977e-11	1.0000e-37	5.0434e-12	1.0000e-37	1.0000e-37	1.0000e-37	6.8925e-09	1.1537e-08	1.0000e-37	3.1600e-20	1.0000e-37	1.0000e-37	1.0000e-37	5.6729e-04	1.9404e-08	1.0000e-37	1.0000e-37	5.0894e-15	1.0000e-37	1.0000e-37	5.9578e-21	5.7282e-11	3.3380e-27	1.0000e-37	1.0646e-27	4.9097e-08	1.0000e-37	4.0455e-30	1.4185e-29	1.0139e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.2813e-10	1.0000e-37	8.8459e-10	4.6386e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7190e-17
