#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.3066e-06	4.1765e-07	8.5070e-07	1.0000e-37	6.2087e-03	1.0436e-03	3.5126e-16	5.8535e-16	2.3409e-16	1.1112e-06	9.5480e-09	2.4854e-07	3.3651e-07	1.7950e-13	1.5354e-10	1.6484e-11	3.0008e-11	2.5043e-07	3.3456e-07	9.7542e-08	1.5932e-08	2.8693e-07	1.6270e-18	1.1571e-08	2.4287e-07	1.7502e-07	3.2963e-07	5.4537e-07	1.2699e-08	1.2414e-08	1.4797e-07	7.4131e-07	3.5223e-07	3.2215e-07	7.2025e-06	2.4500e-06	4.7060e-10	1.0000e-37	1.3260e-04	9.2278e-04	1.1042e-05	2.8488e-05	1.6590e-05	2.8108e-06	3.8232e-06	1.4420e-07	8.9206e-07	2.4905e-07	3.3259e-07	8.3537e-08	1.1156e-05	2.0147e-05	5.2632e-08	8.2629e-09	7.3682e-09	1.2997e-16	7.0580e-09	5.1999e-04	4.3388e-05	1.6784e-05	5.0518e-05	7.7149e-08	1.0000e-37	4.1707e-09	7.6137e-08	5.9292e-06	5.5343e-07	2.3797e-07	1.7650e-07	1.3209e-04	1.4079e-05	5.0591e-06	8.5369e-06	3.4778e-06	2.8144e-16	3.1429e-06	2.7573e-07	6.5334e-12	7.5842e-07	1.4725e-09	7.4457e-09	6.7629e-08	2.9002e-08	1.0408e-07	1.1963e-05	1.1516e-06	2.9668e-05	1.6564e-06	8.2057e-06	4.6122e-09	1.1320e-08	2.3618e-21	7.4613e-08	3.5223e-07
iteration 3	6.0953e-07	1.8892e-07	9.7949e-07	1.0000e-37	6.2087e-03	1.0490e-03	1.8388e-19	3.0642e-19	1.2254e-19	5.4068e-07	3.0193e-08	1.8751e-07	7.2556e-09	6.3821e-16	3.1634e-13	2.1847e-14	3.7903e-14	1.7268e-07	6.6602e-09	5.4053e-08	2.0125e-10	1.7223e-07	8.2053e-21	1.8757e-10	9.9962e-08	3.4100e-09	2.0364e-08	3.3686e-08	2.3501e-10	3.2337e-10	5.9272e-08	3.6551e-07	1.2243e-07	1.3547e-07	5.0397e-06	1.7241e-06	2.0493e-11	1.0000e-37	1.2917e-04	9.9264e-04	8.4338e-06	2.1591e-05	1.2525e-05	3.7643e-07	3.5739e-06	4.5200e-07	8.5162e-07	4.2020e-07	5.6134e-07	1.4115e-07	1.1056e-05	1.9997e-05	1.3717e-09	6.8939e-09	6.1281e-09	4.8526e-20	8.6571e-11	5.1999e-04	4.3243e-05	9.9197e-07	2.9858e-06	2.0603e-07	1.0000e-37	5.1647e-09	4.6927e-08	5.7931e-06	1.2608e-06	6.3417e-08	4.0210e-07	1.3318e-04	2.1456e-05	1.2977e-05	2.1968e-05	8.9918e-06	1.4506e-18	1.7349e-06	8.5153e-08	5.7799e-14	4.1866e-07	4.6584e-09	2.2009e-08	1.9991e-07	8.5756e-08	3.0767e-07	5.5944e-06	1.1580e-06	1.3874e-05	1.6675e-06	7.8479e-06	5.8088e-11	1.4317e-10	1.0000e-37	1.3728e-09	1.2243e-07
iteration 3	2.5716e-07	2.1650e-09	9.3486e-07	1.0000e-37	6.2087e-03	1.0571e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.6250e-07	3.1104e-08	1.2202e-07	1.0000e-37	1.0000e-37	2.0959e-16	1.0000e-37	1.0000e-37	1.0788e-07	1.0000e-37	1.5828e-08	4.0622e-13	1.0299e-07	1.0000e-37	4.3115e-13	5.3844e-09	2.1784e-11	4.4745e-10	7.4114e-10	1.0000e-37	1.2992e-12	9.1860e-09	6.6394e-08	1.9281e-08	2.8772e-08	1.4897e-06	5.2060e-07	2.5428e-13	1.0000e-37	1.2111e-04	1.0660e-03	2.4200e-06	6.2397e-06	3.2767e-06	2.0727e-08	2.6859e-06	5.7874e-07	6.5688e-07	2.9265e-07	3.9066e-07	9.8010e-08	1.0610e-05	1.9237e-05	5.5051e-12	1.4323e-09	1.2521e-09	1.0000e-37	4.4464e-13	5.1999e-04	4.1838e-05	9.7176e-09	2.9250e-08	2.8564e-07	1.0000e-37	2.4555e-09	1.0495e-08	4.5813e-06	1.4494e-06	6.8038e-09	4.6224e-07	1.3073e-04	1.1309e-05	1.3092e-05	2.3091e-05	9.9995e-06	1.0000e-37	6.0461e-07	1.1945e-08	1.7520e-16	1.4590e-07	4.7983e-09	1.3001e-08	1.1808e-07	4.5623e-08	1.7671e-07	1.2101e-06	1.1338e-06	3.0012e-06	1.6340e-06	6.1692e-06	1.1724e-13	2.8898e-13	1.0000e-37	8.7837e-12	1.9281e-08
iteration 3	6.4552e-09	1.2269e-12	8.3692e-07	1.0000e-37	6.2087e-03	7.8570e-05	1.0000e-37	1.0000e-37	1.0000e-37	7.0538e-08	1.8368e-09	9.1831e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2090e-08	1.0000e-37	2.1881e-09	5.9828e-17	1.3570e-08	1.0000e-37	6.7431e-17	1.7961e-11	1.1697e-14	5.0476e-13	8.4278e-13	1.0000e-37	4.2527e-16	8.9312e-11	5.9390e-10	1.9467e-10	3.8363e-10	6.2175e-08	2.3980e-08	1.4325e-16	1.0000e-37	7.5812e-06	7.6813e-05	3.7549e-08	9.7488e-08	3.5098e-08	5.7392e-11	9.8676e-08	2.1064e-08	2.4326e-08	1.1354e-08	1.5115e-08	3.7606e-09	7.6655e-07	1.3393e-06	1.8020e-15	1.2698e-11	8.1747e-12	1.0000e-37	1.0000e-37	5.1999e-04	2.7922e-06	1.1134e-11	3.3514e-11	1.4947e-08	1.0000e-37	6.0867e-11	1.1254e-10	1.6677e-07	7.8061e-08	4.1121e-11	2.4895e-08	8.5528e-06	2.9639e-07	4.5148e-07	9.6033e-07	5.0885e-07	1.0000e-37	9.5999e-09	1.1433e-10	1.0000e-37	2.3166e-09	2.8333e-10	4.3842e-11	3.9822e-10	2.0913e-10	6.5119e-10	1.6809e-08	7.6396e-08	4.1687e-08	1.0918e-07	2.4587e-07	1.7268e-17	4.2560e-17	1.0000e-37	5.3284e-15	1.9467e-10
iteration 3	2.0986e-12	3.6984e-17	3.1124e-07	1.0000e-37	6.2087e-03	1.0200e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.4416e-10	3.2219e-13	2.5897e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5680e-11	1.0000e-37	1.4454e-12	7.4645e-22	4.1793e-11	1.0000e-37	4.9398e-23	1.2775e-14	4.7446e-20	1.2278e-20	4.2391e-19	1.0000e-37	1.4310e-23	1.1234e-16	6.5032e-16	1.5284e-15	1.9495e-15	1.9494e-10	6.5315e-11	1.2247e-24	1.0000e-37	2.9403e-08	4.5077e-07	4.6050e-13	7.9136e-11	2.7204e-13	2.4425e-16	2.9174e-10	6.4218e-13	7.4521e-11	1.0993e-12	1.4674e-12	3.6810e-13	4.0988e-09	7.5965e-09	6.0635e-23	8.5049e-15	6.2513e-15	1.0000e-37	1.0000e-37	5.1999e-04	1.4309e-08	4.3523e-17	1.3101e-16	3.2297e-12	1.0000e-37	6.1845e-16	5.1709e-16	5.0127e-10	2.1971e-11	3.2901e-16	7.0069e-12	3.9550e-08	2.2784e-11	1.1981e-10	3.2067e-10	2.0086e-10	1.0000e-37	8.9532e-13	3.0243e-16	1.0000e-37	2.1605e-13	4.9697e-14	1.1135e-15	1.0114e-14	5.9915e-15	1.7219e-14	3.5794e-12	3.2476e-10	8.8770e-12	4.6528e-10	7.0145e-10	2.1544e-22	5.3101e-22	1.0000e-37	4.7430e-20	1.5284e-15
iteration 3	7.5312e-15	1.8853e-20	3.4939e-08	1.0000e-37	6.2087e-03	1.6356e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.9742e-11	1.0000e-37	1.4799e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0400e-12	1.0000e-37	1.8305e-14	1.0000e-37	2.4560e-12	1.0000e-37	2.5826e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0766e-28	1.6324e-18	7.0862e-17	1.0000e-37	7.5980e-12	2.5418e-12	1.0000e-37	1.0000e-37	1.7672e-09	5.1888e-08	1.3183e-21	2.9011e-12	5.9308e-22	1.0000e-37	1.5416e-11	8.8082e-21	4.2363e-12	8.8399e-20	1.1902e-19	3.0626e-20	2.6917e-10	5.0100e-10	1.0000e-37	1.1497e-16	9.3068e-17	1.0000e-37	1.0000e-37	5.1999e-04	9.7070e-10	1.0000e-37	1.0000e-37	1.3573e-14	1.0000e-37	1.1666e-25	1.3659e-18	3.0039e-11	1.2226e-16	5.6406e-25	3.8991e-17	2.9025e-09	4.1258e-17	1.0333e-15	3.2101e-15	2.1768e-15	1.0000e-37	1.3233e-18	6.9374e-19	1.0000e-37	3.1933e-19	1.0000e-37	1.4512e-23	1.3181e-22	8.9388e-23	2.3571e-22	8.7514e-17	2.3777e-11	2.1703e-16	3.3340e-11	3.6590e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.0862e-17
iteration 3	1.8157e-17	1.4118e-23	2.5989e-09	1.0000e-37	6.2087e-03	1.5321e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.1773e-12	1.0000e-37	8.8253e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2166e-13	1.0000e-37	1.7563e-16	1.0000e-37	1.6122e-13	1.0000e-37	1.1197e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4733e-20	2.9948e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0912e-10	5.2783e-09	1.9853e-34	7.8621e-14	8.2220e-35	1.0000e-37	5.6874e-13	1.3197e-32	1.6484e-13	7.6262e-31	1.0360e-30	2.7336e-31	1.8142e-11	3.3683e-11	1.0000e-37	1.1129e-18	9.9272e-19	1.0000e-37	1.0000e-37	5.1999e-04	6.5554e-11	1.0000e-37	1.0000e-37	3.2016e-16	1.0000e-37	1.0000e-37	1.0243e-20	1.2311e-12	5.4170e-24	1.0000e-37	1.7276e-24	1.9709e-10	1.0000e-37	2.8577e-23	9.5339e-23	6.6762e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9887e-35	1.8063e-34	1.5168e-34	3.5220e-34	1.0000e-37	1.7898e-12	1.0000e-37	2.3901e-12	1.4161e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9948e-18
iteration 3	7.6632e-20	1.2712e-26	2.8840e-10	1.0000e-37	6.2087e-03	1.7511e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.6714e-14	1.0000e-37	6.5001e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.9603e-15	1.0000e-37	1.1413e-18	1.0000e-37	1.7644e-14	1.0000e-37	9.9930e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0345e-21	3.0961e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1498e-11	5.0153e-10	8.4083e-33	3.2443e-15	3.3640e-33	1.0000e-37	1.3295e-14	1.1915e-30	4.1738e-15	6.1204e-29	8.1950e-29	2.0746e-29	1.9529e-12	3.6051e-12	1.0000e-37	6.3131e-21	5.4331e-21	1.0000e-37	1.0000e-37	5.1999e-04	6.9114e-12	1.0000e-37	1.0000e-37	9.9176e-18	1.0000e-37	1.0000e-37	9.1641e-23	3.5278e-14	2.2645e-22	1.0000e-37	7.2218e-23	2.0072e-11	1.0000e-37	6.3389e-23	2.1347e-22	1.5008e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8416e-33	1.6727e-32	1.3253e-32	3.1822e-32	1.0000e-37	2.0393e-13	1.0000e-37	2.5827e-13	3.6530e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0961e-19
iteration 3	1.5880e-17	7.4769e-25	3.2652e-07	1.0000e-37	6.2087e-03	1.1628e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0378e-10	1.0000e-37	7.7993e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0751e-11	1.0000e-37	2.5372e-16	1.0000e-37	7.4477e-11	1.0000e-37	5.9740e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0983e-18	2.6926e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.0644e-08	2.4580e-06	1.0000e-37	4.3272e-12	1.0000e-37	1.0000e-37	2.0091e-11	7.3249e-38	7.6075e-12	7.7810e-36	1.0245e-35	2.4638e-36	8.0438e-09	1.4103e-08	1.0000e-37	1.1529e-18	1.0157e-18	1.0000e-37	1.0000e-37	5.1999e-04	2.5049e-08	1.0000e-37	1.0000e-37	1.2413e-14	1.0000e-37	1.0000e-37	5.2655e-20	7.8620e-11	1.4430e-24	1.0000e-37	4.6018e-25	6.5994e-08	1.0000e-37	3.6026e-26	1.2469e-25	8.8662e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.0969e-10	1.0000e-37	1.1024e-09	6.8606e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6926e-16
iteration 3	3.5837e-19	1.0795e-26	2.8910e-07	1.0000e-37	6.2087e-03	9.4465e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.1270e-11	1.0000e-37	1.5953e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1992e-12	1.0000e-37	1.6283e-17	1.0000e-37	7.4368e-11	1.0000e-37	8.6881e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4846e-19	5.5731e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5733e-08	1.7198e-06	1.0000e-37	1.3771e-12	1.0000e-37	1.0000e-37	1.3631e-11	1.0000e-37	5.7487e-12	1.0000e-37	1.0000e-37	1.0000e-37	6.7435e-09	1.1573e-08	1.0000e-37	5.0947e-20	1.0000e-37	1.0000e-37	1.0000e-37	5.1999e-04	1.9309e-08	1.0000e-37	1.0000e-37	4.8217e-15	1.0000e-37	1.0000e-37	6.9383e-21	6.4984e-11	1.0704e-26	1.0000e-37	3.4136e-27	4.7629e-08	1.0000e-37	1.1608e-29	4.0635e-29	2.9027e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.8183e-10	1.0000e-37	8.2880e-10	5.2677e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.5731e-17
