#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.8944e-06	5.9606e-07	1.1349e-06	1.0000e-37	9.9804e-03	1.0531e-03	1.1695e-16	1.8405e-16	6.7102e-17	1.8084e-06	1.2040e-08	4.1308e-07	4.8610e-07	9.3292e-14	1.5678e-10	3.2910e-12	7.5661e-12	3.8070e-07	3.9919e-07	4.3048e-08	7.4872e-09	4.8694e-07	2.8463e-19	5.5614e-09	3.9592e-07	1.1289e-07	1.6870e-07	2.7959e-07	5.4786e-09	6.1977e-09	1.0781e-07	5.1754e-07	2.2169e-07	2.1866e-07	5.0183e-06	1.7304e-06	1.8044e-10	1.0000e-37	1.3106e-04	9.5448e-04	9.4293e-06	2.4374e-05	1.4168e-05	1.5220e-06	3.7545e-06	9.3484e-08	8.8433e-07	1.9912e-07	2.6595e-07	6.6827e-08	1.1244e-05	2.0224e-05	2.6274e-08	3.8094e-09	3.3844e-09	2.2199e-17	3.0520e-09	1.0906e-03	4.3559e-05	1.1001e-05	3.3114e-05	4.8227e-08	1.0000e-37	2.0088e-09	5.9021e-08	5.9400e-06	3.2180e-07	1.7171e-07	1.0263e-07	1.3332e-04	1.3097e-05	4.5650e-06	7.6979e-06	3.1329e-06	6.6120e-17	2.5985e-06	2.1213e-07	2.4056e-12	6.2705e-07	1.8572e-09	3.8089e-09	3.4596e-08	1.4301e-08	5.2706e-08	1.0324e-05	1.1708e-06	2.5603e-05	1.6792e-06	8.1232e-06	2.1665e-09	5.3206e-09	5.8582e-22	5.7673e-08	2.2169e-07
iteration 3	7.4652e-07	2.6790e-07	1.2908e-06	1.0000e-37	9.9804e-03	1.0588e-03	1.0000e-37	1.0000e-37	1.0000e-37	8.6105e-07	3.1062e-08	3.0818e-07	6.5384e-09	1.1388e-16	2.9562e-13	2.9418e-15	6.2536e-15	2.6213e-07	3.8392e-09	2.3727e-08	6.2462e-11	2.8558e-07	1.0000e-37	6.0153e-11	1.5807e-07	1.3971e-09	7.7072e-09	1.2768e-08	9.8167e-11	1.1332e-10	3.2369e-08	2.0012e-07	6.4475e-08	7.6439e-08	3.1658e-06	1.1056e-06	5.3249e-12	1.0000e-37	1.2749e-04	1.0346e-03	5.5642e-06	1.4382e-05	8.2607e-06	1.4801e-07	3.4184e-06	2.8585e-07	8.2331e-07	3.0497e-07	4.0748e-07	1.0251e-07	1.1141e-05	2.0072e-05	4.8040e-10	3.0875e-09	2.7339e-09	6.1345e-21	3.4724e-11	1.0906e-03	4.3424e-05	5.0375e-07	1.5163e-06	1.4476e-07	1.0000e-37	2.9076e-09	2.8708e-08	5.6664e-06	8.4848e-07	3.7496e-08	2.7059e-07	1.3456e-04	1.6705e-05	1.0836e-05	1.8341e-05	7.5046e-06	3.2860e-19	1.3005e-06	4.8067e-08	1.8525e-14	3.1383e-07	4.7923e-09	1.1111e-08	1.0092e-07	4.1838e-08	1.5387e-07	4.2564e-06	1.1777e-06	1.0556e-05	1.6914e-06	7.5714e-06	1.8028e-11	4.4433e-11	1.0000e-37	6.6590e-10	6.4475e-08
iteration 3	3.2209e-07	2.6185e-09	1.2452e-06	1.0000e-37	9.9804e-03	1.0555e-03	1.0000e-37	1.0000e-37	1.0000e-37	4.1769e-07	3.0952e-08	1.9923e-07	1.0000e-37	1.0000e-37	1.8596e-16	1.0000e-37	1.0000e-37	1.6303e-07	1.0000e-37	6.5686e-09	1.3608e-13	1.7077e-07	1.0000e-37	1.4575e-13	7.7122e-09	8.5243e-12	1.7140e-10	2.8442e-10	1.0000e-37	4.7912e-13	4.8628e-09	3.4269e-08	9.8244e-09	1.5849e-08	9.7563e-07	3.5684e-07	6.0218e-14	1.0000e-37	1.1876e-04	1.0915e-03	1.5755e-06	4.1788e-06	2.1277e-06	7.6405e-09	2.4241e-06	3.8262e-07	5.9711e-07	2.0130e-07	2.6874e-07	6.7441e-08	1.0603e-05	1.9148e-05	2.0302e-12	5.7157e-10	4.9958e-10	1.0000e-37	1.6940e-13	1.0906e-03	4.1629e-05	5.0978e-09	1.5344e-08	2.0226e-07	1.0000e-37	1.3591e-09	6.1991e-09	4.1797e-06	9.9466e-07	3.8556e-09	3.1721e-07	1.3048e-04	8.6611e-06	1.0348e-05	1.8277e-05	7.9297e-06	1.0000e-37	4.3789e-07	6.3590e-09	5.3943e-17	1.0567e-07	4.7749e-09	7.6656e-09	6.9626e-08	2.6659e-08	1.0395e-07	8.7194e-07	1.1403e-06	2.1624e-06	1.6392e-06	5.5783e-06	3.9275e-14	9.6802e-14	1.0000e-37	4.0369e-12	9.8244e-09
iteration 3	7.2106e-11	1.4050e-14	7.8283e-07	1.0000e-37	9.9804e-03	2.2953e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.8876e-09	2.8233e-12	1.4659e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8671e-10	1.0000e-37	7.8592e-12	3.1521e-19	2.3737e-10	1.0000e-37	3.0801e-19	2.4957e-13	6.7338e-17	2.5412e-15	4.2555e-15	1.0000e-37	1.9100e-18	5.6421e-13	3.7420e-12	1.1804e-12	2.4458e-12	1.3096e-09	4.4037e-10	4.1263e-19	1.0000e-37	6.9074e-08	7.1502e-07	2.6899e-10	7.2513e-10	2.4969e-10	2.2201e-13	7.7961e-10	1.6606e-10	1.8764e-10	8.4241e-11	1.1215e-10	2.7905e-11	1.1015e-08	1.9262e-08	8.0934e-18	4.3922e-14	2.9833e-14	1.0000e-37	1.0000e-37	1.0906e-03	3.5552e-08	6.2195e-14	1.8721e-13	1.1139e-10	1.0000e-37	3.8992e-13	7.5331e-13	1.2186e-09	5.7838e-10	2.5252e-13	1.8446e-10	9.2336e-08	2.3306e-09	3.6185e-09	7.7218e-09	4.1033e-09	1.0000e-37	6.8628e-11	7.2244e-13	1.0000e-37	1.6561e-11	4.3549e-13	2.9292e-13	2.6605e-12	1.5069e-12	4.4603e-12	1.1940e-10	7.6482e-10	2.9611e-10	1.1001e-09	1.8737e-09	9.0976e-20	2.2423e-19	1.0000e-37	3.7508e-17	1.1804e-12
iteration 3	2.6487e-12	4.3812e-17	4.4609e-07	1.0000e-37	9.9804e-03	1.4289e-06	1.0000e-37	1.0000e-37	1.0000e-37	5.4877e-10	4.0251e-13	4.2378e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.3983e-11	1.0000e-37	5.4451e-13	9.0810e-22	6.9743e-11	1.0000e-37	6.6237e-23	1.9252e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9501e-24	3.5081e-17	3.4185e-16	2.1718e-15	8.9667e-16	3.1585e-10	1.0577e-10	1.1962e-25	1.0000e-37	2.9685e-08	4.7631e-07	2.1043e-13	6.9946e-11	1.2312e-13	5.6877e-17	2.5213e-10	3.8889e-13	6.4644e-11	5.6521e-13	7.5477e-13	1.8956e-13	5.0817e-09	8.9958e-09	1.2501e-23	3.2794e-15	2.3888e-15	1.0000e-37	1.0000e-37	1.0906e-03	1.7114e-08	1.7478e-17	5.2609e-17	2.0944e-12	1.0000e-37	2.2108e-16	2.9712e-16	4.3490e-10	1.2664e-11	1.3168e-16	4.0387e-12	4.6974e-08	1.4066e-11	7.9486e-11	2.1383e-10	1.3434e-10	1.0000e-37	5.0308e-13	1.5953e-16	1.0000e-37	1.2140e-13	6.2086e-14	6.7277e-16	6.1108e-15	3.6435e-15	1.0427e-14	2.2723e-12	3.7338e-10	5.6352e-12	5.3418e-10	5.9887e-10	2.6210e-22	6.4600e-22	1.0000e-37	1.0000e-37	2.1718e-15
iteration 3	1.0627e-14	2.3347e-20	5.0512e-08	1.0000e-37	9.9804e-03	2.4121e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.1008e-11	1.0000e-37	2.3856e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0404e-12	1.0000e-37	6.6680e-15	1.0000e-37	4.0683e-12	1.0000e-37	3.6199e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.5478e-30	3.4037e-18	1.1834e-16	1.0000e-37	1.2610e-11	4.2163e-12	1.0000e-37	1.0000e-37	1.7717e-09	5.4941e-08	1.6638e-22	2.5277e-12	7.4588e-23	1.0000e-37	1.2928e-11	1.8391e-21	3.5641e-12	1.4893e-20	2.0071e-20	5.1784e-21	3.3047e-10	5.8796e-10	1.0000e-37	4.2817e-17	3.4527e-17	1.0000e-37	1.0000e-37	1.0906e-03	1.1507e-09	1.0000e-37	1.0000e-37	1.5606e-14	1.0000e-37	8.4847e-27	1.0942e-18	2.5300e-11	3.3807e-17	7.2745e-26	1.0782e-17	3.4438e-09	1.2927e-17	3.5149e-16	1.0963e-15	7.4477e-16	1.0000e-37	4.1306e-19	1.2175e-29	1.0000e-37	9.9677e-20	1.0000e-37	3.0098e-24	2.7338e-23	1.8856e-23	4.9204e-23	3.7639e-17	2.6914e-11	9.3346e-17	3.7687e-11	3.0736e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1834e-16
iteration 3	2.6373e-17	1.7729e-23	3.8041e-09	1.0000e-37	9.9804e-03	2.3046e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.8055e-12	1.0000e-37	1.3890e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7703e-13	1.0000e-37	5.9363e-17	1.0000e-37	2.6991e-13	1.0000e-37	1.5917e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.1730e-20	4.9048e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1088e-10	5.5767e-09	1.0582e-35	6.8675e-14	4.3856e-36	1.0000e-37	4.4170e-13	1.3033e-33	1.2828e-13	6.0490e-32	8.2270e-32	2.1781e-32	2.2490e-11	3.9911e-11	1.0000e-37	3.8402e-19	3.4124e-19	1.0000e-37	1.0000e-37	1.0906e-03	7.8291e-11	1.0000e-37	1.0000e-37	3.9235e-16	1.0000e-37	1.0000e-37	8.3064e-21	9.5913e-13	9.3622e-25	1.0000e-37	2.9858e-25	2.3473e-10	1.0000e-37	6.2572e-24	2.0940e-23	1.4683e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9428e-36	1.7648e-35	1.5180e-35	3.4771e-35	1.0000e-37	2.0367e-12	1.0000e-37	2.7194e-12	1.1016e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9048e-18
iteration 3	1.0582e-19	1.5831e-26	4.1770e-10	1.0000e-37	9.9804e-03	2.6112e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.2056e-13	1.0000e-37	9.2751e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1821e-14	1.0000e-37	3.8174e-19	1.0000e-37	2.9177e-14	1.0000e-37	1.4099e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1368e-21	3.2450e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1580e-11	5.3312e-10	2.4814e-34	2.7714e-15	9.9485e-35	1.0000e-37	1.0216e-14	6.8200e-32	3.2041e-15	2.7184e-30	3.6434e-30	9.2503e-31	2.4092e-12	4.2515e-12	1.0000e-37	2.1724e-21	1.8733e-21	1.0000e-37	1.0000e-37	1.0906e-03	8.2394e-12	1.0000e-37	1.0000e-37	1.3172e-17	1.0000e-37	1.0000e-37	7.3655e-23	2.7002e-14	2.7995e-23	1.0000e-37	8.9280e-24	2.3985e-11	1.0000e-37	9.4995e-24	3.2092e-23	2.2592e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0410e-34	9.4558e-34	7.7111e-34	1.8208e-33	1.0000e-37	2.3330e-13	1.0000e-37	2.9510e-13	2.8018e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.2450e-19
iteration 3	2.1842e-17	9.6275e-25	4.6521e-07	1.0000e-37	9.9804e-03	1.5572e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.5802e-10	1.0000e-37	1.2187e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5532e-11	1.0000e-37	1.0032e-16	1.0000e-37	1.2902e-10	1.0000e-37	8.7109e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2367e-18	4.3803e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3147e-08	2.6950e-06	1.0000e-37	3.8660e-12	1.0000e-37	1.0000e-37	1.6683e-11	6.6590e-39	6.2198e-12	3.5626e-37	4.6946e-37	1.1320e-37	1.0462e-08	1.7422e-08	1.0000e-37	4.7137e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0906e-03	3.0825e-08	1.0000e-37	1.0000e-37	1.7204e-14	1.0000e-37	1.0000e-37	4.3719e-20	6.3380e-11	1.8503e-25	1.0000e-37	5.9009e-26	7.9394e-08	1.0000e-37	5.7382e-27	1.9920e-26	1.4182e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1134e-09	1.0000e-37	1.3480e-09	5.5966e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3803e-16
iteration 3	4.8949e-19	1.4227e-26	4.2081e-07	1.0000e-37	9.9804e-03	1.3173e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.3804e-11	1.0000e-37	2.6022e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3164e-12	1.0000e-37	6.0594e-18	1.0000e-37	1.2883e-10	1.0000e-37	1.2975e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.0547e-19	9.4751e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7678e-08	1.9175e-06	1.0000e-37	1.1840e-12	1.0000e-37	1.0000e-37	1.0687e-11	1.0000e-37	4.4906e-12	1.0000e-37	1.0000e-37	1.0000e-37	9.1265e-09	1.4789e-08	1.0000e-37	1.9824e-20	1.0000e-37	1.0000e-37	1.0000e-37	1.0906e-03	2.4856e-08	1.0000e-37	1.0000e-37	8.4634e-15	1.0000e-37	1.0000e-37	5.8780e-21	5.0687e-11	6.1970e-28	1.0000e-37	1.9763e-28	6.0452e-08	1.0000e-37	9.0566e-31	3.1832e-30	2.2775e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.0550e-10	1.0000e-37	1.0991e-09	4.1163e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.4751e-17
