#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.1918e-06	1.1909e-06	2.9837e-06	1.0000e-37	3.3171e-02	1.1467e-03	1.0000e-37	1.0000e-37	1.0000e-37	7.0261e-06	3.1619e-08	1.5368e-06	1.9618e-07	1.0000e-37	1.8536e-12	3.5960e-20	2.9896e-19	1.3278e-06	1.9826e-13	1.0000e-37	7.2833e-11	2.1025e-06	1.0000e-37	3.9164e-11	1.3342e-06	8.2477e-08	1.2251e-09	2.2948e-09	1.5997e-16	1.8193e-11	9.5277e-09	5.2252e-08	1.6790e-08	1.9614e-08	1.9415e-06	8.0549e-07	8.6294e-15	1.0000e-37	1.2957e-04	1.1818e-03	2.3769e-06	6.2350e-06	3.5718e-06	3.6357e-10	7.0727e-07	9.4240e-09	1.7204e-07	7.3799e-08	9.8658e-08	2.4859e-08	1.2167e-05	2.1614e-05	7.7089e-11	1.0000e-37	1.0000e-37	1.0000e-37	7.7596e-13	6.1165e-03	4.6281e-05	8.3758e-08	2.5211e-07	2.5854e-08	1.0000e-37	1.8691e-10	9.6516e-09	1.1973e-06	6.9403e-08	2.0759e-08	2.2134e-08	1.4521e-04	9.6155e-06	3.6182e-06	6.0855e-06	2.4673e-06	1.0000e-37	2.1467e-07	1.3319e-08	4.0779e-16	5.1803e-08	4.8774e-09	1.5281e-10	1.3880e-09	5.4143e-10	2.0822e-09	3.7967e-06	1.3136e-06	9.4157e-06	1.8624e-06	1.5734e-06	2.1022e-11	5.1811e-11	1.0000e-37	8.0636e-08	1.6790e-08
iteration 3	1.2207e-08	1.0331e-10	1.4748e-06	1.0000e-37	3.3171e-02	4.1302e-06	1.0000e-37	1.0000e-37	1.0000e-37	7.0944e-08	2.4441e-12	5.9816e-09	1.9782e-13	1.0000e-37	4.8691e-18	1.0000e-37	1.0000e-37	7.0041e-09	1.0000e-37	1.7289e-14	5.4442e-16	9.8782e-09	1.0000e-37	1.4922e-16	2.0462e-10	3.0099e-13	4.5032e-15	1.3063e-14	1.0000e-37	4.4221e-17	2.2153e-13	1.0610e-12	5.4828e-13	6.4117e-13	2.9974e-08	1.0309e-08	1.6399e-20	1.0000e-37	3.6690e-08	3.7941e-07	1.4565e-10	4.3334e-10	2.1553e-10	8.7006e-15	6.1994e-10	7.6349e-12	1.5244e-10	1.0653e-11	1.4250e-11	3.5966e-12	1.0088e-08	1.7741e-08	1.8738e-16	1.6107e-16	4.3318e-20	1.0000e-37	1.0000e-37	6.1165e-03	2.9993e-08	1.4278e-12	4.2977e-12	3.6205e-12	1.0000e-37	4.0654e-15	4.7154e-13	1.0379e-09	5.9835e-12	5.9878e-13	1.9082e-12	9.3219e-08	1.2416e-09	9.8864e-10	1.6738e-09	6.8521e-10	1.0000e-37	5.9691e-11	3.8049e-13	1.0000e-37	1.4404e-11	3.7700e-13	1.3494e-14	1.2256e-13	6.9346e-14	2.0540e-13	2.8180e-10	5.9282e-10	6.9887e-10	8.5111e-10	1.3770e-09	1.5713e-16	3.8729e-16	1.0000e-37	2.9833e-13	5.4828e-13
iteration 3	4.6980e-10	5.2093e-13	2.3950e-06	1.0000e-37	3.3171e-02	5.9669e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.4980e-08	9.3961e-12	1.9826e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3314e-09	1.0000e-37	1.0000e-37	3.2094e-18	3.2665e-09	1.0000e-37	9.7939e-19	7.8985e-12	2.6028e-15	6.4222e-16	1.2754e-15	1.0000e-37	1.1156e-18	2.9620e-13	1.5022e-12	4.9614e-13	9.4005e-13	1.5500e-08	5.2656e-09	1.3715e-21	1.0000e-37	8.5519e-08	9.1860e-07	2.2476e-10	6.8662e-10	2.9684e-10	1.1569e-15	3.8746e-10	5.6267e-11	9.5750e-11	2.9598e-11	3.9523e-11	9.9243e-12	2.3812e-08	4.1219e-08	4.7270e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	6.7237e-08	5.1419e-14	1.5477e-13	2.1368e-11	1.0000e-37	4.6556e-14	5.7009e-13	6.5274e-10	8.7255e-11	1.7272e-13	2.7827e-11	1.9014e-07	2.3401e-09	2.6739e-09	4.7833e-09	2.1094e-09	1.0000e-37	2.7228e-11	3.8372e-13	1.0000e-37	6.5706e-12	1.4493e-12	9.9442e-14	9.0322e-13	5.1253e-13	1.5152e-12	1.0397e-10	1.4056e-09	2.5785e-10	2.0181e-09	8.7725e-10	9.2630e-19	2.2831e-18	1.0000e-37	2.5187e-15	4.9614e-13
iteration 3	1.9417e-11	2.2296e-15	2.2917e-06	1.0000e-37	3.3171e-02	5.9772e-06	1.0000e-37	1.0000e-37	1.0000e-37	7.1679e-09	7.4199e-12	5.5592e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.5469e-10	1.0000e-37	1.0000e-37	1.5281e-20	9.4562e-10	1.0000e-37	3.7263e-21	3.8969e-13	2.1845e-17	3.0732e-18	1.3888e-17	1.0000e-37	1.2628e-21	1.7730e-14	1.0012e-13	5.5295e-14	9.9193e-14	4.7092e-09	1.5847e-09	1.8121e-24	1.0000e-37	8.3514e-08	1.0566e-06	2.8368e-11	1.9275e-10	2.5372e-11	1.4438e-17	1.2181e-10	2.0203e-11	3.0809e-11	1.1615e-11	1.5473e-11	3.8577e-12	2.3857e-08	4.1206e-08	5.3508e-21	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	6.7078e-08	3.2607e-16	9.8146e-16	2.4558e-11	1.0000e-37	1.7402e-14	4.1927e-14	2.1144e-10	1.0721e-10	6.9039e-15	3.4191e-11	1.8825e-07	6.2135e-10	1.1226e-09	2.4376e-09	1.3150e-09	1.0000e-37	2.5916e-12	2.2704e-14	1.0000e-37	6.2537e-13	1.1445e-12	3.5399e-14	3.2153e-13	1.8578e-13	5.4270e-13	1.3679e-11	1.4341e-09	3.3925e-11	2.0560e-09	2.8950e-10	4.4104e-21	1.0871e-20	1.0000e-37	2.1759e-17	5.5295e-14
iteration 3	7.2343e-13	5.6164e-18	1.1980e-06	1.0000e-37	3.3171e-02	3.5427e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.5784e-09	4.8312e-13	1.2152e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4321e-10	1.0000e-37	1.0000e-37	7.8831e-23	2.2647e-10	1.0000e-37	1.0039e-23	2.6093e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.2171e-29	5.9636e-20	6.9264e-16	6.3443e-15	1.0434e-15	9.6893e-10	3.2490e-10	7.2953e-33	1.0000e-37	2.9837e-08	5.9252e-07	2.8857e-15	3.7806e-11	1.6267e-15	3.8803e-22	2.6335e-11	9.5424e-15	7.0607e-12	1.2827e-14	1.7166e-14	4.3384e-15	9.1307e-09	1.6066e-08	3.4818e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	2.7285e-08	1.8164e-20	5.4673e-20	9.2423e-13	1.0000e-37	8.4766e-19	8.6056e-18	5.0207e-11	6.7092e-13	5.3258e-19	2.1397e-13	8.3823e-08	1.1153e-12	7.4629e-12	2.0501e-11	1.3038e-11	1.0000e-37	5.0973e-15	2.9194e-18	1.0000e-37	1.2300e-15	7.4521e-14	1.6300e-17	1.4805e-16	9.1433e-17	2.5578e-16	1.1240e-13	5.6990e-10	2.7875e-13	8.1233e-10	6.2731e-11	2.2753e-23	5.6079e-23	1.0000e-37	1.0000e-37	6.3443e-15
iteration 3	4.3512e-15	3.5670e-21	1.3799e-07	1.0000e-37	3.3171e-02	6.4665e-07	1.0000e-37	1.0000e-37	1.0000e-37	6.8109e-11	1.0000e-37	5.2270e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1598e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.3271e-11	1.0000e-37	3.7733e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0773e-35	2.0074e-17	2.7349e-16	1.0000e-37	4.4779e-11	1.4996e-11	1.0000e-37	1.0000e-37	1.7990e-09	6.8458e-08	1.7088e-26	1.3214e-12	7.5792e-27	1.0000e-37	9.4529e-13	7.0103e-25	2.7385e-13	4.3580e-24	5.8980e-24	1.5400e-24	5.9475e-10	1.0503e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	1.8337e-09	1.0000e-37	1.0000e-37	2.6575e-14	1.0000e-37	7.6698e-32	5.0743e-20	2.0910e-12	1.1541e-19	3.4694e-30	3.6805e-20	6.2467e-09	1.0000e-37	2.3949e-18	7.5839e-18	5.1891e-18	1.0000e-37	1.0000e-37	1.3776e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.1128e-27	1.0108e-26	7.5178e-27	1.8738e-26	3.8003e-19	4.0361e-11	9.4246e-19	5.6313e-11	2.3767e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7349e-16
iteration 3	1.2890e-17	2.8610e-24	1.0974e-08	1.0000e-37	3.3171e-02	6.5507e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.2927e-12	1.0000e-37	1.7595e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0735e-13	1.0000e-37	1.0000e-37	1.0000e-37	9.2934e-13	1.0000e-37	3.0494e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2751e-19	6.6710e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2044e-10	6.8874e-09	1.0000e-37	3.6848e-14	1.0000e-37	1.0000e-37	2.5715e-14	1.1071e-37	8.1609e-15	3.2002e-36	4.3722e-36	1.1721e-36	4.2684e-11	7.5092e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	1.3104e-10	1.0000e-37	1.0000e-37	7.7941e-16	1.0000e-37	1.0000e-37	4.0343e-22	6.9948e-14	1.2726e-27	1.0000e-37	4.0585e-28	4.4212e-10	1.0000e-37	1.5428e-26	5.2231e-26	3.6803e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2370e-39	1.2370e-39	2.4740e-39	1.0000e-37	3.1835e-12	1.0000e-37	4.2483e-12	7.1649e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.6710e-18
iteration 3	4.6946e-20	2.4792e-27	1.1524e-09	1.0000e-37	3.3171e-02	7.1103e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.2343e-13	1.0000e-37	9.4730e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1164e-14	1.0000e-37	1.0000e-37	1.0000e-37	9.5846e-14	1.0000e-37	2.6278e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.2805e-21	3.5727e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2085e-11	6.6815e-10	1.4034e-40	1.3575e-15	5.7410e-41	1.0000e-37	1.1349e-15	2.6926e-37	4.0632e-16	7.4966e-36	1.0089e-35	2.5928e-36	4.4201e-12	7.7522e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	1.3432e-11	1.0000e-37	1.0000e-37	3.0199e-17	1.0000e-37	1.0000e-37	3.4631e-24	4.0484e-15	5.6152e-27	1.0000e-37	1.7908e-27	4.4569e-11	1.0000e-37	3.8713e-27	1.3246e-26	9.3750e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.8912e-40	3.5403e-39	3.2469e-39	7.1763e-39	1.0000e-37	3.6304e-13	1.0000e-37	4.5751e-13	3.6699e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5727e-19
iteration 3	8.2462e-18	1.5753e-25	1.2994e-06	1.0000e-37	3.3171e-02	3.6910e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.6659e-10	1.0000e-37	2.0484e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4140e-11	1.0000e-37	1.0000e-37	1.0000e-37	4.9839e-10	1.0000e-37	1.7034e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2571e-17	7.9755e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.3984e-08	3.9495e-06	1.0000e-37	1.9745e-12	1.0000e-37	1.0000e-37	3.5011e-12	1.0000e-37	1.4353e-12	1.0000e-37	1.0000e-37	1.0000e-37	2.2698e-08	3.6782e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	5.6783e-08	1.0000e-37	1.0000e-37	7.5348e-14	1.0000e-37	1.0000e-37	2.1389e-21	1.6223e-11	8.2903e-31	1.0000e-37	2.6439e-31	1.5137e-07	1.0000e-37	6.2621e-32	2.2133e-31	1.5871e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1637e-09	1.0000e-37	2.6109e-09	1.3295e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.9755e-16
iteration 3	7.0317e-20	1.3880e-27	1.2207e-06	1.0000e-37	3.3171e-02	3.3813e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.3696e-11	1.0000e-37	3.3534e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9519e-12	1.0000e-37	1.0000e-37	1.0000e-37	4.9762e-10	1.0000e-37	1.5164e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1227e-18	1.3261e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9112e-08	3.1498e-06	1.0000e-37	4.1707e-13	1.0000e-37	1.0000e-37	2.9129e-12	1.0000e-37	1.2630e-12	1.0000e-37	1.0000e-37	1.0000e-37	2.1551e-08	3.4186e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1165e-03	5.1125e-08	1.0000e-37	1.0000e-37	7.5222e-14	1.0000e-37	1.0000e-37	1.6871e-22	1.4918e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.3351e-07	1.0000e-37	4.1151e-37	1.4777e-36	1.0662e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1439e-09	1.0000e-37	2.6109e-09	1.1806e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3261e-16
