#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	7.0263e-05	1.3313e-05	5.1881e-03	2.7582e-04	5.2897e+06	1.4867e-02	4.9338e+02	1.1560e+03	5.1566e+02	3.1165e-09	1.0000e-37	5.0469e-10	2.2477e-01	3.2153e-02	6.2629e-07	1.1933e-06	9.4025e-04	1.4461e-09	2.8866e+02	5.2396e-02	6.9606e-05	9.1071e-09	3.1205e-07	6.7970e-07	9.0870e-04	1.2851e-07	1.8453e-06	3.0507e-06	9.1798e-06	1.0831e-06	2.0234e-09	2.1217e-08	5.6659e-10	3.7838e-09	3.7681e-06	2.8863e-07	5.1444e-08	1.1484e-03	1.0000e-37	3.5028e-03	9.4555e-08	3.7238e-06	1.4196e-07	7.8221e-05	1.5724e-05	1.7376e-08	2.9146e-06	2.9271e-10	3.9070e-10	9.8074e-11	6.2379e-05	1.1952e-04	1.5806e-04	2.0103e-04	1.0122e-04	5.9052e-07	7.0217e-06	4.7455e+05	2.6819e-04	4.8109e-04	1.4584e-03	4.0722e-17	1.0000e-37	1.0000e-37	1.1606e-08	2.3281e-05	1.0000e-37	3.7414e-08	1.0000e-37	1.0487e-03	5.6225e-09	4.4499e-09	7.5347e-09	3.0848e-09	7.5337e-08	5.8088e-07	8.1653e-07	2.3903e-08	1.4617e-07	1.0000e-37	1.2280e-11	1.1176e-10	5.2028e-11	6.4509e-10	8.4207e-07	1.4846e-05	2.1329e-06	2.2444e-05	1.3497e-03	1.8301e-06	4.0363e-06	3.5033e+01	1.1408e-08	5.6659e-10
iteration 3	5.3419e-03	5.0587e-04	6.7996e-02	2.8854e-04	5.2897e+06	1.9098e-01	4.7983e+02	1.0653e+03	5.1920e+02	2.3808e-06	5.9281e-08	5.6653e-07	2.1831e+00	3.2899e-01	4.0754e-04	1.7285e-04	5.0039e-02	2.4107e-06	5.3094e+02	6.2641e-01	1.7709e-02	2.0623e-06	2.0594e-05	4.7972e-04	8.7926e-03	1.0327e-03	1.1391e-03	1.8835e-03	3.8201e-05	7.1101e-05	1.1236e-05	1.8829e-04	1.7146e-04	8.0190e-05	6.4799e-04	5.3847e-05	6.0951e-06	5.8084e-03	1.0000e-37	3.0211e-02	2.9074e-04	7.5055e-04	4.3206e-04	2.0996e-03	1.4224e-04	1.5561e-05	1.9346e-05	1.3550e-05	1.8076e-05	4.5280e-06	5.7869e-04	1.1186e-03	1.2420e-02	2.6589e-03	1.3125e-03	2.0812e-05	1.3302e-04	4.7455e+05	2.4533e-03	1.0399e-02	3.1558e-02	2.0533e-06	1.0000e-37	4.5030e-07	9.2699e-06	1.5143e-04	2.3706e-05	2.9197e-05	7.5618e-06	9.2966e-03	2.0619e-04	1.3090e-04	2.2353e-04	9.2628e-05	1.6470e-05	1.1681e-04	2.1984e-05	9.8498e-07	2.8866e-05	7.4416e-09	6.3073e-07	5.7323e-06	2.7060e-06	2.0385e-05	2.8208e-04	1.2289e-04	7.0928e-04	1.8425e-04	1.9754e-02	3.0173e-04	6.7315e-04	3.4058e+01	1.2575e-04	1.7146e-04
iteration 3	5.9446e-01	1.0616e-01	8.4400e-01	1.2442e-04	5.2897e+06	2.3195e+00	4.3367e+02	9.3410e+02	4.3098e+02	2.5916e-05	7.3472e-07	6.3060e-06	2.0134e+01	4.6333e+00	6.7519e-03	1.9422e-03	8.9677e-01	2.6486e-05	5.9508e+02	3.1347e+00	2.1291e-01	2.4025e-05	3.2696e-04	6.8562e-03	9.9480e-02	1.2767e-02	1.5215e-02	2.5181e-02	3.5295e-04	7.8708e-04	1.3593e-04	2.1867e-03	1.8282e-03	8.9321e-04	8.4583e-03	6.2165e-04	6.9332e-05	6.2948e-03	1.0000e-37	3.6338e-01	3.2140e-03	7.8934e-03	4.4086e-03	2.2257e-02	1.0429e-03	1.7799e-04	1.9441e-04	1.5495e-04	2.0651e-04	5.1577e-05	6.8780e-03	1.3511e-02	1.4414e-01	2.8471e-02	1.7546e-02	1.4617e-04	1.3882e-03	4.7455e+05	2.9756e-02	1.0873e-01	3.2996e-01	2.0700e-05	1.0000e-37	4.9165e-06	1.0093e-04	1.5655e-03	2.4806e-04	3.3309e-04	7.9119e-05	1.1501e-01	2.1363e-03	1.2969e-03	2.2985e-03	1.0016e-03	1.6107e-03	1.2685e-03	2.5090e-04	1.0636e-05	3.1367e-04	8.9552e-08	7.7202e-06	7.0156e-05	3.3467e-05	2.5472e-04	3.0943e-03	1.3746e-03	7.7871e-03	2.0573e-03	3.2753e-01	3.5293e-03	7.8205e-03	3.0819e+01	1.5620e-03	1.8282e-03
iteration 3	4.5027e+01	1.0114e+01	8.7490e+00	3.0628e-05	5.2897e+06	2.0345e+01	4.0194e+02	8.6879e+02	4.0814e+02	2.4383e-04	7.6485e-06	6.1112e-05	1.0141e+02	3.4159e+01	1.0810e-01	2.2358e-02	6.5089e+00	2.6156e-04	6.7373e+02	7.5295e+00	1.7951e+00	2.3297e-04	1.6513e-03	7.9503e-02	1.0086e+00	1.2969e-01	1.6989e-01	2.8397e-01	4.6345e-03	7.3300e-03	2.1335e-03	2.2739e-02	1.7877e-02	8.5385e-03	2.0693e-01	9.1710e-03	6.5315e-04	4.3120e-03	1.0000e-37	4.0873e+00	3.5092e-02	6.7935e-02	3.0449e-02	2.2430e-01	3.9065e-03	1.8875e-03	2.0693e-03	2.0674e-03	2.7489e-03	6.8163e-04	8.1599e-02	1.6419e-01	1.2238e+00	2.4432e-01	2.0044e-01	9.2423e-04	1.4775e-02	4.7455e+05	3.5867e-01	1.0563e+00	3.2057e+00	1.3141e-04	1.0000e-37	4.9890e-05	1.0576e-03	1.8260e-02	2.4748e-03	3.4430e-03	7.8939e-04	1.3686e+00	2.1094e-02	8.4921e-03	1.8758e-02	1.0266e-02	4.7820e-02	1.3287e-02	3.6005e-03	1.1124e-04	3.2899e-03	9.3250e-07	8.5043e-05	7.7235e-04	3.7061e-04	2.9201e-03	3.2568e-02	1.4819e-02	8.2054e-02	2.2186e-02	3.6982e+00	3.2359e-02	7.1940e-02	2.0427e+01	1.6323e-02	1.7877e-02
iteration 3	2.8141e+02	9.4428e+01	6.5528e+01	5.0449e-07	5.2897e+06	8.7898e+01	3.4336e+02	7.4906e+02	3.5387e+02	2.4364e-03	8.1796e-05	6.1315e-04	2.4084e+02	4.6611e+01	1.1519e+00	3.3410e-01	1.4773e+01	2.7089e-03	9.7251e+02	2.8579e+01	1.4958e+01	2.5085e-03	2.3308e-03	9.6518e-01	8.4137e+00	1.3429e+00	1.7773e+00	3.2641e+00	9.7583e-02	7.1957e-02	4.6469e-02	2.4320e-01	1.7798e-01	8.0570e-02	3.1868e+00	2.0516e-01	8.5514e-03	3.7871e-03	1.0000e-37	3.8890e+01	2.1278e-01	3.2429e-01	9.7521e-02	3.1488e+00	7.7158e-02	2.0510e-02	2.6915e-02	3.3364e-02	4.4409e-02	1.1048e-02	8.4556e-01	1.6964e+00	8.9372e+00	1.6636e+00	1.4999e+00	1.3880e-02	2.9299e-01	4.7455e+05	3.6629e+00	1.1518e+01	3.5022e+01	2.6126e-04	1.0000e-37	5.1907e-04	1.3474e-02	2.8099e-01	2.4644e-02	3.5840e-02	7.8623e-03	1.4074e+01	1.9092e-01	2.4107e-02	7.2912e-02	4.8805e-02	3.5307e-01	1.4001e-01	7.4758e-02	1.9550e-03	3.4774e-02	1.0008e-05	8.1795e-04	7.3762e-03	3.4921e-03	3.0351e-02	3.3714e-01	1.5131e-01	8.5146e-01	2.2507e-01	2.4494e+01	3.4594e-01	7.8075e-01	3.6649e+00	2.0091e-01	1.7798e-01
iteration 3	4.5465e+02	2.3798e+02	2.8652e+02	4.5971e-10	5.2897e+06	2.7021e+02	2.4147e+02	5.6211e+02	2.3624e+02	3.1654e-02	9.3328e-04	7.4093e-03	3.6628e+02	2.2244e+01	1.1096e+01	1.2098e+00	3.8772e+01	3.2605e-02	1.2186e+03	1.2993e+02	9.0977e+01	3.8634e-02	1.4491e-03	1.3713e+01	4.8760e+01	1.5444e+01	1.1572e+01	4.0362e+01	1.2628e+00	1.1186e+00	6.9641e-01	2.7519e+00	1.8262e+00	7.8086e-01	2.8859e+01	3.4163e+00	1.0227e-01	1.0784e-03	1.0000e-37	3.9792e+02	3.9421e-01	5.8447e-01	1.5182e-01	4.0228e+01	3.1915e+00	2.2514e-01	4.9879e-01	3.8954e-01	5.1425e-01	1.2475e-01	9.1709e+00	1.8277e+01	7.6802e+01	4.9878e+00	4.5350e+00	4.6971e-02	4.2257e+00	4.7455e+05	3.8898e+01	1.4808e+02	4.4997e+02	1.7751e-04	1.0000e-37	6.0942e-03	2.5425e-01	4.8906e+00	2.3942e-01	4.4529e-01	7.6383e-02	1.4343e+02	1.0175e+00	3.2763e-02	1.0794e-01	7.5172e-02	3.1878e-01	1.5692e+00	1.1303e+00	3.9337e-02	3.9199e-01	1.1294e-04	5.7940e-03	4.9546e-02	2.2323e-02	2.3794e-01	3.2305e+00	1.7191e+00	8.1963e+00	2.4197e+00	1.0145e+02	3.9136e+00	8.8469e+00	2.6630e-01	3.8100e+00	1.8262e+00
iteration 3	6.5869e+02	3.4957e+02	5.3499e+02	3.5713e-12	5.2897e+06	1.5469e+03	5.5122e+01	1.4883e+02	3.5057e+01	7.3893e-01	1.0666e-02	1.2766e-01	5.1101e+02	1.5552e+01	1.0009e+02	2.2074e+00	2.2201e+02	4.6347e-01	1.7687e+03	1.8320e+02	9.3522e+02	1.0756e+00	3.4964e-04	2.5715e+02	1.4328e+02	2.8080e+02	3.1040e+01	6.0909e+02	1.0796e+01	2.8056e+01	7.6901e+00	3.5869e+01	2.0128e+01	9.7523e+00	1.7511e+02	2.7303e+01	1.4899e+00	3.0530e-05	1.0000e-37	3.6074e+03	4.8079e-01	7.1107e-01	1.8149e-01	4.3132e+02	2.2695e+01	2.8304e+00	5.6813e+00	2.9073e+00	3.6732e+00	7.6609e-01	8.2688e+01	1.5591e+02	1.2077e+03	6.4015e+00	5.9451e+00	1.8752e-02	1.7558e+01	4.7455e+05	3.3410e+02	9.2321e+02	2.8032e+03	7.6710e-05	1.0000e-37	9.1139e-02	3.6762e+00	5.5129e+01	1.5234e+00	7.9652e+00	4.8614e-01	1.2110e+03	1.8674e+00	3.4209e-02	1.1318e-01	7.8975e-02	6.0440e-02	1.8267e+01	1.2489e+01	8.4937e-01	4.6310e+00	1.3057e-03	2.9056e-02	2.1237e-01	8.5430e-02	1.2749e+00	1.7923e+01	1.6782e+01	4.5904e+01	2.3247e+01	5.6405e+02	4.8300e+01	1.0903e+02	8.6275e-03	8.2698e+01	2.0128e+01
iteration 3	1.6210e+03	4.4300e+02	7.3443e+02	1.0000e-37	5.2897e+06	8.1281e+03	2.3005e+00	6.0500e+00	1.2932e+00	5.2098e+01	1.1692e-01	8.8668e+00	1.7033e+03	2.5818e+01	7.8840e+02	3.1593e+00	1.1446e+03	1.5873e+01	6.7089e+03	1.7609e+02	8.8615e+03	3.5745e+01	1.0649e-04	3.2859e+03	4.0521e+02	5.8379e+03	5.7511e+01	1.0199e+04	5.8080e+01	3.9516e+02	4.5520e+01	4.7087e+02	2.0688e+02	1.3554e+02	1.5432e+03	1.9937e+02	3.4345e+01	5.5630e-11	1.0000e-37	3.1610e+04	5.8674e-01	8.5862e-01	2.2219e-01	2.8134e+03	8.7828e+01	3.4309e+01	5.3127e+01	7.1902e+00	8.7262e+00	1.5367e+00	6.7372e+02	1.1899e+03	9.4898e+03	6.2733e+00	6.0691e+00	7.2034e-03	2.5603e+01	4.7455e+05	2.6534e+03	1.7309e+03	5.2504e+03	3.6323e-05	1.0000e-37	1.0574e+00	2.6117e+01	5.4381e+02	3.1593e+00	1.0357e+02	1.0092e+00	9.5135e+03	2.2306e+00	3.2955e-02	1.0800e-01	7.5048e-02	1.1154e-02	1.2860e+02	7.6758e+01	6.2600e+00	3.2922e+01	1.6171e-02	2.1044e-01	1.4010e+00	5.2954e-01	6.5791e+00	4.8028e+01	1.3008e+02	1.2331e+02	1.7999e+02	4.0684e+03	6.4806e+02	1.4632e+03	5.7474e-04	1.7830e+03	2.0688e+02
iteration 3	3.3803e+03	5.9428e+02	1.0928e+03	1.0000e-37	5.2897e+06	3.8062e+04	6.7399e-02	1.4476e-01	3.6341e-02	3.4003e+02	3.2282e+00	1.4648e+02	6.6086e+03	1.9747e+01	1.5130e+03	5.8402e-01	1.2880e+03	1.6996e+02	1.0739e+04	1.4576e+02	2.5958e+04	2.0839e+02	1.0000e-37	1.1529e+04	2.2087e+03	5.6788e+04	3.4714e+01	5.4096e+04	1.7133e-04	5.9638e+02	5.0238e+01	4.8555e+03	1.6722e+03	1.8582e+03	1.1525e+04	1.3456e+03	1.3361e+02	1.4033e-12	1.0000e-37	1.0747e+05	4.0449e-01	5.8072e-01	1.5365e-01	2.3370e+03	3.3782e+02	1.6882e+02	2.3948e+02	1.0457e+01	1.2736e+01	2.2878e+00	3.2882e+03	5.7744e+03	8.4324e+03	5.6845e+00	5.8674e+00	2.4828e-03	8.2761e+00	4.7455e+05	1.2976e+04	8.0833e+02	2.4466e+03	1.7882e-03	1.0000e-37	2.6381e+00	5.9810e+01	2.3464e+03	1.3804e+01	2.2106e+02	4.4520e+00	5.3961e+04	5.2372e+00	2.9816e-01	9.7777e-01	6.7961e-01	1.0986e-03	1.7458e+02	1.0862e+02	3.4500e+00	4.4195e+01	2.3219e+00	1.3414e+00	8.9902e+00	3.5995e+00	3.2975e+01	5.1122e+01	5.0296e+02	1.3013e+02	6.6796e+02	2.5096e+04	2.3257e+03	5.4610e+03	2.0768e-05	1.7050e+04	1.6722e+03
iteration 3	4.0691e+03	6.3090e+02	1.1649e+03	1.0000e-37	5.2897e+06	4.1446e+05	4.1980e-08	8.0384e-08	2.2465e-08	1.2752e+03	5.8932e+01	3.4619e+02	2.5648e+03	2.5911e+00	2.5139e+02	1.2364e-02	1.5557e+02	5.8449e+02	4.1940e+03	9.5415e+01	1.8215e+04	1.1557e+03	1.0000e-37	8.7642e+03	5.5756e+03	8.6601e+04	1.0138e+01	7.3603e+04	1.0000e-37	1.1244e+02	1.0739e+02	2.1814e+04	7.2475e+03	1.1499e+04	9.9619e+04	2.5839e+04	3.8952e+01	1.0000e-37	1.0000e-37	2.4823e+05	8.4405e-01	1.1697e+00	3.2081e-01	4.0466e+02	1.9510e+03	6.2534e+02	6.0108e+02	3.8149e+01	4.5998e+01	7.8681e+00	7.0206e+03	1.1784e+04	8.1297e+02	5.0663e+00	5.7440e+00	1.5558e-04	1.8587e-01	4.7455e+05	2.5494e+04	1.1956e+02	3.6052e+02	1.3760e-02	1.0000e-37	2.0899e+01	6.5771e+01	4.5449e+03	1.0260e+02	8.1951e+01	3.3058e+01	1.2612e+05	9.0171e+00	6.5451e-01	2.1438e+00	1.4893e+00	8.3840e-06	5.0760e+01	1.4605e+02	7.1790e-02	1.2424e+01	2.2096e+01	4.9796e+00	2.3416e+01	1.0833e+01	8.7549e+01	1.5906e+01	1.0757e+03	3.9678e+01	1.4306e+03	7.5335e+04	2.7081e+03	6.6418e+03	4.4557e-10	4.7661e+04	7.2475e+03
