#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	9.6641e-04	7.7739e-05	1.0281e-02	1.0000e-37	1.0723e+07	3.0468e-02	1.0001e+03	2.2766e+03	1.0874e+03	1.9706e-08	1.1875e-10	7.3379e-09	1.2057e+00	3.0577e-01	2.0276e-06	4.5989e-07	2.3696e-02	1.4038e-08	7.6498e+02	6.2453e-02	2.9235e-05	1.3159e-08	1.1786e-06	1.0493e-06	3.1627e-03	1.8770e-06	4.6801e-06	7.7376e-06	5.6091e-06	3.6486e-07	1.0155e-08	4.6080e-07	3.0928e-07	8.0693e-08	4.5941e-06	6.5715e-07	1.3363e-08	8.6667e-04	1.0000e-37	1.0000e-37	5.8159e-07	4.9184e-06	8.7349e-07	4.0872e-05	1.7579e-05	2.3467e-07	3.1128e-06	4.0214e-08	5.3686e-08	1.3478e-08	7.9784e-05	1.4862e-04	1.1721e-04	2.5955e-04	1.2638e-04	1.6918e-06	3.5494e-06	1.3607e+06	3.3154e-04	2.8063e-04	8.5075e-04	1.8396e-10	1.0000e-37	1.6426e-11	8.3216e-08	2.6581e-05	1.6689e-09	3.1706e-07	5.3265e-10	1.3396e-03	6.0581e-07	6.7036e-07	1.1334e-06	4.6303e-07	3.3091e-07	3.2773e-06	8.4800e-07	8.6398e-09	8.1181e-07	1.9773e-11	2.8746e-09	2.6138e-08	1.0135e-08	1.0228e-07	9.3486e-06	1.8511e-05	2.3534e-05	2.7986e-05	1.0820e-02	4.4213e-07	9.9962e-07	6.8775e+01	2.7023e-07	3.0928e-07
iteration 3	8.6796e-02	1.9383e-02	1.1867e-01	1.0000e-37	1.0723e+07	3.4567e-01	1.0510e+03	2.2416e+03	1.0474e+03	1.9352e-06	4.6129e-08	4.6222e-07	1.0227e+01	3.3578e+00	6.4866e-04	1.0361e-04	5.2220e-01	1.9921e-06	1.1659e+03	4.8053e-01	1.3330e-02	1.6104e-06	2.9755e-05	6.6400e-04	2.8050e-02	8.6017e-04	1.4402e-03	2.3812e-03	2.5592e-05	5.2897e-05	9.2015e-06	1.8397e-04	1.4120e-04	6.1830e-05	7.1783e-04	5.9206e-05	4.1679e-06	3.3316e-03	1.0000e-37	2.0581e-02	2.5147e-04	6.5383e-04	3.7372e-04	1.7954e-03	1.5517e-04	1.5828e-05	2.0762e-05	1.3078e-05	1.7446e-05	4.3699e-06	7.3953e-04	1.3694e-03	1.0664e-02	2.7367e-03	1.3915e-03	5.7130e-05	1.1112e-04	1.3607e+06	2.9755e-03	9.1540e-03	2.7772e-02	1.7408e-06	1.0000e-37	3.5630e-07	8.6012e-06	1.6445e-04	1.9941e-05	2.9281e-05	6.3604e-06	1.1525e-02	1.9135e-04	1.3008e-04	2.2204e-04	9.1960e-05	6.8148e-05	1.2603e-04	1.9281e-05	7.3630e-07	3.1208e-05	5.9749e-09	8.3817e-07	7.6185e-06	3.7443e-06	2.9128e-05	3.1570e-04	1.4639e-04	7.9549e-04	2.1962e-04	2.0908e-01	2.0409e-04	4.5571e-04	6.6962e+01	1.0765e-04	1.4120e-04
iteration 3	1.0486e+01	3.2925e+00	1.5560e+00	1.0000e-37	1.0723e+07	4.3374e+00	8.7483e+02	1.8838e+03	8.7075e+02	2.2467e-05	6.0428e-07	5.5748e-06	8.2732e+01	4.0691e+01	3.2925e-02	1.1779e-03	6.8141e+00	2.3712e-05	1.1537e+03	1.5374e+00	2.3041e-01	2.1122e-05	2.4853e-04	1.1891e-02	3.3250e-01	1.2517e-02	2.2163e-02	3.6683e-02	2.1928e-04	6.5660e-04	1.2073e-04	2.3377e-03	1.5997e-03	7.5409e-04	3.2101e-02	9.2446e-04	5.4946e-05	1.5885e-03	1.0000e-37	4.0305e-01	2.9477e-03	7.2641e-03	4.0391e-03	2.0405e-02	1.0861e-03	1.9312e-04	2.0504e-04	1.5467e-04	2.0615e-04	5.1489e-05	9.4405e-03	1.7736e-02	1.3218e-01	2.8061e-02	2.0477e-02	1.3152e-04	1.2299e-03	1.3607e+06	3.8958e-02	1.0103e-01	3.0655e-01	1.8299e-05	1.0000e-37	4.1192e-06	9.9487e-05	1.6634e-03	2.1577e-04	3.6018e-04	6.8819e-05	1.5605e-01	2.0213e-03	1.3110e-03	2.3247e-03	1.0137e-03	3.2549e-03	1.4577e-03	2.3137e-04	8.8839e-06	3.6151e-04	7.4852e-08	1.0715e-05	9.7401e-05	4.8367e-05	3.8906e-04	3.6248e-03	1.7208e-03	9.1455e-03	2.5748e-03	3.0597e+00	2.9339e-03	6.5294e-03	5.4217e+01	1.5404e-03	1.5997e-03
iteration 3	2.5184e+02	8.0963e+01	1.5961e+01	1.0000e-37	1.0723e+07	3.8088e+01	6.8526e+02	1.5066e+03	7.3462e+02	2.1200e-04	6.3832e-06	5.4118e-05	2.9648e+02	9.2721e+01	5.1680e-01	1.1593e-02	1.6000e+01	2.4241e-04	1.4422e+03	3.9875e+00	4.2004e+00	2.2211e-04	5.2179e-04	1.4193e-01	3.0950e+00	1.3256e-01	2.3657e-01	3.9571e-01	5.6292e-03	6.2022e-03	1.9247e-03	2.3763e-02	1.5765e-02	7.2935e-03	6.7830e-01	3.1010e-02	5.4374e-04	5.0629e-04	1.0000e-37	4.4845e+00	3.2600e-02	6.3322e-02	2.8164e-02	2.2488e-01	5.4090e-03	2.0388e-03	2.2874e-03	2.0355e-03	2.7064e-03	6.7109e-04	1.1362e-01	2.1642e-01	1.0184e+00	2.3729e-01	2.0914e-01	4.5000e-04	1.5236e-02	1.3607e+06	4.6856e-01	1.0245e+00	3.1117e+00	1.1569e-04	1.0000e-37	4.2351e-05	1.0679e-03	2.1174e-02	2.1787e-03	3.7447e-03	6.9488e-04	1.8067e+00	1.9791e-02	8.4194e-03	1.8650e-02	1.0230e-02	4.0474e-02	1.5722e-02	3.4525e-03	1.0555e-04	3.9080e-03	7.9408e-07	1.1098e-04	1.0079e-03	5.0076e-04	4.2750e-03	3.8615e-02	1.7784e-02	9.7581e-02	2.6640e-02	1.9456e+01	4.1295e-02	9.3897e-02	1.5082e+01	1.6536e-02	1.5765e-02
iteration 3	5.9893e+02	3.0176e+02	1.1788e+02	1.0000e-37	1.0723e+07	1.6032e+02	5.3988e+02	1.2287e+03	5.5291e+02	2.3064e-03	6.9238e-05	5.7175e-04	5.7014e+02	5.4244e+01	5.0541e+00	1.3778e-01	1.9875e+01	2.7664e-03	1.9523e+03	2.3434e+01	3.0842e+01	2.9658e-03	4.4579e-04	1.5886e+00	2.5198e+01	1.4135e+00	2.1070e+00	3.8852e+00	1.1458e-01	6.6971e-02	4.2499e-02	2.3801e-01	1.5761e-01	6.9410e-02	8.4216e+00	6.5571e-01	7.0080e-03	4.4862e-04	1.0000e-37	4.2874e+01	1.9921e-01	3.1034e-01	9.1116e-02	3.2342e+00	3.4981e-01	2.1774e-02	4.1131e-02	3.1962e-02	4.2543e-02	1.0584e-02	1.2259e+00	2.3019e+00	6.9672e+00	1.0514e+00	9.5105e-01	4.4554e-03	3.2509e-01	1.3607e+06	4.8913e+00	1.3234e+01	4.0237e+01	1.8570e-04	1.0000e-37	4.4665e-04	1.3693e-02	4.0700e-01	2.1951e-02	3.8974e-02	7.0034e-03	1.8765e+01	1.7688e-01	2.3231e-02	7.0338e-02	4.7107e-02	1.0742e-01	1.7062e-01	7.3900e-02	1.7814e-03	4.2603e-02	8.6840e-06	9.2714e-04	8.3418e-03	4.0422e-03	3.9090e-02	4.0454e-01	1.8904e-01	1.0255e+00	2.8021e-01	6.4068e+01	1.2248e+00	2.7479e+00	1.4549e+00	2.0780e-01	1.5761e-01
iteration 3	8.0696e+02	5.2393e+02	4.9225e+02	1.0000e-37	1.0723e+07	4.7900e+02	2.5547e+02	6.6049e+02	2.0357e+02	4.2055e-02	7.9622e-04	8.5304e-03	7.7274e+02	1.2168e+01	3.9552e+01	3.6288e-01	2.7677e+01	3.9081e-02	2.1314e+03	4.9560e+01	9.0261e+01	6.4925e-02	1.5306e-04	1.7985e+01	1.2702e+02	1.6988e+01	1.0844e+01	3.8450e+01	1.2615e+00	9.7090e-01	6.5311e-01	2.4989e+00	1.6200e+00	6.7923e-01	5.7934e+01	7.8512e+00	6.6200e-02	3.9401e-05	1.0000e-37	4.3451e+02	3.7747e-01	5.6831e-01	1.4538e-01	3.3790e+01	6.0608e+00	2.2673e-01	5.9994e-01	3.6199e-01	4.7781e-01	1.1586e-01	1.3226e+01	2.4429e+01	5.9459e+01	1.7803e+00	1.6170e+00	5.0719e-03	3.4629e+00	1.3607e+06	5.0324e+01	1.4898e+02	4.5242e+02	8.8179e-05	1.0000e-37	5.2554e-03	2.4700e-01	5.5945e+00	2.1382e-01	4.9483e-01	6.8217e-02	1.7990e+02	9.3063e-01	3.0794e-02	1.0141e-01	7.0619e-02	3.5038e-02	2.0053e+00	1.1009e+00	2.8688e-02	5.0481e-01	9.9310e-05	5.6261e-03	4.7694e-02	2.1772e-02	2.6004e-01	4.0100e+00	2.1291e+00	1.0224e+01	2.9748e+00	1.6312e+02	5.1232e+00	1.1532e+01	4.8208e-02	4.0869e+00	1.6200e+00
iteration 3	1.5085e+03	6.5033e+02	8.8746e+02	1.0000e-37	1.0723e+07	2.4310e+03	1.4458e+01	3.8648e+01	8.3122e+00	2.3983e+00	9.1237e-03	3.0675e-01	9.8307e+02	4.2992e+00	1.5693e+02	1.0719e+00	9.0536e+01	8.5030e-01	2.2408e+03	5.2779e+01	7.2392e+02	2.5999e+00	3.5984e-05	2.7578e+02	3.2036e+02	3.4344e+02	2.7954e+01	5.6439e+02	9.2187e+00	2.3660e+01	7.7038e+00	3.2364e+01	1.8226e+01	8.8166e+00	2.5901e+02	4.8728e+01	1.1288e+00	3.7359e-10	1.0000e-37	3.8450e+03	4.9010e-01	7.2617e-01	1.8507e-01	3.8205e+02	3.7322e+01	2.7530e+00	5.9846e+00	2.5727e+00	3.2490e+00	6.7656e-01	1.0866e+02	1.9089e+02	9.8196e+02	1.8949e+00	1.7717e+00	1.5425e-03	1.4869e+01	1.3607e+06	3.9272e+02	8.6960e+02	2.6401e+03	3.3151e-05	1.0000e-37	7.5521e-02	3.4869e+00	5.6241e+01	1.2907e+00	9.7325e+00	4.1187e-01	1.3838e+03	1.7079e+00	3.0970e-02	1.0242e-01	7.1455e-02	6.5229e-03	2.5682e+01	1.2796e+01	6.7441e-01	6.5736e+00	1.1717e-03	2.7360e-02	1.9827e-01	8.0518e-02	1.2648e+00	2.4346e+01	2.0097e+01	6.2638e+01	2.7565e+01	6.2664e+02	3.9028e+01	8.7847e+01	5.8540e-04	9.6741e+01	1.8226e+01
iteration 3	3.2267e+03	7.7808e+02	1.2121e+03	1.0000e-37	1.0723e+07	1.0940e+04	5.6649e-01	1.4879e+00	3.2053e-01	1.6987e+02	1.0861e-01	3.6699e+01	2.4569e+03	5.1906e+00	6.3816e+02	1.2533e+00	3.8173e+02	4.9220e+01	3.5429e+03	4.7007e+01	7.1093e+03	8.8244e+01	1.3125e-05	3.1866e+03	6.7226e+02	7.5932e+03	5.8797e+01	1.0648e+04	2.7850e+01	3.4795e+02	5.3280e+01	4.5594e+02	1.9368e+02	1.3520e+02	1.6943e+03	2.5781e+02	2.8783e+01	3.8293e-12	1.0000e-37	3.3020e+04	6.9897e-01	1.0134e+00	2.6474e-01	2.5815e+03	1.3270e+02	3.2185e+01	5.3998e+01	6.0402e+00	7.3287e+00	1.2892e+00	7.6066e+02	1.3073e+03	8.0587e+03	1.7732e+00	1.7375e+00	1.4987e-03	2.0178e+01	1.3607e+06	2.8541e+03	1.6263e+03	4.9324e+03	1.5812e-05	1.0000e-37	7.7823e-01	2.5759e+01	5.2387e+02	2.2193e+00	1.4094e+02	7.0893e-01	1.0094e+04	2.1604e+00	2.8717e-02	9.4100e-02	6.5384e-02	2.2215e-03	1.9402e+02	9.1826e+01	4.6868e+00	4.9834e+01	1.6343e-02	1.9155e-01	1.2866e+00	4.8755e-01	5.9736e+00	6.9989e+01	1.4344e+02	1.7987e+02	1.9709e+02	3.8350e+03	5.3419e+02	1.2054e+03	2.4679e-05	2.3138e+03	1.9368e+02
iteration 3	4.6190e+03	8.8705e+02	1.7563e+03	1.0000e-37	1.0723e+07	4.5335e+04	6.8793e-07	1.4059e-06	3.7404e-07	7.0516e+02	8.7292e+00	3.2876e+02	4.9818e+03	4.1920e+00	8.5280e+02	1.5297e-01	3.3352e+02	3.1758e+02	4.0353e+03	4.0188e+01	2.0214e+04	4.0324e+02	1.0000e-37	9.8717e+03	2.4450e+03	6.0220e+04	3.0605e+01	4.8339e+04	1.7862e-05	4.9793e+02	7.6015e+01	5.2321e+03	1.5568e+03	2.0050e+03	1.0973e+04	1.3505e+03	1.0404e+02	2.2338e-14	1.0000e-37	1.0623e+05	6.2664e-01	8.8642e-01	2.3805e-01	1.9985e+03	3.9146e+02	1.5448e+02	2.3860e+02	1.2515e+01	1.5219e+01	2.7142e+00	3.5997e+03	6.2715e+03	6.9319e+03	1.5954e+00	1.6669e+00	5.9698e-04	4.4503e+00	1.3607e+06	1.3792e+04	7.2129e+02	2.1826e+03	1.4496e-03	1.0000e-37	2.0768e+00	7.1460e+01	2.2329e+03	1.2567e+01	2.6775e+02	4.0555e+00	5.6695e+04	6.7337e+00	3.4347e-01	1.1262e+00	7.8270e-01	1.8760e-04	2.1355e+02	1.5707e+02	1.7409e+00	5.3874e+01	7.2976e+00	1.2028e+00	8.0611e+00	3.2314e+00	2.9951e+01	6.4562e+01	5.2411e+02	1.6402e+02	6.9394e+02	2.3165e+04	1.8021e+03	4.2384e+03	4.6489e-10	1.8717e+04	1.5568e+03
iteration 3	4.1735e+03	8.6844e+02	1.7856e+03	1.0000e-37	1.0723e+07	4.3750e+05	5.5024e-09	1.0404e-08	2.9851e-09	2.3818e+03	1.1113e+02	6.2431e+02	1.8126e+03	5.0384e-01	9.9843e+01	2.7767e-03	3.5244e+01	7.8608e+02	1.6195e+03	2.6319e+01	1.2196e+04	1.4187e+03	1.0000e-37	6.5839e+03	4.9158e+03	7.3311e+04	7.9222e+00	5.7916e+04	1.0000e-37	8.0312e+01	1.3718e+02	2.2901e+04	6.2944e+03	1.0808e+04	9.2218e+04	2.3939e+04	2.2940e+01	1.0000e-37	1.0000e-37	2.5708e+05	1.1249e+00	1.5567e+00	4.2760e-01	2.6406e+02	1.9277e+03	5.3506e+02	5.9617e+02	4.2565e+01	5.1299e+01	8.7562e+00	7.2515e+03	1.2212e+04	5.7476e+02	1.4280e+00	1.6364e+00	3.0115e-05	7.2328e-02	1.3607e+06	2.7090e+04	9.2662e+01	2.7939e+02	1.1211e-02	1.0000e-37	2.2611e+01	8.1409e+01	4.3866e+03	9.6098e+01	7.5515e+01	3.0987e+01	1.3206e+05	1.1692e+01	7.0504e-01	2.3090e+00	1.6040e+00	1.3796e-10	4.7706e+01	1.8490e+02	2.6456e-02	1.1670e+01	5.0904e+01	4.3605e+00	1.9952e+01	9.4411e+00	8.6801e+01	1.5518e+01	1.1418e+03	3.8693e+01	1.5244e+03	7.1886e+04	1.8236e+03	4.4768e+03	1.7643e-11	4.0524e+04	6.2944e+03
