#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	3.2224e-04	1.7674e-05	6.0433e-03	1.0000e-37	6.9157e+06	1.9058e-02	4.8399e+02	1.2314e+03	6.2300e+02	4.7832e-09	1.4941e-12	8.0634e-09	4.8188e-01	9.6031e-02	9.3092e-07	8.0319e-07	5.9016e-03	1.5562e-08	4.2962e+02	5.8498e-02	4.9154e-05	1.1938e-08	7.4698e-07	1.2802e-06	1.4710e-03	6.1953e-07	4.2753e-06	7.0682e-06	7.7207e-06	7.5483e-07	3.8973e-09	1.1563e-07	9.5978e-09	1.4389e-08	4.9925e-06	5.1133e-07	3.3136e-08	1.0331e-03	1.0000e-37	3.3269e-03	1.9700e-07	3.8691e-06	2.9581e-07	6.2609e-05	1.6177e-05	9.0037e-08	2.9070e-06	2.9694e-09	3.9637e-09	9.9504e-10	6.6575e-05	1.2461e-04	1.5137e-04	2.2792e-04	1.0913e-04	1.3557e-06	5.6474e-06	5.6729e+05	2.7908e-04	4.0023e-04	1.2136e-03	9.9248e-16	1.0000e-37	1.0893e-13	3.4389e-08	2.3975e-05	9.0692e-12	1.3235e-07	2.8923e-12	1.1086e-03	4.6188e-08	4.6956e-08	7.9463e-08	3.2507e-08	1.8506e-07	1.3999e-06	8.1451e-07	1.7566e-08	3.5098e-07	2.3082e-13	1.9333e-10	1.7589e-09	6.4936e-10	8.3460e-09	3.2955e-06	1.5868e-05	8.3412e-06	2.3986e-05	3.0283e-03	1.1917e-06	2.6437e-06	4.4519e+01	6.6665e-08	9.5978e-09
iteration 3	2.7832e-02	4.5079e-03	7.5918e-02	1.0000e-37	6.9157e+06	2.3545e-01	4.9693e+02	1.1493e+03	5.7943e+02	2.1489e-06	5.1078e-08	5.1431e-07	4.3984e+00	1.0197e+00	4.4650e-04	1.2719e-04	1.6123e-01	2.1900e-06	6.8928e+02	5.4789e-01	1.5452e-02	1.8296e-06	2.7467e-05	6.1817e-04	1.3728e-02	9.7433e-04	1.3878e-03	2.2946e-03	3.1430e-05	6.1507e-05	1.0117e-05	1.9099e-04	1.5484e-04	7.0383e-05	6.7041e-04	6.0433e-05	5.0538e-06	4.2685e-03	1.0000e-37	3.0907e-02	2.6826e-04	6.9505e-04	3.9866e-04	1.9436e-03	1.4965e-04	1.6243e-05	2.0046e-05	1.3512e-05	1.8025e-05	4.5145e-06	6.3212e-04	1.1786e-03	1.1837e-02	2.7131e-03	1.3293e-03	4.3274e-05	1.2096e-04	5.6729e+05	2.5703e-03	9.7648e-03	2.9629e-02	1.8779e-06	1.0000e-37	3.9552e-07	8.9110e-06	1.5798e-04	2.1439e-05	3.0087e-05	6.8385e-06	9.8030e-03	1.9740e-04	1.3197e-04	2.2533e-04	9.3354e-05	4.5546e-05	1.2437e-04	2.0482e-05	8.4703e-07	3.0782e-05	6.4927e-09	7.7026e-07	7.0012e-06	3.3849e-06	2.6014e-05	3.0630e-04	1.3086e-04	7.7136e-04	1.9625e-04	5.3107e-02	2.5018e-04	5.5853e-04	4.3448e+01	1.2010e-04	1.5484e-04
iteration 3	3.3385e+00	8.3640e-01	9.6717e-01	1.0000e-37	6.9157e+06	2.8963e+00	4.2207e+02	9.8558e+02	4.8834e+02	2.3831e-05	6.4380e-07	5.8787e-06	3.7738e+01	1.4740e+01	1.3260e-02	1.4003e-03	2.6458e+00	2.4665e-05	6.9299e+02	1.9239e+00	1.9772e-01	2.2012e-05	2.8636e-04	9.6615e-03	1.6481e-01	1.2686e-02	1.9728e-02	3.2652e-02	2.7583e-04	7.0026e-04	1.2562e-04	2.2847e-03	1.6726e-03	7.9806e-04	1.5093e-02	7.5195e-04	5.9613e-05	2.6212e-03	1.0000e-37	3.8974e-01	3.0275e-03	7.4529e-03	4.1500e-03	2.1046e-02	1.0698e-03	1.8940e-04	2.0183e-04	1.5582e-04	2.0768e-04	5.1881e-05	7.8043e-03	1.4740e-02	1.3636e-01	2.7451e-02	1.8971e-02	1.4252e-04	1.2797e-03	5.6729e+05	3.2380e-02	1.0366e-01	3.1452e-01	1.8975e-05	1.0000e-37	4.3538e-06	9.8894e-05	1.6330e-03	2.2497e-04	3.5332e-04	7.1751e-05	1.2748e-01	2.0574e-03	1.3114e-03	2.3250e-03	1.0136e-03	2.7886e-03	1.3971e-03	2.3722e-04	9.4030e-06	3.4610e-04	7.9040e-08	9.7132e-06	8.8271e-05	4.3231e-05	3.3942e-04	3.4456e-03	1.5404e-03	8.6852e-03	2.3063e-03	8.8681e-01	3.0571e-03	6.7682e-03	3.7239e+01	1.5678e-03	1.6726e-03
iteration 3	1.2451e+02	3.4500e+01	1.0118e+01	1.0000e-37	6.9157e+06	2.5936e+01	3.4542e+02	8.1549e+02	4.2347e+02	2.2282e-04	6.7346e-06	5.6618e-05	1.5040e+02	4.8873e+01	2.1869e-01	1.5275e-02	8.9916e+00	2.4494e-04	8.3016e+02	4.7479e+00	2.1925e+00	2.1661e-04	8.0759e-04	1.1565e-01	1.5796e+00	1.3166e-01	2.1837e-01	3.6511e-01	5.2458e-03	6.4997e-03	1.9861e-03	2.3556e-02	1.6378e-02	7.6390e-03	3.5048e-01	1.6317e-02	5.7668e-04	1.0516e-03	1.0000e-37	4.3527e+00	3.3254e-02	6.4507e-02	2.8772e-02	2.2453e-01	4.2834e-03	1.9902e-03	2.1938e-03	2.0544e-03	2.7316e-03	6.7733e-04	9.3641e-02	1.7929e-01	1.0792e+00	2.3899e-01	2.0692e-01	5.9133e-04	1.4858e-02	5.6729e+05	3.8813e-01	1.0244e+00	3.1103e+00	1.1985e-04	1.0000e-37	4.4376e-05	1.0526e-03	1.9903e-02	2.2536e-03	3.6640e-03	7.1879e-04	1.4871e+00	2.0202e-02	8.4533e-03	1.8709e-02	1.0256e-02	4.5193e-02	1.4954e-02	3.4679e-03	1.0674e-04	3.7120e-03	8.2915e-07	1.0519e-04	9.5525e-04	4.7101e-04	3.8911e-03	3.6682e-02	1.6155e-02	9.2606e-02	2.4193e-02	7.4367e+00	3.0210e-02	6.7835e-02	1.4634e+01	1.6627e-02	1.6378e-02
iteration 3	3.6973e+02	1.6517e+02	7.5292e+01	1.0000e-37	6.9157e+06	1.0921e+02	2.8033e+02	6.8307e+02	3.3778e+02	2.2712e-03	7.2474e-05	5.7346e-04	3.0481e+02	3.7552e+01	2.1823e+00	1.8918e-01	1.3564e+01	2.6005e-03	1.1614e+03	2.6451e+01	1.8628e+01	2.4801e-03	7.9760e-04	1.3656e+00	1.3000e+01	1.3917e+00	2.0775e+00	3.8244e+00	1.0943e-01	6.7962e-02	4.3462e-02	2.4182e-01	1.6341e-01	7.2422e-02	4.6330e+00	3.4608e-01	7.6581e-03	9.4250e-04	1.0000e-37	4.1610e+01	2.0191e-01	3.1217e-01	9.2414e-02	3.2829e+00	2.0648e-01	2.1292e-02	3.6087e-02	3.2295e-02	4.2986e-02	1.0694e-02	9.8953e-01	1.8781e+00	7.5131e+00	1.2630e+00	1.1427e+00	6.6380e-03	3.2436e-01	5.6729e+05	4.0187e+00	1.2679e+01	3.8556e+01	2.1994e-04	1.0000e-37	4.6610e-04	1.3521e-02	3.6623e-01	2.2632e-02	3.8028e-02	7.2203e-03	1.5520e+01	1.8065e-01	2.3397e-02	7.0817e-02	4.7421e-02	1.6679e-01	1.6076e-01	7.3739e-02	1.8830e-03	4.0075e-02	8.9876e-06	9.3896e-04	8.4509e-03	4.0972e-03	3.8096e-02	3.8295e-01	1.6933e-01	9.6967e-01	2.5137e-01	3.1681e+01	5.8068e-01	1.3058e+00	1.6694e+00	2.0734e-01	1.6341e-01
iteration 3	5.1002e+02	3.1741e+02	3.2236e+02	1.0000e-37	6.9157e+06	3.3192e+02	1.6205e+02	4.3407e+02	1.6691e+02	3.2922e-02	8.3534e-04	7.3892e-03	4.2552e+02	1.0537e+01	1.8659e+01	5.3134e-01	2.5171e+01	3.2857e-02	1.3181e+03	6.9998e+01	7.8889e+01	4.3547e-02	3.3249e-04	1.6821e+01	6.7817e+01	1.6500e+01	1.1291e+01	3.9835e+01	1.2512e+00	1.0266e+00	6.6258e-01	2.5734e+00	1.6768e+00	7.0596e-01	3.5458e+01	4.6038e+00	7.5768e-02	1.2208e-04	1.0000e-37	4.2357e+02	3.7980e-01	5.6996e-01	1.4627e-01	3.5816e+01	4.3361e+00	2.2701e-01	5.7481e-01	3.6657e-01	4.8388e-01	1.1735e-01	1.0706e+01	2.0111e+01	6.4109e+01	2.4797e+00	2.2503e+00	1.0690e-02	3.7041e+00	5.6729e+05	4.2248e+01	1.5082e+02	4.5807e+02	1.3041e-04	1.0000e-37	5.5220e-03	2.4853e-01	5.4451e+00	2.2156e-01	4.7877e-01	7.0687e-02	1.5515e+02	9.5285e-01	3.1080e-02	1.0236e-01	7.1282e-02	7.1499e-02	1.8640e+00	1.1056e+00	3.1693e-02	4.6820e-01	1.0251e-04	6.0716e-03	5.1429e-02	2.3616e-02	2.7037e-01	3.7551e+00	1.9066e+00	9.5610e+00	2.6725e+00	1.0643e+02	3.9449e+00	8.8966e+00	7.3149e-02	4.0370e+00	1.6768e+00
iteration 3	8.7315e+02	4.1366e+02	5.9545e+02	1.0000e-37	6.9157e+06	1.7973e+03	1.3727e+01	3.9158e+01	9.3716e+00	1.1887e+00	9.4775e-03	1.7363e-01	5.6624e+02	5.0565e+00	1.0760e+02	1.3549e+00	1.1733e+02	5.5487e-01	1.5902e+03	7.9561e+01	7.6844e+02	1.4469e+00	7.4319e-05	2.7371e+02	1.7922e+02	3.2525e+02	2.8741e+01	5.7531e+02	9.8635e+00	2.5067e+01	7.6041e+00	3.3058e+01	1.8637e+01	9.0293e+00	1.9452e+02	3.2376e+01	1.2267e+00	9.4394e-10	1.0000e-37	3.7717e+03	4.8050e-01	7.1256e-01	1.8142e-01	3.9677e+02	2.5579e+01	2.8389e+00	5.9057e+00	2.6127e+00	3.3003e+00	6.8785e-01	9.2365e+01	1.6632e+02	1.0454e+03	2.7553e+00	2.5673e+00	3.1995e-03	1.5696e+01	5.6729e+05	3.5296e+02	8.9098e+02	2.7051e+03	5.3954e-05	1.0000e-37	8.1052e-02	3.5416e+00	5.6451e+01	1.3829e+00	9.1762e+00	4.4129e-01	1.2752e+03	1.7457e+00	3.1359e-02	1.0372e-01	7.2363e-02	1.2478e-02	2.3314e+01	1.2565e+01	7.2609e-01	5.9524e+00	1.1855e-03	3.0090e-02	2.1630e-01	8.8385e-02	1.3664e+00	2.2291e+01	1.8222e+01	5.7291e+01	2.5123e+01	5.5434e+02	4.0696e+01	9.1660e+01	1.1765e-03	9.3204e+01	1.8637e+01
iteration 3	2.0330e+03	5.0241e+02	8.2323e+02	1.0000e-37	6.9157e+06	8.9561e+03	5.5688e-01	1.5541e+00	3.6840e-01	8.5876e+01	1.0412e-01	1.7130e+01	1.7811e+03	8.1771e+00	6.4488e+02	1.7418e+00	5.5138e+02	2.5776e+01	3.9696e+03	7.1952e+01	7.5962e+03	4.7890e+01	2.7072e-05	3.2551e+03	4.5372e+02	7.1785e+03	5.8848e+01	1.0596e+04	3.6616e+01	3.6288e+02	4.9920e+01	4.5815e+02	1.9510e+02	1.3569e+02	1.5862e+03	2.1710e+02	3.0462e+01	8.9285e-12	1.0000e-37	3.2571e+04	6.5110e-01	9.4743e-01	2.4659e-01	2.6560e+03	9.4119e+01	3.4265e+01	5.3751e+01	6.1682e+00	7.4857e+00	1.3182e+00	7.0909e+02	1.2319e+03	8.4743e+03	2.6093e+00	2.5436e+00	2.3306e-03	2.1822e+01	5.6729e+05	2.7308e+03	1.6616e+03	5.0398e+03	2.6332e-05	1.0000e-37	8.8223e-01	2.6012e+01	5.3973e+02	2.6722e+00	1.3035e+02	8.5359e-01	9.7517e+03	2.1811e+00	2.9195e-02	9.5678e-02	6.6482e-02	3.5597e-03	1.7453e+02	8.5721e+01	5.1517e+00	4.4797e+01	1.5024e-02	2.1869e-01	1.4431e+00	5.4862e-01	6.7241e+00	6.3503e+01	1.3572e+02	1.6317e+02	1.8718e+02	3.9208e+03	5.6661e+02	1.2785e+03	6.8556e-05	2.1811e+03	1.9510e+02
iteration 3	3.4016e+03	6.1165e+02	1.2356e+03	1.0000e-37	6.9157e+06	3.9812e+04	5.7093e-03	1.2695e-02	3.6287e-03	4.0137e+02	4.2914e+00	1.8119e+02	4.9112e+03	6.6918e+00	1.0060e+03	2.4079e-01	5.2221e+02	1.9330e+02	5.0268e+03	6.0873e+01	2.1883e+04	2.4087e+02	1.0000e-37	1.0424e+04	2.2286e+03	6.0433e+04	3.2353e+01	5.0869e+04	3.0812e-05	5.3001e+02	6.7956e+01	5.1401e+03	1.5681e+03	1.9808e+03	1.0915e+04	1.3060e+03	1.1358e+02	5.3682e-14	1.0000e-37	1.0729e+05	5.5462e-01	7.8734e-01	2.1069e-01	2.1125e+03	3.3896e+02	1.6369e+02	2.3833e+02	1.1065e+01	1.3471e+01	2.4163e+00	3.3962e+03	5.9376e+03	7.3749e+03	2.3503e+00	2.4450e+00	9.1506e-04	5.4137e+00	5.6729e+05	1.3266e+04	7.5092e+02	2.2725e+03	1.6983e-03	1.0000e-37	2.1031e+00	6.7060e+01	2.2943e+03	1.3685e+01	2.5926e+02	4.4152e+00	5.4861e+04	5.8360e+00	3.1580e-01	1.0356e+00	7.1979e-01	3.2370e-04	2.0613e+02	1.4226e+02	2.1640e+00	5.2055e+01	3.2510e+00	1.3267e+00	8.8353e+00	3.5443e+00	3.2436e+01	6.1657e+01	5.1086e+02	1.5675e+02	6.7697e+02	2.4260e+04	1.9712e+03	4.6347e+03	1.2690e-09	1.8819e+04	1.5681e+03
iteration 3	3.5623e+03	6.2526e+02	1.3019e+03	1.0000e-37	6.9157e+06	4.1404e+05	6.5794e-09	1.3325e-08	4.1396e-09	1.4226e+03	6.9791e+01	3.7948e+02	1.7273e+03	8.4523e-01	1.3272e+02	4.5608e-03	5.7611e+01	5.7720e+02	1.9259e+03	3.9761e+01	1.4025e+04	1.1448e+03	1.0000e-37	7.2502e+03	5.0283e+03	7.8290e+04	8.6790e+00	6.3290e+04	1.0000e-37	9.0245e+01	1.2992e+02	2.2413e+04	6.5279e+03	1.1066e+04	9.3848e+04	2.4399e+04	2.7689e+01	1.0000e-37	1.0000e-37	2.5236e+05	1.0447e+00	1.4462e+00	3.9709e-01	3.0659e+02	1.9082e+03	5.7503e+02	5.9559e+02	3.9682e+01	4.7839e+01	8.1781e+00	7.1121e+03	1.1924e+04	6.4762e+02	2.0992e+00	2.3965e+00	5.0675e-05	9.5228e-02	5.6729e+05	2.5931e+04	1.0099e+02	3.0452e+02	1.3080e-02	1.0000e-37	2.0237e+01	7.2812e+01	4.4423e+03	1.0211e+02	7.8393e+01	3.2905e+01	1.2745e+05	1.0029e+01	6.7382e-01	2.2070e+00	1.5331e+00	2.5844e-10	4.8957e+01	1.7563e+02	3.5570e-02	1.1979e+01	2.7742e+01	4.7042e+00	2.1659e+01	1.0175e+01	8.5817e+01	1.5782e+01	1.1003e+03	3.9362e+01	1.4640e+03	7.3565e+04	2.0959e+03	5.1438e+03	5.2296e-11	4.3284e+04	6.5279e+03
