#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.5278e-06	8.7054e-07	1.8683e-06	1.0000e-37	1.7644e-02	3.7222e-04	1.0000e-37	1.0000e-37	1.0000e-37	8.8045e-07	1.4122e-08	4.6938e-07	3.5345e-07	2.8792e-22	4.8143e-11	1.6047e-13	3.7689e-13	3.5856e-07	2.1668e-08	5.7049e-11	6.5417e-09	4.1252e-07	1.0000e-37	7.4002e-09	4.6708e-07	6.3787e-08	1.9965e-07	3.3084e-07	2.9964e-11	4.5868e-09	3.1182e-07	3.3265e-06	7.3695e-08	4.8493e-08	1.2155e-06	4.4733e-07	1.4694e-11	1.0000e-37	1.0000e-37	7.4473e-04	2.1330e-05	5.3724e-05	3.2044e-05	1.1320e-07	2.5437e-06	2.3917e-09	5.8856e-07	4.6672e-07	6.2316e-07	1.5649e-07	9.7498e-06	1.7398e-05	2.2342e-08	2.6251e-13	1.3143e-15	1.0000e-37	2.5203e-10	2.2344e-03	3.7500e-05	6.0675e-06	1.8277e-05	1.0204e-07	1.0000e-37	4.9194e-09	2.0521e-07	3.9777e-06	4.8609e-07	2.2300e-07	1.5513e-07	1.1579e-04	3.3054e-05	8.6464e-06	1.4603e-05	5.9569e-06	1.0000e-37	2.5923e-06	4.5043e-07	2.9172e-13	6.2899e-07	2.5664e-09	4.7336e-12	4.3009e-11	2.1797e-11	7.4334e-11	9.1420e-06	1.0712e-06	2.2740e-05	1.5241e-06	6.1298e-06	1.5630e-09	3.8499e-09	1.0000e-37	2.4463e-08	7.3695e-08
iteration 3	9.7765e-07	3.9916e-07	2.2046e-06	1.0000e-37	1.7644e-02	9.2964e-04	1.0000e-37	1.0000e-37	1.0000e-37	7.5596e-07	2.5817e-08	4.2142e-07	1.4525e-09	1.1370e-23	3.7152e-13	3.5248e-17	5.9820e-17	3.2775e-07	2.4348e-13	2.4001e-11	1.2457e-09	3.3949e-07	1.0000e-37	1.7193e-09	3.9546e-08	2.4403e-08	1.8903e-07	3.1257e-07	3.0834e-15	8.1652e-10	5.2142e-07	5.3246e-06	1.5438e-07	8.3077e-08	3.0292e-06	1.0598e-06	7.7534e-12	1.0000e-37	1.0000e-37	8.0668e-04	3.6045e-05	8.9912e-05	5.3572e-05	3.3294e-08	2.7843e-06	2.3399e-08	6.3271e-07	1.6989e-06	2.2682e-06	5.6931e-07	1.1213e-05	1.9927e-05	3.5542e-09	1.6847e-13	1.0483e-15	1.0000e-37	1.0311e-11	2.2344e-03	4.2533e-05	6.8351e-07	2.0577e-06	6.2099e-07	1.0000e-37	2.2383e-08	3.3074e-07	4.1081e-06	2.6780e-06	1.5320e-07	8.5418e-07	1.2816e-04	5.9212e-05	3.1208e-05	5.2957e-05	2.1749e-05	1.0000e-37	3.0598e-06	6.7885e-07	1.5078e-14	7.3917e-07	4.1673e-09	4.8120e-11	4.3710e-10	2.2274e-10	7.1666e-10	5.4574e-06	1.1659e-06	1.3542e-05	1.6564e-06	6.0484e-06	3.4650e-10	8.5413e-10	1.0000e-37	8.9315e-09	1.5438e-07
iteration 3	5.1367e-07	2.5038e-09	2.3012e-06	1.0000e-37	1.7644e-02	1.0790e-03	1.0000e-37	1.0000e-37	1.0000e-37	5.5608e-07	2.6851e-08	2.6249e-07	7.1810e-13	1.0000e-37	9.7198e-16	1.0000e-37	1.0000e-37	2.2839e-07	1.0000e-37	1.4286e-11	2.9648e-11	2.1915e-07	1.0000e-37	4.2963e-11	1.1105e-09	3.9729e-09	5.0182e-08	8.3051e-08	1.0000e-37	1.9552e-11	5.0044e-07	6.4502e-06	1.9269e-07	9.8400e-08	4.5633e-06	1.5707e-06	1.3961e-12	1.0000e-37	1.0000e-37	8.2661e-04	3.4418e-05	8.1979e-05	4.7260e-05	5.9993e-09	2.0181e-06	1.0080e-07	4.5749e-07	3.0377e-06	4.0519e-06	1.0142e-06	1.1449e-05	2.0330e-05	8.3433e-11	1.2552e-13	2.0314e-16	1.0000e-37	1.0000e-37	2.2344e-03	4.3369e-05	1.5823e-08	4.7631e-08	3.0773e-06	1.0000e-37	8.3524e-08	3.1737e-07	2.9567e-06	1.1552e-05	4.3935e-08	3.6843e-06	1.3029e-04	6.0679e-05	5.2253e-05	9.1823e-05	3.9570e-05	1.0000e-37	1.9814e-06	6.4258e-07	1.0000e-37	4.7828e-07	4.1913e-09	2.0051e-10	1.8213e-09	9.4564e-10	2.9767e-09	1.5733e-06	1.1824e-06	3.9024e-06	1.6784e-06	4.6289e-06	8.4736e-12	2.0886e-11	1.0000e-37	1.4693e-09	1.9269e-07
iteration 3	1.8170e-07	1.6189e-11	2.2175e-06	1.0000e-37	1.7644e-02	1.2008e-03	1.0000e-37	1.0000e-37	1.0000e-37	4.2588e-07	2.4962e-08	1.3978e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4086e-07	1.0000e-37	9.3803e-12	2.5426e-13	1.2469e-07	1.0000e-37	4.0859e-13	9.7492e-11	2.1282e-10	4.2346e-09	7.0467e-09	1.0000e-37	2.4791e-13	2.0688e-07	3.2271e-06	1.0324e-07	6.0237e-08	3.1166e-06	1.0782e-06	5.4979e-14	1.0000e-37	1.0000e-37	9.0348e-04	1.6068e-05	3.2610e-05	1.6268e-05	5.5176e-10	1.2632e-06	1.2135e-07	2.9390e-07	3.5359e-06	4.7062e-06	1.1703e-06	1.1387e-05	2.0280e-05	1.0537e-12	8.0931e-14	3.1344e-17	1.0000e-37	1.0000e-37	2.2344e-03	4.3462e-05	3.3943e-10	1.0217e-09	5.7319e-06	1.0000e-37	1.0228e-07	1.1965e-07	1.9508e-06	2.1395e-05	8.5015e-09	6.8235e-06	1.3143e-04	3.5285e-05	5.2231e-05	1.0468e-04	5.2448e-05	1.0000e-37	6.4012e-07	2.6382e-07	1.0000e-37	1.5449e-07	3.8685e-09	2.3190e-10	2.1063e-09	1.1205e-09	3.4633e-09	4.8399e-07	1.1951e-06	1.2004e-06	1.6977e-06	3.4871e-06	7.3078e-14	1.8012e-13	1.0000e-37	8.0176e-11	1.0324e-07
iteration 3	1.5680e-08	1.4116e-13	1.9426e-06	1.0000e-37	1.7644e-02	1.1623e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.8257e-07	2.0007e-08	5.1576e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7580e-08	1.0000e-37	4.9535e-12	2.7966e-16	4.8363e-08	1.0000e-37	3.6767e-16	8.8937e-12	9.3162e-13	3.6779e-11	6.2694e-11	1.0000e-37	7.9999e-16	1.6294e-08	2.5453e-07	1.0415e-08	8.4838e-09	6.0412e-07	2.1674e-07	1.7523e-16	1.0000e-37	1.0000e-37	9.3787e-04	1.7868e-06	3.0705e-06	1.1225e-06	1.2148e-11	6.8007e-07	3.1892e-08	1.6600e-07	1.7980e-06	2.3932e-06	5.9526e-07	9.7218e-06	1.7388e-05	3.3935e-15	3.4282e-14	3.7012e-18	1.0000e-37	1.0000e-37	2.2344e-03	3.7591e-05	4.9387e-12	1.4865e-11	2.0427e-06	1.0000e-37	2.0400e-08	7.2563e-09	1.1485e-06	1.1136e-05	6.1811e-10	3.5514e-06	1.1567e-04	6.1880e-06	1.9523e-05	4.9920e-05	3.0397e-05	1.0000e-37	7.6679e-08	2.0737e-08	1.0000e-37	1.8504e-08	3.0939e-09	5.7803e-11	5.2503e-10	2.8998e-10	8.7322e-10	1.0766e-07	1.0617e-06	2.6701e-07	1.5035e-06	2.2855e-06	8.0592e-17	1.9864e-16	1.0000e-37	3.7498e-13	1.0415e-08
iteration 3	4.2998e-14	9.8034e-20	1.9728e-07	1.0000e-37	1.7644e-02	8.8499e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.7360e-11	1.0000e-37	1.3484e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6126e-12	1.0000e-37	5.1425e-17	8.6103e-24	1.3254e-12	1.0000e-37	5.6314e-24	6.7220e-17	6.0929e-20	4.9905e-18	9.2633e-18	1.0000e-37	9.6669e-23	3.7321e-14	4.8482e-13	3.5790e-14	4.5738e-14	9.9821e-12	3.3558e-12	1.3631e-23	1.0000e-37	1.0000e-37	5.8287e-08	5.6114e-12	1.2390e-11	2.5452e-12	1.2986e-17	2.1208e-11	2.5813e-13	5.1270e-12	4.2689e-11	5.6932e-11	1.4243e-11	1.0566e-09	1.7722e-09	4.0961e-22	2.3957e-19	2.7095e-23	1.0000e-37	1.0000e-37	2.2344e-03	3.5107e-09	4.7432e-18	1.4277e-17	2.3131e-11	1.0000e-37	1.4214e-13	1.4004e-14	3.3082e-11	2.8630e-10	2.0723e-15	9.1305e-11	1.0386e-08	4.3495e-11	2.7996e-10	8.5138e-10	5.7143e-10	1.0000e-37	3.7226e-13	4.7592e-14	1.0000e-37	8.9831e-14	1.0000e-37	4.5381e-16	4.1220e-15	2.3466e-15	6.9224e-15	1.2814e-12	7.6869e-11	3.1778e-12	1.0834e-10	8.4597e-11	2.4851e-24	6.1252e-24	1.0000e-37	3.2957e-20	3.5790e-14
iteration 3	1.7883e-16	5.9699e-23	1.8938e-08	1.0000e-37	1.7644e-02	1.1257e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.3905e-12	1.0000e-37	1.0801e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2917e-13	1.0000e-37	1.0033e-18	5.0112e-27	1.0785e-13	1.0000e-37	1.1869e-28	1.6904e-18	1.5974e-23	1.0103e-22	2.9693e-22	1.0000e-37	4.3361e-27	2.7078e-17	2.8777e-16	6.1094e-17	1.3045e-16	5.6632e-13	1.8947e-13	3.6156e-28	1.0000e-37	1.0000e-37	5.6306e-09	7.4808e-15	1.7004e-13	3.0359e-15	1.2149e-20	1.3965e-12	1.2694e-15	3.5122e-13	6.6596e-13	8.8737e-13	2.2141e-13	8.7336e-11	1.4579e-10	1.8373e-26	4.6746e-21	5.2539e-25	1.0000e-37	1.0000e-37	2.2344e-03	2.8744e-10	3.0842e-21	9.2835e-21	2.3612e-13	1.0000e-37	5.5205e-16	7.9478e-18	2.3222e-12	7.8128e-12	6.1311e-19	2.4916e-12	8.4502e-10	1.1615e-13	4.4767e-12	1.4361e-11	9.8841e-12	1.0000e-37	7.7569e-17	3.4575e-17	1.0000e-37	1.8718e-17	1.0000e-37	2.2108e-18	2.0081e-17	1.1741e-17	3.4032e-17	2.3237e-15	6.6817e-12	5.7627e-15	9.1419e-12	5.1795e-12	1.4463e-27	3.5648e-27	1.0000e-37	1.5745e-23	6.1094e-17
iteration 3	1.1702e-18	6.8296e-26	1.7633e-09	1.0000e-37	1.7644e-02	1.0989e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.2332e-13	1.0000e-37	9.5788e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1455e-14	1.0000e-37	1.5080e-20	1.1746e-29	9.8652e-15	1.0000e-37	1.2391e-31	5.0387e-20	9.4610e-26	4.2453e-26	5.6718e-25	1.0000e-37	1.9962e-30	1.4531e-19	3.0522e-18	1.4075e-18	3.0035e-18	5.1444e-14	1.7207e-14	2.5210e-31	1.0000e-37	1.0000e-37	4.0749e-10	3.6065e-17	6.1692e-15	1.4130e-17	5.5841e-23	5.9965e-14	2.4993e-17	1.5547e-14	4.1614e-14	5.5060e-14	1.3446e-14	7.3983e-12	1.2239e-11	8.4584e-30	7.0260e-23	6.3133e-27	1.0000e-37	1.0000e-37	2.2344e-03	2.3806e-11	5.2272e-24	1.5734e-23	6.9724e-15	1.0000e-37	1.5108e-17	4.3703e-20	1.0673e-13	7.2084e-13	2.5709e-21	2.2989e-13	6.9185e-11	9.3242e-16	1.9205e-13	6.2720e-13	4.3515e-13	1.0000e-37	9.6757e-20	1.8551e-19	1.0000e-37	2.3349e-20	1.0000e-37	4.3309e-20	3.9337e-19	2.3324e-19	6.6992e-19	2.2108e-17	5.5877e-13	5.4828e-17	7.3226e-13	2.2182e-13	3.3901e-30	8.3556e-30	1.0000e-37	9.4532e-26	1.4075e-18
iteration 3	5.8923e-19	5.1575e-28	4.6950e-08	1.0000e-37	1.7644e-02	2.2631e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.7175e-12	1.0000e-37	2.1109e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5244e-13	1.0000e-37	1.0000e-37	1.0000e-37	3.1773e-13	1.0000e-37	5.2313e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.2827e-19	7.9511e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1184e-08	1.0000e-37	3.1634e-14	1.0000e-37	1.0000e-37	1.0023e-13	1.0000e-37	4.1580e-14	2.2110e-39	2.9878e-39	7.7682e-40	1.8592e-10	3.0345e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2344e-03	5.8241e-10	1.0000e-37	1.0000e-37	1.7171e-15	1.0000e-37	1.0000e-37	1.5345e-23	4.7079e-13	1.0772e-28	1.0000e-37	3.4355e-29	1.7300e-09	1.0000e-37	2.0941e-28	7.2792e-28	5.1851e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1952e-11	1.0000e-37	1.4976e-11	3.8403e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.9511e-18
iteration 3	1.5181e-21	4.8668e-30	2.3682e-08	1.0000e-37	1.7644e-02	1.1959e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.1831e-12	1.0000e-37	9.1900e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0990e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.6080e-13	1.0000e-37	5.2703e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0262e-20	3.7926e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9751e-09	1.0000e-37	5.3057e-15	1.0000e-37	1.0000e-37	4.3965e-14	1.0000e-37	1.9129e-14	1.0000e-37	1.0000e-37	1.0000e-37	8.7749e-11	1.4216e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2344e-03	2.7055e-10	1.0000e-37	1.0000e-37	1.0781e-15	1.0000e-37	1.0000e-37	1.3362e-24	2.2451e-13	1.0000e-37	1.0000e-37	1.0000e-37	8.0103e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.8014e-12	1.0000e-37	6.9751e-12	1.7794e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.7926e-18
