#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.2224e+03	2.4383e+03	4.0877e-02	1.0000e-37	4.0258e+07	2.1017e-01	1.0000e-37	1.0000e-37	1.0000e-37	1.4147e-13	7.4583e-26	1.2210e-14	3.0610e+02	1.0000e-37	8.9140e+01	2.1668e-04	5.8355e+01	2.3038e-14	7.0616e+03	1.3756e-02	1.4265e+02	7.4369e-10	1.0000e-37	1.1162e+00	1.0358e-01	2.0340e-08	1.4289e-04	1.4144e+00	1.3957e-05	4.5693e-05	2.7706e-13	3.0064e-09	9.7366e-19	5.0184e-16	3.9845e-03	2.4345e-04	5.4423e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.3164e-12	7.8345e-06	6.4521e-12	6.0530e-04	9.5057e-05	3.4195e-15	6.3618e-06	1.9694e-21	2.6286e-21	6.6141e-22	1.6017e-04	2.9078e-04	6.4998e-04	1.7633e-04	4.9464e-06	1.0000e-37	4.3716e-05	6.1597e+06	5.1817e-04	2.6321e-03	7.9758e-03	7.6265e-21	1.0000e-37	1.1032e-25	5.6191e-08	4.9993e-05	1.6829e-25	2.1015e-12	5.4162e-26	2.3309e-03	2.7304e-13	5.7726e-20	9.7549e-20	3.9823e-20	1.0000e-37	2.1464e-10	1.2780e-06	4.2108e-07	5.5535e-11	1.0103e-26	1.8457e-18	1.6847e-17	9.2407e-18	9.1753e-17	3.7141e-11	2.1313e-05	9.6000e-11	3.1271e-05	4.5991e-02	1.2333e+01	2.8010e+01	1.0000e-37	4.3244e-09	9.7366e-19
iteration 3	4.2408e+03	2.6738e+03	3.6474e-01	1.0000e-37	4.0258e+07	1.1143e+00	1.0000e-37	1.0000e-37	1.0000e-37	1.0627e-06	2.2271e-08	2.2725e-07	1.1463e+03	1.0000e-37	2.7776e+02	5.2779e-04	3.4524e+01	1.9109e-06	5.9048e+03	1.5820e-02	1.4623e+02	2.6204e-06	1.0000e-37	9.4423e+00	1.6113e+00	3.7059e-04	4.1956e-03	6.3232e+00	4.0412e-05	2.2620e-04	3.4204e-06	7.4765e-05	6.3637e-05	2.3018e-05	5.8128e-02	2.9294e-03	2.1413e-05	1.0000e-37	1.0000e-37	1.0000e-37	1.2418e-04	3.8179e-04	1.8459e-04	4.7353e-03	9.5437e-04	8.7253e-06	5.7024e-05	8.4445e-06	1.1268e-05	2.8243e-06	1.2162e-03	2.2597e-03	4.0399e-03	2.0982e-04	6.3204e-06	1.0000e-37	3.2168e-04	6.1597e+06	4.4710e-03	2.2779e-02	6.8999e-02	8.2900e-07	1.0000e-37	1.2015e-07	3.0080e-05	4.9882e-04	9.3441e-06	1.8167e-05	2.9802e-06	2.2258e-02	1.2592e-04	1.0107e-04	1.7215e-04	7.1080e-05	1.0000e-37	2.1787e-04	2.4492e-05	2.2712e-06	5.4748e-05	3.4269e-09	6.8071e-07	6.1892e-06	3.1814e-06	2.7513e-05	3.1150e-04	2.3970e-04	7.8721e-04	3.6062e-04	1.2969e+01	1.3954e+01	3.1983e+01	1.0000e-37	4.8493e-05	6.3637e-05
iteration 3	6.3467e+03	2.5945e+03	4.7037e+00	1.0000e-37	4.0258e+07	1.3617e+01	1.0000e-37	1.0000e-37	1.0000e-37	2.0964e-05	3.4722e-07	4.9372e-06	1.9084e+03	1.0000e-37	3.3700e+02	3.8402e-05	5.7279e+00	3.9525e-05	3.3988e+03	2.0143e-02	1.4339e+02	6.4009e-05	1.0000e-37	1.7979e+01	1.6401e+01	1.2846e-02	1.8809e-02	1.2806e+01	8.2759e-05	5.4649e-04	7.7141e-05	1.5474e-03	1.0849e-03	4.8764e-04	6.7828e-01	4.3390e-02	3.3080e-05	1.0000e-37	1.0000e-37	1.0000e-37	2.1297e-03	5.8266e-03	2.9080e-03	2.4708e-02	1.1792e-02	1.5917e-04	6.6628e-04	1.2363e-04	1.6478e-04	4.1157e-05	1.5481e-02	2.9242e-02	3.2993e-02	2.6829e-04	9.6061e-06	1.0000e-37	1.4339e-03	6.1597e+06	5.7563e-02	1.4052e-01	4.2588e-01	1.1467e-05	1.0000e-37	2.1717e-06	2.6889e-04	5.7123e-03	1.3188e-04	3.4184e-04	4.2058e-05	3.0292e-01	1.6425e-03	1.1193e-03	1.9866e-03	8.6731e-04	1.0000e-37	3.2494e-03	3.1335e-04	5.8048e-06	8.1974e-04	4.7448e-08	8.8159e-06	8.0157e-05	3.9816e-05	3.6895e-04	4.4841e-03	2.6093e-03	1.1356e-02	3.9089e-03	4.1589e+01	1.3422e+01	3.0482e+01	1.0000e-37	1.5445e-03	1.0849e-03
iteration 3	6.5923e+03	2.5057e+03	4.9558e+01	1.0000e-37	4.0258e+07	1.1435e+02	1.0000e-37	1.0000e-37	1.0000e-37	4.5748e-04	4.0265e-06	8.8413e-05	2.3371e+03	1.0000e-37	3.5419e+02	2.9455e-06	5.6846e-01	7.1874e-04	2.3704e+03	1.0000e-37	1.4318e+02	1.5294e-03	1.0000e-37	1.9619e+01	1.2769e+02	1.8175e-01	1.1683e-01	1.3959e+01	8.9358e-05	3.2564e-03	1.2706e-03	1.4859e-02	1.0354e-02	4.9083e-03	6.6431e+00	5.1254e-01	1.8518e-04	1.0000e-37	1.0000e-37	2.3803e+00	2.4313e-02	5.2017e-02	2.0685e-02	1.7071e-01	1.2324e-01	1.5090e-03	7.4090e-03	1.4171e-03	1.8842e-03	4.6720e-04	1.9879e-01	3.8213e-01	2.2555e-01	1.0000e-37	1.0000e-37	1.0000e-37	9.2796e-03	6.1597e+06	7.3093e-01	1.0655e+00	3.2324e+00	3.6975e-05	1.0000e-37	2.3197e-05	2.3478e-03	6.4743e-02	1.3623e-03	3.6310e-03	4.3447e-04	3.7278e+00	1.6881e-02	6.2195e-03	1.3870e-02	7.6508e-03	1.0000e-37	3.6312e-02	3.8749e-03	3.1087e-05	9.2255e-03	5.5821e-07	5.4197e-05	4.9260e-04	2.3417e-04	2.4784e-03	5.2454e-02	2.8896e-02	1.3337e-01	4.3363e-02	1.2228e+02	1.3131e+01	2.9508e+01	1.0000e-37	1.9710e-02	1.0354e-02
iteration 3	6.6050e+03	2.5328e+03	3.7458e+02	1.0000e-37	4.0258e+07	4.7529e+02	1.0000e-37	1.0000e-37	1.0000e-37	3.0596e-02	4.9007e-05	3.6549e-03	3.1480e+03	1.0000e-37	4.1921e+02	4.9836e-06	5.8986e-02	1.5304e-02	1.9459e+03	2.1448e-02	1.4492e+02	5.0473e-02	1.0000e-37	2.0516e+01	5.4271e+02	3.7446e+00	8.1442e-01	1.5388e+01	9.1633e-05	2.8344e-02	2.8070e-02	1.4367e-01	9.1441e-02	4.6863e-02	4.9705e+01	4.7851e+00	1.3116e-03	1.0000e-37	1.0000e-37	5.5358e+01	1.5082e-01	2.5026e-01	6.8343e-02	1.5815e+00	1.1191e+00	1.1831e-02	7.4162e-02	1.7938e-02	2.3877e-02	5.9410e-03	2.2380e+00	4.1877e+00	1.6046e+00	2.8618e-04	1.0689e-05	1.0000e-37	1.1996e-01	6.1597e+06	7.6611e+00	1.0475e+01	3.1786e+01	1.7657e-05	1.0000e-37	2.3245e-04	2.2010e-02	6.6432e-01	1.3253e-02	4.0397e-02	4.2274e-03	3.7430e+01	1.6123e-01	1.4121e-02	4.2840e-02	2.8718e-02	1.0000e-37	4.1289e-01	6.0743e-02	3.5378e-04	1.0615e-01	7.1417e-06	2.5480e-04	2.3060e-03	1.0404e-03	1.2835e-02	6.6119e-01	3.1244e-01	1.6919e+00	4.6010e-01	3.0710e+02	1.2832e+01	2.8736e+01	1.0000e-37	4.7945e-01	9.1441e-02
iteration 3	6.5873e+03	2.5236e+03	1.4572e+03	1.0000e-37	4.0258e+07	1.5246e+03	1.0000e-37	1.0000e-37	1.0000e-37	5.8593e+00	7.0400e-04	5.5115e-01	5.7504e+03	1.0000e-37	4.6555e+02	3.9824e-06	6.0262e-03	9.4898e-01	1.2005e+03	2.1001e-02	1.5242e+02	2.9275e+00	1.0000e-37	2.4987e+01	1.1858e+03	6.5418e+01	3.4073e+00	2.6863e+01	9.4106e-05	3.1594e-01	5.5388e-01	1.9048e+00	7.9640e-01	5.4051e-01	2.4051e+02	3.8312e+01	8.2145e-03	1.0000e-37	1.0000e-37	5.8265e+02	3.7873e-01	5.7321e-01	1.4585e-01	1.2647e+01	9.9377e+00	9.1226e-02	7.5221e-01	1.4993e-01	1.9771e-01	4.7802e-02	2.3344e+01	4.2533e+01	1.5143e+01	2.8206e-04	1.0356e-05	1.0000e-37	1.1090e+00	6.1597e+06	7.4574e+01	9.2050e+01	2.7940e+02	8.2174e-06	1.0000e-37	1.7449e-03	3.4015e-01	6.7917e+00	8.8855e-02	6.2216e-01	2.8347e-02	3.1576e+02	1.1355e+00	1.4341e-02	4.7129e-02	3.2788e-02	1.0000e-37	5.4608e+00	1.0206e+00	5.5746e-03	1.4279e+00	1.1288e-04	1.1781e-03	1.0403e-02	4.3790e-03	6.0721e-02	8.7538e+00	3.4515e+00	2.2589e+01	4.7614e+00	6.0642e+02	1.2688e+01	2.8396e+01	1.0000e-37	1.5141e+01	7.9640e-01
iteration 3	6.6605e+03	2.4993e+03	2.5279e+03	1.0000e-37	4.0258e+07	6.6323e+03	1.0000e-37	1.0000e-37	1.0000e-37	2.8478e+02	2.5441e-02	4.3567e+01	6.7870e+03	1.0000e-37	4.3633e+02	3.8501e-06	7.9734e-04	5.2563e+01	3.6271e+02	1.8451e-02	2.7600e+02	1.2988e+02	1.0000e-37	9.7523e+01	1.7956e+03	7.5695e+02	9.7620e+00	2.3327e+02	9.8120e-05	7.4006e+00	4.5847e+01	1.6068e+02	1.1291e+01	1.6595e+01	6.5230e+02	1.7036e+02	1.4344e-01	1.0000e-37	1.0000e-37	4.9855e+03	3.3138e+00	4.6148e+00	1.2531e+00	1.2467e+02	6.6566e+01	1.1948e+00	6.5548e+00	1.5569e+00	1.9597e+00	4.0314e-01	1.7606e+02	2.9881e+02	2.9819e+02	2.5652e-04	9.0137e-06	1.0000e-37	3.0112e+00	6.1597e+06	5.3588e+02	4.8426e+02	1.4711e+03	1.5008e-05	1.0000e-37	2.2556e-02	2.2203e+01	5.9772e+01	3.2913e-01	1.7806e+01	1.0507e-01	2.0026e+03	1.0963e+01	1.9360e-02	6.3946e-02	4.4586e-02	1.0000e-37	7.6800e+01	7.3679e+01	9.0386e-02	2.0175e+01	4.6734e-03	8.2270e-03	6.6027e-02	2.5432e-02	3.8461e-01	6.9774e+01	3.0873e+01	1.8110e+02	4.1698e+01	1.1508e+03	1.8431e+01	4.1273e+01	1.0000e-37	2.3688e+02	1.1291e+01
iteration 3	6.6566e+03	2.6253e+03	4.0732e+03	1.0000e-37	4.0258e+07	1.3752e+04	1.0000e-37	1.0000e-37	1.0000e-37	1.4243e+03	3.5604e+00	6.2400e+02	5.5221e+03	1.0000e-37	2.3659e+02	2.8854e-06	8.6419e-04	5.1769e+02	5.9893e+01	9.3317e-03	1.6492e+03	9.0679e+02	1.0000e-37	9.1276e+02	2.5296e+03	1.0404e+04	1.8067e+01	3.5546e+03	1.2137e-04	1.0868e+02	3.0097e+02	5.6325e+03	1.3696e+02	3.3858e+02	1.6273e+03	3.7805e+02	4.2991e+00	1.0000e-37	1.0000e-37	3.2866e+04	5.0657e+00	7.0201e+00	1.9205e+00	6.2223e+02	2.6117e+02	1.5512e+01	4.3587e+01	5.1751e+00	6.3241e+00	1.1520e+00	9.5847e+02	1.6292e+03	2.3971e+03	1.3792e-04	4.2984e-06	1.0000e-37	8.8543e-01	6.1597e+06	3.3209e+03	7.3969e+02	2.2442e+03	3.2959e-05	1.0000e-37	1.5598e-01	4.4020e+02	3.8967e+02	7.3372e-01	2.2535e+02	2.3543e-01	1.2752e+04	2.6070e+01	9.1438e-02	2.9998e-01	2.0854e-01	1.0000e-37	3.0122e+02	7.7554e+02	1.4887e-01	7.7777e+01	1.3534e+00	7.3351e-02	5.4342e-01	2.0146e-01	2.7355e+00	1.5839e+02	1.7637e+02	4.0933e+02	2.3947e+02	3.2425e+03	1.1502e+02	2.6105e+02	1.0000e-37	2.6569e+03	1.3696e+02
iteration 3	6.2315e+03	2.5597e+03	4.6738e+03	1.0000e-37	4.0258e+07	8.1503e+04	1.0000e-37	1.0000e-37	1.0000e-37	2.8891e+03	5.6827e+01	1.4343e+03	3.0705e+03	1.0000e-37	3.1007e+01	3.4371e-13	5.1669e-10	1.0606e+03	5.0605e-06	1.7139e-03	2.7678e+03	1.6566e+03	1.0000e-37	1.5258e+03	3.9428e+03	3.9594e+04	8.6373e+00	1.4469e+04	1.0000e-37	1.2942e+02	6.0391e+02	4.6630e+04	1.1700e+03	3.6944e+03	9.3715e+03	1.4417e+03	4.5935e+00	1.0000e-37	1.0000e-37	1.2037e+05	5.9601e+00	8.2373e+00	2.2650e+00	1.2810e+02	6.3176e+02	9.6044e+01	1.7666e+02	2.2503e+01	2.7207e+01	4.7199e+00	4.6148e+03	7.6341e+03	1.1885e+03	2.8061e-05	7.2202e-07	1.0000e-37	4.1860e-02	6.1597e+06	1.5780e+04	2.4191e+02	7.3040e+02	7.9850e-04	1.0000e-37	2.5780e+00	7.0407e+02	1.3510e+03	7.8956e+00	2.7973e+02	2.5489e+00	6.5908e+04	3.4843e+01	4.0211e-01	1.3176e+00	9.1546e-01	1.0000e-37	1.3490e+02	1.1234e+03	1.2481e-02	3.3447e+01	4.7735e+01	6.9700e-01	4.8744e+00	1.9461e+00	1.7904e+01	8.3830e+01	6.2891e+02	2.1215e+02	8.2837e+02	1.1737e+04	3.4071e+02	8.2531e+02	1.0000e-37	1.4145e+04	1.1700e+03
iteration 5	2.4355e+03	1.9003e+03	4.3046e+03	1.0000e-37	4.0258e+07	6.0638e+05	1.0000e-37	1.0000e-37	1.0000e-37	8.7982e+03	5.4109e+02	2.1713e+03	1.4144e+03	1.0000e-37	9.3098e-01	9.0825e-15	1.0998e-10	1.8498e+03	2.8382e-07	1.0702e-04	5.1067e+02	3.1263e+03	1.0000e-37	2.7890e+02	3.1994e+03	2.9686e+04	7.3029e-01	5.4878e+03	1.0000e-37	4.7139e+00	1.9211e+02	4.9631e+04	4.2651e+03	8.6426e+03	7.3549e+04	1.8880e+04	1.0860e-01	1.0000e-37	1.0000e-37	3.0262e+05	1.9607e+00	2.7077e+00	7.4553e-01	2.0119e+00	1.2251e+03	3.8119e+02	2.4023e+02	5.8008e+01	6.9852e+01	1.1869e+01	8.1300e+03	1.3766e+04	3.0694e+01	2.3567e-06	4.1642e-08	1.0000e-37	3.6040e-04	6.1597e+06	3.3403e+04	7.7676e+00	2.3407e+01	8.0141e-03	1.0000e-37	2.9788e+01	1.6010e+02	1.6286e+03	7.6557e+01	4.0190e+01	2.4710e+01	1.5123e+05	2.0194e+01	8.0348e-01	2.6306e+00	1.8272e+00	1.0000e-37	1.1930e+01	2.5398e+02	1.0272e-04	2.9051e+00	2.7081e+02	3.4119e+00	1.5595e+01	7.3417e+00	8.5147e+01	1.0851e+01	1.4198e+03	2.7036e+01	1.9055e+03	3.2395e+04	8.2223e+01	2.0273e+02	1.0000e-37	1.6492e+04	4.2651e+03
