#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	8.0280e-08	1.9512e-12	9.4122e-03	5.6329e+03	1.0089e+07	2.6111e-02	8.4000e-01	5.3363e+00	4.1667e-01	2.8638e-17	1.0000e-37	4.3925e-18	2.2255e-01	7.6230e-10	3.5866e-13	2.8159e-11	3.2510e-10	1.2514e-17	4.3188e+00	2.1007e-03	3.1284e-14	1.4204e-18	8.3377e-10	3.5284e-14	4.2806e-10	1.7053e-11	2.2579e-10	3.7335e-10	1.0130e-09	3.6628e-16	1.0000e-37	1.2276e-13	1.5970e-16	1.0000e-37	1.2574e-17	4.8746e-19	7.0182e-18	4.4371e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.2240e-16	3.4384e-10	1.0000e-37	5.7515e-11	1.0000e-37	1.0000e-37	1.0000e-37	5.6778e-05	1.0881e-04	1.8979e-12	2.3001e-04	1.9828e-04	5.6288e-13	8.3226e-17	9.8544e+05	2.3288e-04	1.8377e-14	5.5509e-14	1.0488e-220	1.0000e-37	1.0000e-37	3.0424e-18	3.3769e-10	1.0000e-37	8.2781e-18	1.0000e-37	8.8012e-04	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.9962e-13	1.0000e-37	1.0000e-37	7.8571e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2914e-17	1.1344e-05	1.0857e-16	1.7046e-05	2.7989e-07	1.6602e-15	4.0871e-15	1.5780e-04	9.8420e-13	1.5970e-16
iteration 3	1.1397e-05	2.1675e-09	8.7464e-02	5.4391e+03	1.0089e+07	2.4151e-01	8.1869e+00	4.5095e+01	4.1541e+00	2.5365e-12	1.0000e-37	5.0880e-13	1.7730e+00	3.2169e-06	2.1926e-08	1.0006e-07	1.3295e-06	1.1817e-12	3.1856e+01	1.9490e-02	1.2127e-09	2.7878e-14	6.6515e-08	1.1921e-09	1.9009e-08	9.8135e-08	6.6037e-07	1.0920e-06	6.5244e-08	8.9003e-12	5.5616e-15	4.7487e-09	1.7407e-11	1.4813e-13	1.4959e-13	7.6801e-15	1.4193e-13	6.0687e-05	1.0000e-37	1.4594e-03	6.1303e-14	3.6459e-13	9.0667e-14	8.3179e-12	2.0987e-08	1.0000e-37	3.2257e-09	1.0000e-37	1.0000e-37	1.0000e-37	4.8005e-04	9.2606e-04	1.9840e-09	1.9136e-03	1.4905e-03	1.3871e-09	1.2720e-11	9.8544e+05	1.9573e-03	2.9814e-10	9.0094e-10	6.8295e-22	1.0000e-37	1.0000e-37	6.3356e-14	1.8862e-08	1.0000e-37	2.3325e-12	1.0000e-37	7.2096e-03	1.2725e-13	1.0000e-37	1.0000e-37	1.0000e-37	9.6088e-09	2.0317e-14	4.9360e-14	1.5591e-13	5.0462e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.9219e-12	7.9941e-05	2.2592e-11	1.1910e-04	8.0189e-06	5.7857e-11	1.4241e-10	1.7626e-03	4.4745e-09	1.7407e-11
iteration 4	1.9494e-03	6.7388e-05	8.4522e-01	5.3392e+03	1.0089e+07	2.2672e+00	7.0159e+01	3.1485e+02	3.8497e+01	1.7344e-05	2.7955e-06	3.0186e-06	1.6257e+01	2.2292e-02	6.5314e-03	1.7717e-03	1.4867e-02	1.2281e-05	2.0308e+02	1.9869e-01	4.7329e-03	2.2135e-06	3.7159e-05	3.4969e-03	6.6598e-05	8.2220e-03	1.6477e-02	2.7271e-02	5.6271e-05	1.2707e-04	2.1835e-04	5.4850e-03	1.2476e-03	1.4466e-05	9.8071e-04	1.2855e-05	1.0147e-05	1.5471e-02	1.0000e-37	1.6827e-01	4.7196e-03	1.1263e-02	6.5130e-03	2.3207e-03	6.8139e-05	9.3654e-05	1.3388e-05	2.0674e-04	2.7557e-04	6.8877e-05	4.7083e-03	9.1791e-03	1.9906e-03	1.9198e-02	1.4229e-02	3.9423e-05	2.8906e-04	9.8544e+05	1.9690e-02	9.2200e-03	2.7820e-02	1.2491e-04	1.0000e-37	2.1502e-05	1.9083e-04	8.4333e-05	1.0378e-03	3.2014e-04	3.3132e-04	7.6645e-02	3.3377e-03	1.8004e-03	3.1674e-03	1.3669e-03	1.1371e-03	5.3752e-04	3.2156e-04	2.5253e-06	1.3173e-04	3.5697e-07	1.0843e-06	9.8553e-06	3.8804e-06	3.4474e-05	2.1625e-03	7.9921e-04	5.4289e-03	1.1923e-03	1.4124e-03	4.3494e-04	1.0651e-03	2.1789e-02	8.1022e-04	1.2476e-03
iteration 3	9.9282e-02	1.2309e-03	8.3412e+00	5.1873e+03	1.0089e+07	2.1490e+01	3.2440e+02	1.0174e+03	2.2823e+02	2.6157e-04	9.6107e-06	6.2345e-05	1.2212e+02	3.2524e-01	5.2927e-02	1.8216e-02	1.9524e-01	2.7127e-04	6.3389e+02	1.5760e+00	1.4091e-01	2.3705e-04	2.3954e-04	2.6086e-02	5.4380e-03	1.3262e-01	9.8744e-02	1.6500e-01	1.8999e-03	4.0370e-03	2.3465e-03	1.9059e-02	1.8720e-02	8.7050e-03	5.2567e-02	3.9588e-03	3.1978e-04	1.5204e-01	1.0000e-37	2.2127e+00	3.8385e-02	7.3111e-02	3.3445e-02	1.0193e-01	3.4122e-03	1.1118e-03	9.5767e-04	1.8700e-03	2.4865e-03	6.1672e-04	5.5389e-02	1.1017e-01	7.7361e-02	1.7136e-01	1.2396e-01	3.3742e-04	6.4259e-03	9.8544e+05	2.3916e-01	4.6623e-01	1.4079e+00	1.4636e-04	1.0000e-37	6.4344e-05	1.0147e-03	6.7226e-03	3.0925e-03	2.9670e-03	9.8666e-04	9.2726e-01	2.1199e-02	7.9011e-03	1.7350e-02	9.4487e-03	9.0127e-03	1.0673e-02	3.4595e-03	4.3699e-05	2.6210e-03	1.1725e-06	1.6341e-05	1.4845e-04	5.7646e-05	4.8846e-04	2.6813e-02	8.9284e-03	6.7282e-02	1.3342e-02	1.6404e-01	1.0726e-02	2.5561e-02	2.1313e-01	1.4574e-02	1.8720e-02
iteration 3	8.5871e+00	2.5084e-02	8.3970e+01	4.0238e+03	1.0089e+07	1.4135e+02	6.4895e+02	1.5355e+03	5.6377e+02	2.5791e-03	9.3649e-05	6.2192e-04	4.2620e+02	4.5797e+00	4.0831e-01	1.1046e-01	3.8348e+00	2.9988e-03	9.7156e+02	9.5356e+00	5.0096e+00	2.9042e-03	4.3172e-04	4.2869e-01	1.3337e-01	1.3080e+00	1.0262e+00	1.8855e+00	3.5808e-02	5.9840e-02	5.0400e-02	2.0221e-01	1.7978e-01	8.1258e-02	6.9206e-01	6.4998e-02	4.8613e-03	5.4409e-01	1.0000e-37	2.9370e+01	2.3205e-01	3.5007e-01	1.0648e-01	1.8583e+00	2.2497e-02	1.3380e-02	2.1302e-02	3.1658e-02	4.2138e-02	1.0483e-02	7.3967e-01	1.4694e+00	3.5759e+00	1.3370e+00	1.0663e+00	3.0455e-04	1.5198e-01	9.8544e+05	3.1194e+00	9.0017e+00	2.7290e+01	2.5829e-04	1.0000e-37	6.1090e-04	1.2528e-02	1.9670e-01	2.8733e-02	3.3934e-02	9.1663e-03	1.2033e+01	1.9073e-01	2.3630e-02	7.1181e-02	4.7551e-02	1.2651e-02	1.3225e-01	7.6648e-02	9.1763e-04	3.2823e-02	1.1477e-05	2.9051e-04	2.6314e-03	1.0969e-03	9.0877e-03	3.2921e-01	1.1656e-01	8.3113e-01	1.7379e-01	5.9569e+00	1.8055e-01	4.1174e-01	2.1631e+00	1.9267e-01	1.7978e-01
iteration 3	2.7552e+02	9.2438e+00	4.8600e+02	3.7823e+03	1.0089e+07	3.9978e+02	8.2540e+02	1.7729e+03	7.7971e+02	4.1565e-02	9.0594e-04	8.4574e-03	7.0902e+02	4.2575e+01	5.0822e+00	5.7346e-01	3.8982e+01	3.9549e-02	1.2129e+03	8.2252e+01	5.5178e+01	4.6617e-02	3.8217e-02	7.5876e+00	1.6597e+01	1.5841e+01	7.7651e+00	2.7282e+01	2.5164e-01	6.7817e-01	7.1280e-01	2.2579e+00	1.7038e+00	7.1539e-01	9.6612e+00	9.3416e-01	4.7079e-02	3.3070e+01	1.0000e-37	3.2193e+02	4.0894e-01	5.8643e-01	1.5750e-01	1.8494e+01	2.1944e-01	1.5963e-01	2.3194e-01	3.6589e-01	4.8302e-01	1.1717e-01	8.6633e+00	1.7201e+01	5.1387e+01	1.2962e+01	1.1822e+01	5.9771e-02	1.6230e+00	9.8544e+05	3.6053e+01	8.1671e+01	2.4794e+02	1.0270e-04	1.0000e-37	5.9978e-03	2.2393e-01	2.3403e+00	2.4004e-01	4.6801e-01	7.6585e-02	1.3461e+02	9.6357e-01	3.1629e-02	1.0411e-01	7.2480e-02	1.0651e+00	1.5416e+00	1.0811e+00	1.7387e-02	3.8549e-01	1.1191e-04	2.4901e-03	2.1982e-02	8.7960e-03	8.7117e-02	3.6304e+00	1.4915e+00	9.2236e+00	2.1145e+00	7.5228e+01	1.8710e+00	4.2685e+00	3.2363e+01	3.8731e+00	1.7038e+00
iteration 3	8.3898e+02	5.3956e+02	1.0492e+03	2.5278e+03	1.0089e+07	2.1323e+03	9.1110e+02	1.9273e+03	8.5546e+02	1.7383e+00	9.8418e-03	2.3830e-01	9.6561e+02	2.9355e+02	1.0180e+02	5.8323e+00	3.4612e+02	7.3192e-01	2.5951e+03	4.4689e+02	7.1031e+02	1.8652e+00	7.4035e-01	1.8262e+02	2.3576e+02	3.3781e+02	2.4609e+01	4.8994e+02	5.7306e+00	1.8092e+01	8.3465e+00	3.1251e+01	1.8732e+01	8.8618e+00	1.8416e+02	1.9268e+01	1.0205e+00	2.2598e+02	1.0000e-37	3.3998e+03	5.2671e-01	7.5613e-01	1.9886e-01	2.9141e+02	1.1546e+01	2.2006e+00	3.7886e+00	2.6373e+00	3.3311e+00	6.9406e-01	8.9956e+01	1.6870e+02	9.3448e+02	6.8608e+01	6.5470e+01	5.3115e+00	1.2636e+01	9.8544e+05	3.4871e+02	6.0667e+02	1.8445e+03	3.4846e-05	1.0000e-37	8.0836e-02	3.2833e+00	3.9143e+01	1.3663e+00	9.5827e+00	4.3603e-01	1.2497e+03	1.7372e+00	3.1798e-02	1.0517e-01	7.3370e-02	1.9425e+01	1.9328e+01	1.3256e+01	6.9238e-01	4.9157e+00	1.2601e-03	1.8058e-02	1.4039e-01	5.3530e-02	7.2210e-01	2.3200e+01	1.7616e+01	5.9598e+01	2.4404e+01	5.7203e+02	3.2436e+01	7.3977e+01	2.1437e+02	9.6046e+01	1.8732e+01
iteration 3	2.2708e+03	9.1764e+02	1.3563e+03	1.3936e+03	1.0089e+07	1.0570e+04	7.3137e+02	1.5599e+03	6.6443e+02	1.4731e+02	1.1521e-01	2.9011e+01	2.2318e+03	4.5483e+02	6.5526e+02	4.4070e+00	1.3311e+03	4.1318e+01	9.3665e+03	7.5678e+02	7.1373e+03	7.9146e+01	4.6941e-01	2.5890e+03	6.7719e+02	7.4517e+03	4.9267e+01	8.8522e+03	5.7418e+01	3.3253e+02	5.8499e+01	4.4840e+02	1.9694e+02	1.3234e+02	1.6601e+03	2.3257e+02	2.9668e+01	7.3973e+01	1.0000e-37	3.2590e+04	7.6098e-01	1.0940e+00	2.8821e-01	2.5310e+03	1.0977e+02	2.5363e+01	5.0318e+01	6.3825e+00	7.7442e+00	1.3625e+00	7.3119e+02	1.2810e+03	7.9539e+03	1.1142e+02	1.1043e+02	1.5694e+01	2.3147e+01	9.8544e+05	2.7964e+03	1.5144e+03	4.5948e+03	1.6037e-05	1.0000e-37	8.2056e-01	2.4773e+01	4.9493e+02	2.3186e+00	1.3855e+02	7.4066e-01	9.9296e+03	2.1396e+00	3.0167e-02	9.8855e-02	6.8688e-02	1.1394e+01	1.4571e+02	1.0026e+02	5.5697e+00	3.7355e+01	1.7320e-02	1.2253e-01	8.7917e-01	3.2575e-01	3.8895e+00	6.7927e+01	1.3940e+02	1.7462e+02	1.9238e+02	3.7938e+03	5.2930e+02	1.2007e+03	5.6906e+01	2.2637e+03	1.9694e+02
iteration 3	4.6294e+03	1.1165e+03	1.8512e+03	1.2557e+01	1.0089e+07	4.4346e+04	2.2681e+02	5.2407e+02	1.4342e+02	7.3208e+02	8.7119e+00	3.2750e+02	5.3200e+03	2.4703e+02	9.5027e+02	6.4307e-01	1.3668e+03	3.2440e+02	1.1559e+04	7.9660e+02	2.0945e+04	3.9623e+02	1.0000e-37	9.4625e+03	2.4695e+03	6.1319e+04	2.9666e+01	4.6688e+04	6.9788e-05	5.1287e+02	8.4720e+01	5.3369e+03	1.5772e+03	1.9696e+03	1.1034e+04	1.3514e+03	1.1347e+02	1.2679e+00	1.0000e-37	1.0578e+05	6.9048e-01	9.7412e-01	2.6230e-01	2.0980e+03	3.8499e+02	1.2637e+02	2.3420e+02	1.2627e+01	1.5348e+01	2.7320e+00	3.5241e+03	6.1875e+03	7.0758e+03	1.1456e+02	1.1906e+02	3.6993e+00	6.6547e+00	9.8544e+05	1.3633e+04	7.2273e+02	2.1870e+03	1.3677e-03	1.0000e-37	2.1573e+00	7.0144e+01	2.2000e+03	1.1845e+01	2.6544e+02	3.8222e+00	5.6164e+04	6.6911e+00	3.3572e-01	1.1007e+00	7.6503e-01	6.1373e-01	1.8263e+02	1.7517e+02	2.6600e+00	4.6165e+01	7.2334e+00	7.8686e-01	5.5082e+00	2.2065e+00	2.1068e+01	6.3277e+01	5.1604e+02	1.6082e+02	6.8549e+02	2.3285e+04	1.8978e+03	4.4721e+03	3.1293e+00	1.9339e+04	1.5772e+03
iteration 3	4.5168e+03	1.0581e+03	1.8174e+03	5.1383e-07	1.0089e+07	4.3418e+05	2.7733e+00	5.2249e+00	1.3415e+00	2.4453e+03	1.0907e+02	6.3409e+02	1.9764e+03	3.9246e+01	1.3167e+02	1.3612e-02	1.7033e+02	8.1640e+02	4.1894e+03	7.6099e+02	1.3161e+04	1.4569e+03	1.0000e-37	7.1443e+03	5.1995e+03	7.8838e+04	8.4854e+00	6.1877e+04	1.0000e-37	8.4703e+01	1.4968e+02	2.4490e+04	6.5031e+03	1.1132e+04	9.3866e+04	2.4431e+04	3.0700e+01	3.7255e-03	1.0000e-37	2.5444e+05	1.2049e+00	1.6671e+00	4.5799e-01	3.3762e+02	1.9463e+03	5.1645e+02	5.9133e+02	4.3277e+01	5.2154e+01	8.8993e+00	7.1605e+03	1.2108e+04	6.0433e+02	1.0623e+02	1.2054e+02	1.3229e-01	1.5093e-01	9.8544e+05	2.6840e+04	9.3937e+01	2.8323e+02	1.1146e-02	1.0000e-37	2.2959e+01	8.2118e+01	4.3782e+03	9.5034e+01	7.7582e+01	3.0643e+01	1.3131e+05	1.1708e+01	7.0554e-01	2.3106e+00	1.6051e+00	4.2913e-03	4.8003e+01	2.0159e+02	5.6813e-02	1.1743e+01	5.0093e+01	4.1348e+00	1.8776e+01	8.9781e+00	8.3294e+01	1.5581e+01	1.1247e+03	3.8850e+01	1.5034e+03	7.2317e+04	1.9751e+03	4.8498e+03	5.4284e-02	4.3914e+04	6.5031e+03
