#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	4.1756e-06	1.4622e-06	2.5041e-06	8.2736e-13	2.2534e-02	3.9127e-04	6.9690e-08	1.2555e-07	3.3289e-08	1.3129e-06	3.3135e-09	6.7368e-07	1.2088e-06	8.3009e-10	2.1812e-09	2.3061e-09	4.8181e-09	5.3072e-07	1.6338e-06	7.5768e-06	2.3133e-07	5.9240e-07	6.4025e-11	1.5777e-07	7.2107e-07	2.4652e-07	3.5304e-06	5.8385e-06	1.0060e-07	7.1877e-08	5.4143e-07	5.8737e-06	2.9546e-07	1.2927e-07	2.6810e-06	9.3572e-07	5.8628e-09	1.8318e-10	1.0000e-37	6.8240e-04	1.9587e-05	4.9644e-05	2.9395e-05	7.6982e-06	3.5040e-06	3.4131e-09	7.8539e-07	7.7421e-07	1.0332e-06	2.5912e-07	9.7697e-06	1.7338e-05	3.6386e-07	1.3787e-06	1.2635e-06	2.2024e-11	8.5440e-08	3.2037e-03	3.7095e-05	3.6078e-05	1.0869e-04	4.2572e-07	1.0000e-37	4.2803e-08	3.0247e-07	5.1620e-06	2.3755e-06	4.5604e-07	7.5820e-07	1.1455e-04	2.1765e-05	9.9907e-06	1.6930e-05	6.9396e-06	1.8753e-09	5.9489e-06	8.2187e-07	1.4844e-10	1.4443e-06	5.9123e-10	6.3903e-12	5.8064e-11	2.9844e-11	1.0157e-10	1.1645e-05	1.0683e-06	2.8975e-05	1.5099e-06	8.3584e-06	5.4062e-08	1.3284e-07	3.2427e-12	8.2356e-08	2.9546e-07
iteration 3	1.5762e-06	8.5509e-07	2.7112e-06	1.0000e-37	2.2534e-02	9.7050e-04	1.4508e-11	2.2456e-11	6.7437e-12	1.2013e-06	2.2430e-08	6.5785e-07	4.8292e-08	2.9224e-11	3.7468e-11	7.1609e-11	1.2386e-10	5.2073e-07	3.2492e-07	6.7479e-06	5.0169e-08	5.4660e-07	1.1929e-13	3.6145e-08	1.4041e-07	1.1039e-07	2.2241e-06	3.6774e-06	3.4778e-09	2.1764e-08	1.3883e-06	1.6093e-05	5.6818e-07	2.4556e-07	7.0649e-06	2.4312e-06	4.8015e-09	5.0710e-15	1.0000e-37	7.2991e-04	6.4550e-05	1.6107e-04	9.5980e-05	7.6373e-06	4.0980e-06	3.7906e-08	9.0250e-07	3.2251e-06	4.3043e-06	1.0794e-06	1.1283e-05	1.9934e-05	9.6573e-08	1.1710e-06	1.0764e-06	3.0702e-12	4.0479e-09	3.2037e-03	4.2216e-05	1.0998e-05	3.3110e-05	2.4320e-06	1.0000e-37	1.4907e-07	7.6858e-07	5.6980e-06	1.0742e-05	4.0653e-07	3.4266e-06	1.2691e-04	8.2432e-05	4.4868e-05	7.6256e-05	3.1387e-05	5.6029e-12	7.7689e-06	1.8316e-06	7.8667e-12	1.8776e-06	3.5488e-09	7.6096e-11	6.9124e-10	3.5304e-10	1.1406e-09	9.5156e-06	1.1639e-06	2.3618e-05	1.6423e-06	8.8167e-06	1.3727e-08	3.3836e-08	3.1506e-15	3.9428e-08	5.6818e-07
iteration 3	7.9905e-07	1.8988e-08	2.7966e-06	1.0000e-37	2.2534e-02	1.1208e-03	1.0000e-37	1.0000e-37	1.0000e-37	9.5642e-07	2.8327e-08	5.1601e-07	5.6209e-11	1.0000e-37	1.7038e-13	1.5452e-14	2.5755e-14	4.2430e-07	2.7994e-10	1.9960e-06	9.6756e-10	4.3032e-07	1.0000e-37	7.4223e-10	1.3183e-08	1.5306e-08	4.4501e-07	7.3635e-07	1.8108e-11	4.5632e-10	1.1903e-06	2.0343e-05	6.2511e-07	2.7706e-07	1.1128e-05	3.7920e-06	1.3323e-09	1.0000e-37	1.0000e-37	7.5120e-04	6.1268e-05	1.4652e-04	8.4782e-05	2.8127e-06	3.8298e-06	1.7572e-07	8.4765e-07	6.1489e-06	8.2016e-06	2.0528e-06	1.1459e-05	2.0229e-05	1.9611e-09	3.3836e-07	3.1153e-07	2.6598e-14	4.8001e-11	3.2037e-03	4.2814e-05	2.3961e-07	7.2130e-07	8.9070e-06	1.0000e-37	3.4868e-07	7.0012e-07	5.3618e-06	3.4006e-05	1.1659e-07	1.0846e-05	1.2815e-04	9.0679e-05	8.7267e-05	1.5239e-04	6.5118e-05	1.0000e-37	5.5169e-06	1.5337e-06	9.2499e-14	1.3321e-06	4.2485e-09	3.5839e-10	3.2553e-09	1.6624e-09	5.3101e-09	2.9285e-06	1.1743e-06	7.2647e-06	1.6561e-06	8.7641e-06	2.7385e-10	6.7502e-10	1.0000e-37	5.6058e-09	6.2511e-07
iteration 3	4.2801e-07	1.2744e-10	2.6674e-06	1.0000e-37	2.2534e-02	1.1901e-03	1.0000e-37	1.0000e-37	1.0000e-37	7.3416e-07	2.4326e-08	3.3091e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9643e-07	1.0000e-37	4.3781e-07	6.7737e-12	2.8920e-07	1.0000e-37	5.8689e-12	1.1919e-09	7.3143e-10	3.2574e-08	5.4123e-08	1.0000e-37	4.9941e-12	4.2910e-07	9.8903e-06	3.1006e-07	1.6208e-07	7.8051e-06	2.6811e-06	7.1592e-11	1.0000e-37	1.0000e-37	8.2584e-04	2.6806e-05	5.5503e-05	2.8272e-05	4.0684e-07	3.0720e-06	2.4800e-07	7.0181e-07	6.9523e-06	9.2565e-06	2.3043e-06	1.1314e-05	2.0042e-05	2.1289e-11	7.3196e-08	6.7201e-08	1.0000e-37	1.0000e-37	3.2037e-03	4.2621e-05	4.6630e-09	1.4036e-08	1.3358e-05	1.0000e-37	3.1307e-07	2.4401e-07	4.5798e-06	4.9180e-05	2.3704e-08	1.5685e-05	1.2812e-04	5.2005e-05	9.4747e-05	1.8351e-04	8.8761e-05	1.0000e-37	2.0617e-06	5.4821e-07	1.0000e-37	4.9764e-07	3.7300e-09	5.0021e-10	4.5434e-09	2.3504e-09	7.4139e-09	9.7112e-07	1.1776e-06	2.4087e-06	1.6645e-06	8.4439e-06	1.9388e-12	4.7788e-12	1.0000e-37	2.7374e-10	3.1006e-07
iteration 3	7.4162e-08	1.2780e-12	2.3387e-06	1.0000e-37	2.2534e-02	1.2122e-03	1.0000e-37	1.0000e-37	1.0000e-37	4.9877e-07	2.1068e-08	1.2927e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3756e-07	1.0000e-37	6.9350e-08	8.0739e-15	1.2215e-07	1.0000e-37	5.7905e-15	6.7318e-11	3.3366e-12	2.6876e-10	4.5586e-10	1.0000e-37	1.7919e-14	3.4896e-08	7.7714e-07	2.9601e-08	2.2027e-08	1.4480e-06	5.2165e-07	2.2839e-13	1.0000e-37	1.0000e-37	9.3046e-04	3.2582e-06	5.6952e-06	2.1601e-06	1.0854e-08	1.9399e-06	7.5932e-08	4.6885e-07	3.5760e-06	4.7588e-06	1.1828e-06	1.0283e-05	1.8330e-05	7.6079e-14	9.9487e-09	9.0733e-09	1.0000e-37	1.0000e-37	3.2037e-03	3.9388e-05	7.5338e-11	2.2677e-10	4.5354e-06	1.0000e-37	5.3586e-08	1.5307e-08	3.2263e-06	2.2914e-05	1.8367e-09	7.3078e-06	1.2071e-04	9.7977e-06	3.9575e-05	9.6544e-05	5.6969e-05	1.0000e-37	2.6871e-07	4.4426e-08	1.0000e-37	6.4849e-08	3.2639e-09	1.4141e-10	1.2845e-09	6.9820e-10	2.1259e-09	2.4507e-07	1.1135e-06	6.0780e-07	1.5733e-06	6.3428e-06	2.3239e-15	5.7279e-15	1.0000e-37	1.3285e-12	2.9601e-08
iteration 3	1.1981e-13	7.1543e-19	2.5520e-07	1.0000e-37	2.2534e-02	1.1425e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.5854e-11	1.0000e-37	1.9635e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3736e-12	1.0000e-37	3.8512e-13	1.8547e-22	1.9771e-12	1.0000e-37	7.6091e-23	1.9089e-16	1.7435e-19	2.6121e-17	4.8141e-17	1.0000e-37	1.7625e-21	6.4674e-14	1.0664e-12	7.0266e-14	8.1137e-14	1.6244e-11	5.4671e-12	1.1249e-20	1.0000e-37	1.0000e-37	5.1448e-08	8.2029e-12	1.6730e-11	3.7555e-12	6.6510e-15	3.9775e-11	4.7816e-13	9.5032e-12	6.2688e-11	8.3591e-11	2.0903e-11	1.1677e-09	2.0099e-09	7.4684e-21	3.5313e-14	3.3501e-14	1.0000e-37	1.0000e-37	3.2037e-03	3.7886e-09	6.0041e-17	1.8072e-16	3.2227e-11	1.0000e-37	2.4602e-13	2.3264e-14	6.0485e-11	3.8614e-10	4.0127e-15	1.2315e-10	1.1814e-08	5.5723e-11	3.7417e-10	1.1329e-09	7.5876e-10	1.0000e-37	9.0203e-13	8.2468e-14	1.0000e-37	2.1767e-13	1.0000e-37	8.4170e-16	7.6451e-15	4.3368e-15	1.2824e-14	1.9296e-12	7.8220e-11	4.7853e-12	1.1026e-10	1.6306e-10	5.3530e-23	1.3194e-22	1.0000e-37	8.9474e-20	7.0266e-14
iteration 3	5.0683e-16	4.5430e-22	2.4369e-08	1.0000e-37	2.2534e-02	1.4572e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.0743e-12	1.0000e-37	1.5753e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9043e-13	1.0000e-37	7.4316e-15	7.0565e-26	1.5983e-13	1.0000e-37	1.1092e-27	4.7451e-18	3.1959e-23	5.7434e-22	1.5212e-21	1.0000e-37	8.2111e-26	4.8723e-17	6.8131e-16	1.2272e-16	2.3874e-16	8.9872e-13	3.0116e-13	3.1837e-25	1.0000e-37	1.0000e-37	4.9357e-09	1.1300e-14	1.9729e-13	4.6013e-15	6.4334e-18	2.6326e-12	2.6497e-15	6.5527e-13	1.0270e-12	1.3685e-12	3.4153e-13	9.5821e-11	1.6415e-10	3.4793e-25	6.6796e-16	6.5426e-16	1.0000e-37	1.0000e-37	3.2037e-03	3.0772e-10	3.9724e-20	1.1957e-19	3.3456e-13	1.0000e-37	9.7322e-16	1.4020e-17	4.2697e-12	1.0456e-11	1.2263e-18	3.3347e-12	9.5323e-10	1.5723e-13	6.2227e-12	1.9924e-11	1.3701e-11	1.0000e-37	1.8447e-16	6.2237e-17	1.0000e-37	4.4516e-17	1.0000e-37	4.6210e-18	4.1972e-17	2.4447e-17	7.1040e-17	3.5717e-15	6.7310e-12	8.8577e-15	9.2286e-12	1.0046e-11	2.0367e-26	5.0198e-26	1.0000e-37	3.1211e-23	1.2272e-16
iteration 3	3.2040e-18	5.2905e-25	2.2702e-09	1.0000e-37	2.2534e-02	1.4248e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.8745e-13	1.0000e-37	1.4236e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7209e-14	1.0000e-37	1.1687e-16	1.6319e-28	1.4598e-14	1.0000e-37	1.1076e-30	1.4250e-19	1.9013e-25	2.5209e-25	2.2368e-24	1.0000e-37	3.8770e-29	2.6943e-19	7.2907e-18	2.7678e-18	5.6543e-18	8.1556e-14	2.7321e-14	2.4105e-28	1.0000e-37	1.0000e-37	3.4559e-10	5.6268e-17	7.2290e-15	2.2076e-17	3.0867e-20	1.2516e-13	5.6561e-17	3.1874e-14	6.4337e-14	8.5186e-14	2.0849e-14	8.1864e-12	1.3947e-11	1.6428e-28	9.0226e-18	8.8161e-18	1.0000e-37	1.0000e-37	3.2037e-03	2.5714e-11	6.7720e-23	2.0384e-22	1.0147e-14	1.0000e-37	2.7334e-17	8.0444e-20	2.1254e-13	9.6914e-13	4.8786e-21	3.0907e-13	7.9234e-11	1.3160e-15	2.6879e-13	8.7681e-13	6.0802e-13	1.0000e-37	2.5008e-19	3.4417e-19	1.0000e-37	6.0346e-20	1.0000e-37	9.8155e-20	8.9154e-19	5.2647e-19	1.5162e-18	3.2011e-17	5.6565e-13	7.9386e-17	7.4374e-13	4.7371e-13	4.7099e-29	1.1609e-28	1.0000e-37	1.8985e-25	2.7678e-18
iteration 3	2.2286e-18	3.8493e-27	6.0167e-08	1.0000e-37	2.2534e-02	2.9127e-07	1.0000e-37	1.0000e-37	1.0000e-37	4.3270e-12	1.0000e-37	3.2860e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9724e-13	1.0000e-37	1.0652e-17	1.0000e-37	4.6591e-13	1.0000e-37	4.4948e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5041e-18	1.3210e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.6300e-09	1.0000e-37	4.5063e-14	1.0000e-37	1.0000e-37	1.2496e-13	1.0000e-37	5.0531e-14	2.4032e-38	3.2285e-38	8.2533e-39	2.1015e-10	3.5655e-10	1.0000e-37	6.7030e-19	1.0000e-37	1.0000e-37	1.0000e-37	3.2037e-03	6.4425e-10	1.0000e-37	1.0000e-37	2.2914e-15	1.0000e-37	1.0000e-37	9.1618e-23	5.5163e-13	5.5683e-28	1.0000e-37	1.7758e-28	2.0531e-09	1.0000e-37	9.9113e-28	3.4362e-27	2.4450e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2092e-11	1.0000e-37	1.5404e-11	4.6001e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3210e-17
iteration 3	6.3072e-21	4.6443e-29	2.9553e-08	1.0000e-37	2.2534e-02	1.5087e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.2016e-12	1.0000e-37	1.6720e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0212e-13	1.0000e-37	3.7634e-19	1.0000e-37	2.2927e-13	1.0000e-37	5.7933e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.4543e-20	7.3153e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1453e-09	1.0000e-37	6.2538e-15	1.0000e-37	1.0000e-37	5.0235e-14	1.0000e-37	2.1678e-14	1.0000e-37	1.0000e-37	1.0000e-37	9.8268e-11	1.6619e-10	1.0000e-37	1.3617e-20	1.0000e-37	1.0000e-37	1.0000e-37	3.2037e-03	2.9860e-10	1.0000e-37	1.0000e-37	1.3896e-15	1.0000e-37	1.0000e-37	1.0223e-23	2.4853e-13	1.0000e-37	1.0000e-37	1.0000e-37	9.5298e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.1073e-12	1.0000e-37	7.4101e-12	1.9905e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.3153e-18
