"C III $\lambda$977"
"N III $\lambda$991"
"H I $\lambda$1026"
"O IV $\lambda$1035"
"Incident $\lambda$1215"
"H I $\lambda$1216"
"N V $\lambda$1239" 
"N V $\lambda$1240"
"N V $\lambda$1243"
"Si II $\lambda$1263"
"O I $\lambda$1304"
"Si II $\lambda$1308"
"Si IV $\lambda$1397"
"O IV] $\lambda$1402"
"S IV $\lambda$1406"
"N IV  $\lambda$1485"
"N IV $\lambda$1486"
"Si II $\lambda$1531"	
"C IV $\lambda$1549"
"He II $\lambda$1640"
"O III] $\lambda$1665"
"Al II $\lambda$1671"
"N  4  1719A"
"N III] $\lambda$1750" 
"Al III $\lambda$1860"
"Si III] $\lambda$1888"
"C III] $\lambda$1907"
"TOTL  1909A"
"C III $\lambda$2297"
"[O III] $\lambda$2321"
"[O II] $\lambda$2471"
"C II] $\lambda$2326"
"Si II] $\lambda$2335"
"Al II] $\lambda$2665"
"Mg II $\lambda$2798"
"Mg II $\lambda$2803"	
"[Ne III] $\lambda$3343"
"[Ne V] $\lambda$3426"
"Balmer Cont."
"Balmer Jump $\lambda$3646"
"[O II] $\lambda$3726"
"[O II] $\lambda$3727"
"[O II] $\lambda$3729"
"[Ne III] $\lambda$3869"
"H I $\lambda$3889"
"Ca II $\lambda$3933"
"He I $\lambda$4026"
"[S II] $\lambda$4070"
"[S II] $\lambda$4074"
"[S II] $\lambda$4078"
"H I $\lambda$4102"
"H I $\lambda$4340"
"[O III] $\lambda$4363"
"He II $\lambda$4686"
"CA B  4686A"
"[Ne IV] $\lambda$4720"
"[Ar IV] $\lambda$4740"
"Incident  $\lambda$4860"
"H $\\beta$ $\lambda$4861"
"[O III] $\lambda$4959"
"[O III] $\lambda$5007"
"[N I] $\lambda$5200"
"FE14  5303A"
"[O I] $\lambda$5577"
"[Ne II] $\lambda$5755"
"He I $\lambda$5876"
"[O I] $\lambda$6300"
"[S III] $\lambda$6312"
"[O I] $\lambda$6363"
"H $\\alpha$ $\lambda$6563"
"[N II] $\lambda$6584"
"[S II] $\lambda$6716"
"[S II] $\lambda$6720"
"[S II] $\lambda$6731"
"AR 5  7005A"
"[Ar III] $\lambda$7135"
"[O II] $\lambda$7325"
"[Ar IV] $\lambda$7331"
"[Ar III] $\lambda$7751"
"O I $\lambda$8446"
"Ca II $\lambda$8498"
"Ca II $\lambda$8542"
"Ca II $\lambda$8662"
"Ca II $\lambda$8579"
"[S III] $\lambda$9069"
"Pa9 $\lambda$9229"
"[S III] $\lambda$9532"
"Pa $\\epsilon$ $\lambda$9546"
"He I $\lambda$1.083$\mu$m"
"H I $\lambda$1.875$\mu$m"
"H I $\lambda$1.282$\mu$m"
"H I $\lambda$1.094$\mu$m"
"H I $\lambda$1.005$\mu$m"
"H I $\lambda$4.051$\mu$m"
"H I $\lambda$2.625$\mu$m"
"H  1 2.166m"
"H  1 1.945m"
"Ca II $\lambda$157.6$\mu$m"
"N II $\lambda$121.7$\mu$m"
"N II $\lambda$205.4$\mu$m"
"[N III] $\lambda$57.2$\mu$m"
"[O I] $\lambda$63$\mu$m"
"[C II] $\lambda$158$\mu$m"
"O III $\lambda$51.80$\mu$m"
"[O III] $\lambda$88$\mu$m"
"O IV $\lambda$25.88$\mu$m"
"Ne II $\lambda$12.81$\mu$m"
"Ne III $\lambda$15.55$\mu$m"
"Ne III $\lambda$36.01$\mu$m"
"[Ne V] $\lambda$14.3$\mu$m"
"Ne V $\lambda$24.31$\mu$m"
"Ne VI $\lambda$7.652$\mu$m"
"Na III $\lambda$7.320$\mu$m"
"NA 4 9.039m"
"NA 4 21.29m"
"NA 6 14.40m"
"NA 6 8.611m"
"MG 4 4.485m"
"MG 5 5.610m"
"MG 5 13.52m"
"MG 7 5.503m"
"MG 7 9.033m"
"MG 8 3.030m"
"AL 5 2.905m"
"AL 6 3.660m"
"AL 6 9.116m"
"AL 8 5.848m"
"AL 8 3.690m"
"SI 2 34.81m"
"SI 6 1.963m"
"SI 7 2.481m"
"SI 7 6.492m"
"SI 9 3.929m"
"SI 9 2.584m"
"SI10 1.430m"
"S  3 18.67m"
"S  3 33.47m"
"S  4 10.51m"
"S  8  9914A"
"S  9 1.252m"
"S  9 3.754m"
"S 11 1.920m"
"S 11 1.393m"
"AR 2 6.980m"
"AR 3 9.000m"
"AR 3 21.83m"
"AR 5 8.000m"
"AR 5 13.10m"
"AR 6 4.530m"
"AR10  5534A"
"AR11 2.595m"
"CA 4 3.210m"
"CA 5 4.157m"
"CA 5 11.48m"
"CA 8 2.321m"
"SC 5 2.310m"
"TI 6 1.715m"
"V  7 1.304m"
"CR 8 1.011m"
"MN 9  7968A"
"CO11  5168A"
"NI12  4231A"
"O  3  1661A"
"O  3  1666A"
"[O V] $\lambda$1218"
"SI 3  1892A"
"TOTL  2335A"
