#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	8.1969e-04	1.3933e-06	3.3474e-01	1.0000e-37	6.2087e+07	1.7015e+00	7.4061e+03	1.6323e+04	8.9173e+03	1.0000e-37	1.0000e-37	1.0000e-37	2.6959e+00	9.0053e-01	3.2325e-10	9.3470e-08	1.6618e-03	1.0000e-37	5.8488e+03	2.0693e+00	9.1285e-09	1.1925e-11	1.4587e-06	1.9926e-12	6.7425e-03	1.0000e-37	6.3890e-14	1.5640e-10	1.4857e-09	2.6155e-14	1.0000e-37	1.7757e-21	7.7716e-24	1.0000e-37	1.7344e-09	5.8023e-10	3.5753e-12	1.2461e-01	2.0342e-02	3.9606e-02	1.0000e-37	1.0000e-37	1.0000e-37	1.2321e-10	1.4233e-11	1.0000e-37	9.3328e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.8164e-03	3.3154e-03	3.5321e-09	7.8605e-03	3.8751e-03	9.5466e-06	4.2970e-14	5.1999e+06	5.9583e-03	5.3465e-13	1.6093e-12	3.5383e-44	1.0000e-37	1.0000e-37	3.9450e-21	4.7991e-12	1.0000e-37	1.8888e-25	1.0000e-37	1.5429e-02	6.0591e-27	1.0000e-37	1.0000e-37	1.0000e-37	1.6287e-08	7.0267e-23	1.0000e-37	5.3509e-16	1.6956e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9214e-25	1.0309e-04	1.2205e-24	1.4582e-04	5.0276e-11	2.6347e-09	6.4938e-09	4.7692e+03	1.0000e-37	7.7716e-24
iteration 3	7.7780e-02	4.2183e-03	3.5807e+00	1.0000e-37	6.2087e+07	1.8203e+01	2.2663e+04	4.4807e+04	2.2144e+04	1.6998e-15	1.0000e-37	1.2741e-16	2.8637e+01	8.6679e+00	2.7772e-07	2.5128e-04	5.3525e-01	1.7564e-16	8.7601e+03	2.5397e+01	8.4267e-07	1.1660e-09	5.4509e-04	6.0413e-09	7.2366e-02	1.2768e-10	5.2561e-11	1.4935e-08	1.6755e-07	2.1348e-11	9.8336e-21	1.3965e-18	6.2806e-21	1.0000e-37	2.7202e-07	9.1001e-08	8.8081e-09	1.1155e+00	2.1760e-01	4.5203e-01	9.0172e-20	2.2345e-19	1.3327e-19	3.4915e-07	1.5950e-09	1.0000e-37	1.0648e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.9610e-02	3.5784e-02	3.7839e-07	9.1518e-02	4.2806e-02	2.2546e-03	3.8270e-10	5.1999e+06	6.4414e-02	4.7447e-10	1.4282e-09	7.3491e-38	1.0000e-37	1.0000e-37	1.2946e-16	5.4733e-10	1.0000e-37	1.3245e-20	1.0000e-37	1.6694e-01	1.5126e-21	1.0000e-37	1.0000e-37	1.0000e-37	1.5017e-05	6.4951e-18	1.2585e-20	4.5423e-12	1.5673e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.6748e-20	1.1306e-03	9.1136e-20	1.5994e-03	5.6355e-09	2.4321e-07	5.9946e-07	4.5890e+03	1.2768e-10	6.2806e-21
iteration 3	7.4801e+00	1.4210e+00	4.7328e+01	1.0000e-37	6.2087e+07	2.3973e+02	4.1218e+04	7.9737e+04	3.8519e+04	5.4950e-13	2.7732e-28	4.1191e-14	3.5876e+02	1.3305e+02	3.6525e-04	3.2250e-02	1.8875e+01	5.6781e-14	1.0504e+04	1.0110e+02	1.3792e-04	9.4998e-08	2.2563e-02	2.0457e-06	9.7268e-01	8.7221e-09	2.2793e-08	1.4721e-06	3.4345e-05	1.7595e-08	7.5761e-17	7.1165e-16	2.0323e-18	4.1656e-13	8.0563e-05	2.6951e-05	1.0852e-05	8.9198e-01	2.8486e+00	7.7438e+00	8.4498e-16	5.8183e-10	1.1633e-15	8.0462e-04	2.8429e-07	1.3298e-19	2.0426e-08	1.0274e-24	1.1408e-24	1.1343e-25	2.6901e-01	4.9063e-01	8.2594e-05	1.0544e+00	6.4034e-01	1.8460e-01	2.0730e-06	5.1999e+06	8.8914e-01	6.0219e-07	1.8126e-06	4.6039e-29	1.0000e-37	1.1912e-28	5.5587e-13	1.0523e-07	1.9985e-30	8.7124e-16	6.3735e-31	2.3156e+00	2.2004e-17	5.1695e-24	9.1762e-24	4.0067e-24	8.8319e-03	4.4866e-13	9.6843e-17	1.9191e-08	1.0827e-13	2.4129e-29	2.3962e-22	2.1759e-21	1.1537e-21	3.5693e-21	3.3258e-15	1.6527e-02	8.2479e-15	2.3383e-02	1.0075e-06	3.9806e-05	9.8111e-05	3.8969e+03	8.7209e-09	2.0323e-18
iteration 3	1.0349e+03	1.2762e+03	6.0897e+02	1.0000e-37	6.2087e+07	2.7932e+03	1.8176e+04	3.5348e+04	1.7172e+04	1.6800e-10	4.5503e-23	1.2593e-11	2.2667e+03	6.3008e+03	9.2005e-01	6.8211e+00	1.2580e+03	1.7359e-11	2.2465e+04	1.9942e+02	2.1851e-01	5.2687e-06	5.1271e-02	2.6145e-03	1.3269e+01	5.1772e-07	1.0702e-05	2.6271e-04	1.2148e-02	9.2862e-05	8.3693e-12	1.0991e-12	6.2310e-16	2.3447e-11	4.8087e+00	1.6104e+00	7.6302e-04	2.7543e-01	3.7444e+01	1.3944e+02	9.2298e-11	9.8534e-06	7.8598e-11	1.3046e-01	5.0806e-05	8.7775e-14	3.8611e-06	2.1527e-18	2.8618e-18	7.0912e-19	3.7204e+00	6.7905e+00	1.3415e-01	1.1105e+01	9.7571e+00	3.9340e-01	7.1780e-03	5.1999e+06	1.2428e+01	6.0361e-03	1.8169e-02	4.1640e-24	1.0000e-37	6.7250e-23	9.1118e-09	2.0203e-05	1.7683e-24	1.1268e-10	5.6394e-25	3.2785e+01	1.7166e-12	6.1848e-18	1.3899e-17	7.7147e-18	2.9620e+00	2.0175e-08	1.6657e-06	4.5117e-05	4.8684e-09	4.1785e-24	1.5780e-16	1.4333e-15	7.6466e-16	2.3557e-15	6.7794e-10	2.4526e-01	1.6813e-09	3.4669e-01	1.8183e-04	6.3067e-02	1.5544e-01	2.3818e+03	5.1752e-07	6.2310e-16
iteration 3	6.5355e+03	3.1491e+03	4.8637e+03	1.0000e-37	6.2087e+07	1.2934e+04	6.6248e+03	1.3841e+04	7.2160e+03	1.1519e-07	1.1485e-16	8.6345e-09	3.9014e+03	6.1227e+03	1.8086e+01	1.8189e+01	1.3618e+03	1.1903e-08	1.5324e+05	1.1202e+04	8.0714e+02	3.2707e-04	5.0405e-02	3.6164e-02	1.4996e+02	4.4518e-05	1.0943e-02	1.3596e-01	7.2722e+00	8.7554e-01	2.3299e-06	6.5472e-09	4.3185e-13	1.5158e-09	7.0752e+01	2.4095e+01	3.3347e-01	9.0633e-02	4.2558e+02	1.8101e+03	1.1111e-05	2.4662e-01	4.9777e-06	1.3949e+02	1.4677e+01	4.9810e-10	1.1747e+00	3.5325e-14	4.7017e-14	1.1693e-14	4.4709e+01	8.3185e+01	5.2355e+00	1.0439e+02	6.5717e+01	6.1696e-01	9.3574e+00	5.1999e+06	1.5598e+02	1.3754e+02	4.1400e+02	6.6830e-21	1.0000e-37	9.2225e-17	1.3969e-06	6.3086e+00	4.7841e-18	1.0244e-07	1.5257e-18	4.1294e+02	1.5459e-09	1.9879e-14	6.1380e-14	4.1501e-14	1.4817e+01	2.4727e-04	8.7693e-02	3.3650e-02	5.9669e-05	1.7099e-17	8.9347e-13	8.1154e-12	4.3583e-12	1.3367e-11	9.2472e-07	3.0375e+00	2.2933e-06	4.2479e+00	4.6277e+01	2.7583e+02	5.3130e+02	6.2698e+02	4.4474e-05	4.3185e-13
iteration 3	1.4522e+04	4.4166e+03	9.5261e+03	1.0000e-37	6.2087e+07	6.1211e+04	3.6725e+03	8.1383e+03	4.4659e+03	9.4222e-05	1.4829e-13	7.0629e-06	5.7120e+03	5.1506e+03	1.7847e+02	5.0598e+01	1.4288e+03	9.7361e-06	1.7315e+05	1.4079e+04	1.5775e+03	2.5584e-02	3.9497e-02	4.3736e-01	9.9582e+02	4.1356e-03	3.8862e-01	2.8283e+00	9.1603e+01	2.3739e+01	6.9285e-04	1.9207e-06	3.7764e-10	1.4760e-07	5.1131e+02	2.0183e+02	2.9835e+00	5.0552e-02	4.3418e+03	1.8298e+04	4.1025e-04	9.6692e-01	1.5777e-04	1.5849e+03	2.6081e+02	4.9095e-07	2.5909e+01	2.5026e-10	3.2975e-10	7.9496e-11	5.0959e+02	9.4104e+02	1.1159e+02	1.2500e+02	6.8227e+01	9.7781e-01	1.7145e+02	5.1999e+06	1.6739e+03	2.8324e+03	8.5254e+03	6.8066e-18	1.0000e-37	1.9626e-13	1.4855e-04	1.3980e+02	1.0035e-14	7.1993e-05	3.2002e-15	4.1449e+03	6.5493e-07	1.7381e-11	5.7428e-11	4.0047e-11	9.3111e+00	3.8582e-02	2.0518e+00	9.6884e-01	9.3103e-03	2.1618e-14	8.8003e-10	7.9933e-09	4.3021e-09	1.3175e-08	5.9022e-04	3.5230e+01	1.4638e-03	4.6694e+01	4.2490e+02	5.8446e+02	9.9308e+02	5.4380e+01	4.1272e-03	3.7764e-10
iteration 3	4.9706e+04	8.2018e+03	1.1020e+04	1.0000e-37	6.2087e+07	4.5958e+05	2.4067e+03	5.2531e+03	2.8464e+03	9.4137e-02	7.1031e-11	7.0566e-03	1.2617e+04	2.5833e+03	1.6622e+03	1.1963e+02	2.6056e+03	9.7272e-03	2.0089e+05	1.3555e+04	4.2378e+03	2.4811e+00	1.4793e-02	1.4022e+01	2.1477e+03	4.7493e-01	8.4519e+00	1.9792e+02	9.0125e+02	8.1142e+02	1.3130e-01	1.7764e-03	6.5363e-07	4.5572e-05	1.1590e+03	5.4214e+02	3.9809e+01	6.0268e-03	4.2827e+04	1.7669e+05	8.8273e-03	2.0117e+00	3.3383e-03	1.5646e+04	9.7443e+02	1.1870e-03	2.8193e+02	1.7061e-06	2.1430e-06	4.3691e-07	4.0866e+03	6.9723e+03	3.4648e+03	1.2129e+02	6.7459e+01	7.1287e-01	6.9799e+02	5.1999e+06	1.3379e+04	2.6332e+04	7.9260e+04	8.9406e-15	1.0000e-37	4.0535e-10	1.7493e-02	1.5592e+03	1.9606e-11	9.7343e-02	6.2525e-12	3.6160e+04	1.3441e-04	1.6849e-08	5.5667e-08	3.8818e-08	2.4728e+00	3.1560e+00	3.4217e+01	1.9973e+01	7.6159e-01	7.9779e-12	2.1499e-06	1.9526e-05	1.0411e-05	3.2088e-05	2.3346e-01	3.9592e+02	5.7897e-01	5.0698e+02	3.2093e+03	1.6666e+03	2.5712e+03	2.0326e+00	4.7360e-01	6.5363e-07
iteration 4	4.6307e+05	4.8167e+04	1.7134e+04	1.0000e-37	6.2087e+07	3.8144e+06	4.8541e+02	8.3703e+02	3.5162e+02	1.4566e+02	2.0901e-07	1.1459e+01	5.0242e+04	7.6431e+02	1.0457e+04	1.3924e+02	1.3080e+04	1.5745e+01	3.4439e+05	7.9502e+03	6.5467e+04	2.6557e+02	2.9315e-03	2.0525e+04	3.2165e+03	1.9049e+02	2.0612e+03	3.7110e+05	2.5743e+03	1.7230e+04	1.2295e+01	2.8988e+01	1.0021e-02	7.4076e-02	1.8979e+03	8.8085e+02	1.3776e+03	7.2807e-05	3.9316e+05	1.4507e+06	1.5362e-01	2.5226e+00	5.8189e-02	1.2087e+05	2.0528e+03	9.1036e+00	2.5250e+03	4.8455e-03	5.8680e-03	1.0225e-03	3.0607e+04	5.1270e+04	7.3025e+04	8.9341e+01	6.1991e+01	1.5721e-01	1.3026e+03	5.1999e+06	1.0386e+05	6.4550e+04	1.9429e+05	1.5222e-10	1.0000e-37	8.1372e-07	9.5341e+00	1.4740e+04	3.1960e-08	9.0829e+01	1.0193e-08	3.0777e+05	1.6474e-01	1.6870e-05	5.5245e-05	3.8375e-05	2.6325e-01	1.5292e+02	1.8030e+02	2.1385e+02	3.6902e+01	1.8662e-08	4.7150e-02	3.9481e-01	1.5671e-01	5.9867e-01	3.5577e+01	3.4322e+03	8.8231e+01	4.4182e+03	3.4863e+04	2.6248e+04	3.9219e+04	4.8117e-02	1.9001e+02	1.0021e-02
iteration 3	5.6866e+05	5.8165e+04	4.4127e+04	1.0000e-37	6.2087e+07	1.5550e+07	1.9105e+01	3.1872e+01	1.2767e+01	2.0576e+05	1.5045e+05	3.6920e+04	5.2515e+05	3.7551e+02	6.0615e+04	2.4716e+01	2.0405e+04	4.6504e+04	4.3708e+05	3.5252e+03	5.5473e+05	5.5660e+04	1.0000e-37	2.4430e+05	1.4584e+04	1.9164e+05	2.7112e+03	3.7558e+06	1.0000e-37	3.7988e+04	8.0570e+03	2.0415e+05	5.8034e+04	3.4874e+04	9.1851e+05	3.1655e+05	9.2034e+03	8.2412e-11	2.2647e+06	8.8229e+06	1.3209e+02	1.8336e+02	5.0234e+01	1.2752e+05	3.3993e+03	1.5679e+02	7.6247e+03	8.9247e+03	1.0745e+04	1.8200e+03	8.4166e+04	1.4240e+05	1.6097e+05	6.6844e+01	5.6636e+01	3.0548e-02	7.1111e+02	5.1999e+06	3.7458e+05	3.7970e+04	1.1429e+05	1.7858e-03	1.0000e-37	3.5174e+03	5.6675e+03	6.3597e+04	1.0315e+03	2.0382e+03	3.2898e+02	2.4462e+06	1.3780e+03	4.4377e+01	1.4507e+02	1.0069e+02	1.9358e-02	1.6902e+03	1.0036e+04	2.6158e+02	4.0786e+02	2.3455e+04	2.2731e+00	1.8091e+01	6.5181e+00	2.6883e+01	3.2659e+02	2.3534e+04	8.0995e+02	3.1575e+04	2.7997e+05	2.0357e+05	3.5116e+05	2.8696e-03	1.9156e+05	5.8034e+04
iteration 3	2.5929e+05	2.8217e+04	4.6467e+04	1.0000e-37	6.2087e+07	1.5940e+07	3.1433e-01	5.2351e-01	2.0918e-01	2.2335e+05	8.8892e+05	4.7556e+04	3.0672e+05	1.9597e+02	2.6845e+04	2.0195e+00	1.3209e+04	6.7954e+04	3.3575e+05	2.1248e+03	4.3340e+05	8.3374e+04	1.0000e-37	1.8528e+05	6.7556e+04	9.8191e+05	3.8085e+02	2.5908e+06	1.0000e-37	4.0187e+03	4.2680e+03	8.7644e+05	2.8363e+05	1.8957e+05	4.5054e+06	1.6690e+06	1.5455e+03	1.1023e-12	4.1614e+06	1.9622e+07	7.0311e+01	9.7165e+01	2.6752e+01	1.2318e+04	9.1954e+03	1.5493e+03	8.6456e+03	1.0590e+04	1.2738e+04	2.1479e+03	1.2811e+05	2.4921e+05	1.7029e+04	5.2943e+01	5.4234e+01	3.5769e-03	3.1256e+01	5.1999e+06	7.9372e+05	3.4758e+03	1.0462e+04	2.9178e-01	1.0000e-37	1.8386e+04	6.3127e+03	8.3286e+04	1.1789e+04	1.0341e+03	3.7606e+03	4.5076e+06	1.6711e+03	5.9978e+01	1.9609e+02	1.3611e+02	1.0313e-03	6.8843e+02	5.2581e+03	1.2400e+01	1.6613e+02	1.5761e+05	2.4334e+01	1.8594e+02	7.0146e+01	2.8042e+02	1.6126e+02	5.3646e+04	3.9993e+02	7.2090e+04	6.5906e+05	1.3251e+05	3.0090e+05	4.3900e-08	9.8187e+05	2.8363e+05
