#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	4.0075e-08	6.8630e-13	1.0039e-02	5.9869e+03	1.0816e+07	2.8008e-02	5.6299e-01	3.6317e+00	2.7674e-01	7.4824e-18	1.0000e-37	1.1233e-18	1.7041e-01	3.1404e-10	9.1765e-14	1.1191e-11	1.3220e-10	3.0953e-18	3.1069e+00	1.8894e-03	7.6507e-15	4.3283e-19	4.7923e-10	8.6789e-15	2.3613e-10	7.1499e-12	9.1143e-11	1.5071e-10	5.7565e-10	8.3432e-17	1.0000e-37	3.3549e-14	3.9788e-17	1.0000e-37	3.1405e-18	1.0259e-19	1.5395e-18	2.6199e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5034e-16	2.0316e-10	1.0000e-37	3.3742e-11	1.0000e-37	1.0000e-37	1.0000e-37	5.6808e-05	1.0933e-04	6.8490e-13	2.1869e-04	1.9487e-04	2.1083e-13	1.0861e-17	1.1361e+06	2.3177e-04	4.0548e-15	1.2252e-14	5.3065e-134	1.0000e-37	1.0000e-37	6.7547e-19	1.9931e-10	1.0000e-37	1.1765e-18	1.0000e-37	8.8692e-04	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7160e-13	1.0000e-37	1.0000e-37	1.0616e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.9634e-18	1.1360e-05	1.5103e-17	1.7085e-05	2.1700e-07	3.9589e-16	9.7455e-16	1.0064e-04	4.2709e-13	3.9788e-17
iteration 3	5.2899e-06	7.1963e-10	9.3488e-02	5.7841e+03	1.0816e+07	2.5881e-01	5.5831e+00	3.1245e+01	2.8184e+00	5.7431e-13	1.0000e-37	1.1846e-13	1.3677e+00	1.3323e-06	5.6132e-09	3.9154e-08	5.2812e-07	2.6564e-13	2.3398e+01	1.7609e-02	2.8847e-10	6.0773e-15	3.6172e-08	2.8244e-10	1.0621e-08	3.6359e-08	2.6922e-07	4.4520e-07	3.6380e-08	2.0189e-12	7.9206e-16	1.3733e-09	3.9984e-12	3.1249e-14	2.7619e-14	1.3918e-15	2.8502e-14	3.5893e-05	1.0000e-37	1.0000e-37	8.4327e-15	6.3829e-14	1.2470e-14	1.5325e-12	1.2237e-08	1.0000e-37	1.8535e-09	1.0000e-37	1.0000e-37	1.0000e-37	4.8707e-04	9.4222e-04	6.4767e-10	1.8232e-03	1.4768e-03	4.9439e-10	1.5048e-12	1.1361e+06	1.9677e-03	6.3504e-11	1.9188e-10	8.4489e-23	1.0000e-37	1.0000e-37	1.1178e-14	1.0753e-08	1.0000e-37	3.2871e-13	1.0000e-37	7.2962e-03	1.8687e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.9207e-09	1.3600e-15	9.2389e-15	1.8926e-14	3.3755e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2047e-12	7.9763e-05	3.0502e-12	1.1882e-04	5.9187e-06	1.3550e-11	3.3351e-11	1.1253e-03	1.6047e-09	3.9984e-12
iteration 3	9.9866e-04	8.3799e-06	8.9345e-01	5.6913e+03	1.0816e+07	2.4261e+00	5.0298e+01	2.3933e+02	2.6832e+01	1.1799e-07	1.0000e-37	2.0991e-08	1.2580e+01	3.0424e-03	3.3217e-04	1.7028e-04	1.6285e-03	5.3008e-08	1.6262e+02	1.8466e-01	2.1889e-05	8.5803e-10	1.2060e-05	2.2620e-05	1.5414e-06	2.3204e-04	8.4778e-04	1.4030e-03	1.0785e-05	2.5987e-07	1.9450e-09	2.9661e-05	5.0420e-07	3.1294e-09	8.0464e-09	6.3984e-10	6.5406e-09	7.6684e-03	1.0000e-37	1.3995e-01	2.2183e-08	6.1151e-08	3.0556e-08	4.7552e-07	2.9111e-06	1.0000e-37	4.5168e-07	1.1753e-08	1.5656e-08	3.9066e-09	4.8950e-03	9.5796e-03	8.3706e-06	1.8727e-02	1.4484e-02	2.8189e-06	3.9865e-06	1.1361e+06	2.0316e-02	9.9659e-06	3.0094e-05	4.6205e-16	1.0000e-37	1.0000e-37	6.7793e-09	2.8123e-06	1.0000e-37	8.5505e-07	1.0000e-37	7.9213e-02	3.1455e-08	6.1280e-08	1.0932e-07	4.8043e-08	1.6227e-04	1.1217e-07	4.5836e-09	4.3337e-08	2.7647e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5360e-06	7.9523e-04	8.8998e-06	1.1868e-03	5.8482e-04	1.4578e-06	3.5889e-06	2.1761e-02	1.6162e-05	5.0420e-07
iteration 4	5.2659e-02	6.2597e-04	8.6295e+00	5.5822e+03	1.0816e+07	2.2377e+01	2.7605e+02	9.3249e+02	1.8362e+02	2.2774e-04	9.5945e-06	4.9744e-05	1.0088e+02	2.8448e-01	5.8385e-02	2.0721e-02	1.6494e-01	2.2134e-04	5.9311e+02	1.6658e+00	7.7977e-02	1.5527e-04	3.6904e-04	2.6382e-02	2.7895e-03	1.1954e-01	1.2126e-01	2.0255e-01	9.4527e-04	2.5020e-03	2.2398e-03	2.0035e-02	1.6453e-02	6.1112e-03	4.3181e-02	2.2674e-03	1.8131e-04	2.0707e-01	1.0000e-37	1.9590e+00	3.6265e-02	6.8577e-02	3.1654e-02	4.6221e-02	1.5128e-03	9.4304e-04	3.7788e-04	1.8269e-03	2.4291e-03	6.0239e-04	5.3679e-02	1.0742e-01	3.6318e-02	1.8458e-01	1.4077e-01	5.0056e-04	4.2604e-03	1.1361e+06	2.3046e-01	2.1868e-01	6.5957e-01	1.4077e-04	1.0000e-37	6.4714e-05	9.9116e-04	2.5166e-03	3.1053e-03	2.8115e-03	9.9094e-04	9.0838e-01	2.0757e-02	7.6505e-03	1.6778e-02	9.1278e-03	1.2182e-02	7.1530e-03	3.1438e-03	3.3647e-05	1.7466e-03	1.1610e-06	1.1287e-05	1.0254e-04	3.8962e-05	3.3060e-04	2.1565e-02	8.4889e-03	5.3991e-02	1.2699e-02	8.2053e-02	7.3971e-03	1.7938e-02	1.5098e-01	1.2617e-02	1.6453e-02
iteration 3	4.4858e+00	2.1493e-02	8.7029e+01	4.3364e+03	1.0816e+07	1.4943e+02	6.4388e+02	1.5781e+03	5.4606e+02	2.7333e-03	1.0514e-04	6.5754e-04	4.0954e+02	4.4977e+00	4.5644e-01	1.3662e-01	3.3720e+00	3.1259e-03	1.0053e+03	9.8542e+00	3.9448e+00	3.0166e-03	6.0137e-04	3.5421e-01	9.3694e-02	1.3343e+00	9.2284e-01	1.6937e+00	3.6652e-02	6.1352e-02	5.3713e-02	2.0607e-01	1.9253e-01	8.8087e-02	6.5072e-01	5.7251e-02	5.0620e-03	5.3607e-01	1.0000e-37	2.8046e+01	2.4520e-01	3.6884e-01	1.1264e-01	1.8225e+00	2.2815e-02	1.2425e-02	1.9724e-02	3.1864e-02	4.2411e-02	1.0550e-02	7.3216e-01	1.4595e+00	2.6200e+00	1.3448e+00	1.0685e+00	8.3305e-04	1.4709e-01	1.1361e+06	3.0501e+00	8.6041e+00	2.6062e+01	2.8538e-04	1.0000e-37	6.7698e-04	1.3164e-02	1.7626e-01	3.1277e-02	3.2295e-02	9.9781e-03	1.1795e+01	2.0036e-01	2.3884e-02	7.1862e-02	4.7978e-02	2.4673e-02	1.2718e-01	8.0439e-02	8.8443e-04	3.1489e-02	1.2805e-05	2.4096e-04	2.1837e-03	8.9123e-04	7.3648e-03	3.0221e-01	1.1066e-01	7.6168e-01	1.6500e-01	4.7728e+00	1.7543e-01	4.0328e-01	1.4505e+00	1.9031e-01	1.9253e-01
iteration 3	1.9976e+02	2.8134e+00	5.1014e+02	4.1830e+03	1.0816e+07	4.2473e+02	8.7371e+02	1.9059e+03	8.1886e+02	4.3143e-02	9.8912e-04	8.7073e-03	7.3798e+02	4.5095e+01	4.5306e+00	6.4081e-01	4.0219e+01	4.1208e-02	1.3016e+03	8.1730e+01	5.4071e+01	4.8148e-02	2.3144e-02	6.1922e+00	9.3112e+00	1.4872e+01	6.8494e+00	2.3951e+01	3.0295e-01	7.0516e-01	7.3446e-01	2.2533e+00	1.7855e+00	7.6366e-01	8.6053e+00	8.5690e-01	4.9992e-02	2.5533e+01	1.0000e-37	3.1007e+02	4.1992e-01	6.0130e-01	1.6175e-01	1.8742e+01	2.0226e-01	1.3369e-01	2.2379e-01	3.7513e-01	4.9526e-01	1.2017e-01	8.5959e+00	1.7123e+01	4.8581e+01	1.2733e+01	1.1522e+01	3.1898e-02	1.6269e+00	1.1361e+06	3.5360e+01	8.1055e+01	2.4592e+02	1.1128e-04	1.0000e-37	6.5640e-03	2.3057e-01	2.2107e+00	2.5992e-01	4.3677e-01	8.2930e-02	1.3235e+02	1.0063e+00	3.2659e-02	1.0747e-01	7.4814e-02	6.3721e-01	1.4473e+00	1.1032e+00	1.6971e-02	3.6115e-01	1.2133e-04	1.7007e-03	1.5136e-02	5.7972e-03	5.6559e-02	3.2764e+00	1.4234e+00	8.3104e+00	2.0201e+00	6.6427e+01	1.9205e+00	4.3906e+00	2.4587e+01	3.6624e+00	1.7855e+00
iteration 3	7.8837e+02	4.2654e+02	1.1183e+03	3.0960e+03	1.0816e+07	2.1987e+03	9.8132e+02	2.1118e+03	9.3861e+02	1.6191e+00	1.0231e-02	2.2651e-01	1.0301e+03	3.5862e+02	9.5632e+01	5.4610e+00	3.9781e+02	7.1971e-01	2.6871e+03	5.3674e+02	7.1019e+02	1.7458e+00	8.4056e-01	1.6103e+02	2.1466e+02	3.0926e+02	2.3577e+01	4.6683e+02	4.7106e+00	1.6961e+01	8.2124e+00	3.1277e+01	1.9069e+01	9.1383e+00	1.6918e+02	1.6028e+01	9.6767e-01	3.0684e+02	1.0000e-37	3.2692e+03	5.1788e-01	7.4073e-01	1.9553e-01	2.6659e+02	8.2564e+00	1.9301e+00	3.3068e+00	2.7431e+00	3.4650e+00	7.2213e-01	8.8835e+01	1.6733e+02	9.1725e+02	8.2678e+01	7.8917e+01	5.0623e+00	1.1268e+01	1.1361e+06	3.4132e+02	5.5554e+02	1.6891e+03	3.5198e-05	1.0000e-37	8.4378e-02	3.3090e+00	3.4806e+01	1.4167e+00	8.8940e+00	4.5210e-01	1.2237e+03	1.7847e+00	3.2950e-02	1.0899e-01	7.6036e-02	2.2028e+01	1.7730e+01	1.2874e+01	6.4505e-01	4.4991e+00	1.3024e-03	1.4063e-02	1.1243e-01	4.1747e-02	5.3954e-01	2.0995e+01	1.7095e+01	5.3849e+01	2.3718e+01	5.7265e+02	3.1099e+01	7.1066e+01	3.1759e+02	8.9511e+01	1.9069e+01
iteration 3	2.0988e+03	9.6598e+02	1.4529e+03	1.7932e+03	1.0816e+07	1.0777e+04	8.7847e+02	1.8798e+03	8.1010e+02	1.4098e+02	1.1920e-01	2.6328e+01	2.2922e+03	7.1938e+02	7.0575e+02	5.5814e+00	1.6809e+03	3.8540e+01	1.1219e+04	1.0834e+03	7.2039e+03	8.1879e+01	9.3400e-01	2.4469e+03	7.1609e+02	6.8467e+03	4.7375e+01	8.4777e+03	6.2301e+01	3.2617e+02	5.4917e+01	4.4514e+02	1.9837e+02	1.3280e+02	1.6755e+03	2.2967e+02	2.9615e+01	1.6329e+02	1.0000e-37	3.2292e+04	7.1383e-01	1.0273e+00	2.7034e-01	2.4885e+03	1.0953e+02	2.3419e+01	4.8740e+01	6.7030e+00	8.1330e+00	1.4308e+00	7.3259e+02	1.2850e+03	7.9544e+03	1.5970e+02	1.5833e+02	2.3649e+01	2.3712e+01	1.1361e+06	2.7906e+03	1.4734e+03	4.4709e+03	1.5758e-05	1.0000e-37	8.6065e-01	2.4652e+01	4.8054e+02	2.3923e+00	1.2703e+02	7.6418e-01	9.9121e+03	2.1592e+00	3.1421e-02	1.0296e-01	7.1542e-02	2.0275e+01	1.3202e+02	9.3432e+01	5.7961e+00	3.3817e+01	1.7744e-02	1.0604e-01	7.7612e-01	2.8605e-01	3.3643e+00	6.1428e+01	1.3919e+02	1.5786e+02	1.9216e+02	3.7923e+03	5.2900e+02	1.2020e+03	1.4406e+02	2.1000e+03	1.9837e+02
iteration 3	4.7504e+03	1.1998e+03	1.9546e+03	5.3337e+01	1.0816e+07	4.5328e+04	3.5505e+02	8.3015e+02	2.5463e+02	7.9022e+02	9.4024e+00	3.4868e+02	5.9463e+03	4.0971e+02	1.0816e+03	8.4587e-01	1.7903e+03	3.4489e+02	1.5380e+04	1.1804e+03	2.1552e+04	4.2919e+02	1.0000e-37	9.4012e+03	2.5372e+03	5.9472e+04	2.9391e+01	4.6179e+04	1.1885e-04	5.2106e+02	7.4545e+01	5.1918e+03	1.5895e+03	1.9466e+03	1.1267e+04	1.3736e+03	1.1681e+02	3.5797e+00	1.0000e-37	1.0526e+05	6.0746e-01	8.5947e-01	2.3076e-01	2.1280e+03	3.9718e+02	1.1948e+02	2.3251e+02	1.2767e+01	1.5516e+01	2.7598e+00	3.5409e+03	6.2187e+03	7.2284e+03	1.7056e+02	1.7650e+02	6.8604e+00	7.4396e+00	1.1361e+06	1.3658e+04	7.2698e+02	2.2000e+03	1.3367e-03	1.0000e-37	2.3059e+00	6.8264e+01	2.1800e+03	1.1725e+01	2.4994e+02	3.7838e+00	5.6284e+04	6.6991e+00	3.3750e-01	1.1066e+00	7.6906e-01	1.1975e+00	1.7143e+02	1.5498e+02	3.0052e+00	4.3363e+01	7.9178e+00	6.9962e-01	4.9415e+00	1.9827e+00	1.9080e+01	5.9320e+01	5.1589e+02	1.5081e+02	6.8570e+02	2.3206e+04	1.9470e+03	4.5887e+03	9.1257e+00	1.8604e+04	1.5895e+03
iteration 3	4.7557e+03	1.1401e+03	1.9045e+03	2.1672e-06	1.0816e+07	4.4025e+05	6.3899e+00	1.2062e+01	3.1028e+00	2.6466e+03	1.1470e+02	6.8529e+02	2.2713e+03	6.5934e+01	1.6280e+02	1.8611e-02	2.3211e+02	8.6913e+02	5.3573e+03	1.1421e+03	1.4187e+04	1.5388e+03	1.0000e-37	7.4104e+03	5.3477e+03	8.0299e+04	8.7404e+00	6.3683e+04	1.0000e-37	9.0465e+01	1.3927e+02	2.4371e+04	6.6203e+03	1.1218e+04	9.5200e+04	2.4771e+04	3.3419e+01	1.0340e-02	1.0000e-37	2.5416e+05	1.1202e+00	1.5502e+00	4.2577e-01	3.6261e+02	1.9669e+03	5.1243e+02	5.9167e+02	4.3750e+01	5.2724e+01	8.9962e+00	7.1674e+03	1.2132e+04	6.4640e+02	1.6073e+02	1.8041e+02	2.3311e-01	1.8835e-01	1.1361e+06	2.6959e+04	9.9228e+01	2.9919e+02	1.1093e-02	1.0000e-37	2.3814e+01	8.2133e+01	4.3871e+03	9.4758e+01	7.7820e+01	3.0554e+01	1.3189e+05	1.1809e+01	7.1218e-01	2.3324e+00	1.6202e+00	8.7352e-03	4.8061e+01	1.8784e+02	7.1591e-02	1.1758e+01	5.3741e+01	4.0847e+00	1.8517e+01	8.8727e+00	8.3202e+01	1.5514e+01	1.1263e+03	3.8684e+01	1.5070e+03	7.2291e+04	2.1275e+03	5.2231e+03	1.5160e-01	4.4793e+04	6.6203e+03
