#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.4354e-06	5.4266e-07	1.3068e-06	1.0000e-37	1.0921e-02	3.5056e-04	2.6737e-22	5.2585e-22	1.7667e-22	4.8112e-07	1.3789e-08	2.6592e-07	2.7306e-07	1.0422e-14	3.9498e-11	2.5237e-12	5.2174e-12	2.2875e-07	1.3914e-07	1.9194e-09	1.8786e-08	2.3072e-07	8.2602e-25	3.3076e-08	2.7840e-07	1.2814e-07	6.7814e-07	1.1216e-06	2.9824e-10	1.0495e-08	4.9218e-07	4.4404e-06	1.0485e-07	7.0031e-08	1.2930e-06	4.4408e-07	1.5349e-10	1.0000e-37	1.0000e-37	6.9797e-04	3.0031e-05	7.5513e-05	4.5109e-05	6.5939e-07	2.9268e-06	4.5952e-09	6.6526e-07	4.3161e-07	5.7622e-07	1.4466e-07	9.5625e-06	1.7076e-05	5.1425e-08	1.5972e-10	1.4333e-10	9.8407e-20	2.0182e-09	9.0531e-04	3.6753e-05	8.9026e-06	2.6818e-05	1.0580e-07	1.0000e-37	5.8833e-09	2.5313e-07	4.4188e-06	5.5268e-07	3.6482e-07	1.7639e-07	1.1252e-04	3.2814e-05	7.2823e-06	1.2308e-05	5.0261e-06	1.7469e-18	4.0597e-06	6.9785e-07	3.0265e-12	9.8526e-07	2.5153e-09	9.5330e-12	8.6618e-11	4.2926e-11	1.4902e-10	1.1860e-05	1.0263e-06	2.9504e-05	1.4681e-06	6.9888e-06	4.4524e-09	1.0968e-08	1.0000e-37	4.2780e-08	1.0485e-07
iteration 3	9.2095e-07	2.9231e-07	1.5354e-06	1.0000e-37	1.0921e-02	9.0925e-04	1.0000e-37	1.0000e-37	1.0000e-37	4.1894e-07	2.5595e-08	2.3938e-07	1.2714e-09	2.1904e-18	6.5440e-13	3.6928e-14	6.2833e-14	2.1082e-07	3.9924e-10	1.2114e-09	1.8173e-09	1.9144e-07	1.0000e-37	5.4305e-09	2.7946e-08	4.4601e-08	4.1978e-07	6.9407e-07	6.7319e-12	1.0148e-09	7.5430e-07	7.4122e-06	2.2082e-07	1.1500e-07	3.7357e-06	1.2693e-06	5.1501e-11	1.0000e-37	1.0000e-37	7.7835e-04	4.6439e-05	1.1580e-04	6.9020e-05	1.6575e-07	3.1868e-06	3.8133e-08	7.1719e-07	1.8165e-06	2.4249e-06	6.0847e-07	1.1065e-05	1.9691e-05	4.4209e-09	1.3419e-10	1.2116e-10	9.4867e-21	6.6727e-11	9.0531e-04	4.2012e-05	6.8301e-07	2.0562e-06	7.1396e-07	1.0000e-37	3.0179e-08	4.3869e-07	4.6130e-06	3.3000e-06	2.5358e-07	1.0526e-06	1.2583e-04	6.7422e-05	3.0698e-05	5.2119e-05	2.1421e-05	3.4240e-21	4.1968e-06	9.8116e-07	1.1100e-13	1.0139e-06	4.1297e-09	8.1637e-11	7.4155e-10	3.7093e-10	1.2092e-09	7.7354e-06	1.1261e-06	1.9195e-05	1.6088e-06	6.8856e-06	5.0493e-10	1.2447e-09	1.0000e-37	1.6121e-08	2.2082e-07
iteration 3	4.7825e-07	2.5785e-09	1.5922e-06	1.0000e-37	1.0921e-02	1.0626e-03	1.0000e-37	1.0000e-37	1.0000e-37	3.1130e-07	2.6703e-08	1.5187e-07	5.4067e-13	1.0000e-37	2.1183e-15	1.0000e-37	1.0000e-37	1.4922e-07	1.0000e-37	4.2504e-10	3.3694e-11	1.2575e-07	1.0000e-37	1.1272e-10	8.5601e-10	6.4016e-09	9.1486e-08	1.5141e-07	1.0000e-37	1.9730e-11	6.6429e-07	8.6321e-06	2.6089e-07	1.2866e-07	5.6376e-06	1.9107e-06	7.8243e-12	1.0000e-37	1.0000e-37	8.0581e-04	4.1680e-05	9.9335e-05	5.7301e-05	2.7522e-08	2.3608e-06	1.3600e-07	5.3192e-07	3.5101e-06	4.6817e-06	1.1717e-06	1.1317e-05	2.0129e-05	8.4225e-11	2.8879e-11	2.5219e-11	1.0000e-37	3.2901e-13	9.0531e-04	4.2940e-05	1.3612e-08	4.0975e-08	3.5773e-06	1.0000e-37	1.1107e-07	4.0591e-07	3.4185e-06	1.4119e-05	7.3577e-08	4.5029e-06	1.2840e-04	6.8971e-05	5.6800e-05	9.9772e-05	4.2972e-05	1.0000e-37	2.6254e-06	8.5307e-07	5.4452e-16	6.3372e-07	4.1516e-09	2.7585e-10	2.5056e-09	1.2882e-09	4.0830e-09	2.3573e-06	1.1455e-06	5.8469e-06	1.6355e-06	5.4250e-06	9.6254e-12	2.3725e-11	1.0000e-37	2.3631e-09	2.6089e-07
iteration 3	1.8316e-07	1.6833e-11	1.5287e-06	1.0000e-37	1.0921e-02	1.1834e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.3892e-07	2.4680e-08	8.2759e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.3156e-08	1.0000e-37	2.0136e-10	2.6416e-13	7.2792e-08	1.0000e-37	1.0184e-12	7.5406e-11	3.2389e-10	7.0620e-09	1.1750e-08	1.0000e-37	2.3336e-13	2.6279e-07	4.1282e-06	1.3704e-07	7.7406e-08	3.7860e-06	1.2901e-06	3.2427e-13	1.0000e-37	1.0000e-37	8.8626e-04	1.8928e-05	3.8552e-05	1.9301e-05	2.7102e-09	1.5457e-06	1.4631e-07	3.5799e-07	4.0912e-06	5.4454e-06	1.3542e-06	1.1271e-05	2.0107e-05	9.9200e-13	5.2677e-12	4.0311e-12	1.0000e-37	1.0000e-37	9.0531e-04	4.3101e-05	2.7973e-10	8.4200e-10	6.7213e-06	1.0000e-37	1.3307e-07	1.5107e-07	2.3667e-06	2.5607e-05	1.4032e-08	8.1668e-06	1.2989e-04	4.0219e-05	5.7930e-05	1.1565e-04	5.7723e-05	1.0000e-37	8.8324e-07	3.3517e-07	1.0000e-37	2.1316e-07	3.8199e-09	2.8146e-10	2.5565e-09	1.3545e-09	4.1984e-09	7.2347e-07	1.1624e-06	1.7943e-06	1.6605e-06	4.3126e-06	7.5904e-14	1.8708e-13	1.0000e-37	1.2184e-10	1.3704e-07
iteration 3	1.6674e-08	1.5391e-13	1.3405e-06	1.0000e-37	1.0921e-02	1.1643e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.6171e-07	2.0108e-08	3.2167e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9932e-08	1.0000e-37	9.9909e-11	2.7060e-16	2.9492e-08	1.0000e-37	8.8104e-16	6.8620e-12	1.3099e-12	5.4383e-11	9.2609e-11	1.0000e-37	7.2074e-16	1.9713e-08	2.9187e-07	1.3357e-08	1.0602e-08	6.4661e-07	2.2601e-07	1.0646e-15	1.0000e-37	1.0000e-37	9.4050e-04	2.0660e-06	3.5778e-06	1.3125e-06	6.4746e-11	8.8592e-07	3.2782e-08	2.1592e-07	2.0140e-06	2.6806e-06	6.6660e-07	9.7642e-06	1.7499e-05	3.0577e-15	9.2095e-13	5.1937e-13	1.0000e-37	1.0000e-37	9.0531e-04	3.7865e-05	4.0193e-12	1.2098e-11	2.4194e-06	1.0000e-37	2.5519e-08	8.8893e-09	1.4939e-06	1.3064e-05	1.0052e-09	4.1664e-06	1.1637e-04	7.0279e-06	2.1752e-05	5.5183e-05	3.3431e-05	1.0000e-37	1.1142e-07	2.5089e-08	1.0000e-37	2.6889e-08	3.1104e-09	5.9418e-11	5.3969e-10	2.9784e-10	8.9742e-10	1.6309e-07	1.0513e-06	4.0446e-07	1.4965e-06	2.9777e-06	7.7968e-17	1.9217e-16	1.0000e-37	5.2392e-13	1.3357e-08
iteration 3	3.8369e-14	1.0672e-19	1.2346e-07	1.0000e-37	1.0921e-02	5.7436e-07	1.0000e-37	1.0000e-37	1.0000e-37	9.6822e-12	1.0000e-37	7.6596e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0262e-12	1.0000e-37	1.1612e-15	7.8020e-24	7.3414e-13	1.0000e-37	1.5171e-23	4.7049e-17	9.0983e-20	7.2425e-18	1.3385e-17	1.0000e-37	9.1813e-23	4.7473e-14	5.2547e-13	4.8135e-14	5.8890e-14	7.3614e-12	2.4823e-12	9.3569e-23	1.0000e-37	1.0000e-37	5.4913e-08	6.6331e-12	1.4604e-11	3.0225e-12	7.2035e-17	2.6323e-11	2.1168e-13	6.3725e-12	4.6580e-11	6.2117e-11	1.5537e-11	9.3688e-10	1.5468e-09	3.8904e-22	6.1150e-18	3.5392e-18	1.0000e-37	1.0000e-37	9.0531e-04	2.9678e-09	3.8278e-18	1.1522e-17	2.6775e-11	1.0000e-37	1.8097e-13	1.7793e-14	4.1385e-11	3.2604e-10	3.3623e-15	1.0398e-10	7.9410e-09	4.9267e-11	2.9378e-10	8.9149e-10	5.9771e-10	1.0000e-37	5.4523e-13	6.0535e-14	1.0000e-37	1.3157e-13	1.0000e-37	3.7237e-16	3.3822e-15	1.9224e-15	5.6770e-15	1.8584e-12	6.2759e-11	4.6088e-12	8.8597e-11	1.0688e-10	2.2518e-24	5.5502e-24	1.0000e-37	4.5181e-20	4.8135e-14
iteration 3	1.6115e-16	6.9350e-23	1.1877e-08	1.0000e-37	1.0921e-02	7.2698e-08	1.0000e-37	1.0000e-37	1.0000e-37	7.8411e-13	1.0000e-37	6.2031e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.3107e-14	1.0000e-37	2.2930e-17	2.0288e-27	6.0153e-14	1.0000e-37	1.6606e-28	1.1879e-18	1.2749e-23	2.1295e-22	5.2153e-22	1.0000e-37	5.5629e-27	4.5920e-17	4.2313e-16	1.0395e-16	2.1766e-16	3.0998e-13	1.0369e-13	3.6851e-27	1.0000e-37	1.0000e-37	5.2751e-09	1.0807e-14	2.0482e-13	4.3933e-15	8.1505e-20	1.7489e-12	1.1144e-15	4.4044e-13	8.7497e-13	1.1658e-12	2.9088e-13	7.7641e-11	1.2750e-10	2.3572e-26	1.1788e-19	6.9191e-20	1.0000e-37	1.0000e-37	9.0531e-04	2.4334e-10	2.8776e-21	8.6616e-21	3.1472e-13	1.0000e-37	8.9559e-16	1.3313e-17	2.9317e-12	1.0090e-11	1.2234e-18	3.2177e-12	6.4678e-10	1.5555e-13	5.3081e-12	1.7009e-11	1.1701e-11	1.0000e-37	1.2973e-16	5.8630e-17	1.0000e-37	3.1305e-17	1.0000e-37	1.9430e-18	1.7648e-17	1.0286e-17	2.9877e-17	3.7269e-15	5.4399e-12	9.2427e-15	7.4541e-12	6.7308e-12	5.8555e-28	1.4432e-27	1.0000e-37	1.2125e-23	1.0395e-16
iteration 3	1.2787e-18	8.6979e-26	1.1121e-09	1.0000e-37	1.0921e-02	7.1388e-09	1.0000e-37	1.0000e-37	1.0000e-37	7.1119e-14	1.0000e-37	5.6262e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.5378e-15	1.0000e-37	3.6486e-19	1.0000e-37	5.5703e-15	1.0000e-37	1.5462e-31	3.5973e-20	8.7495e-26	1.9354e-25	9.3945e-25	1.0000e-37	4.0791e-30	3.8439e-19	8.5214e-18	2.9328e-18	7.4953e-18	2.8116e-14	9.3989e-15	4.8215e-30	1.0000e-37	1.0000e-37	3.7286e-10	7.0932e-17	7.5994e-15	2.7805e-17	5.0639e-22	7.8822e-14	2.8278e-17	2.0504e-14	7.6221e-14	1.0087e-13	2.4654e-14	6.5634e-12	1.0642e-11	1.7284e-29	1.6421e-21	8.6691e-22	1.0000e-37	1.0000e-37	9.0531e-04	1.9897e-11	6.0750e-24	1.8286e-23	1.1628e-14	1.0000e-37	3.6114e-17	1.1286e-19	1.4240e-13	1.1307e-12	7.3057e-21	3.6061e-13	5.1410e-11	1.6211e-15	2.8902e-13	9.4303e-13	6.5401e-13	1.0000e-37	1.9779e-19	4.9074e-19	1.0000e-37	4.7730e-20	1.0000e-37	4.9100e-20	4.4598e-19	2.6297e-19	7.5804e-19	4.2783e-17	4.3460e-13	1.0610e-16	5.7137e-13	3.1210e-13	1.0000e-37	1.0000e-37	1.0000e-37	8.7018e-26	2.9328e-18
iteration 3	5.1365e-19	4.7413e-28	2.5536e-08	1.0000e-37	1.0921e-02	1.2970e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.3798e-12	1.0000e-37	1.0916e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4625e-13	1.0000e-37	3.4457e-20	1.0000e-37	1.5634e-13	1.0000e-37	4.5311e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8644e-19	3.8648e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.0397e-09	1.0000e-37	3.5724e-14	1.0000e-37	1.0000e-37	1.3676e-13	1.0000e-37	5.7814e-14	5.9239e-40	8.0781e-40	2.1542e-40	1.3863e-10	2.1978e-10	1.0000e-37	1.3471e-22	1.0000e-37	1.0000e-37	1.0000e-37	9.0531e-04	3.9799e-10	1.0000e-37	1.0000e-37	9.9360e-16	1.0000e-37	1.0000e-37	2.4431e-23	6.6401e-13	4.6637e-29	1.0000e-37	1.4873e-29	1.0054e-09	1.0000e-37	9.5963e-29	3.3382e-28	2.3786e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.7712e-12	1.0000e-37	8.5033e-12	5.3546e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.8648e-18
iteration 3	1.2090e-21	4.4760e-30	1.1868e-08	1.0000e-37	1.0921e-02	6.3566e-08	1.0000e-37	1.0000e-37	1.0000e-37	5.5011e-13	1.0000e-37	4.3520e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.8306e-14	1.0000e-37	1.4143e-21	1.0000e-37	7.3527e-14	1.0000e-37	4.6144e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.8550e-21	1.7007e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0457e-09	1.0000e-37	5.4432e-15	1.0000e-37	1.0000e-37	5.8347e-14	1.0000e-37	2.5509e-14	1.0000e-37	1.0000e-37	1.0000e-37	6.0330e-11	9.4803e-11	1.0000e-37	4.2419e-24	1.0000e-37	1.0000e-37	1.0000e-37	9.0531e-04	1.6946e-10	1.0000e-37	1.0000e-37	5.5939e-16	1.0000e-37	1.0000e-37	2.1285e-24	3.0023e-13	1.0000e-37	1.0000e-37	1.0000e-37	4.2082e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8959e-12	1.0000e-37	3.4812e-12	2.3737e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7007e-18
