#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.7160e-06	4.3485e-07	8.9400e-07	1.0000e-37	5.6334e-03	3.2064e-04	1.7765e-21	3.1846e-21	8.8764e-22	2.9848e-07	7.1843e-09	1.5704e-07	2.1800e-07	8.6466e-18	3.6754e-10	6.4942e-11	1.3385e-10	1.3989e-07	2.1839e-07	4.0956e-09	1.9576e-07	1.2677e-07	6.8203e-24	2.1709e-07	1.7450e-07	3.6999e-07	4.2609e-06	7.0446e-06	1.7716e-09	6.7083e-08	8.0895e-07	5.2012e-06	2.6413e-07	1.3218e-07	2.3877e-06	7.7306e-07	3.7065e-09	1.0000e-37	1.0000e-37	6.4903e-04	3.3991e-05	8.5609e-05	5.1025e-05	5.9788e-06	3.6221e-06	1.0990e-08	8.0330e-07	5.3993e-07	7.2062e-07	1.8075e-07	9.1633e-06	1.6608e-05	3.3356e-07	2.6539e-11	5.6741e-12	2.2058e-20	2.4673e-08	5.0805e-04	3.5864e-05	3.2525e-05	9.7986e-05	2.2333e-07	1.0000e-37	2.0173e-08	3.1914e-07	5.2206e-06	1.3093e-06	6.5224e-07	4.1789e-07	1.0915e-04	2.5608e-05	7.2069e-06	1.2208e-05	5.0014e-06	8.9264e-19	7.3405e-06	1.1704e-06	4.7858e-11	1.7821e-06	1.3051e-09	2.4125e-11	2.1920e-10	1.0559e-10	3.7579e-10	1.5242e-05	9.8318e-07	3.7924e-05	1.4132e-06	8.5662e-06	4.5623e-08	1.1220e-07	1.0000e-37	1.1605e-07	2.6413e-07
iteration 3	7.0420e-07	2.8514e-07	1.0719e-06	1.0000e-37	5.6334e-03	8.8510e-04	1.0000e-37	1.0000e-37	1.0000e-37	2.7383e-07	2.4991e-08	1.4945e-07	3.9469e-09	7.6634e-19	1.5430e-11	1.3756e-12	2.3544e-12	1.4037e-07	1.9099e-09	1.7598e-09	2.5119e-08	1.1899e-07	1.0000e-37	4.5657e-08	2.9086e-08	1.7233e-07	3.0226e-06	4.9975e-06	4.9660e-11	9.6986e-09	1.7873e-06	1.5184e-05	5.6175e-07	2.6252e-07	7.6307e-06	2.5484e-06	1.5387e-09	1.0000e-37	1.0000e-37	7.1139e-04	8.2381e-05	2.0537e-04	1.2245e-04	2.4874e-06	4.1647e-06	8.5831e-08	9.1274e-07	2.5783e-06	3.4411e-06	8.6285e-07	1.0626e-05	1.9182e-05	4.2456e-08	1.8713e-11	5.3627e-12	5.2539e-21	8.7530e-10	5.0805e-04	4.1027e-05	4.0135e-06	1.2083e-05	1.3963e-06	1.0000e-37	8.8867e-08	8.7201e-07	5.7298e-06	7.0922e-06	5.9763e-07	2.2622e-06	1.2174e-04	9.1744e-05	3.5523e-05	6.0394e-05	2.4871e-05	1.8005e-21	8.5218e-06	2.3319e-06	1.9381e-12	2.0591e-06	3.9787e-09	1.9391e-10	1.7614e-09	8.5757e-10	2.8549e-09	1.2788e-05	1.0754e-06	3.1735e-05	1.5428e-06	8.8927e-06	6.9330e-09	1.7090e-08	1.0000e-37	6.1620e-08	5.6175e-07
iteration 3	3.4560e-07	4.8001e-09	1.0952e-06	1.0000e-37	5.6334e-03	1.0451e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.0737e-07	2.7856e-08	1.0091e-07	2.2105e-12	1.0000e-37	6.4410e-14	1.0000e-37	1.0000e-37	1.0404e-07	1.0000e-37	9.6690e-10	3.2501e-10	8.2728e-08	1.0000e-37	7.2245e-10	1.2739e-09	1.9934e-08	5.1590e-07	8.5375e-07	1.0000e-37	1.4199e-10	1.3245e-06	1.7831e-05	5.6574e-07	2.5527e-07	1.0540e-05	3.5394e-06	1.8206e-10	1.0000e-37	1.0000e-37	7.4809e-04	6.6335e-05	1.5836e-04	9.1509e-05	3.9306e-07	3.8050e-06	2.4260e-07	8.4166e-07	5.2740e-06	7.0338e-06	1.7598e-06	1.0835e-05	1.9555e-05	6.0714e-10	1.1425e-11	1.7244e-12	1.0000e-37	9.6991e-12	5.0805e-04	4.1839e-05	6.6241e-08	1.9940e-07	5.7690e-06	1.0000e-37	2.4478e-07	7.4510e-07	5.3187e-06	2.5084e-05	1.7690e-07	8.0001e-06	1.2421e-04	9.4653e-05	7.3740e-05	1.2931e-04	5.5572e-05	1.0000e-37	5.8762e-06	1.7022e-06	1.9847e-14	1.4185e-06	4.1921e-09	5.1188e-10	4.6495e-09	2.3432e-09	7.5351e-09	4.3056e-06	1.0932e-06	1.0680e-05	1.5682e-06	8.7566e-06	9.2628e-11	2.2831e-10	1.0000e-37	7.3377e-09	5.6574e-07
iteration 3	1.6293e-07	3.2604e-11	1.0441e-06	1.0000e-37	5.6334e-03	1.1485e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.5851e-07	2.4387e-08	5.8233e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.5003e-08	1.0000e-37	6.5084e-10	2.2346e-12	4.9192e-08	1.0000e-37	6.0154e-12	1.1383e-10	9.6089e-10	3.5010e-08	5.8223e-08	1.0000e-37	1.5152e-12	4.8805e-07	8.3555e-06	2.9340e-07	1.5197e-07	7.0658e-06	2.3863e-06	8.5957e-12	1.0000e-37	1.0000e-37	8.3110e-04	2.8839e-05	5.9295e-05	2.9988e-05	4.5325e-08	3.0942e-06	2.4675e-07	7.0604e-07	6.2260e-06	8.2873e-06	2.0613e-06	1.0796e-05	1.9526e-05	6.4463e-12	6.8220e-12	3.4306e-13	1.0000e-37	1.0000e-37	5.0805e-04	4.1980e-05	1.2721e-09	3.8292e-09	1.0647e-05	1.0000e-37	2.7343e-07	2.7547e-07	4.6050e-06	4.2476e-05	3.4436e-08	1.3547e-05	1.2579e-04	5.6011e-05	7.9343e-05	1.5659e-04	7.7248e-05	1.0000e-37	2.4113e-06	6.2280e-07	1.0000e-37	5.8198e-07	3.7317e-09	4.8542e-10	4.4091e-09	2.3060e-09	7.2132e-09	1.3661e-06	1.1121e-06	3.3881e-06	1.5957e-06	8.8194e-06	6.4137e-13	1.5808e-12	1.0000e-37	3.6052e-10	2.9340e-07
iteration 3	2.2250e-08	3.2539e-13	9.1701e-07	1.0000e-37	5.6334e-03	1.1627e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.1132e-07	2.0320e-08	2.5289e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0505e-08	1.0000e-37	3.9557e-10	2.5398e-15	2.1683e-08	1.0000e-37	5.8792e-15	9.0441e-12	4.3858e-12	2.7333e-10	4.6418e-10	1.0000e-37	5.1401e-15	3.8404e-08	5.9761e-07	3.1225e-08	2.2594e-08	1.2308e-06	4.2187e-07	3.9134e-14	1.0000e-37	1.0000e-37	9.1946e-04	3.3702e-06	5.8993e-06	2.2120e-06	1.4839e-09	2.1133e-06	5.2187e-08	5.1023e-07	3.1885e-06	4.2431e-06	1.0546e-06	9.6682e-06	1.7558e-05	2.1817e-14	3.7413e-12	5.5669e-14	1.0000e-37	1.0000e-37	5.0805e-04	3.8129e-05	1.9603e-11	5.9005e-11	4.1717e-06	1.0000e-37	5.4449e-08	1.7441e-08	3.5071e-06	2.2026e-05	2.7366e-09	7.0245e-06	1.1686e-04	1.0451e-05	3.2732e-05	8.1181e-05	4.8449e-05	1.0000e-37	3.7147e-07	4.8883e-08	1.0000e-37	8.9647e-08	3.1461e-09	9.5299e-11	8.6560e-10	4.7457e-10	1.4365e-09	3.4192e-07	1.0420e-06	8.4799e-07	1.4905e-06	7.1321e-06	7.3135e-16	1.8026e-15	1.0000e-37	1.7385e-12	3.1225e-08
iteration 3	4.1507e-11	2.1262e-16	6.4357e-07	1.0000e-37	5.6334e-03	5.9222e-05	1.0000e-37	1.0000e-37	1.0000e-37	6.3173e-09	8.9572e-10	4.8842e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.5043e-10	1.0000e-37	9.8350e-12	7.4133e-20	4.3666e-10	1.0000e-37	1.1101e-19	4.7175e-14	3.3475e-16	3.4897e-14	6.3937e-14	1.0000e-37	6.8831e-19	9.5056e-11	9.8494e-10	1.1234e-10	1.2257e-10	9.7074e-09	3.2972e-09	3.8666e-18	1.0000e-37	1.0000e-37	4.9445e-05	1.0898e-08	2.2834e-08	5.0280e-09	1.6843e-12	5.8794e-08	2.4538e-10	1.4407e-08	6.9142e-08	9.2188e-08	2.3046e-08	4.9313e-07	8.7618e-07	2.9167e-18	4.5098e-14	3.3174e-16	1.0000e-37	1.0000e-37	5.0805e-04	1.8298e-06	1.8594e-14	5.5968e-14	4.1968e-08	1.0000e-37	3.6617e-10	3.4862e-11	9.7162e-08	4.9097e-07	8.8394e-12	1.5658e-07	5.4834e-06	7.0994e-08	3.9226e-07	1.1835e-06	7.9120e-07	1.0000e-37	1.8717e-09	1.2120e-10	1.0000e-37	4.5167e-10	1.3818e-10	4.3236e-13	3.9271e-12	2.2225e-12	6.5821e-12	3.6245e-09	5.2432e-08	8.9888e-09	7.3127e-08	2.5310e-07	2.1395e-20	5.2733e-20	1.0000e-37	1.5619e-16	1.1234e-10
iteration 3	1.7859e-16	1.5520e-22	7.5802e-09	1.0000e-37	5.6334e-03	4.0775e-08	1.0000e-37	1.0000e-37	1.0000e-37	5.1320e-13	1.0000e-37	3.8256e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.1064e-14	1.0000e-37	1.6061e-16	5.0761e-27	3.4384e-14	1.0000e-37	1.1383e-27	1.1508e-18	2.8541e-23	2.2787e-21	5.1075e-21	1.0000e-37	7.4138e-26	1.5803e-16	1.5094e-15	4.2263e-16	7.4312e-16	2.3717e-13	7.9801e-14	3.4299e-25	1.0000e-37	1.0000e-37	4.3431e-09	2.5580e-14	3.0163e-13	1.0453e-14	2.7714e-18	3.6474e-12	1.6398e-15	9.0643e-13	1.8618e-12	2.4807e-12	6.1889e-13	4.2299e-11	8.1172e-11	3.1414e-25	8.0885e-19	6.2839e-21	1.0000e-37	1.0000e-37	5.0805e-04	1.6310e-10	1.7825e-20	5.3653e-20	6.3128e-13	1.0000e-37	2.8489e-15	4.5517e-17	5.9494e-12	1.8610e-11	5.1532e-18	5.9351e-12	4.6258e-10	3.1263e-13	8.9350e-12	2.8544e-11	1.9609e-11	1.0000e-37	6.0004e-16	2.0176e-16	1.0000e-37	1.4480e-16	1.0000e-37	2.8668e-18	2.6039e-17	1.5063e-17	4.3968e-17	9.2846e-15	3.9508e-12	2.3026e-14	5.4464e-12	1.5114e-11	1.4651e-27	3.6111e-27	1.0000e-37	2.1772e-23	4.2263e-16
iteration 3	1.7752e-18	2.1172e-25	7.0892e-10	1.0000e-37	5.6334e-03	3.9888e-09	1.0000e-37	1.0000e-37	1.0000e-37	4.7653e-14	1.0000e-37	3.5523e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.7415e-15	1.0000e-37	2.8803e-18	1.0000e-37	3.2121e-15	1.0000e-37	5.6150e-31	3.5509e-20	1.5379e-25	4.3540e-24	1.4292e-23	1.0000e-37	7.9094e-29	1.9052e-18	5.6765e-17	1.6855e-17	3.6022e-17	2.0355e-14	6.8395e-15	7.8306e-28	1.0000e-37	1.0000e-37	2.9101e-10	2.1854e-16	1.1357e-14	8.5847e-17	2.2528e-20	1.7710e-13	5.2966e-17	4.5165e-14	2.1584e-13	2.8588e-13	7.0045e-14	3.2920e-12	6.3804e-12	3.3514e-28	1.4482e-20	8.5323e-23	1.0000e-37	1.0000e-37	5.0805e-04	1.2560e-11	4.4546e-23	1.3408e-22	2.8423e-14	1.0000e-37	1.5831e-16	5.5492e-19	3.0584e-13	2.4223e-12	3.7451e-20	7.7250e-13	3.4768e-11	4.1367e-15	6.0534e-13	1.9711e-12	1.3658e-12	1.0000e-37	1.0318e-18	2.4325e-18	1.0000e-37	2.4899e-19	1.0000e-37	9.2285e-20	8.3822e-19	4.8950e-19	1.4200e-18	1.1354e-16	2.8655e-13	2.8158e-16	3.8106e-13	7.7069e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.4312e-25	1.6855e-17
iteration 3	6.5228e-19	7.2213e-28	1.3027e-08	1.0000e-37	5.6334e-03	5.9346e-08	1.0000e-37	1.0000e-37	1.0000e-37	8.0839e-13	1.0000e-37	6.0261e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.0435e-14	1.0000e-37	1.9293e-19	1.0000e-37	7.3346e-14	1.0000e-37	5.1444e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9525e-19	2.1077e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.6672e-09	1.0000e-37	5.4323e-14	1.0000e-37	1.0000e-37	1.8796e-13	1.0000e-37	7.9393e-14	5.1323e-40	6.9986e-40	1.8663e-40	4.4467e-11	8.9851e-11	1.0000e-37	9.6824e-22	1.0000e-37	1.0000e-37	1.0000e-37	5.0805e-04	1.7013e-10	1.0000e-37	1.0000e-37	5.1797e-16	1.0000e-37	1.0000e-37	5.0350e-23	8.9660e-13	4.4576e-29	1.0000e-37	1.4216e-29	4.6563e-10	1.0000e-37	9.2565e-29	3.2171e-28	2.2914e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3864e-12	1.0000e-37	3.0650e-12	7.2737e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1077e-18
iteration 3	1.2230e-21	7.7306e-30	4.9712e-09	1.0000e-37	5.6334e-03	2.4282e-08	1.0000e-37	1.0000e-37	1.0000e-37	3.0055e-13	1.0000e-37	2.2405e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9905e-14	1.0000e-37	6.4337e-21	1.0000e-37	2.8948e-14	1.0000e-37	5.9920e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.4623e-21	8.7189e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.1277e-10	1.0000e-37	6.1632e-15	1.0000e-37	1.0000e-37	6.7349e-14	1.0000e-37	2.9418e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.5476e-11	3.1409e-11	1.0000e-37	3.2237e-23	1.0000e-37	1.0000e-37	1.0000e-37	5.0805e-04	5.8702e-11	1.0000e-37	1.0000e-37	2.5443e-16	1.0000e-37	1.0000e-37	4.9885e-24	3.4017e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.5828e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.8158e-13	1.0000e-37	9.6014e-13	2.7057e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.7189e-19
