#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.2939e-06	4.1559e-07	8.5283e-07	1.0000e-37	6.1848e-03	1.0424e-03	1.6673e-16	2.7731e-16	1.1058e-16	1.1229e-06	1.0014e-08	2.4937e-07	3.3337e-07	1.4326e-13	1.4289e-10	1.3006e-11	2.3425e-11	2.5092e-07	3.1575e-07	7.0895e-08	1.6785e-08	2.8677e-07	7.5594e-19	1.2681e-08	2.4549e-07	1.9181e-07	3.6002e-07	5.9562e-07	8.9362e-09	1.2955e-08	1.5855e-07	7.5135e-07	3.6634e-07	3.3453e-07	7.3968e-06	2.5155e-06	4.7665e-10	1.0000e-37	1.3282e-04	9.1735e-04	1.1777e-05	3.0323e-05	1.7693e-05	2.7937e-06	3.8291e-06	1.4898e-07	8.9194e-07	2.4840e-07	3.3172e-07	8.3316e-08	1.1156e-05	2.0147e-05	5.4916e-08	6.3341e-09	5.6582e-09	1.1711e-16	6.5910e-09	5.1960e-04	4.3365e-05	1.7034e-05	5.1271e-05	7.4446e-08	1.0000e-37	4.0763e-09	7.8618e-08	5.9171e-06	5.4258e-07	2.5059e-07	1.7304e-07	1.3189e-04	1.4424e-05	5.0196e-06	8.4706e-06	3.4510e-06	1.9888e-16	3.2413e-06	2.8750e-07	6.2607e-12	7.8216e-07	1.5443e-09	7.7713e-09	7.0587e-08	3.0297e-08	1.0865e-07	1.2305e-05	1.1485e-06	3.0516e-05	1.6527e-06	8.2068e-06	4.8586e-09	1.1926e-08	1.1895e-21	8.0996e-08	3.6634e-07
iteration 3	6.0941e-07	1.9065e-07	9.8128e-07	1.0000e-37	6.1848e-03	1.0480e-03	1.0000e-37	1.0000e-37	1.0000e-37	5.4682e-07	3.0364e-08	1.8822e-07	6.9015e-09	4.7674e-16	2.9606e-13	1.6881e-14	2.9117e-14	1.7311e-07	4.8021e-09	4.0433e-08	2.0296e-10	1.7243e-07	1.0000e-37	2.0168e-10	1.0102e-07	3.7106e-09	2.2091e-08	3.6542e-08	1.6818e-10	3.1993e-10	6.1755e-08	3.7270e-07	1.2626e-07	1.3934e-07	5.1548e-06	1.7630e-06	1.9333e-11	1.0000e-37	1.2927e-04	9.8919e-04	8.7170e-06	2.2298e-05	1.2945e-05	3.4935e-07	3.5903e-06	4.6358e-07	8.5472e-07	4.2148e-07	5.6305e-07	1.4157e-07	1.1054e-05	1.9995e-05	1.3566e-09	5.3158e-09	4.7314e-09	4.1313e-20	7.9993e-11	5.1960e-04	4.3222e-05	9.4873e-07	2.8557e-06	2.0334e-07	1.0000e-37	5.1488e-09	4.8319e-08	5.8075e-06	1.2561e-06	6.6355e-08	4.0059e-07	1.3303e-04	2.1854e-05	1.2938e-05	2.1904e-05	8.9659e-06	1.0221e-18	1.7774e-06	8.7659e-08	5.4525e-14	4.2891e-07	4.6848e-09	2.2516e-08	2.0451e-07	8.7727e-08	3.1476e-07	5.7499e-06	1.1554e-06	1.4260e-05	1.6644e-06	7.8777e-06	5.8582e-11	1.4438e-10	1.0000e-37	1.4868e-09	1.2626e-07
iteration 3	2.5714e-07	2.1418e-09	9.3595e-07	1.0000e-37	6.1848e-03	1.0538e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.6538e-07	3.1022e-08	1.2214e-07	1.0000e-37	1.0000e-37	1.9390e-16	1.0000e-37	1.0000e-37	1.0796e-07	1.0000e-37	1.1599e-08	3.9030e-13	1.0296e-07	1.0000e-37	4.4433e-13	5.4256e-09	2.3079e-11	4.8123e-10	7.9707e-10	1.0000e-37	1.2327e-12	9.4969e-09	6.8456e-08	1.9915e-08	2.9579e-08	1.5267e-06	5.3312e-07	2.3465e-13	1.0000e-37	1.2084e-04	1.0608e-03	2.4728e-06	6.3668e-06	3.3480e-06	1.8648e-08	2.7174e-06	5.9020e-07	6.6422e-07	2.9630e-07	3.9552e-07	9.9226e-08	1.0579e-05	1.9184e-05	5.2234e-12	1.1105e-09	9.7281e-10	1.0000e-37	4.0540e-13	5.1960e-04	4.1711e-05	9.0311e-09	2.7184e-08	2.8688e-07	1.0000e-37	2.5105e-09	1.0778e-08	4.6306e-06	1.4637e-06	7.1133e-09	4.6680e-07	1.3030e-04	1.1450e-05	1.3140e-05	2.3179e-05	1.0039e-05	1.0000e-37	6.2113e-07	1.2326e-08	1.6177e-16	1.4989e-07	4.7858e-09	1.3234e-08	1.2020e-07	4.6422e-08	1.7986e-07	1.2478e-06	1.1288e-06	3.0945e-06	1.6273e-06	6.2410e-06	1.1265e-13	2.7765e-13	1.0000e-37	9.2759e-12	1.9915e-08
iteration 3	6.6486e-09	1.2182e-12	8.3735e-07	1.0000e-37	6.1848e-03	7.8318e-05	1.0000e-37	1.0000e-37	1.0000e-37	7.1571e-08	1.8331e-09	9.2271e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2137e-08	1.0000e-37	1.5459e-09	5.8185e-17	1.3604e-08	1.0000e-37	7.1257e-17	1.8351e-11	1.2730e-14	5.6110e-13	9.3674e-13	1.0000e-37	4.1043e-16	9.4175e-11	6.2924e-10	2.0634e-10	4.0362e-10	6.3293e-08	2.4369e-08	1.3706e-16	1.0000e-37	7.5743e-06	7.6481e-05	3.8895e-08	1.0044e-07	3.6379e-08	5.2775e-11	1.0177e-07	2.1837e-08	2.5059e-08	1.1718e-08	1.5599e-08	3.8811e-09	7.6488e-07	1.3378e-06	1.7391e-15	9.7361e-12	6.4918e-12	1.0000e-37	1.0000e-37	5.1960e-04	2.7838e-06	1.0423e-11	3.1372e-11	1.5368e-08	1.0000e-37	6.3971e-11	1.1769e-10	1.7157e-07	8.0370e-08	4.3945e-11	2.5631e-08	8.5247e-06	3.0301e-07	4.6041e-07	9.7903e-07	5.1862e-07	1.0000e-37	1.0127e-08	1.2046e-10	1.0000e-37	2.4437e-09	2.8276e-10	4.5465e-11	4.1295e-10	2.1678e-10	6.7520e-10	1.7587e-08	7.5502e-08	4.3616e-08	1.0811e-07	2.5360e-07	1.6794e-17	4.1392e-17	1.0000e-37	5.7433e-15	2.0634e-10
iteration 3	2.1668e-12	3.6804e-17	3.1264e-07	1.0000e-37	6.1848e-03	1.0179e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.4975e-10	3.2730e-13	2.6051e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5860e-11	1.0000e-37	1.0417e-12	6.8239e-22	4.1925e-11	1.0000e-37	4.8703e-23	1.3052e-14	4.8170e-20	1.4458e-20	4.4432e-19	1.0000e-37	1.4483e-23	1.2368e-16	7.1357e-16	1.5669e-15	2.1187e-15	1.9580e-10	6.5605e-11	1.2519e-24	1.0000e-37	2.9368e-08	4.4847e-07	4.9120e-13	8.0241e-11	2.9039e-13	2.3231e-16	3.0310e-10	6.8508e-13	7.7329e-11	1.1664e-12	1.5569e-12	3.9050e-13	4.0941e-09	7.6367e-09	6.1370e-23	6.6137e-15	5.0048e-15	1.0000e-37	1.0000e-37	5.1960e-04	1.4250e-08	4.1679e-17	1.2545e-16	3.3637e-12	1.0000e-37	6.7382e-16	5.3419e-16	5.1935e-10	2.3010e-11	3.6304e-16	7.3382e-12	3.9467e-08	2.3705e-11	1.2444e-10	3.3292e-10	2.0849e-10	1.0000e-37	9.7050e-13	3.0288e-16	1.0000e-37	2.3419e-13	5.0486e-14	1.1881e-15	1.0791e-14	6.3894e-15	1.8369e-14	3.8013e-12	3.1873e-10	9.4271e-12	4.5673e-10	7.2889e-10	1.9695e-22	4.8544e-22	1.0000e-37	4.8152e-20	1.5669e-15
iteration 3	7.7882e-15	1.8701e-20	3.5170e-08	1.0000e-37	6.1848e-03	1.6355e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.0122e-11	1.0000e-37	1.4931e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0563e-12	1.0000e-37	1.3297e-14	1.0000e-37	2.4674e-12	1.0000e-37	2.5381e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8091e-28	1.6456e-18	7.1393e-17	1.0000e-37	7.6689e-12	2.5656e-12	1.0000e-37	1.0000e-37	1.7677e-09	5.1612e-08	1.6147e-21	2.9472e-12	7.2666e-22	1.0000e-37	1.6128e-11	1.0714e-20	4.4266e-12	1.0648e-19	1.4335e-19	3.6875e-20	2.6917e-10	5.0416e-10	1.0000e-37	9.0271e-17	7.5056e-17	1.0000e-37	1.0000e-37	5.1960e-04	9.6788e-10	1.0000e-37	1.0000e-37	1.3613e-14	1.0000e-37	1.5091e-25	1.3401e-18	3.1336e-11	1.3896e-16	7.0972e-25	4.4317e-17	2.9011e-09	4.6218e-17	1.1613e-15	3.6066e-15	2.4453e-15	1.0000e-37	1.5409e-18	6.3579e-19	1.0000e-37	3.7183e-19	1.0000e-37	1.7664e-23	1.6044e-22	1.0862e-22	2.8672e-22	9.7865e-17	2.3399e-11	2.4270e-16	3.2812e-11	3.8235e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.1393e-17
iteration 3	1.8776e-17	1.3976e-23	2.6147e-09	1.0000e-37	6.1848e-03	1.5316e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.2080e-12	1.0000e-37	8.9638e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2345e-13	1.0000e-37	1.3059e-16	1.0000e-37	1.6186e-13	1.0000e-37	1.0978e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4849e-20	3.0362e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0906e-10	5.2515e-09	2.7445e-34	7.9879e-14	1.1365e-34	1.0000e-37	6.0802e-13	1.7988e-32	1.7587e-13	1.0343e-30	1.4048e-30	3.7054e-31	1.8128e-11	3.3866e-11	1.0000e-37	8.9477e-19	8.1954e-19	1.0000e-37	1.0000e-37	5.1960e-04	6.5316e-11	1.0000e-37	1.0000e-37	3.2202e-16	1.0000e-37	1.0000e-37	1.0032e-20	1.3094e-12	6.5791e-24	1.0000e-37	2.0982e-24	1.9684e-10	1.0000e-37	3.4624e-23	1.1548e-22	8.0851e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7139e-35	2.4650e-34	2.0643e-34	4.8007e-34	1.0000e-37	1.7616e-12	1.0000e-37	2.3522e-12	1.5104e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0362e-18
iteration 3	7.9132e-20	1.2588e-26	2.8955e-10	1.0000e-37	6.1848e-03	1.7470e-09	1.0000e-37	1.0000e-37	1.0000e-37	9.0934e-14	1.0000e-37	6.7475e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.2929e-15	1.0000e-37	8.5593e-19	1.0000e-37	1.7678e-14	1.0000e-37	9.8018e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0414e-21	3.2095e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1459e-11	4.9877e-10	9.6046e-33	3.2902e-15	3.8424e-33	1.0000e-37	1.4147e-14	1.3554e-30	4.4092e-15	7.1221e-29	9.5361e-29	2.4140e-29	1.9469e-12	3.6168e-12	1.0000e-37	5.1001e-21	4.5268e-21	1.0000e-37	1.0000e-37	5.1960e-04	6.8692e-12	1.0000e-37	1.0000e-37	1.0021e-17	1.0000e-37	1.0000e-37	8.9800e-23	3.6915e-14	2.4525e-22	1.0000e-37	7.8213e-23	2.0000e-11	1.0000e-37	7.0496e-23	2.3737e-22	1.6688e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0959e-33	1.9037e-32	1.5066e-32	3.6199e-32	1.0000e-37	2.0001e-13	1.0000e-37	2.5327e-13	3.8540e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.2095e-19
iteration 3	1.6248e-17	7.3839e-25	3.2678e-07	1.0000e-37	6.1848e-03	1.1554e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0880e-10	1.0000e-37	8.0949e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1149e-11	1.0000e-37	1.8335e-16	1.0000e-37	7.4482e-11	1.0000e-37	5.8432e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0953e-18	2.7895e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.0415e-08	2.4371e-06	1.0000e-37	4.3851e-12	1.0000e-37	1.0000e-37	2.0349e-11	1.0321e-37	7.6678e-12	1.0285e-35	1.3541e-35	3.2563e-36	7.9997e-09	1.4111e-08	1.0000e-37	8.9076e-19	8.1452e-19	1.0000e-37	1.0000e-37	5.1960e-04	2.4827e-08	1.0000e-37	1.0000e-37	1.2532e-14	1.0000e-37	1.0000e-37	5.1463e-20	7.8909e-11	1.7219e-24	1.0000e-37	5.4914e-25	6.5449e-08	1.0000e-37	4.2787e-26	1.4805e-25	1.0526e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.8720e-10	1.0000e-37	1.0751e-09	6.9107e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7895e-16
iteration 3	3.6503e-19	1.0632e-26	2.8948e-07	1.0000e-37	6.1848e-03	9.3754e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.2231e-11	1.0000e-37	1.6505e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.2732e-12	1.0000e-37	1.1868e-17	1.0000e-37	7.4375e-11	1.0000e-37	8.4730e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4638e-19	5.7534e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5511e-08	1.6963e-06	1.0000e-37	1.4073e-12	1.0000e-37	1.0000e-37	1.3617e-11	1.0000e-37	5.7313e-12	3.3270e-40	3.3270e-40	1.0000e-37	6.6942e-09	1.1575e-08	1.0000e-37	3.8951e-20	1.0000e-37	1.0000e-37	1.0000e-37	5.1960e-04	1.9080e-08	1.0000e-37	1.0000e-37	4.7249e-15	1.0000e-37	1.0000e-37	6.7658e-21	6.4713e-11	1.5798e-26	1.0000e-37	5.0383e-27	4.7052e-08	1.0000e-37	1.6601e-29	5.8078e-29	4.1478e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.5532e-10	1.0000e-37	7.9674e-10	5.2516e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.7534e-17
