#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.0138e-06	4.0536e-07	7.8113e-07	1.0000e-37	5.2851e-03	1.0407e-03	9.3918e-16	1.4638e-15	5.2459e-16	9.8855e-07	8.0951e-09	2.1848e-07	3.0668e-07	3.1509e-13	1.8885e-10	3.6024e-11	6.3085e-11	2.2336e-07	3.1571e-07	1.5514e-07	2.3787e-08	2.5450e-07	4.1410e-18	1.6014e-08	2.2176e-07	2.2129e-07	4.4668e-07	7.3884e-07	1.9908e-08	1.7235e-08	1.6871e-07	9.0582e-07	4.4619e-07	3.8962e-07	8.7016e-06	2.9521e-06	7.4148e-10	1.0000e-37	1.3331e-04	9.0928e-04	1.1538e-05	2.9770e-05	1.7334e-05	3.7087e-06	3.8512e-06	1.7236e-07	8.9466e-07	2.8967e-07	3.8680e-07	9.7129e-08	1.1101e-05	2.0109e-05	7.3076e-08	1.3107e-08	1.1706e-08	3.0096e-16	1.0992e-08	4.7430e-04	4.3322e-05	2.0468e-05	6.1608e-05	9.9271e-08	1.0000e-37	6.1899e-09	8.7265e-08	5.9184e-06	7.3807e-07	2.7312e-07	2.3538e-07	1.3161e-04	1.4685e-05	5.5106e-06	9.3028e-06	3.7922e-06	8.2665e-14	3.4024e-06	3.0946e-07	1.0906e-11	8.2105e-07	1.2480e-09	9.6043e-09	8.7236e-08	3.7826e-08	1.3467e-07	1.2634e-05	1.1437e-06	3.1332e-05	1.6471e-06	8.2361e-06	6.8878e-09	1.6899e-08	5.7409e-21	9.0770e-08	4.4619e-07
iteration 3	5.4074e-07	1.7958e-07	9.0256e-07	1.0000e-37	5.2851e-03	1.0453e-03	1.2830e-19	1.9996e-19	7.1662e-20	4.8719e-07	2.9488e-08	1.6547e-07	8.4761e-09	1.6211e-15	4.1534e-13	5.3989e-14	9.1345e-14	1.5384e-07	9.2753e-09	8.6718e-08	3.7396e-10	1.5438e-07	5.4609e-21	3.0352e-10	9.1943e-08	5.1898e-09	3.1777e-08	5.2556e-08	3.7179e-10	5.4898e-10	7.9296e-08	4.9934e-07	1.6955e-07	1.8054e-07	6.5109e-06	2.2185e-06	4.1469e-11	1.0000e-37	1.2997e-04	9.7249e-04	1.0237e-05	2.6120e-05	1.5206e-05	6.1688e-07	3.6445e-06	5.4886e-07	8.6373e-07	5.0304e-07	6.7196e-07	1.6892e-07	1.1003e-05	1.9957e-05	2.3292e-09	1.1061e-08	9.8553e-09	1.3102e-19	1.4046e-10	4.7430e-04	4.3161e-05	1.4411e-06	4.3379e-06	2.5532e-07	1.0000e-37	7.1628e-09	5.9878e-08	5.8385e-06	1.5829e-06	7.9897e-08	5.0480e-07	1.3253e-04	2.4220e-05	1.4458e-05	2.4479e-05	1.0021e-05	3.3474e-18	1.9864e-06	1.1315e-07	1.0294e-13	4.7935e-07	4.5496e-09	2.9436e-08	2.6736e-07	1.1624e-07	4.1304e-07	6.2562e-06	1.1494e-06	1.5515e-05	1.6568e-06	7.9674e-06	1.0794e-10	2.6602e-10	1.0000e-37	2.0307e-09	1.6955e-07
iteration 3	2.2370e-07	2.2181e-09	8.6055e-07	1.0000e-37	5.2851e-03	1.0579e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.3646e-07	3.1170e-08	1.0815e-07	4.4921e-13	1.0000e-37	2.7110e-16	1.0000e-37	1.0000e-37	9.6259e-08	1.0000e-37	2.5921e-08	7.6942e-13	9.2304e-08	1.0000e-37	7.0664e-13	5.2414e-09	3.4776e-11	6.9791e-10	1.1557e-09	1.0000e-37	2.2400e-12	1.2407e-08	9.1674e-08	2.6775e-08	3.8437e-08	1.9163e-06	6.6371e-07	5.5051e-13	1.0000e-37	1.2217e-04	1.0526e-03	2.9649e-06	7.5654e-06	4.0208e-06	3.6329e-08	2.8069e-06	7.0069e-07	6.8394e-07	3.5272e-07	4.7082e-07	1.1811e-07	1.0597e-05	1.9267e-05	9.4916e-12	2.4230e-09	2.1187e-09	1.0000e-37	7.3913e-13	4.7430e-04	4.1920e-05	1.4265e-08	4.2937e-08	3.4332e-07	1.0000e-37	3.3162e-09	1.3491e-08	4.7602e-06	1.7595e-06	8.7044e-09	5.6113e-07	1.3079e-04	1.2839e-05	1.4764e-05	2.6019e-05	1.1255e-05	1.0000e-37	7.0313e-07	1.6118e-08	3.2015e-16	1.6967e-07	4.8086e-09	1.6640e-08	1.5114e-07	5.8690e-08	2.2647e-07	1.3813e-06	1.1308e-06	3.4257e-06	1.6313e-06	6.4398e-06	2.2207e-13	5.4735e-13	1.0000e-37	1.3631e-11	2.6775e-08
iteration 3	6.6352e-09	1.4672e-12	7.7867e-07	1.0000e-37	5.2851e-03	9.1327e-05	1.0000e-37	1.0000e-37	1.0000e-37	6.7447e-08	2.1565e-09	9.4656e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2448e-08	1.0000e-37	3.7766e-09	1.1672e-16	1.3955e-08	1.0000e-37	1.1915e-16	1.9941e-11	1.9608e-14	8.3246e-13	1.3891e-12	1.0000e-37	8.1030e-16	1.3174e-10	8.8233e-10	2.9310e-10	5.6035e-10	7.0906e-08	2.7310e-08	3.3983e-16	1.0000e-37	8.9714e-06	8.9688e-05	5.1398e-08	1.3028e-07	4.8185e-08	1.1470e-10	1.2137e-07	2.8012e-08	2.9887e-08	1.5263e-08	2.0317e-08	5.0547e-09	8.5449e-07	1.5326e-06	3.4335e-15	2.4505e-11	1.6128e-11	1.0000e-37	1.0000e-37	4.7430e-04	3.2412e-06	1.8661e-11	5.6171e-11	1.9867e-08	1.0000e-37	8.8467e-11	1.6015e-10	2.0504e-07	1.0414e-07	5.8841e-11	3.3211e-08	9.9828e-06	3.8338e-07	5.7822e-07	1.2283e-06	6.5004e-07	1.0000e-37	1.2795e-08	1.6866e-10	1.0000e-37	3.0876e-09	3.3264e-10	5.9651e-11	5.4181e-10	2.8166e-10	8.8312e-10	2.2046e-08	8.7149e-08	5.4675e-08	1.2541e-07	3.0366e-07	3.3688e-17	8.3031e-17	1.0000e-37	8.4621e-15	2.9310e-10
iteration 3	1.7989e-12	3.7801e-17	2.7984e-07	1.0000e-37	5.2851e-03	9.1169e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.0678e-10	3.0456e-13	2.2808e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.1616e-11	1.0000e-37	2.3878e-12	8.4134e-22	3.7135e-11	1.0000e-37	4.8349e-23	1.2016e-14	4.3642e-20	2.1866e-20	4.0315e-19	1.0000e-37	2.8829e-23	1.7148e-16	9.3985e-16	1.5828e-15	2.8074e-15	1.8053e-10	6.0519e-11	3.3725e-24	1.0000e-37	2.9173e-08	4.3953e-07	6.1190e-13	8.3269e-11	3.6304e-13	4.8855e-16	3.0528e-10	7.9416e-13	7.7827e-11	1.4035e-12	1.8731e-12	4.6967e-13	3.5193e-09	6.8909e-09	1.2216e-22	1.4265e-14	1.0573e-14	1.0000e-37	1.0000e-37	4.7430e-04	1.3190e-08	6.8606e-17	2.0651e-16	3.8540e-12	1.0000e-37	9.0208e-16	6.5551e-16	5.2303e-10	2.6897e-11	4.5563e-16	8.5779e-12	3.7292e-08	2.7062e-11	1.3955e-10	3.7267e-10	2.3312e-10	1.0000e-37	1.1010e-12	4.2094e-16	1.0000e-37	2.6568e-13	4.6978e-14	1.3781e-15	1.2518e-14	7.3979e-15	2.1294e-14	4.1832e-12	3.0453e-10	1.0374e-11	4.3658e-10	7.3734e-10	2.4283e-22	5.9851e-22	1.0000e-37	4.3613e-20	1.5828e-15
iteration 3	6.2554e-15	1.8930e-20	3.1334e-08	1.0000e-37	5.2851e-03	1.4371e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.7684e-11	1.0000e-37	1.3097e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8165e-12	1.0000e-37	3.0535e-14	1.0000e-37	2.1879e-12	1.0000e-37	2.4818e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.2763e-28	1.3893e-18	6.4263e-17	1.0000e-37	7.0298e-12	2.3529e-12	1.0000e-37	1.0000e-37	1.7571e-09	5.0533e-08	2.7738e-21	3.0676e-12	1.2500e-21	1.0000e-37	1.6289e-11	1.6312e-20	4.4685e-12	1.6869e-19	2.2706e-19	5.8366e-20	2.3232e-10	4.5618e-10	1.0000e-37	1.9515e-16	1.5894e-16	1.0000e-37	1.0000e-37	4.7430e-04	8.9768e-10	1.0000e-37	1.0000e-37	1.2841e-14	1.0000e-37	3.0010e-25	1.4938e-18	3.1647e-11	1.9515e-16	1.1720e-24	6.2237e-17	2.7412e-09	6.2282e-17	1.5343e-15	4.7589e-15	3.2246e-15	1.0000e-37	1.9989e-18	8.9419e-19	1.0000e-37	4.8236e-19	1.0000e-37	2.6940e-23	2.4469e-22	1.6492e-22	4.3656e-22	1.1773e-16	2.2440e-11	2.9198e-16	3.1483e-11	3.8620e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.4263e-17
iteration 3	1.4997e-17	1.4123e-23	2.3200e-09	1.0000e-37	5.2851e-03	1.3365e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0615e-12	1.0000e-37	7.8612e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0903e-13	1.0000e-37	3.0076e-16	1.0000e-37	1.4305e-13	1.0000e-37	1.0709e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.2462e-20	2.7298e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0794e-10	5.1443e-09	5.7818e-34	8.3340e-14	2.3945e-34	1.0000e-37	6.1498e-13	3.2679e-32	1.7798e-13	1.9400e-30	2.6343e-30	6.9432e-31	1.5613e-11	3.0572e-11	1.0000e-37	1.9399e-18	1.7406e-18	1.0000e-37	1.0000e-37	4.7430e-04	6.0471e-11	1.0000e-37	1.0000e-37	2.9562e-16	1.0000e-37	1.0000e-37	1.1167e-20	1.3272e-12	1.0253e-23	1.0000e-37	3.2697e-24	1.8577e-10	1.0000e-37	5.0502e-23	1.6827e-22	1.1777e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9437e-35	4.4903e-34	3.7374e-34	8.7221e-34	1.0000e-37	1.6872e-12	1.0000e-37	2.2526e-12	1.5291e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7298e-18
iteration 3	6.3841e-20	1.2723e-26	2.5802e-10	1.0000e-37	5.2851e-03	1.5297e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.0915e-14	1.0000e-37	5.9926e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.3113e-15	1.0000e-37	1.9727e-18	1.0000e-37	1.5702e-14	1.0000e-37	9.5616e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.9899e-42	8.8543e-22	2.9261e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1386e-11	4.8749e-10	2.6449e-32	3.4522e-15	1.0575e-32	1.0000e-37	1.4471e-14	3.1732e-30	4.5299e-15	1.7125e-28	2.2923e-28	5.7986e-29	1.6767e-12	3.2677e-12	1.0000e-37	1.1070e-20	9.5748e-21	1.0000e-37	1.0000e-37	4.7430e-04	6.3614e-12	1.0000e-37	1.0000e-37	8.8048e-18	1.0000e-37	1.0000e-37	9.9987e-23	3.8164e-14	4.4805e-22	2.1159e-36	1.4289e-22	1.8858e-11	1.0000e-37	1.1972e-22	4.0275e-22	2.8303e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9244e-33	4.4728e-32	3.5106e-32	8.4759e-32	7.7335e-24	1.9128e-13	1.9179e-23	2.4231e-13	3.9635e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9261e-19
iteration 3	1.3108e-17	7.4071e-25	2.9295e-07	1.0000e-37	5.2851e-03	1.0469e-06	1.0000e-37	1.0000e-37	1.0000e-37	9.4281e-11	1.0000e-37	7.0010e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.7099e-12	1.0000e-37	4.1004e-16	1.0000e-37	6.5233e-11	1.0000e-37	5.6574e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.2986e-19	2.4728e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9554e-08	2.3651e-06	1.0000e-37	4.5358e-12	1.0000e-37	1.0000e-37	2.0925e-11	1.9977e-37	7.9435e-12	2.1952e-35	2.8900e-35	6.9487e-36	6.7656e-09	1.2584e-08	1.0000e-37	1.8836e-18	1.6694e-18	1.0000e-37	1.0000e-37	4.7430e-04	2.2828e-08	1.0000e-37	1.0000e-37	1.0890e-14	1.0000e-37	1.0000e-37	5.6885e-20	8.2270e-11	2.8785e-24	1.0000e-37	9.1801e-25	6.1472e-08	1.0000e-37	6.7080e-26	2.3193e-25	1.6485e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3295e-39	3.3295e-39	6.6590e-39	1.0000e-37	8.3211e-10	1.0000e-37	1.0085e-09	7.1658e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4728e-16
iteration 3	2.9319e-19	1.0538e-26	2.5661e-07	1.0000e-37	5.2851e-03	8.3090e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.8923e-11	1.0000e-37	1.4023e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9448e-12	1.0000e-37	2.6708e-17	1.0000e-37	6.5140e-11	1.0000e-37	8.1050e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0834e-19	5.0098e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.4594e-08	1.6233e-06	1.0000e-37	1.4723e-12	1.0000e-37	1.0000e-37	1.4323e-11	1.0000e-37	6.0456e-12	3.3270e-40	3.3270e-40	1.0000e-37	5.4554e-09	1.0048e-08	1.0000e-37	8.3641e-20	1.0000e-37	1.0000e-37	1.0000e-37	4.7430e-04	1.7066e-08	1.0000e-37	1.0000e-37	4.0514e-15	1.0000e-37	1.0000e-37	7.3992e-21	6.8357e-11	2.7235e-26	1.0000e-37	8.6858e-27	4.2960e-08	1.0000e-37	2.6427e-29	9.2384e-29	6.5957e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.9143e-10	1.0000e-37	7.1920e-10	5.5390e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.0098e-17
