#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	3.1841e-06	8.6212e-07	1.3392e-06	1.0000e-37	1.0816e-02	1.0544e-03	3.4983e-09	5.2608e-09	1.7625e-09	2.2439e-06	1.1540e-08	5.0799e-07	5.5988e-07	1.8989e-11	2.1454e-10	3.5131e-11	7.2887e-11	4.6806e-07	6.2034e-07	2.3131e-06	1.1316e-08	5.7209e-07	6.0096e-12	8.3294e-09	4.9371e-07	1.6139e-07	2.3257e-07	3.8532e-07	2.6153e-08	9.1599e-09	1.2975e-07	6.5310e-07	2.7548e-07	2.6644e-07	5.9554e-06	2.0560e-06	3.7474e-10	1.0367e-11	1.3202e-04	9.2919e-04	1.0723e-05	2.7632e-05	1.6112e-05	2.7017e-06	3.7506e-06	1.0316e-07	8.7690e-07	2.5697e-07	3.4320e-07	8.6224e-08	1.1243e-05	2.0282e-05	4.0810e-08	4.1383e-07	3.7271e-07	4.5261e-13	1.0063e-08	1.1361e-03	4.3525e-05	1.4051e-05	4.2295e-05	6.7020e-08	1.0000e-37	2.8439e-09	6.7509e-08	5.8401e-06	4.2553e-07	2.0609e-07	1.3571e-07	1.3273e-04	1.3927e-05	5.6012e-06	9.4478e-06	3.8466e-06	8.6484e-11	2.9305e-06	2.4346e-07	9.1197e-12	7.0716e-07	1.7799e-09	3.5421e-09	3.2173e-08	1.2963e-08	4.8679e-08	1.1193e-05	1.1668e-06	2.7758e-05	1.6721e-06	8.0629e-06	3.2749e-09	8.0414e-09	8.4450e-14	7.9390e-08	2.7548e-07
iteration 3	8.1225e-07	3.6721e-07	1.4682e-06	1.0000e-37	1.0816e-02	1.0599e-03	3.6077e-15	5.4191e-15	1.8114e-15	1.0908e-06	3.0914e-08	3.7743e-07	2.3355e-08	2.5826e-14	4.4212e-13	5.6032e-14	1.0553e-13	3.2226e-07	2.5352e-08	1.4318e-06	1.3184e-10	3.3975e-07	6.0111e-17	1.3274e-10	2.0600e-07	2.7973e-09	1.3469e-08	2.2300e-08	5.7436e-10	2.1176e-10	4.7987e-08	3.0035e-07	9.7124e-08	1.0892e-07	4.1792e-06	1.4559e-06	2.0308e-11	1.1034e-16	1.2866e-04	1.0084e-03	7.3325e-06	1.8793e-05	1.0888e-05	4.3505e-07	3.4392e-06	3.4752e-07	8.2245e-07	4.0972e-07	5.4738e-07	1.3766e-07	1.1153e-05	2.0151e-05	9.5501e-10	2.6418e-07	2.3588e-07	3.5098e-15	1.3462e-10	1.1361e-03	4.3450e-05	7.1646e-07	2.1566e-06	1.8833e-07	1.0000e-37	4.1643e-09	3.9348e-08	5.6183e-06	1.0953e-06	4.7601e-08	3.4930e-07	1.3412e-04	1.9679e-05	1.3395e-05	2.2675e-05	9.2797e-06	1.0035e-15	1.5677e-06	6.8818e-08	8.4661e-14	3.7830e-07	4.7692e-09	1.2581e-08	1.1428e-07	4.6773e-08	1.7363e-07	4.5970e-06	1.1753e-06	1.1401e-05	1.6868e-06	7.5743e-06	3.8054e-11	9.3789e-11	1.2546e-19	1.2448e-09	9.7124e-08
iteration 3	3.4892e-07	3.7600e-09	1.4026e-06	1.0000e-37	1.0816e-02	1.0605e-03	1.0000e-37	1.0000e-37	1.0000e-37	5.2285e-07	3.1180e-08	2.4234e-07	7.2489e-11	1.0000e-37	2.6508e-16	1.0000e-37	1.0000e-37	1.9977e-07	6.1531e-12	2.1639e-07	2.2239e-13	2.0296e-07	1.0000e-37	2.4918e-13	1.1314e-08	1.4252e-11	2.5598e-10	4.2457e-10	1.2367e-12	7.2191e-13	6.6663e-09	4.8190e-08	1.3750e-08	2.1260e-08	1.2616e-06	4.5972e-07	2.4330e-13	1.0000e-37	1.2004e-04	1.0806e-03	1.9481e-06	5.0727e-06	2.6346e-06	2.4848e-08	2.4341e-06	4.5563e-07	5.9738e-07	2.4950e-07	3.3307e-07	8.3576e-08	1.0650e-05	1.9291e-05	3.0590e-12	4.0216e-08	3.5748e-08	1.0000e-37	6.1402e-13	1.1361e-03	4.1846e-05	6.4142e-09	1.9307e-08	2.4374e-07	1.0000e-37	1.8232e-09	8.0218e-09	4.1732e-06	1.2031e-06	4.3202e-09	3.8369e-07	1.3093e-04	9.8563e-06	1.1985e-05	2.1150e-05	9.1656e-06	1.0000e-37	5.0305e-07	8.6774e-09	2.1758e-16	1.2139e-07	4.8101e-09	9.2879e-09	8.4361e-08	3.2351e-08	1.2600e-07	8.6823e-07	1.1446e-06	2.1532e-06	1.6448e-06	5.5944e-06	6.4187e-14	1.5820e-13	1.0000e-37	6.4926e-12	1.3750e-08
iteration 3	5.2420e-09	1.3870e-12	1.2483e-06	1.0000e-37	1.0816e-02	5.3832e-05	1.0000e-37	1.0000e-37	1.0000e-37	1.0910e-07	1.2362e-09	1.2011e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4873e-08	1.0000e-37	1.4336e-09	2.6610e-17	1.7939e-08	1.0000e-37	2.6340e-17	2.3273e-11	5.6071e-15	1.9661e-13	3.2932e-13	1.0000e-37	1.5325e-16	4.3371e-11	2.9673e-10	9.2211e-11	1.8866e-10	7.6168e-08	2.8832e-08	8.6237e-17	1.0000e-37	4.8914e-06	5.0383e-05	2.0121e-08	5.3405e-08	1.8733e-08	4.3424e-11	5.4295e-08	1.2722e-08	1.3339e-08	6.3674e-09	8.4766e-09	2.1092e-09	5.6599e-07	9.6856e-07	6.4938e-16	1.6567e-10	1.3421e-10	1.0000e-37	1.0000e-37	1.1361e-03	1.9131e-06	4.7483e-12	1.4292e-11	8.3435e-09	1.0000e-37	3.0135e-11	5.7193e-11	9.0563e-08	4.3251e-08	1.6633e-11	1.3793e-08	5.7486e-06	1.7055e-07	2.6942e-07	5.7410e-07	3.0468e-07	1.0000e-37	4.9231e-09	5.5521e-11	1.0000e-37	1.1880e-09	1.9069e-10	2.5356e-11	2.3031e-10	1.2334e-10	3.7900e-10	7.6077e-09	5.5085e-08	1.8867e-08	7.7209e-08	1.3391e-07	7.6804e-18	1.8930e-17	1.0000e-37	3.1677e-15	9.2211e-11
iteration 3	2.8747e-12	6.3487e-17	5.2371e-07	1.0000e-37	1.0816e-02	1.5332e-06	1.0000e-37	1.0000e-37	1.0000e-37	6.7772e-10	4.9699e-13	5.1059e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.5259e-11	1.0000e-37	1.2644e-12	1.1143e-21	8.1707e-11	1.0000e-37	8.7929e-23	2.5453e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8855e-24	5.3791e-17	5.0876e-16	2.7157e-15	1.2560e-15	3.8822e-10	1.3021e-10	5.8642e-25	1.0000e-37	2.9616e-08	4.6748e-07	2.8073e-13	7.0580e-11	1.6484e-13	2.0281e-16	2.4079e-10	5.5768e-13	6.1554e-11	7.4723e-13	9.9770e-13	2.5046e-13	4.8935e-09	9.4995e-09	2.0701e-23	1.7106e-13	1.5237e-13	1.0000e-37	1.0000e-37	1.1361e-03	1.7261e-08	2.2671e-17	6.8239e-17	2.4817e-12	1.0000e-37	3.2192e-16	3.6322e-16	4.1283e-10	1.5475e-11	1.5797e-16	4.9352e-12	4.9551e-08	1.6925e-11	9.5747e-11	2.5708e-10	1.6133e-10	1.0000e-37	5.8051e-13	1.8875e-16	1.0000e-37	1.4008e-13	7.6659e-14	9.6566e-16	8.7711e-15	5.2172e-15	1.4954e-14	2.3021e-12	3.7102e-10	5.7091e-12	5.3093e-10	5.7320e-10	3.2160e-22	7.9266e-22	1.0000e-37	1.0000e-37	2.7157e-15
iteration 3	1.2126e-14	3.3487e-20	6.0009e-08	1.0000e-37	1.0816e-02	2.6331e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.8391e-11	1.0000e-37	2.8815e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.6847e-12	1.0000e-37	1.5999e-14	1.0000e-37	4.7819e-12	1.0000e-37	4.7571e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0927e-29	4.6667e-18	1.4685e-16	1.0000e-37	1.6087e-11	5.3874e-12	1.0000e-37	1.0000e-37	1.7738e-09	5.3900e-08	3.6675e-22	2.5662e-12	1.6463e-22	1.0000e-37	1.2317e-11	4.5125e-21	3.3868e-12	3.1862e-20	4.2926e-20	1.1064e-20	3.1931e-10	6.2190e-10	1.0000e-37	2.2678e-15	2.2035e-15	1.0000e-37	1.0000e-37	1.1361e-03	1.1638e-09	1.0000e-37	1.0000e-37	1.7228e-14	1.0000e-37	2.3016e-26	1.2078e-18	2.3967e-11	5.5364e-17	1.4454e-25	1.7657e-17	3.6669e-09	2.0414e-17	5.7522e-16	1.7914e-15	1.2162e-15	1.0000e-37	6.0213e-19	3.9435e-29	1.0000e-37	1.4530e-19	1.0000e-37	7.4041e-24	6.7252e-23	4.6087e-23	1.2074e-22	4.7267e-17	2.6783e-11	1.1722e-16	3.7544e-11	2.9213e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4685e-16
iteration 3	3.0355e-17	2.5344e-23	4.5107e-09	1.0000e-37	1.0816e-02	2.5162e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.2157e-12	1.0000e-37	1.6630e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1266e-13	1.0000e-37	1.3906e-16	1.0000e-37	3.1622e-13	1.0000e-37	2.0870e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3683e-20	6.0268e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1055e-10	5.4762e-09	3.4252e-35	6.9889e-14	1.4192e-35	1.0000e-37	4.0959e-13	4.7054e-33	1.1871e-13	1.8936e-31	2.5742e-31	6.8062e-32	2.1657e-11	4.2034e-11	1.0000e-37	1.9919e-17	2.1295e-17	1.0000e-37	1.0000e-37	1.1361e-03	7.8882e-11	1.0000e-37	1.0000e-37	4.5337e-16	1.0000e-37	1.0000e-37	9.1354e-21	8.8529e-13	1.8822e-24	1.0000e-37	6.0026e-25	2.4850e-10	1.0000e-37	1.3092e-23	4.3759e-23	3.0666e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.0448e-36	6.3989e-35	5.4516e-35	1.2555e-34	1.0000e-37	2.0169e-12	1.0000e-37	2.6984e-12	1.0192e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.0268e-18
iteration 3	1.1394e-19	2.2493e-26	4.8985e-10	1.0000e-37	1.0816e-02	2.8209e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.4328e-13	1.0000e-37	1.0754e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3752e-14	1.0000e-37	8.0266e-19	1.0000e-37	3.3795e-14	1.0000e-37	1.8381e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4677e-21	3.8658e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1384e-11	5.2285e-10	2.8920e-34	2.7767e-15	1.1595e-34	1.0000e-37	9.2583e-15	9.4561e-32	2.8955e-15	3.2854e-30	4.4037e-30	1.1183e-30	2.2913e-12	4.4299e-12	1.0000e-37	1.0678e-19	1.1440e-19	1.0000e-37	1.0000e-37	1.1361e-03	8.2086e-12	1.0000e-37	1.0000e-37	1.5924e-17	1.0000e-37	1.0000e-37	8.0511e-23	2.4292e-14	3.0745e-23	1.0000e-37	9.8052e-24	2.5194e-11	1.0000e-37	1.0936e-23	3.6936e-23	2.6001e-23	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4443e-34	1.3118e-33	1.0684e-33	2.5246e-33	1.0000e-37	2.2791e-13	1.0000e-37	2.8915e-13	2.5296e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.8658e-19
iteration 3	2.1942e-17	1.3530e-24	5.3209e-07	1.0000e-37	1.0816e-02	1.6187e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.8856e-10	1.0000e-37	1.4186e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8141e-11	1.0000e-37	1.8845e-16	1.0000e-37	1.4914e-10	1.0000e-37	1.1232e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6949e-18	5.2331e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2289e-08	2.6208e-06	1.0000e-37	3.8736e-12	1.0000e-37	1.0000e-37	1.5026e-11	1.3318e-38	5.5733e-12	7.8577e-37	1.0355e-36	2.4971e-37	9.9131e-09	1.8069e-08	1.0000e-37	2.2245e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.1361e-03	3.0527e-08	1.0000e-37	1.0000e-37	2.1198e-14	1.0000e-37	1.0000e-37	4.7280e-20	5.6434e-11	3.0753e-25	1.0000e-37	9.8078e-26	8.0626e-08	1.0000e-37	9.3058e-27	3.2281e-26	2.2975e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0809e-09	1.0000e-37	1.3133e-09	5.0061e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.2331e-16
iteration 3	4.7409e-19	1.9617e-26	4.8430e-07	1.0000e-37	1.0816e-02	1.3763e-06	1.0000e-37	1.0000e-37	1.0000e-37	3.9500e-11	1.0000e-37	2.9663e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.7932e-12	1.0000e-37	9.0771e-18	1.0000e-37	1.4891e-10	1.0000e-37	1.6420e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.8805e-19	1.1085e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7023e-08	1.8635e-06	1.0000e-37	1.1808e-12	1.0000e-37	1.0000e-37	9.4686e-12	1.0000e-37	3.9719e-12	1.0000e-37	1.0000e-37	1.0000e-37	8.5957e-09	1.5450e-08	1.0000e-37	7.9598e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.1361e-03	2.4624e-08	1.0000e-37	1.0000e-37	1.0533e-14	1.0000e-37	1.0000e-37	6.2418e-21	4.4691e-11	8.9693e-28	1.0000e-37	2.8604e-28	6.1851e-08	1.0000e-37	1.2464e-30	4.3783e-30	3.1320e-30	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.7594e-10	1.0000e-37	1.0675e-09	3.6354e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1085e-16
