#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	2.2001e-06	4.2028e-07	8.3422e-07	1.0000e-37	5.9204e-03	1.0424e-03	4.7982e-16	7.6567e-16	2.8585e-16	1.0810e-06	8.5118e-09	2.4017e-07	3.3107e-07	2.3416e-13	1.8125e-10	2.4010e-11	4.2579e-11	2.4275e-07	3.2803e-07	1.1352e-07	2.1489e-08	2.7691e-07	2.0485e-18	1.4841e-08	2.3928e-07	2.1011e-07	4.2071e-07	6.9593e-07	1.4409e-08	1.5765e-08	1.6534e-07	8.4868e-07	4.2203e-07	3.7185e-07	8.3436e-06	2.8333e-06	6.4921e-10	1.0000e-37	1.3310e-04	9.1303e-04	1.1552e-05	2.9792e-05	1.7354e-05	3.3819e-06	3.8454e-06	1.6221e-07	8.9436e-07	2.7636e-07	3.6903e-07	9.2673e-08	1.1127e-05	2.0137e-05	6.6838e-08	9.8948e-09	8.8380e-09	1.9502e-16	9.0882e-09	5.1064e-04	4.3356e-05	1.9298e-05	5.8086e-05	9.2192e-08	1.0000e-37	5.5618e-09	8.4686e-08	5.9238e-06	6.8160e-07	2.6458e-07	2.1737e-07	1.3179e-04	1.4594e-05	5.3408e-06	9.0152e-06	3.6744e-06	2.3536e-14	3.3415e-06	3.0274e-07	8.8578e-12	8.0636e-07	1.3124e-09	8.5773e-09	7.7907e-08	3.3506e-08	1.1999e-07	1.2486e-05	1.1462e-06	3.0966e-05	1.6500e-06	8.2315e-06	6.2217e-09	1.5267e-08	3.2118e-21	8.7382e-08	4.2203e-07
iteration 3	5.8979e-07	1.9085e-07	9.6170e-07	1.0000e-37	5.9204e-03	1.0468e-03	2.5582e-19	4.0822e-19	1.5240e-19	5.3001e-07	2.9795e-08	1.8175e-07	8.3580e-09	1.0394e-15	3.8814e-13	3.3394e-14	5.6999e-14	1.6742e-07	7.4360e-09	6.4267e-08	3.0616e-10	1.6774e-07	1.0537e-20	2.6014e-10	9.9394e-08	4.5856e-09	2.8635e-08	4.7361e-08	2.7169e-10	4.6145e-10	7.3306e-08	4.5569e-07	1.5505e-07	1.6669e-07	6.0804e-06	2.0747e-06	3.2417e-11	1.0000e-37	1.2971e-04	9.7804e-04	9.7154e-06	2.4811e-05	1.4430e-05	5.1018e-07	3.6375e-06	5.1691e-07	8.6336e-07	4.7528e-07	6.3489e-07	1.5961e-07	1.1027e-05	1.9982e-05	1.9573e-09	8.3436e-09	7.4325e-09	8.0942e-20	1.1449e-10	5.1064e-04	4.3193e-05	1.2691e-06	3.8201e-06	2.3956e-07	1.0000e-37	6.5465e-09	5.5994e-08	5.8460e-06	1.4846e-06	7.5356e-08	4.7346e-07	1.3273e-04	2.3434e-05	1.3922e-05	2.3572e-05	9.6492e-06	2.1088e-18	1.9202e-06	1.0455e-07	8.1601e-14	4.6336e-07	4.5969e-09	2.6332e-08	2.3917e-07	1.0312e-07	3.6862e-07	6.1001e-06	1.1519e-06	1.5128e-05	1.6598e-06	7.9617e-06	8.8367e-11	2.1779e-10	1.0000e-37	1.8125e-09	1.5505e-07
iteration 3	2.4668e-07	2.2775e-09	9.1739e-07	1.0000e-37	5.9204e-03	1.0578e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.5786e-07	3.1152e-08	1.1864e-07	3.6768e-13	1.0000e-37	2.5649e-16	1.0000e-37	1.0000e-37	1.0479e-07	1.0000e-37	1.8957e-08	6.1740e-13	1.0043e-07	1.0000e-37	5.9546e-13	5.5811e-09	2.9938e-11	6.2477e-10	1.0347e-09	1.0000e-37	1.8520e-12	1.1305e-08	8.3120e-08	2.4236e-08	3.5195e-08	1.7794e-06	6.1839e-07	4.0979e-13	1.0000e-37	1.2180e-04	1.0564e-03	2.7839e-06	7.1277e-06	3.7736e-06	2.8841e-08	2.8070e-06	6.5986e-07	6.8472e-07	3.3259e-07	4.4396e-07	1.1137e-07	1.0606e-05	1.9266e-05	7.8475e-12	1.8159e-09	1.5899e-09	1.0000e-37	6.0128e-13	5.1064e-04	4.1895e-05	1.2417e-08	3.7375e-08	3.2501e-07	1.0000e-37	3.0352e-09	1.2489e-08	4.7683e-06	1.6617e-06	8.1875e-09	5.2995e-07	1.3076e-04	1.2349e-05	1.4206e-05	2.5041e-05	1.0835e-05	1.0000e-37	6.8014e-07	1.4687e-08	2.5277e-16	1.6413e-07	4.8057e-09	1.5369e-08	1.3959e-07	5.4088e-08	2.0905e-07	1.3457e-06	1.1316e-06	3.3375e-06	1.6318e-06	6.4421e-06	1.7820e-13	4.3920e-13	1.0000e-37	1.1859e-11	2.4236e-08
iteration 3	7.5762e-09	1.5179e-12	8.3145e-07	1.0000e-37	5.9204e-03	9.2728e-05	1.0000e-37	1.0000e-37	1.0000e-37	7.4148e-08	2.1874e-09	1.0494e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3693e-08	1.0000e-37	2.7307e-09	9.6740e-17	1.5340e-08	1.0000e-37	1.0133e-16	2.1684e-11	1.7211e-14	7.6088e-13	1.2700e-12	1.0000e-37	6.7509e-16	1.2129e-10	8.1367e-10	2.6811e-10	5.1857e-10	7.1849e-08	2.7877e-08	2.5261e-16	1.0000e-37	9.0501e-06	9.1007e-05	4.8759e-08	1.2497e-07	4.5648e-08	9.1184e-11	1.2405e-07	2.7154e-08	3.0567e-08	1.4615e-08	1.9455e-08	4.8402e-09	8.7788e-07	1.5644e-06	2.8605e-15	1.8506e-11	1.2374e-11	1.0000e-37	1.0000e-37	5.1064e-04	3.2917e-06	1.6373e-11	4.9283e-11	1.9143e-08	1.0000e-37	8.2109e-11	1.4939e-10	2.0969e-07	1.0008e-07	5.6165e-11	3.1917e-08	1.0127e-05	3.7185e-07	5.6473e-07	1.2004e-06	6.3565e-07	1.0000e-37	1.2633e-08	1.5528e-10	1.0000e-37	3.0484e-09	3.3740e-10	5.8075e-11	5.2749e-10	2.7386e-10	8.5943e-10	2.1814e-08	8.8890e-08	5.4099e-08	1.2767e-07	3.0989e-07	2.7921e-17	6.8819e-17	1.0000e-37	7.6102e-15	2.6811e-10
iteration 3	2.0746e-12	3.8765e-17	3.0590e-07	1.0000e-37	5.9204e-03	9.8595e-07	1.0000e-37	1.0000e-37	1.0000e-37	3.3579e-10	3.2782e-13	2.5099e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.4534e-11	1.0000e-37	1.7329e-12	8.3676e-22	4.0535e-11	1.0000e-37	5.0430e-23	1.2983e-14	4.7081e-20	1.9081e-20	4.4615e-19	1.0000e-37	2.2749e-23	1.5022e-16	8.5076e-16	1.6136e-15	2.5098e-15	1.9270e-10	6.4584e-11	2.3294e-24	1.0000e-37	2.9216e-08	4.4257e-07	5.5963e-13	8.2129e-11	3.3157e-13	3.7268e-16	3.1053e-10	7.6543e-13	7.9180e-11	1.3074e-12	1.7450e-12	4.3760e-13	3.7736e-09	7.3198e-09	9.6392e-23	1.0748e-14	8.0721e-15	1.0000e-37	1.0000e-37	5.1064e-04	1.3802e-08	5.8422e-17	1.7585e-16	3.6489e-12	1.0000e-37	8.0229e-16	6.0256e-16	5.3179e-10	2.5258e-11	4.2270e-16	8.0553e-12	3.8722e-08	2.5612e-11	1.3375e-10	3.5742e-10	2.2368e-10	1.0000e-37	1.0686e-12	3.7573e-16	1.0000e-37	2.5788e-13	5.0566e-14	1.3280e-15	1.2062e-14	7.1338e-15	2.0524e-14	4.0909e-12	3.1092e-10	1.0146e-11	4.4563e-10	7.4854e-10	2.4151e-22	5.9525e-22	1.0000e-37	4.7057e-20	1.6136e-15
iteration 3	7.4036e-15	1.9575e-20	3.4431e-08	1.0000e-37	5.9204e-03	1.5807e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.9365e-11	1.0000e-37	1.4419e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9850e-12	1.0000e-37	2.2277e-14	1.0000e-37	2.3879e-12	1.0000e-37	2.6111e-26	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.6009e-28	1.5758e-18	6.9717e-17	1.0000e-37	7.5736e-12	2.5344e-12	1.0000e-37	1.0000e-37	1.7595e-09	5.0898e-08	2.2557e-21	3.0288e-12	1.0165e-21	1.0000e-37	1.6603e-11	1.4360e-20	4.5546e-12	1.4235e-19	1.9162e-19	4.9271e-20	2.4865e-10	4.8385e-10	1.0000e-37	1.4793e-16	1.2203e-16	1.0000e-37	1.0000e-37	5.1064e-04	9.3840e-10	1.0000e-37	1.0000e-37	1.3304e-14	1.0000e-37	2.2966e-25	1.4336e-18	3.2238e-11	1.7075e-16	9.9272e-25	5.4456e-17	2.8495e-09	5.5402e-17	1.3928e-15	4.3210e-15	2.9282e-15	1.0000e-37	1.8655e-18	8.1146e-19	1.0000e-37	4.5017e-19	1.0000e-37	2.3699e-23	2.1526e-22	1.4533e-22	3.8429e-22	1.1264e-16	2.2873e-11	2.7934e-16	3.2081e-11	3.9352e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.9717e-17
iteration 3	1.7707e-17	1.4556e-23	2.5549e-09	1.0000e-37	5.9204e-03	1.4772e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.1657e-12	1.0000e-37	8.6800e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1949e-13	1.0000e-37	2.2077e-16	1.0000e-37	1.5634e-13	1.0000e-37	1.1232e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.4137e-20	2.9714e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0828e-10	5.1805e-09	4.3603e-34	8.1929e-14	1.8055e-34	1.0000e-37	6.3397e-13	2.7153e-32	1.8334e-13	1.5615e-30	2.1206e-30	5.5906e-31	1.6723e-11	3.2449e-11	1.0000e-37	1.4798e-18	1.3448e-18	1.0000e-37	1.0000e-37	5.1064e-04	6.3236e-11	1.0000e-37	1.0000e-37	3.1167e-16	1.0000e-37	1.0000e-37	1.0684e-20	1.3648e-12	8.6888e-24	1.0000e-37	2.7710e-24	1.9306e-10	1.0000e-37	4.4589e-23	1.4863e-22	1.0404e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1035e-35	3.7272e-34	3.1096e-34	7.2471e-34	1.0000e-37	1.7199e-12	1.0000e-37	2.2967e-12	1.5745e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9714e-18
iteration 3	7.4785e-20	1.3126e-26	2.8296e-10	1.0000e-37	5.9204e-03	1.6848e-09	1.0000e-37	1.0000e-37	1.0000e-37	8.9236e-14	1.0000e-37	6.6446e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.1473e-15	1.0000e-37	1.4567e-18	1.0000e-37	1.7079e-14	1.0000e-37	1.0042e-32	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.9462e-22	3.1962e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1370e-11	4.9147e-10	1.4717e-32	3.3806e-15	5.8866e-33	1.0000e-37	1.4853e-14	1.9752e-30	4.6299e-15	1.0533e-28	1.4102e-28	3.5690e-29	1.7922e-12	3.4607e-12	1.0000e-37	8.4914e-21	7.4648e-21	1.0000e-37	1.0000e-37	5.1064e-04	6.6401e-12	1.0000e-37	1.0000e-37	9.5759e-18	1.0000e-37	1.0000e-37	9.5758e-23	3.8750e-14	3.1643e-22	1.2676e-36	1.0092e-22	1.9585e-11	1.0000e-37	9.0146e-23	3.0342e-22	2.1327e-22	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0590e-33	2.7785e-32	2.1912e-32	5.2756e-32	6.4987e-24	1.9480e-13	1.6117e-23	2.4672e-13	4.0458e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.1962e-19
iteration 3	1.5258e-17	7.6762e-25	3.1828e-07	1.0000e-37	5.9204e-03	1.1155e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0585e-10	1.0000e-37	7.9032e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0880e-11	1.0000e-37	3.0196e-16	1.0000e-37	7.1536e-11	1.0000e-37	5.9674e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0387e-18	2.7522e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.9858e-08	2.3925e-06	1.0000e-37	4.4821e-12	1.0000e-37	1.0000e-37	2.1069e-11	1.5316e-37	7.9643e-12	1.5699e-35	2.0670e-35	4.9710e-36	7.3060e-09	1.3427e-08	1.0000e-37	1.4364e-18	1.2974e-18	1.0000e-37	1.0000e-37	5.1064e-04	2.3908e-08	1.0000e-37	1.0000e-37	1.1933e-14	1.0000e-37	1.0000e-37	5.4718e-20	8.2068e-11	2.2790e-24	1.0000e-37	7.2680e-25	6.3701e-08	1.0000e-37	5.5253e-26	1.9110e-25	1.3585e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3295e-39	3.3295e-39	6.6590e-39	1.0000e-37	8.5667e-10	1.0000e-37	1.0381e-09	7.1745e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7522e-16
iteration 3	3.4100e-19	1.0985e-26	2.8138e-07	1.0000e-37	5.9204e-03	8.9909e-07	1.0000e-37	1.0000e-37	1.0000e-37	2.1430e-11	1.0000e-37	1.5966e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1980e-12	1.0000e-37	1.9679e-17	1.0000e-37	7.1434e-11	1.0000e-37	8.5988e-33	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3234e-19	5.6230e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5009e-08	1.6538e-06	1.0000e-37	1.4479e-12	1.0000e-37	1.0000e-37	1.4251e-11	1.0000e-37	6.0036e-12	3.3270e-40	3.3270e-40	1.0000e-37	6.0061e-09	1.0904e-08	1.0000e-37	6.3440e-20	1.0000e-37	1.0000e-37	1.0000e-37	5.1064e-04	1.8180e-08	1.0000e-37	1.0000e-37	4.4236e-15	1.0000e-37	1.0000e-37	7.1546e-21	6.7694e-11	2.3783e-26	1.0000e-37	7.5848e-27	4.5320e-08	1.0000e-37	2.3846e-29	8.3376e-29	5.9531e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.2159e-10	1.0000e-37	7.5576e-10	5.4943e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.6230e-17
