#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	7.1758e-04	4.8052e-05	7.8181e-03	1.0000e-37	8.4641e+06	2.3544e-02	7.1358e+02	1.7305e+03	8.6542e+02	5.2738e-09	1.0897e-11	1.0014e-08	8.1206e-01	2.0816e-01	1.4050e-06	6.3273e-07	1.5388e-02	1.5140e-08	6.2057e+02	5.9196e-02	3.4449e-05	1.1672e-08	1.0456e-06	1.1651e-06	2.0447e-03	7.1943e-07	4.4184e-06	7.3048e-06	6.7961e-06	4.9810e-07	3.8267e-09	1.6946e-07	1.9396e-08	1.7199e-08	4.2292e-06	4.6956e-07	1.9606e-08	9.5926e-04	1.0000e-37	8.8322e-04	2.1763e-07	3.9844e-06	3.2685e-07	4.9496e-05	1.7026e-05	1.3132e-07	3.0315e-06	5.2978e-09	7.0725e-09	1.7760e-09	7.3544e-05	1.3676e-04	1.3348e-04	2.4027e-04	1.1555e-04	1.8443e-06	4.5491e-06	7.9495e+05	3.0733e-04	3.3059e-04	1.0024e-03	9.6472e-13	1.0000e-37	5.7608e-13	5.5044e-08	2.5403e-05	5.6896e-11	1.5895e-07	1.8165e-11	1.2134e-03	9.7108e-08	9.0431e-08	1.5292e-07	6.2485e-08	3.0896e-07	1.7205e-06	8.3034e-07	1.2389e-08	4.3043e-07	1.7988e-12	5.2988e-10	4.8202e-09	1.7214e-09	2.1364e-08	4.5832e-06	1.7034e-05	1.1594e-05	2.5743e-05	5.3434e-03	6.7864e-07	1.5097e-06	5.4382e+01	8.4026e-08	1.9396e-08
iteration 3	6.3546e-02	1.2202e-02	9.4218e-02	1.0000e-37	8.4641e+06	2.7877e-01	7.3706e+02	1.6536e+03	8.1174e+02	2.0148e-06	4.7995e-08	4.8179e-07	7.1680e+00	2.2931e+00	5.6417e-04	1.1250e-04	3.5343e-01	2.0643e-06	9.5995e+02	4.9097e-01	1.4560e-02	1.6906e-06	2.9156e-05	7.1154e-04	1.8723e-02	9.2536e-04	1.5295e-03	2.5289e-03	2.5838e-05	5.6630e-05	9.5811e-06	1.9216e-04	1.4669e-04	6.5236e-05	6.8775e-04	5.9606e-05	4.5458e-06	3.6120e-03	1.0000e-37	2.8693e-02	2.5822e-04	6.7037e-04	3.8375e-04	1.8614e-03	1.5313e-04	1.6294e-05	2.0458e-05	1.3336e-05	1.7791e-05	4.4558e-06	6.9023e-04	1.2757e-03	1.1464e-02	2.6799e-03	1.3415e-03	5.8205e-05	1.1506e-04	7.9495e+05	2.7979e-03	9.4292e-03	2.8611e-02	1.7871e-06	1.0000e-37	3.6974e-07	8.8256e-06	1.6164e-04	2.0405e-05	3.0170e-05	6.5083e-06	1.0569e-02	1.9391e-04	1.3147e-04	2.2444e-04	9.2970e-05	6.4968e-05	1.2719e-04	1.9777e-05	7.8238e-07	3.1494e-05	6.1630e-09	8.4497e-07	7.6797e-06	3.7661e-06	2.9309e-05	3.1753e-04	1.3785e-04	8.0014e-04	2.0679e-04	9.9507e-02	2.2434e-04	5.0069e-04	5.2961e+01	1.1487e-04	1.4669e-04
iteration 3	7.7308e+00	2.1382e+00	1.2391e+00	1.0000e-37	8.4641e+06	3.5262e+00	6.1360e+02	1.3905e+03	6.7409e+02	2.3013e-05	6.1651e-07	5.7037e-06	6.0224e+01	2.9395e+01	2.3771e-02	1.2228e-03	4.8979e+00	2.4043e-05	9.5279e+02	1.6103e+00	2.1560e-01	2.1329e-05	2.5602e-04	1.1889e-02	2.2684e-01	1.2731e-02	2.2438e-02	3.7137e-02	2.1961e-04	6.7328e-04	1.2273e-04	2.3585e-03	1.6229e-03	7.6606e-04	2.3643e-02	8.4626e-04	5.6682e-05	1.7539e-03	1.0000e-37	4.0389e-01	2.9801e-03	7.3411e-03	4.0840e-03	2.0662e-02	1.0823e-03	1.9422e-04	2.0415e-04	1.5555e-04	2.0732e-04	5.1777e-05	8.8119e-03	1.6506e-02	1.3614e-01	2.7736e-02	1.9987e-02	1.3672e-04	1.2459e-03	7.9495e+05	3.6624e-02	1.0210e-01	3.0979e-01	1.8430e-05	1.0000e-37	4.1803e-06	1.0007e-04	1.6537e-03	2.1788e-04	3.6241e-04	6.9494e-05	1.4233e-01	2.0342e-03	1.3136e-03	2.3292e-03	1.0156e-03	3.2114e-03	1.4533e-03	2.3367e-04	9.0677e-06	3.6030e-04	7.6068e-08	1.0636e-05	9.6667e-05	4.7901e-05	3.8401e-04	3.6090e-03	1.6429e-03	9.1039e-03	2.4587e-03	1.5468e+00	2.9727e-03	6.5943e-03	4.3363e+01	1.5699e-03	1.6229e-03
iteration 3	2.1046e+02	5.8408e+01	1.2799e+01	1.0000e-37	8.4641e+06	3.1209e+01	4.8482e+02	1.1225e+03	5.7341e+02	2.1494e-04	6.4961e-06	5.4807e-05	2.2394e+02	7.1825e+01	3.7491e-01	1.2779e-02	1.2340e+01	2.4084e-04	1.1705e+03	4.1110e+00	3.2241e+00	2.1465e-04	5.7026e-04	1.4114e-01	2.1312e+00	1.3357e-01	2.3886e-01	3.9946e-01	5.2906e-03	6.3190e-03	1.9486e-03	2.3928e-02	1.5958e-02	7.3766e-03	5.0233e-01	2.3665e-02	5.5684e-04	5.9741e-04	1.0000e-37	4.4344e+00	3.2852e-02	6.3780e-02	2.8395e-02	2.2511e-01	4.8905e-03	2.0287e-03	2.2561e-03	2.0411e-03	2.7138e-03	6.7289e-04	1.0578e-01	2.0062e-01	1.0599e+00	2.3663e-01	2.0780e-01	5.1069e-04	1.5207e-02	7.9495e+05	4.3949e-01	1.0275e+00	3.1205e+00	1.1686e-04	1.0000e-37	4.2937e-05	1.0706e-03	2.0761e-02	2.1981e-03	3.7506e-03	7.0106e-04	1.6451e+00	1.9885e-02	8.4225e-03	1.8652e-02	1.0229e-02	4.2354e-02	1.5607e-02	3.4646e-03	1.0710e-04	3.8785e-03	8.0489e-07	1.1105e-04	1.0085e-03	5.0140e-04	4.2525e-03	3.8324e-02	1.7010e-02	9.6830e-02	2.5476e-02	1.0925e+01	3.5396e-02	8.0112e-02	1.2959e+01	1.6706e-02	1.5958e-02
iteration 3	5.3167e+02	2.2965e+02	9.5203e+01	1.0000e-37	8.4641e+06	1.3092e+02	3.8514e+02	9.2136e+02	4.3686e+02	2.2558e-03	7.0438e-05	5.6763e-04	4.3949e+02	4.4926e+01	3.6840e+00	1.5458e-01	1.6268e+01	2.6516e-03	1.6069e+03	2.4052e+01	2.4931e+01	2.6362e-03	5.0166e-04	1.5979e+00	1.7588e+01	1.4221e+00	2.1497e+00	3.9608e+00	1.1190e-01	6.8181e-02	4.2970e-02	2.4038e-01	1.5968e-01	7.0182e-02	6.3432e+00	4.9261e-01	7.2914e-03	5.4066e-04	1.0000e-37	4.2318e+01	2.0056e-01	3.1175e-01	9.1756e-02	3.2672e+00	2.8242e-01	2.1662e-02	3.9674e-02	3.2043e-02	4.2651e-02	1.0610e-02	1.1321e+00	2.1204e+00	7.3269e+00	1.0984e+00	9.9412e-01	5.2112e-03	3.2861e-01	7.9495e+05	4.5777e+00	1.3200e+01	4.0135e+01	2.0323e-04	1.0000e-37	4.5357e-04	1.3701e-02	3.9512e-01	2.2181e-02	3.8969e-02	7.0763e-03	1.7170e+01	1.7745e-01	2.3256e-02	7.0404e-02	4.7148e-02	1.2170e-01	1.6869e-01	7.4154e-02	1.8405e-03	4.2105e-02	8.7884e-06	9.4868e-04	8.5348e-03	4.1495e-03	3.9664e-02	3.9989e-01	1.7966e-01	1.0134e+00	2.6645e-01	3.9516e+01	9.1634e-01	2.0569e+00	1.2926e+00	2.0943e-01	1.5968e-01
iteration 3	7.1690e+02	4.0824e+02	4.0122e+02	1.0000e-37	8.4641e+06	3.9736e+02	1.9156e+02	5.1516e+02	1.7246e+02	3.6179e-02	8.1178e-04	7.7931e-03	6.0105e+02	1.0742e+01	2.9627e+01	4.1278e-01	2.5471e+01	3.5433e-02	1.7732e+03	5.3640e+01	8.5497e+01	5.1344e-02	1.8029e-04	1.8522e+01	9.1326e+01	1.7052e+01	1.1266e+01	3.9846e+01	1.2519e+00	1.0075e+00	6.6025e-01	2.5307e+00	1.6456e+00	6.8673e-01	4.5393e+01	6.0467e+00	7.0275e-02	5.2452e-05	1.0000e-37	4.2883e+02	3.7978e-01	5.7112e-01	1.4626e-01	3.4711e+01	5.0570e+00	2.2900e-01	5.9113e-01	3.6352e-01	4.7985e-01	1.1635e-01	1.2220e+01	2.2564e+01	6.2812e+01	1.9272e+00	1.7512e+00	6.4039e-03	3.5639e+00	7.9495e+05	4.7378e+01	1.5118e+02	4.5913e+02	1.0797e-04	1.0000e-37	5.3632e-03	2.4773e-01	5.5367e+00	2.1682e-01	4.9362e-01	6.9175e-02	1.6776e+02	9.3415e-01	3.0871e-02	1.0167e-01	7.0798e-02	4.2181e-02	1.9713e+00	1.1084e+00	3.0021e-02	4.9591e-01	1.0046e-04	5.9173e-03	5.0089e-02	2.2974e-02	2.7048e-01	3.9375e+00	2.0198e+00	1.0034e+01	2.8258e+00	1.1846e+02	4.5489e+00	1.0244e+01	4.6045e-02	4.1114e+00	1.6456e+00
iteration 3	1.3120e+03	5.1404e+02	7.3040e+02	1.0000e-37	8.4641e+06	2.0862e+03	1.1659e+01	3.2393e+01	7.4222e+00	1.6769e+00	9.2843e-03	2.2782e-01	7.7819e+02	4.3194e+00	1.3474e+02	1.1955e+00	9.9458e+01	6.8630e-01	1.9494e+03	5.7980e+01	7.6481e+02	1.8695e+00	4.1733e-05	2.8846e+02	2.3861e+02	3.4107e+02	2.9175e+01	5.8610e+02	9.3436e+00	2.4684e+01	7.7356e+00	3.2610e+01	1.8527e+01	8.8559e+00	2.2410e+02	3.9634e+01	1.1941e+00	4.7805e-10	1.0000e-37	3.7917e+03	4.8939e-01	7.2510e-01	1.8478e-01	3.9181e+02	3.0238e+01	2.8329e+00	5.9302e+00	2.5974e+00	3.2806e+00	6.8343e-01	1.0180e+02	1.7972e+02	1.0338e+03	2.0712e+00	1.9356e+00	1.9505e-03	1.5303e+01	7.9495e+05	3.7657e+02	8.8703e+02	2.6930e+03	4.1933e-05	1.0000e-37	7.8141e-02	3.4947e+00	5.6141e+01	1.3348e+00	9.6007e+00	4.2595e-01	1.3291e+03	1.7123e+00	3.1184e-02	1.0314e-01	7.1954e-02	7.7142e-03	2.4951e+01	1.2808e+01	7.0407e-01	6.3804e+00	1.1756e-03	2.8954e-02	2.0863e-01	8.5036e-02	1.3347e+00	2.3597e+01	1.9135e+01	6.0685e+01	2.6306e+01	5.6900e+02	4.0576e+01	9.1329e+01	6.1677e-04	9.6453e+01	1.8527e+01
iteration 3	2.8756e+03	6.1935e+02	1.0042e+03	1.0000e-37	8.4641e+06	9.8947e+03	4.6357e-01	1.2645e+00	2.8974e-01	1.2217e+02	1.0671e-01	2.5432e+01	2.1539e+03	6.0968e+00	6.5716e+02	1.4211e+00	4.3659e+02	3.6688e+01	3.6038e+03	5.1810e+01	7.5291e+03	6.4166e+01	1.5351e-05	3.3346e+03	5.4759e+02	7.4856e+03	6.0901e+01	1.0981e+04	2.9751e+01	3.6058e+02	5.2362e+01	4.5219e+02	1.9711e+02	1.3340e+02	1.6498e+03	2.3618e+02	3.0145e+01	4.8064e-12	1.0000e-37	3.2641e+04	6.8244e-01	9.9062e-01	2.5846e-01	2.6398e+03	1.0961e+02	3.3542e+01	5.3690e+01	6.1671e+00	7.4833e+00	1.3170e+00	7.3642e+02	1.2700e+03	8.4145e+03	1.9442e+00	1.9026e+00	1.7535e-03	2.1006e+01	7.9495e+05	2.7965e+03	1.6561e+03	5.0231e+03	1.9969e-05	1.0000e-37	8.3394e-01	2.5537e+01	5.3003e+02	2.4422e+00	1.3709e+02	7.8012e-01	9.9171e+03	2.1424e+00	2.9145e-02	9.5507e-02	6.6362e-02	2.5248e-03	1.8706e+02	8.9998e+01	4.9420e+00	4.8038e+01	1.5693e-02	2.0610e-01	1.3710e+00	5.2044e-01	6.3981e+00	6.7116e+01	1.3935e+02	1.7248e+02	1.9181e+02	3.8646e+03	5.6211e+02	1.2684e+03	3.1510e-05	2.2735e+03	1.9711e+02
iteration 3	4.3024e+03	7.2350e+02	1.4823e+03	1.0000e-37	8.4641e+06	4.2510e+04	5.8245e-07	1.2436e-06	3.4982e-07	5.3675e+02	6.2516e+00	2.4796e+02	5.0836e+03	5.0170e+00	9.4904e+02	1.7975e-01	3.9130e+02	2.5561e+02	4.2835e+03	4.4324e+01	2.1486e+04	3.1465e+02	1.0000e-37	1.0401e+04	2.3134e+03	6.1015e+04	3.2158e+01	5.0614e+04	2.5412e-05	5.2048e+02	7.1992e+01	5.0281e+03	1.5908e+03	1.9465e+03	1.1090e+04	1.3371e+03	1.1039e+02	1.1336e-13	1.0000e-37	1.0611e+05	5.8789e-01	8.3312e-01	2.2332e-01	2.0698e+03	3.5964e+02	1.6010e+02	2.3792e+02	1.1974e+01	1.4570e+01	2.6062e+00	3.4985e+03	6.1068e+03	7.2686e+03	1.7513e+00	1.8266e+00	6.9867e-04	4.8756e+00	7.9495e+05	1.3555e+04	7.4085e+02	2.2419e+03	1.5920e-03	1.0000e-37	2.1413e+00	6.7328e+01	2.2592e+03	1.3431e+01	2.6562e+02	4.3340e+00	5.5799e+04	6.2977e+00	3.3522e-01	1.0992e+00	7.6398e-01	2.2106e-04	2.1208e+02	1.4971e+02	1.9357e+00	5.3531e+01	5.0480e+00	1.2698e+00	8.4634e+00	3.3955e+00	3.1342e+01	6.3298e+01	5.1645e+02	1.6087e+02	6.8412e+02	2.3802e+04	1.9173e+03	4.5078e+03	6.1075e-10	1.8892e+04	1.5908e+03
iteration 3	4.1199e+03	7.2816e+02	1.5362e+03	1.0000e-37	8.4641e+06	4.2632e+05	4.7719e-09	9.4026e-09	2.8503e-09	1.8554e+03	8.8819e+01	4.9266e+02	1.8147e+03	6.1378e-01	1.1781e+02	3.3468e-03	4.2385e+01	6.8745e+02	1.6788e+03	2.9148e+01	1.3378e+04	1.2727e+03	1.0000e-37	7.1264e+03	5.0256e+03	7.6905e+04	8.5057e+00	6.2071e+04	1.0000e-37	8.6661e+01	1.3464e+02	2.2051e+04	6.5186e+03	1.0923e+04	9.4045e+04	2.4409e+04	2.5560e+01	1.0000e-37	1.0000e-37	2.5428e+05	1.0887e+00	1.5069e+00	4.1382e-01	2.8632e+02	1.9183e+03	5.5860e+02	5.9692e+02	4.1367e+01	4.9861e+01	8.5159e+00	7.1825e+03	1.2071e+04	6.2159e+02	1.5683e+00	1.7924e+00	3.6359e-05	8.1780e-02	7.9495e+05	2.6528e+04	9.7875e+01	2.9511e+02	1.1974e-02	1.0000e-37	2.1901e+01	7.6301e+01	4.4273e+03	9.9431e+01	7.7798e+01	3.2054e+01	1.2995e+05	1.0896e+01	6.9148e-01	2.2647e+00	1.5732e+00	1.6828e-10	4.8823e+01	1.8175e+02	3.0337e-02	1.1945e+01	3.8394e+01	4.5536e+00	2.0906e+01	9.8529e+00	8.6999e+01	1.5750e+01	1.1200e+03	3.9275e+01	1.4931e+03	7.2963e+04	1.9980e+03	4.9041e+03	2.4064e-11	4.2469e+04	6.5186e+03
