#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.6724e-06	3.7742e-07	8.6131e-07	1.0000e-37	5.6714e-03	3.2666e-04	5.7100e-16	1.0772e-15	3.3283e-16	2.7365e-07	5.1899e-09	1.4184e-07	2.4159e-07	1.4503e-12	4.0044e-10	2.7168e-10	5.5875e-10	1.2947e-07	3.6650e-07	1.1415e-07	1.5122e-07	1.1831e-07	2.6646e-18	1.2331e-07	1.5297e-07	2.2754e-07	2.5907e-06	4.2834e-06	1.6956e-08	5.6618e-08	5.2168e-07	4.9171e-06	2.1318e-07	1.0820e-07	1.9337e-06	6.3076e-07	3.1001e-09	1.0000e-37	1.0000e-37	6.7578e-04	2.2493e-05	5.6877e-05	3.3768e-05	5.7309e-06	3.6041e-06	9.7018e-09	8.0850e-07	4.7418e-07	6.3290e-07	1.5877e-07	9.2091e-06	1.6695e-05	2.8069e-07	9.7399e-09	8.7877e-09	1.8512e-15	2.5832e-08	5.0087e-04	3.6047e-05	3.2139e-05	9.6822e-05	2.4503e-07	1.0000e-37	1.9339e-08	2.7657e-07	5.3116e-06	1.2815e-06	5.0545e-07	4.0901e-07	1.1021e-04	2.4231e-05	6.5769e-06	1.1136e-05	4.5595e-06	9.0557e-14	6.2344e-06	7.8495e-07	4.4020e-11	1.5134e-06	9.3919e-10	2.1658e-11	1.9679e-10	9.4388e-11	3.3638e-10	1.3384e-05	9.8497e-07	3.3300e-05	1.4191e-06	8.5715e-06	3.5423e-08	8.7072e-08	6.2459e-21	7.2027e-08	2.1318e-07
iteration 3	6.6522e-07	2.3206e-07	1.0401e-06	1.0000e-37	5.6714e-03	8.8500e-04	3.9072e-19	6.4682e-19	2.2766e-19	2.5035e-07	2.3676e-08	1.3589e-07	5.1804e-09	1.4846e-13	1.9177e-11	7.5054e-12	1.2854e-11	1.3017e-07	1.6827e-08	7.6284e-08	3.2514e-08	1.1067e-07	1.7794e-20	3.1125e-08	2.3798e-08	1.2743e-07	2.0456e-06	3.3821e-06	4.4599e-10	1.3655e-08	1.4640e-06	1.4076e-05	4.8744e-07	2.2974e-07	6.6916e-06	2.2350e-06	1.8302e-09	1.0000e-37	1.0000e-37	7.2433e-04	7.0646e-05	1.7618e-04	1.0501e-04	3.2895e-06	4.0507e-06	8.1608e-08	8.9356e-07	2.3848e-06	3.1830e-06	7.9822e-07	1.0638e-05	1.9203e-05	5.9805e-08	8.9119e-09	8.0999e-09	3.2142e-18	9.9137e-10	5.0087e-04	4.1039e-05	6.3568e-06	1.9138e-05	1.4352e-06	1.0000e-37	8.3399e-08	7.6894e-07	5.6457e-06	6.8560e-06	5.2548e-07	2.1869e-06	1.2208e-04	8.6179e-05	3.3872e-05	5.7569e-05	2.3697e-05	7.0625e-18	7.4247e-06	1.9160e-06	2.0470e-12	1.7940e-06	3.7850e-09	1.8677e-10	1.6965e-09	8.2220e-10	2.7466e-09	1.2059e-05	1.0711e-06	2.9926e-05	1.5399e-06	8.6867e-06	8.9681e-09	2.2106e-08	1.0000e-37	4.5548e-08	4.8744e-07
iteration 3	3.2604e-07	3.7535e-09	1.0737e-06	1.0000e-37	5.6714e-03	1.0462e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.9161e-07	2.7399e-08	9.4471e-08	3.1187e-12	1.0000e-37	1.0238e-13	1.0000e-37	1.0000e-37	9.9051e-08	3.2349e-12	2.9621e-08	5.3953e-10	7.9210e-08	1.0000e-37	5.8493e-10	1.0771e-09	1.7081e-08	3.7895e-07	6.2711e-07	5.8682e-13	2.4578e-10	1.2082e-06	1.6547e-05	5.1952e-07	2.3722e-07	9.7980e-06	3.2904e-06	2.6890e-10	1.0000e-37	1.0000e-37	7.5648e-04	6.2392e-05	1.4896e-04	8.6069e-05	6.2085e-07	3.5123e-06	2.3344e-07	7.7996e-07	5.0383e-06	6.7197e-06	1.6814e-06	1.0875e-05	1.9625e-05	1.0515e-09	2.7162e-09	2.4353e-09	1.0000e-37	1.1164e-11	5.0087e-04	4.1939e-05	1.2140e-07	3.6543e-07	5.7658e-06	1.0000e-37	2.3040e-07	6.8857e-07	4.9488e-06	2.4323e-05	1.6626e-07	7.7573e-06	1.2466e-04	9.0827e-05	7.1973e-05	1.2615e-04	5.4177e-05	1.0000e-37	5.0044e-06	1.5533e-06	2.2101e-14	1.2081e-06	4.1545e-09	4.9738e-10	4.5178e-09	2.2685e-09	7.3150e-09	4.1988e-06	1.0902e-06	1.0415e-05	1.5670e-06	8.0853e-06	1.5366e-10	3.7876e-10	1.0000e-37	6.2838e-09	5.1952e-07
iteration 3	1.4861e-07	2.5387e-11	1.0223e-06	1.0000e-37	5.6714e-03	1.1532e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.4571e-07	2.4258e-08	5.4543e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.2031e-08	1.0000e-37	1.2484e-08	3.6473e-12	4.7205e-08	1.0000e-37	4.6705e-12	9.6485e-11	7.8204e-10	2.4582e-08	4.0880e-08	1.0000e-37	2.6020e-12	4.3488e-07	7.2939e-06	2.5847e-07	1.3621e-07	6.3650e-06	2.1506e-06	1.1969e-11	1.0000e-37	1.0000e-37	8.4264e-04	2.6732e-05	5.4943e-05	2.7761e-05	6.9937e-08	2.6973e-06	2.2750e-07	6.1828e-07	5.7894e-06	7.7063e-06	1.9169e-06	1.0858e-05	1.9633e-05	1.1071e-11	5.4765e-10	4.6814e-10	1.0000e-37	1.0000e-37	5.0087e-04	4.2172e-05	2.3383e-09	7.0383e-09	1.0111e-05	1.0000e-37	2.4456e-07	2.4670e-07	4.0509e-06	3.9638e-05	3.1754e-08	1.2642e-05	1.2653e-04	5.2784e-05	7.6080e-05	1.5000e-04	7.3920e-05	1.0000e-37	1.9151e-06	5.5498e-07	1.0000e-37	4.6222e-07	3.7267e-09	4.4938e-10	4.0817e-09	2.1323e-09	6.6756e-09	1.3246e-06	1.1121e-06	3.2854e-06	1.5986e-06	7.6203e-06	1.0466e-12	2.5797e-12	1.0000e-37	2.9341e-10	2.5847e-07
iteration 3	1.7370e-08	2.4709e-13	8.9787e-07	1.0000e-37	5.6714e-03	1.1658e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.0044e-07	2.0336e-08	2.2393e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7967e-08	1.0000e-37	6.1387e-09	3.7835e-15	1.9854e-08	1.0000e-37	4.1013e-15	7.3344e-12	3.1761e-12	1.6989e-10	2.8864e-10	1.0000e-37	8.2442e-15	3.2101e-08	4.6780e-07	2.5229e-08	1.8724e-08	1.0322e-06	3.5439e-07	4.5702e-14	1.0000e-37	1.0000e-37	9.3169e-04	2.9714e-06	5.2113e-06	1.9408e-06	2.0073e-09	1.7399e-06	4.3564e-08	4.2180e-07	2.7914e-06	3.7148e-06	9.2336e-07	9.6932e-06	1.7602e-05	3.4989e-14	9.3419e-11	6.9842e-11	1.0000e-37	1.0000e-37	5.0087e-04	3.8199e-05	3.4800e-11	1.0475e-10	3.7094e-06	1.0000e-37	4.5181e-08	1.4630e-08	2.9099e-06	1.9546e-05	2.3458e-09	6.2337e-06	1.1725e-04	9.4602e-06	2.9582e-05	7.3531e-05	4.3949e-05	1.0000e-37	2.7211e-07	4.0860e-08	1.0000e-37	6.5668e-08	3.1484e-09	7.9355e-11	7.2078e-10	3.9598e-10	1.1970e-09	3.1597e-07	1.0403e-06	7.8363e-07	1.4901e-06	5.8247e-06	1.0896e-15	2.6855e-15	1.0000e-37	1.2605e-12	2.5229e-08
iteration 3	5.0201e-12	2.6018e-17	5.9217e-07	1.0000e-37	5.6714e-03	1.0739e-05	1.0000e-37	1.0000e-37	1.0000e-37	9.4354e-10	1.3000e-10	7.0569e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.7256e-11	1.0000e-37	1.7517e-11	1.9865e-20	6.5366e-11	1.0000e-37	1.3998e-20	6.2142e-15	4.4341e-17	3.8058e-15	6.9790e-15	1.0000e-37	1.9279e-19	1.3803e-11	1.3372e-10	1.5985e-11	1.7736e-11	1.4287e-09	4.8417e-10	7.9703e-19	1.0000e-37	1.0000e-37	8.0085e-06	1.6295e-09	3.4613e-09	7.5076e-10	3.7620e-13	7.5563e-09	3.4422e-11	1.8349e-09	1.0206e-08	1.3609e-08	3.4023e-09	9.9291e-08	1.7895e-07	8.1690e-19	9.3714e-14	6.5660e-14	1.0000e-37	1.0000e-37	5.0087e-04	3.2941e-07	5.5295e-15	1.6644e-14	6.3239e-09	1.0000e-37	5.3186e-11	5.0959e-12	1.2110e-08	7.4262e-08	1.2946e-12	2.3683e-08	9.2696e-07	1.0834e-08	5.8869e-08	1.7772e-07	1.1885e-07	1.0000e-37	2.2444e-10	1.7600e-11	1.0000e-37	5.4161e-11	2.0052e-11	6.0630e-14	5.5070e-13	3.1186e-13	9.2319e-13	5.5305e-10	7.8276e-09	1.3716e-09	1.1125e-08	3.1985e-08	5.7336e-21	1.4132e-20	1.0000e-37	2.0737e-17	1.5985e-11
iteration 3	1.3454e-16	1.1304e-22	7.2101e-09	1.0000e-37	5.6714e-03	4.0618e-08	1.0000e-37	1.0000e-37	1.0000e-37	4.6333e-13	1.0000e-37	3.4418e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.7455e-14	1.0000e-37	2.0132e-15	8.5665e-27	3.2070e-14	1.0000e-37	7.1631e-28	9.3482e-19	1.9854e-23	1.2456e-21	2.8105e-21	1.0000e-37	1.0926e-25	1.2245e-16	1.0803e-15	3.1554e-16	5.7708e-16	2.1394e-13	7.1906e-14	3.4174e-25	1.0000e-37	1.0000e-37	4.5055e-09	2.1443e-14	2.8457e-13	8.7546e-15	3.3892e-18	2.9786e-12	1.2878e-15	7.4691e-13	1.5546e-12	2.0714e-12	5.1679e-13	4.4405e-11	8.5797e-11	4.6298e-25	1.0747e-17	7.6805e-18	1.0000e-37	1.0000e-37	5.0087e-04	1.6177e-10	3.0710e-20	9.2437e-20	5.4737e-13	1.0000e-37	2.2437e-15	3.5111e-17	4.9709e-12	1.6373e-11	4.0557e-18	5.2215e-12	4.5943e-10	2.6907e-13	7.8451e-12	2.5076e-11	1.7231e-11	1.0000e-37	3.9762e-16	1.5635e-16	1.0000e-37	9.5951e-17	1.0000e-37	2.2502e-18	2.0438e-17	1.1841e-17	3.4530e-17	8.1340e-15	3.7815e-12	2.0172e-14	5.2069e-12	1.2221e-11	2.4725e-27	6.0940e-27	1.0000e-37	1.5699e-23	3.1554e-16
iteration 3	1.3578e-18	1.5504e-25	6.7514e-10	1.0000e-37	5.6714e-03	3.9821e-09	1.0000e-37	1.0000e-37	1.0000e-37	4.3042e-14	1.0000e-37	3.1973e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.4084e-15	1.0000e-37	3.5049e-17	1.0000e-37	3.0044e-15	1.0000e-37	4.0406e-31	2.8840e-20	1.2071e-25	2.5761e-24	8.5955e-24	1.0000e-37	1.2415e-28	1.5653e-18	4.3628e-17	1.3360e-17	2.9556e-17	1.8784e-14	6.3060e-15	8.3581e-28	1.0000e-37	1.0000e-37	3.0385e-10	1.8985e-16	1.0798e-14	7.4543e-17	2.8427e-20	1.4312e-13	4.2808e-17	3.7050e-14	1.8888e-13	2.5014e-13	6.1257e-14	3.4911e-12	6.8158e-12	5.2604e-28	1.5576e-19	1.0212e-19	1.0000e-37	1.0000e-37	5.0087e-04	1.2422e-11	7.9204e-23	2.3840e-22	2.5314e-14	1.0000e-37	1.3148e-16	4.5130e-19	2.5702e-13	2.2030e-12	3.2105e-20	7.0256e-13	3.4389e-11	3.6455e-15	5.4763e-13	1.7838e-12	1.2362e-12	1.0000e-37	7.0659e-19	1.9986e-18	1.0000e-37	1.7051e-19	1.0000e-37	7.4554e-20	6.7717e-19	3.9594e-19	1.1477e-18	1.0585e-16	2.6829e-13	2.6251e-16	3.5605e-13	6.2305e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.1355e-25	1.3360e-17
iteration 3	4.4359e-19	5.3782e-28	1.2463e-08	1.0000e-37	5.6714e-03	5.9571e-08	1.0000e-37	1.0000e-37	1.0000e-37	7.1975e-13	1.0000e-37	5.3466e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.3718e-14	1.0000e-37	2.3926e-18	1.0000e-37	6.9107e-14	1.0000e-37	4.1984e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.5311e-19	1.9000e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1974e-09	1.0000e-37	4.8318e-14	1.0000e-37	1.0000e-37	2.1258e-13	1.0000e-37	9.0926e-14	1.8641e-40	2.3301e-40	4.6602e-41	4.8634e-11	9.9097e-11	1.0000e-37	8.5413e-21	1.0000e-37	1.0000e-37	1.0000e-37	5.0087e-04	1.6695e-10	1.0000e-37	1.0000e-37	4.8086e-16	1.0000e-37	1.0000e-37	4.4573e-23	1.0400e-12	2.2011e-29	1.0000e-37	7.0197e-30	4.5666e-10	1.0000e-37	4.7286e-29	1.6453e-28	1.1724e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9786e-12	1.0000e-37	2.4964e-12	8.3641e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9000e-18
iteration 3	7.8454e-22	5.2500e-30	4.7366e-09	1.0000e-37	5.6714e-03	2.4276e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.5060e-13	1.0000e-37	1.8616e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.5667e-14	1.0000e-37	8.0703e-20	1.0000e-37	2.7179e-14	1.0000e-37	4.4666e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.0348e-21	7.3646e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.9078e-10	1.0000e-37	5.8018e-15	1.0000e-37	1.0000e-37	7.8052e-14	1.0000e-37	3.4211e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.6777e-11	3.4362e-11	1.0000e-37	2.0537e-22	1.0000e-37	1.0000e-37	1.0000e-37	5.0087e-04	5.6491e-11	1.0000e-37	1.0000e-37	2.3818e-16	1.0000e-37	1.0000e-37	4.0229e-24	3.9799e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.5156e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.6187e-13	1.0000e-37	6.7775e-13	3.1557e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.3646e-19
