#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	6.2318e-04	3.8267e-05	7.3688e-03	1.0000e-37	8.5001e+06	2.3413e-02	6.6496e+02	1.5792e+03	7.7175e+02	7.3088e-09	3.0689e-11	9.0371e-09	7.3721e-01	1.6899e-01	1.3024e-06	6.4141e-07	1.2278e-02	1.3629e-08	5.4497e+02	6.3107e-02	3.8054e-05	1.2031e-08	9.7475e-07	1.4362e-06	2.1456e-03	1.4670e-06	5.6424e-06	9.3283e-06	6.5337e-06	5.8636e-07	6.6284e-09	2.9054e-07	7.0486e-08	3.8669e-08	5.3705e-06	6.8251e-07	2.4231e-08	9.6004e-04	1.0000e-37	1.7659e-03	3.4754e-07	4.2416e-06	5.2189e-07	5.3752e-05	1.6633e-05	1.8473e-07	2.9558e-06	1.2792e-08	1.7076e-08	4.2867e-09	7.0655e-05	1.3129e-04	1.3540e-04	2.5068e-04	1.1633e-04	1.6410e-06	4.7557e-06	7.7906e+05	2.9576e-04	3.5220e-04	1.0679e-03	2.2353e-11	1.0000e-37	2.6160e-12	5.5836e-08	2.4781e-05	2.3624e-10	2.3660e-07	7.5431e-11	1.1860e-03	1.8027e-07	2.0339e-07	3.4409e-07	1.4071e-07	2.7342e-07	2.3907e-06	8.2342e-07	1.3636e-08	5.9594e-07	5.1537e-12	1.0027e-09	9.1200e-09	3.2683e-09	3.8428e-08	6.1847e-06	1.6931e-05	1.5615e-05	2.5596e-05	5.3161e-03	8.5112e-07	1.9038e-06	5.4639e+01	1.8710e-07	7.0486e-08
iteration 3	5.5255e-02	1.0199e-02	8.9469e-02	1.0000e-37	8.5001e+06	2.7945e-01	6.8778e+02	1.5058e+03	7.2218e+02	2.0296e-06	4.8595e-08	4.8471e-07	6.5120e+00	1.8421e+00	5.2120e-04	1.1503e-04	2.9308e-01	2.0757e-06	8.2529e+02	5.2197e-01	1.4528e-02	1.7132e-06	2.8977e-05	6.4638e-04	1.9654e-02	9.2387e-04	1.4304e-03	2.3651e-03	2.8517e-05	5.7220e-05	9.6415e-06	1.8753e-04	1.4732e-04	6.5989e-05	6.8845e-04	6.0781e-05	4.6090e-06	3.6990e-03	1.0000e-37	2.9873e-02	2.5927e-04	6.7292e-04	3.8532e-04	1.8702e-03	1.5248e-04	1.6125e-05	2.0366e-05	1.3343e-05	1.7800e-05	4.4583e-06	6.6856e-04	1.2339e-03	1.1411e-02	2.7998e-03	1.3607e-03	5.1471e-05	1.1535e-04	7.7906e+05	2.7123e-03	9.4622e-03	2.8707e-02	1.8108e-06	1.0000e-37	3.7517e-07	8.7022e-06	1.6089e-04	2.0650e-05	2.9894e-05	6.5870e-06	1.0428e-02	1.9331e-04	1.3135e-04	2.2424e-04	9.2889e-05	6.0285e-05	1.2801e-04	1.9842e-05	7.8793e-07	3.1701e-05	6.2281e-09	8.1776e-07	7.4323e-06	3.6302e-06	2.8073e-05	3.1273e-04	1.3840e-04	7.8777e-04	2.0759e-04	1.0046e-01	2.2759e-04	5.0809e-04	5.3228e+01	1.1471e-04	1.4732e-04
iteration 3	6.7479e+00	1.8320e+00	1.1670e+00	1.0000e-37	8.5001e+06	3.5039e+00	5.7471e+02	1.2720e+03	6.0127e+02	2.2868e-05	6.1454e-07	5.6619e-06	5.3926e+01	2.4534e+01	2.1303e-02	1.2416e-03	4.2795e+00	2.3881e-05	8.1138e+02	1.6731e+00	2.0945e-01	2.1246e-05	2.6417e-04	1.0650e-02	2.3734e-01	1.2522e-02	2.0942e-02	3.4662e-02	2.5327e-04	6.7130e-04	1.2180e-04	2.2890e-03	1.6156e-03	7.6607e-04	2.2055e-02	8.3028e-04	5.6518e-05	1.8520e-03	1.0000e-37	4.0597e-01	2.9604e-03	7.2940e-03	4.0571e-03	2.0638e-02	1.0830e-03	1.9165e-04	2.0390e-04	1.5484e-04	2.0637e-04	5.1544e-05	8.4444e-03	1.5775e-02	1.3352e-01	2.8120e-02	2.0034e-02	1.2595e-04	1.2402e-03	7.7906e+05	3.5031e-02	1.0188e-01	3.0912e-01	1.8498e-05	1.0000e-37	4.1853e-06	9.8032e-05	1.6526e-03	2.1837e-04	3.5702e-04	6.9645e-05	1.3917e-01	2.0199e-03	1.3088e-03	2.3207e-03	1.0119e-03	3.0903e-03	1.4606e-03	2.3249e-04	9.0162e-06	3.6221e-04	7.5844e-08	1.0339e-05	9.3975e-05	4.6419e-05	3.6928e-04	3.5497e-03	1.6467e-03	8.9520e-03	2.4648e-03	1.5800e+00	2.9472e-03	6.5355e-03	4.4074e+01	1.5459e-03	1.6156e-03
iteration 3	1.7683e+02	5.4671e+01	1.2045e+01	1.0000e-37	8.5001e+06	3.0991e+01	4.5775e+02	1.0310e+03	5.1431e+02	2.1302e-04	6.4499e-06	5.4170e-05	1.9798e+02	6.3725e+01	3.3571e-01	1.2609e-02	1.1476e+01	2.3828e-04	1.0203e+03	4.2815e+00	3.0649e+00	2.1386e-04	6.1827e-04	1.2751e-01	2.2300e+00	1.3123e-01	2.2729e-01	3.8011e-01	5.9788e-03	6.2753e-03	1.9314e-03	2.3405e-02	1.5849e-02	7.3624e-03	4.8228e-01	2.2339e-02	5.5658e-04	6.5314e-04	1.0000e-37	4.4671e+00	3.2595e-02	6.3306e-02	2.8174e-02	2.2796e-01	4.9296e-03	2.0055e-03	2.2627e-03	2.0358e-03	2.7069e-03	6.7120e-04	1.0082e-01	1.9048e-01	1.0291e+00	2.3890e-01	2.0906e-01	4.6361e-04	1.5108e-02	7.7906e+05	4.1759e-01	1.0243e+00	3.1109e+00	1.1671e-04	1.0000e-37	4.2765e-05	1.0490e-03	2.0860e-02	2.1926e-03	3.7030e-03	6.9931e-04	1.6075e+00	1.9791e-02	8.4040e-03	1.8610e-02	1.0206e-02	4.1300e-02	1.5749e-02	3.4431e-03	1.0556e-04	3.9141e-03	7.9917e-07	1.0932e-04	9.9275e-04	4.9257e-04	4.1434e-03	3.7815e-02	1.7109e-02	9.5519e-02	2.5626e-02	1.1095e+01	3.4696e-02	7.8459e-02	1.4062e+01	1.6485e-02	1.5849e-02
iteration 3	4.3475e+02	2.2166e+02	8.9581e+01	1.0000e-37	8.5001e+06	1.2983e+02	3.6410e+02	8.4693e+02	3.9447e+02	2.2443e-03	6.9600e-05	5.6194e-04	3.8452e+02	3.9783e+01	3.2870e+00	1.4469e-01	1.5321e+01	2.6166e-03	1.3727e+03	2.5254e+01	2.3218e+01	2.6373e-03	5.4997e-04	1.4620e+00	1.8125e+01	1.3944e+00	2.0786e+00	3.8301e+00	1.1556e-01	6.7086e-02	4.2433e-02	2.3663e-01	1.5821e-01	6.9950e-02	6.1059e+00	4.7232e-01	7.1785e-03	5.4910e-04	1.0000e-37	4.2751e+01	1.9835e-01	3.0867e-01	9.0745e-02	3.2733e+00	2.8780e-01	2.1461e-02	4.0114e-02	3.1900e-02	4.2460e-02	1.0563e-02	1.0766e+00	2.0109e+00	7.0360e+00	1.1026e+00	9.9454e-01	4.4726e-03	3.2371e-01	7.7906e+05	4.3507e+00	1.3111e+01	3.9865e+01	2.0029e-04	1.0000e-37	4.4973e-04	1.3488e-02	3.9949e-01	2.2034e-02	3.8467e-02	7.0297e-03	1.6797e+01	1.7682e-01	2.3163e-02	7.0122e-02	4.6959e-02	1.1643e-01	1.7081e-01	7.3473e-02	1.7886e-03	4.2648e-02	8.6885e-06	9.3837e-04	8.4433e-03	4.0985e-03	3.8965e-02	3.9559e-01	1.8095e-01	1.0024e+00	2.6833e-01	3.9938e+01	8.6644e-01	1.9450e+00	1.4207e+00	2.0656e-01	1.5821e-01
iteration 3	5.8516e+02	3.9813e+02	3.7814e+02	1.0000e-37	8.5001e+06	3.9074e+02	1.8613e+02	4.8573e+02	1.6210e+02	3.6374e-02	8.0097e-04	7.7792e-03	5.2521e+02	9.4265e+00	2.6576e+01	3.9435e-01	2.4160e+01	3.4785e-02	1.5092e+03	5.5856e+01	7.9539e+01	5.2074e-02	1.9770e-04	1.7081e+01	9.0938e+01	1.6664e+01	1.0890e+01	3.8552e+01	1.2650e+00	9.8176e-01	6.4961e-01	2.4947e+00	1.6243e+00	6.8403e-01	4.3590e+01	5.8315e+00	6.7926e-02	5.1596e-05	1.0000e-37	4.3281e+02	3.7439e-01	5.6378e-01	1.4419e-01	3.4165e+01	5.0487e+00	2.2583e-01	5.9521e-01	3.6026e-01	4.7554e-01	1.1532e-01	1.1584e+01	2.1380e+01	5.9799e+01	1.9162e+00	1.7340e+00	5.5363e-03	3.4944e+00	7.7906e+05	4.5214e+01	1.4932e+02	4.5347e+02	1.0651e-04	1.0000e-37	5.3062e-03	2.4585e-01	5.5794e+00	2.1496e-01	4.8696e-01	6.8579e-02	1.6483e+02	9.3184e-01	3.0636e-02	1.0089e-01	7.0253e-02	4.0234e-02	2.0065e+00	1.0934e+00	2.9068e-02	5.0502e-01	9.9141e-05	5.8638e-03	4.9661e-02	2.2766e-02	2.6646e-01	3.9077e+00	2.0317e+00	9.9580e+00	2.8419e+00	1.1929e+02	4.2845e+00	9.6536e+00	5.0337e-02	4.0529e+00	1.6243e+00
iteration 3	1.0654e+03	5.0330e+02	6.9320e+02	1.0000e-37	8.5001e+06	2.0429e+03	1.2030e+01	3.2816e+01	7.3180e+00	1.6993e+00	9.1108e-03	2.2895e-01	6.8448e+02	3.7666e+00	1.2290e+02	1.1320e+00	9.5256e+01	6.6526e-01	1.6896e+03	6.0330e+01	7.1262e+02	1.9279e+00	4.6077e-05	2.6695e+02	2.3050e+02	3.3308e+02	2.7776e+01	5.5958e+02	9.5111e+00	2.3829e+01	7.5662e+00	3.2220e+01	1.8144e+01	8.8548e+00	2.1697e+02	3.8299e+01	1.1403e+00	4.5917e-10	1.0000e-37	3.8378e+03	4.8038e-01	7.1275e-01	1.8139e-01	3.8367e+02	2.9600e+01	2.7800e+00	5.9736e+00	2.5496e+00	3.2202e+00	6.7084e-01	9.8216e+01	1.7400e+02	9.8168e+02	2.0562e+00	1.9140e+00	1.6618e-03	1.4921e+01	7.7906e+05	3.6889e+02	8.7169e+02	2.6464e+03	4.2231e-05	1.0000e-37	7.6997e-02	3.5007e+00	5.6587e+01	1.3202e+00	9.4936e+00	4.2130e-01	1.3231e+03	1.7144e+00	3.0728e-02	1.0163e-01	7.0899e-02	7.3501e-03	2.5643e+01	1.2557e+01	6.7716e-01	6.5626e+00	1.1549e-03	2.8881e-02	2.0813e-01	8.4940e-02	1.3206e+00	2.3576e+01	1.9265e+01	6.0632e+01	2.6481e+01	5.6590e+02	3.8416e+01	8.6524e+01	6.5568e-04	9.5025e+01	1.8144e+01
iteration 3	2.3703e+03	6.0702e+02	9.5641e+02	1.0000e-37	8.5001e+06	9.7573e+03	4.9059e-01	1.3141e+00	2.9246e-01	1.1831e+02	1.0283e-01	2.5058e+01	1.9533e+03	5.4434e+00	6.0452e+02	1.3810e+00	4.2624e+02	3.4478e+01	3.3788e+03	5.3862e+01	7.0631e+03	6.3502e+01	1.7331e-05	3.1215e+03	5.2932e+02	7.3527e+03	5.7585e+01	1.0426e+04	3.0965e+01	3.4731e+02	5.1202e+01	4.5574e+02	1.9070e+02	1.3644e+02	1.6129e+03	2.3155e+02	2.8717e+01	4.6054e-12	1.0000e-37	3.3036e+04	6.7202e-01	9.7622e-01	2.5453e-01	2.5784e+03	1.0644e+02	3.3187e+01	5.3987e+01	5.9854e+00	7.2631e+00	1.2784e+00	7.3166e+02	1.2618e+03	8.0246e+03	1.9285e+00	1.8812e+00	1.5343e-03	2.0178e+01	7.7906e+05	2.7896e+03	1.6249e+03	4.9282e+03	2.0728e-05	1.0000e-37	8.1063e-01	2.6119e+01	5.3317e+02	2.4132e+00	1.3672e+02	7.7085e-01	9.9261e+03	2.1829e+00	2.8508e-02	9.3419e-02	6.4912e-02	2.4098e-03	1.9339e+02	8.8227e+01	4.6806e+00	4.9669e+01	1.5197e-02	2.0781e-01	1.3802e+00	5.2435e-01	6.3964e+00	6.7766e+01	1.4012e+02	1.7413e+02	1.9282e+02	3.8416e+03	5.3183e+02	1.2003e+03	3.2626e-05	2.2488e+03	1.9070e+02
iteration 3	3.6267e+03	7.0868e+02	1.4188e+03	1.0000e-37	8.5001e+06	4.2060e+04	6.1818e-07	1.2995e-06	3.5421e-07	5.0575e+02	5.8027e+00	2.3251e+02	4.5560e+03	4.4627e+00	8.6160e+02	1.7563e-01	3.8163e+02	2.3095e+02	4.0607e+03	4.5780e+01	2.0178e+04	2.9592e+02	1.0000e-37	9.7752e+03	2.2755e+03	5.9208e+04	3.0525e+01	4.8215e+04	2.1036e-05	4.9944e+02	7.2915e+01	5.2964e+03	1.5236e+03	2.0250e+03	1.0685e+04	1.3002e+03	1.0439e+02	2.7064e-14	1.0000e-37	1.0734e+05	6.0186e-01	8.5229e-01	2.2864e-01	2.0052e+03	3.5243e+02	1.5828e+02	2.3824e+02	1.1791e+01	1.4348e+01	2.5671e+00	3.4853e+03	6.0796e+03	6.9229e+03	1.7346e+00	1.8060e+00	6.1194e-04	4.4881e+00	7.7906e+05	1.3513e+04	7.2463e+02	2.1928e+03	1.5955e-03	1.0000e-37	1.9849e+00	7.1092e+01	2.2614e+03	1.3265e+01	2.6371e+02	4.2802e+00	5.5676e+04	6.3121e+00	3.2974e-01	1.0812e+00	7.5150e-01	2.0358e-04	2.1392e+02	1.5149e+02	1.7576e+00	5.3976e+01	4.5780e+00	1.2715e+00	8.4891e+00	3.4041e+00	3.1241e+01	6.3674e+01	5.1870e+02	1.6181e+02	6.8666e+02	2.3649e+04	1.8149e+03	4.2686e+03	6.1034e-10	1.8508e+04	1.5236e+03
iteration 3	3.4992e+03	7.0261e+02	1.4725e+03	1.0000e-37	8.5001e+06	4.2200e+05	5.0577e-09	9.8038e-09	2.8841e-09	1.7393e+03	8.3111e+01	4.5864e+02	1.5979e+03	5.4894e-01	1.0519e+02	3.1984e-03	4.0546e+01	6.2634e+02	1.5484e+03	2.9696e+01	1.2433e+04	1.2104e+03	1.0000e-37	6.5522e+03	4.7712e+03	7.3319e+04	7.9379e+00	5.8022e+04	1.0000e-37	8.1771e+01	1.3273e+02	2.2887e+04	6.2348e+03	1.0807e+04	9.1418e+04	2.3771e+04	2.3291e+01	1.0000e-37	1.0000e-37	2.5512e+05	1.0857e+00	1.5026e+00	4.1268e-01	2.6749e+02	1.8943e+03	5.4931e+02	5.9331e+02	4.1021e+01	4.9447e+01	8.4464e+00	7.1747e+03	1.2036e+04	5.8531e+02	1.5489e+00	1.7711e+00	3.1104e-05	7.3519e-02	7.7906e+05	2.6384e+04	9.4210e+01	2.8406e+02	1.2232e-02	1.0000e-37	2.0820e+01	7.7308e+01	4.3855e+03	9.9609e+01	7.5359e+01	3.2110e+01	1.2913e+05	1.0817e+01	6.8741e-01	2.2514e+00	1.5640e+00	1.4982e-10	4.7702e+01	1.7908e+02	2.6939e-02	1.1670e+01	3.5081e+01	4.5329e+00	2.0721e+01	9.7882e+00	8.5928e+01	1.5474e+01	1.1207e+03	3.8589e+01	1.4927e+03	7.2424e+04	1.8603e+03	4.5665e+03	2.3924e-11	4.0556e+04	6.2348e+03
