#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.5867e-06	3.6449e-07	8.2489e-07	1.0000e-37	5.2851e-03	3.2558e-04	7.8043e-16	1.4502e-15	4.3593e-16	2.5738e-07	5.0574e-09	1.3296e-07	2.3077e-07	1.7590e-12	4.3373e-10	3.2988e-10	6.7841e-10	1.2251e-07	3.5722e-07	1.3337e-07	1.5991e-07	1.1159e-07	3.7229e-18	1.2761e-07	1.4446e-07	2.3260e-07	2.6611e-06	4.3997e-06	1.9871e-08	5.9239e-08	5.2058e-07	5.0188e-06	2.1802e-07	1.1006e-07	1.9450e-06	6.3314e-07	3.3072e-09	1.0000e-37	1.0000e-37	6.7434e-04	2.2221e-05	5.6199e-05	3.3358e-05	5.9969e-06	3.6060e-06	1.0204e-08	8.0849e-07	4.8051e-07	6.4134e-07	1.6088e-07	9.1881e-06	1.6671e-05	2.9383e-07	1.1251e-08	1.0150e-08	2.2345e-15	2.8744e-08	4.7430e-04	3.6013e-05	3.3130e-05	9.9809e-05	2.5313e-07	1.0000e-37	2.0177e-08	2.7936e-07	5.3093e-06	1.3237e-06	5.1147e-07	4.2248e-07	1.1009e-04	2.4230e-05	6.6274e-06	1.1223e-05	4.5952e-06	1.4306e-13	6.2708e-06	7.8476e-07	4.9347e-11	1.5223e-06	9.1414e-10	2.2963e-11	2.0865e-10	9.9754e-11	3.5639e-10	1.3431e-05	9.8327e-07	3.3417e-05	1.4171e-06	8.5761e-06	3.7437e-08	9.2017e-08	8.6257e-21	7.3476e-08	2.1802e-07
iteration 3	6.3137e-07	2.2158e-07	9.9750e-07	1.0000e-37	5.2851e-03	8.8421e-04	1.3454e-19	2.1938e-19	7.5134e-20	2.3581e-07	2.3565e-08	1.2764e-07	5.1917e-09	1.8428e-13	2.1171e-11	9.0594e-12	1.5521e-11	1.2377e-07	1.8533e-08	8.8706e-08	3.5179e-08	1.0490e-07	6.2587e-21	3.2258e-08	2.2784e-08	1.3054e-07	2.0914e-06	3.4578e-06	5.1985e-10	1.4672e-08	1.4838e-06	1.4383e-05	4.9770e-07	2.3396e-07	6.7745e-06	2.2616e-06	2.0260e-09	1.0000e-37	1.0000e-37	7.2319e-04	7.1157e-05	1.7746e-04	1.0577e-04	3.5904e-06	4.0560e-06	8.4691e-08	8.9434e-07	2.4114e-06	3.2184e-06	8.0710e-07	1.0615e-05	1.9178e-05	6.4278e-08	1.0300e-08	9.3596e-09	3.9219e-18	1.0974e-09	4.7430e-04	4.1005e-05	6.7721e-06	2.0388e-05	1.4731e-06	1.0000e-37	8.6064e-08	7.7989e-07	5.6487e-06	7.0200e-06	5.3307e-07	2.2392e-06	1.2197e-04	8.6724e-05	3.4106e-05	5.7968e-05	2.3862e-05	8.9391e-18	7.4776e-06	1.9426e-06	2.2769e-12	1.8068e-06	3.7650e-09	1.9521e-10	1.7732e-09	8.5683e-10	2.8686e-09	1.2150e-05	1.0693e-06	3.0154e-05	1.5378e-06	8.6978e-06	9.6998e-09	2.3910e-08	1.0000e-37	4.6639e-08	4.9770e-07
iteration 3	3.0736e-07	3.6396e-09	1.0300e-06	1.0000e-37	5.2851e-03	1.0459e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.8078e-07	2.7446e-08	8.9192e-08	3.1757e-12	1.0000e-37	1.1454e-13	1.0000e-37	1.0000e-37	9.4626e-08	6.8624e-12	3.4640e-08	5.9140e-10	7.5494e-08	1.0000e-37	6.1141e-10	1.0650e-09	1.7619e-08	3.8803e-07	6.4213e-07	1.3310e-12	2.6728e-10	1.2309e-06	1.6895e-05	5.3119e-07	2.4201e-07	9.9694e-06	3.3468e-06	3.0547e-10	1.0000e-37	1.0000e-37	7.5517e-04	6.3189e-05	1.5087e-04	8.7181e-05	6.9653e-07	3.5214e-06	2.3881e-07	7.8164e-07	5.1040e-06	6.8073e-06	1.7033e-06	1.0853e-05	1.9601e-05	1.1436e-09	3.1550e-09	2.8277e-09	1.0000e-37	1.2411e-11	4.7430e-04	4.1907e-05	1.3064e-07	3.9325e-07	5.8763e-06	1.0000e-37	2.3617e-07	7.0009e-07	4.9578e-06	2.4785e-05	1.6938e-07	7.9047e-06	1.2454e-04	9.1634e-05	7.2658e-05	1.2733e-04	5.4677e-05	1.0000e-37	5.0468e-06	1.5825e-06	2.4725e-14	1.2183e-06	4.1563e-09	5.1104e-10	4.6419e-09	2.3265e-09	7.5120e-09	4.2466e-06	1.0884e-06	1.0534e-05	1.5649e-06	8.1066e-06	1.6841e-10	4.1509e-10	1.0000e-37	6.4804e-09	5.3119e-07
iteration 3	1.3948e-07	2.4664e-11	9.8019e-07	1.0000e-37	5.2851e-03	1.1523e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.3731e-07	2.4241e-08	5.1691e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.9119e-08	1.0000e-37	1.4671e-08	3.9511e-12	4.5001e-08	1.0000e-37	4.8231e-12	9.5051e-11	7.9500e-10	2.4748e-08	4.1156e-08	1.0000e-37	2.8067e-12	4.3887e-07	7.3395e-06	2.6189e-07	1.3786e-07	6.4336e-06	2.1731e-06	1.3551e-11	1.0000e-37	1.0000e-37	8.4216e-04	2.6904e-05	5.5318e-05	2.7959e-05	7.8757e-08	2.7070e-06	2.2976e-07	6.2050e-07	5.8241e-06	7.7526e-06	1.9285e-06	1.0839e-05	1.9616e-05	1.1943e-11	6.3980e-10	5.4656e-10	1.0000e-37	1.0000e-37	4.7430e-04	4.2153e-05	2.5081e-09	7.5496e-09	1.0224e-05	1.0000e-37	2.4788e-07	2.4910e-07	4.0655e-06	4.0073e-05	3.2149e-08	1.2780e-05	1.2648e-04	5.3083e-05	7.6549e-05	1.5083e-04	7.4285e-05	1.0000e-37	1.9240e-06	5.6011e-07	1.0000e-37	4.6437e-07	3.7233e-09	4.5472e-10	4.1303e-09	2.1557e-09	6.7533e-09	1.3364e-06	1.1109e-06	3.3145e-06	1.5973e-06	7.6432e-06	1.1337e-12	2.7943e-12	1.0000e-37	2.9823e-10	2.6189e-07
iteration 3	1.6065e-08	2.4003e-13	8.6132e-07	1.0000e-37	5.2851e-03	1.1652e-03	1.0000e-37	1.0000e-37	1.0000e-37	9.4455e-08	2.0331e-08	2.1113e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.6509e-08	1.0000e-37	7.2199e-09	4.0559e-15	1.8808e-08	1.0000e-37	4.1877e-15	7.0295e-12	3.1861e-12	1.6737e-10	2.8434e-10	1.0000e-37	8.8270e-15	3.2115e-08	4.6158e-07	2.5322e-08	1.8791e-08	1.0331e-06	3.5446e-07	5.1311e-14	1.0000e-37	1.0000e-37	9.3208e-04	2.9739e-06	5.2204e-06	1.9438e-06	2.2529e-09	1.7429e-06	4.2847e-08	4.2256e-07	2.7819e-06	3.7022e-06	9.2021e-07	9.6800e-06	1.7591e-05	3.7463e-14	1.0879e-10	8.1197e-11	1.0000e-37	1.0000e-37	4.7430e-04	3.8194e-05	3.7215e-11	1.1202e-10	3.7283e-06	1.0000e-37	4.5359e-08	1.4661e-08	2.9155e-06	1.9625e-05	2.3534e-09	6.2588e-06	1.1725e-04	9.4754e-06	2.9559e-05	7.3432e-05	4.3873e-05	1.0000e-37	2.7211e-07	4.0878e-08	1.0000e-37	6.5668e-08	3.1476e-09	7.8022e-11	7.0867e-10	3.8939e-10	1.1769e-09	3.1701e-07	1.0396e-06	7.8621e-07	1.4895e-06	5.8279e-06	1.1680e-15	2.8788e-15	1.0000e-37	1.2642e-12	2.5322e-08
iteration 4	4.5714e-12	2.5182e-17	5.5412e-07	1.0000e-37	5.2851e-03	1.0598e-05	1.0000e-37	1.0000e-37	1.0000e-37	8.8525e-10	1.3256e-10	6.6009e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.1510e-11	1.0000e-37	2.1007e-11	2.1491e-20	6.1435e-11	1.0000e-37	1.4446e-20	5.8821e-15	4.5046e-17	3.7500e-15	6.8749e-15	1.0000e-37	2.0789e-19	1.3898e-11	1.3185e-10	1.6151e-11	1.7894e-11	1.4191e-09	4.8101e-10	9.0557e-19	1.0000e-37	1.0000e-37	7.9692e-06	1.6376e-09	3.4818e-09	7.5478e-10	4.2377e-13	7.5221e-09	3.3053e-11	1.8301e-09	1.0163e-08	1.3550e-08	3.3877e-09	9.7683e-08	1.7636e-07	8.8091e-19	1.0870e-13	7.5611e-14	1.0000e-37	1.0000e-37	4.7430e-04	3.2571e-07	5.9238e-15	1.7831e-14	6.3590e-09	1.0000e-37	5.3639e-11	5.1330e-12	1.2129e-08	7.4562e-08	1.2996e-12	2.3779e-08	9.1913e-07	1.0867e-08	5.8598e-08	1.7687e-07	1.1827e-07	1.0000e-37	2.2411e-10	1.7720e-11	1.0000e-37	5.4082e-11	2.0448e-11	5.8221e-14	5.2882e-13	2.9946e-13	8.8650e-13	5.5270e-10	7.7841e-09	1.3707e-09	1.1069e-08	3.1915e-08	6.2026e-21	1.5288e-20	1.0000e-37	2.1033e-17	1.6151e-11
iteration 3	1.2342e-16	1.0974e-22	6.7693e-09	1.0000e-37	5.2851e-03	3.8093e-08	1.0000e-37	1.0000e-37	1.0000e-37	4.3486e-13	1.0000e-37	3.2206e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.4667e-14	1.0000e-37	2.3575e-15	8.7789e-27	3.0153e-14	1.0000e-37	7.3947e-28	8.8478e-19	1.9757e-23	1.2564e-21	2.8303e-21	1.0000e-37	1.1937e-25	1.2487e-16	1.0873e-15	3.2286e-16	5.8897e-16	2.0601e-13	6.9265e-14	3.9517e-25	1.0000e-37	1.0000e-37	4.4813e-09	2.1747e-14	2.8728e-13	8.8799e-15	3.8507e-18	2.9581e-12	1.2375e-15	7.4195e-13	1.5658e-12	2.0864e-12	5.2054e-13	4.2290e-11	8.2582e-11	5.0580e-25	1.2424e-17	8.8393e-18	1.0000e-37	1.0000e-37	4.7430e-04	1.5679e-10	3.3107e-20	9.9653e-20	5.5398e-13	1.0000e-37	2.2871e-15	3.5789e-17	4.9416e-12	1.6532e-11	4.1205e-18	5.2723e-12	4.4567e-10	2.7191e-13	7.8784e-12	2.5180e-11	1.7302e-11	1.0000e-37	3.9903e-16	1.5943e-16	1.0000e-37	9.6290e-17	1.0000e-37	2.1624e-18	1.9641e-17	1.1378e-17	3.3181e-17	8.1894e-15	3.7182e-12	2.0310e-14	5.1206e-12	1.2157e-11	2.5338e-27	6.2451e-27	1.0000e-37	1.5433e-23	3.2286e-16
iteration 3	1.2665e-18	1.5133e-25	6.3332e-10	1.0000e-37	5.2851e-03	3.7305e-09	1.0000e-37	1.0000e-37	1.0000e-37	4.0434e-14	1.0000e-37	2.9945e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1532e-15	1.0000e-37	4.0978e-17	1.0000e-37	2.8275e-15	1.0000e-37	4.1549e-31	2.7317e-20	1.1984e-25	2.7419e-24	9.0985e-24	1.0000e-37	1.3969e-28	1.6421e-18	4.6001e-17	1.4080e-17	3.0981e-17	1.8082e-14	6.0725e-15	1.0056e-27	1.0000e-37	1.0000e-37	3.0173e-10	1.9630e-16	1.0920e-14	7.7079e-17	3.2910e-20	1.4191e-13	4.1837e-17	3.6760e-14	1.9473e-13	2.5789e-13	6.3159e-14	3.2946e-12	6.5190e-12	5.9191e-28	1.7982e-19	1.1720e-19	1.0000e-37	1.0000e-37	4.7430e-04	1.1966e-11	8.6576e-23	2.6059e-22	2.5997e-14	1.0000e-37	1.3744e-16	4.7291e-19	2.5539e-13	2.2543e-12	3.3432e-20	7.1892e-13	3.3135e-11	3.7452e-15	5.5935e-13	1.8219e-12	1.2625e-12	1.0000e-37	7.1470e-19	2.0967e-18	1.0000e-37	1.7247e-19	1.0000e-37	7.2869e-20	6.6187e-19	3.8688e-19	1.1216e-18	1.0808e-16	2.6210e-13	2.6803e-16	3.4797e-13	6.2040e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.1199e-25	1.4080e-17
iteration 3	3.9886e-19	5.1286e-28	1.1516e-08	1.0000e-37	5.2851e-03	5.5062e-08	1.0000e-37	1.0000e-37	1.0000e-37	6.6820e-13	1.0000e-37	4.9487e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.8635e-14	1.0000e-37	2.7589e-18	1.0000e-37	6.4263e-14	1.0000e-37	3.9488e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.3962e-19	1.7678e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1037e-09	1.0000e-37	4.8270e-14	1.0000e-37	1.0000e-37	2.1199e-13	1.0000e-37	9.0766e-14	1.3841e-40	1.8454e-40	4.6135e-41	4.3996e-11	9.1756e-11	1.0000e-37	9.7251e-21	1.0000e-37	1.0000e-37	1.0000e-37	4.7430e-04	1.5549e-10	1.0000e-37	1.0000e-37	4.4755e-16	1.0000e-37	1.0000e-37	4.4703e-23	1.0398e-12	1.6969e-29	1.0000e-37	5.4117e-30	4.2470e-10	1.0000e-37	3.7533e-29	1.3063e-28	9.3100e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8350e-12	1.0000e-37	2.3122e-12	8.3553e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7678e-18
iteration 3	6.7483e-22	4.9000e-30	4.2940e-09	1.0000e-37	5.2851e-03	2.2046e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.2544e-13	1.0000e-37	1.6696e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3156e-14	1.0000e-37	9.1731e-20	1.0000e-37	2.4869e-14	1.0000e-37	4.1164e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.5649e-21	6.6454e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	8.4299e-10	1.0000e-37	5.7640e-15	1.0000e-37	1.0000e-37	7.6733e-14	1.0000e-37	3.3647e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.4789e-11	3.1075e-11	1.0000e-37	2.3109e-22	1.0000e-37	1.0000e-37	1.0000e-37	4.7430e-04	5.1320e-11	1.0000e-37	1.0000e-37	2.2152e-16	1.0000e-37	1.0000e-37	3.9495e-24	3.9189e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.3725e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.9442e-13	1.0000e-37	5.9569e-13	3.1057e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.6454e-19
