#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	3.7243e-06	1.9899e-07	1.2135e-05	1.0000e-37	1.5406e-01	5.3437e-04	1.0000e-37	1.0000e-37	1.0000e-37	1.0064e-05	2.3462e-08	4.9318e-06	4.0922e-11	1.0000e-37	4.0779e-18	1.2912e-24	1.6312e-23	3.5954e-06	1.3800e-16	1.0000e-37	5.1674e-14	4.2841e-06	1.0000e-37	8.4628e-13	3.9442e-06	8.3130e-08	1.7181e-09	3.0353e-09	1.4958e-20	9.0129e-15	1.1923e-07	1.4052e-06	3.4371e-08	2.0693e-08	4.6802e-06	2.0990e-06	1.4695e-17	1.0000e-37	1.0000e-37	8.5955e-04	1.1229e-05	2.8245e-05	1.6873e-05	2.3028e-13	4.3085e-08	1.6688e-10	1.0360e-08	4.0624e-07	5.4260e-07	1.3640e-07	1.2885e-05	2.2330e-05	4.2593e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.8785e-18	4.8243e-02	4.1691e-05	1.9256e-11	5.7993e-11	1.2686e-07	1.0000e-37	2.9874e-09	9.8029e-08	7.3116e-08	3.4262e-07	6.7333e-08	1.0934e-07	1.3195e-04	2.7620e-05	1.0169e-05	1.7144e-05	6.9745e-06	1.0000e-37	2.2170e-08	1.6221e-07	1.7383e-21	5.3721e-09	4.2398e-09	2.8748e-13	2.6120e-12	1.4154e-12	4.6018e-12	4.5208e-06	1.2589e-06	1.1244e-05	1.7419e-06	1.0611e-07	1.2836e-14	3.1654e-14	1.0000e-37	6.5737e-08	3.4371e-08
iteration 3	1.9159e-06	6.7960e-09	1.2966e-05	1.0000e-37	1.5406e-01	1.1595e-03	1.0000e-37	1.0000e-37	1.0000e-37	8.0205e-06	3.1398e-08	4.3268e-06	2.2024e-15	1.0000e-37	2.9212e-20	1.0272e-26	2.2216e-26	3.1801e-06	1.1910e-19	1.0000e-37	5.6366e-15	3.3357e-06	1.0000e-37	2.5233e-13	1.8065e-07	4.8494e-09	5.5373e-10	9.1995e-10	1.2760e-22	4.6394e-15	1.6665e-07	1.8703e-06	5.2297e-08	3.0227e-08	5.1458e-06	2.2809e-06	1.7139e-17	1.0000e-37	1.0000e-37	9.2836e-04	1.6386e-05	4.0922e-05	2.4362e-05	2.0271e-13	4.4768e-08	1.9788e-09	1.0669e-08	1.1066e-06	1.4779e-06	3.7130e-07	1.4749e-05	2.5588e-05	2.0156e-14	1.0000e-37	1.0000e-37	1.0000e-37	7.4092e-20	4.8243e-02	4.7359e-05	7.9908e-12	2.4056e-11	4.6709e-07	1.0000e-37	1.0597e-08	1.3029e-07	7.3393e-08	1.5734e-06	2.4989e-08	5.0184e-07	1.4572e-04	3.7694e-05	2.6785e-05	4.5382e-05	1.8597e-05	1.0000e-37	2.4979e-08	2.1632e-07	7.8918e-23	6.0336e-09	5.0646e-09	3.5936e-12	3.2643e-11	1.7676e-11	5.4552e-11	1.4250e-06	1.3712e-06	3.5361e-06	1.8940e-06	1.0185e-07	1.5719e-15	3.8747e-15	1.0000e-37	2.7910e-09	5.2297e-08
iteration 3	2.2844e-07	7.6456e-11	1.4512e-05	1.0000e-37	1.5406e-01	1.2866e-03	1.0000e-37	1.0000e-37	1.0000e-37	5.8483e-06	3.1548e-08	2.5503e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1312e-06	1.0000e-37	1.0000e-37	6.0243e-16	2.0603e-06	1.0000e-37	2.9915e-14	3.8848e-09	6.2260e-10	1.7934e-10	2.9700e-10	1.0000e-37	6.1344e-16	1.6199e-07	1.9703e-06	5.7404e-08	3.3725e-08	4.8546e-06	2.0581e-06	8.2307e-18	1.0000e-37	1.0000e-37	9.2522e-04	1.6182e-05	3.8495e-05	2.2147e-05	7.9816e-14	3.3903e-08	1.5812e-08	8.0548e-09	1.6016e-06	2.1368e-06	5.3517e-07	1.4964e-05	2.5789e-05	2.6153e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	4.7562e-05	9.2720e-13	2.7910e-12	1.6834e-06	1.0000e-37	2.6681e-08	1.2120e-07	5.5108e-08	5.3349e-06	4.8246e-09	1.7014e-06	1.4490e-04	3.7421e-05	3.5629e-05	6.2666e-05	2.7037e-05	1.0000e-37	1.9155e-08	2.0791e-07	1.0000e-37	4.6236e-09	4.9400e-09	2.9030e-11	2.6368e-10	1.4274e-10	4.3663e-10	2.6949e-07	1.3706e-06	6.6842e-07	1.8936e-06	8.0045e-08	1.7240e-16	4.2493e-16	1.0000e-37	2.5029e-10	5.7404e-08
iteration 3	1.8587e-08	5.1042e-13	1.4630e-05	1.0000e-37	1.5406e-01	1.3704e-03	1.0000e-37	1.0000e-37	1.0000e-37	4.3160e-06	2.8124e-08	1.1353e-06	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.1333e-06	1.0000e-37	1.0000e-37	7.4841e-18	9.9102e-07	1.0000e-37	4.0474e-16	2.4800e-10	4.1159e-11	1.9344e-11	3.2231e-11	1.0000e-37	1.0456e-17	7.6253e-08	1.0502e-06	3.1458e-08	2.0659e-08	3.4147e-06	1.4142e-06	2.2089e-19	1.0000e-37	1.0000e-37	9.7123e-04	7.9846e-06	1.5973e-05	7.8521e-06	4.3990e-15	1.7525e-08	3.9461e-08	4.2778e-09	1.7956e-06	2.3898e-06	5.9417e-07	1.4396e-05	2.4823e-05	4.4403e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	4.6243e-05	2.4216e-14	7.2893e-14	2.7926e-06	1.0000e-37	3.2908e-08	4.6704e-08	3.0144e-08	9.8151e-06	7.6463e-10	3.1302e-06	1.4096e-04	2.0790e-05	3.1627e-05	6.4567e-05	3.2940e-05	1.0000e-37	5.1277e-09	9.7182e-08	1.0000e-37	1.2375e-09	4.3591e-09	7.2515e-11	6.5865e-10	3.5834e-10	1.0905e-09	6.6411e-08	1.3397e-06	1.6471e-07	1.8528e-06	4.8831e-08	2.1535e-18	5.3077e-18	1.0000e-37	1.6141e-11	3.1458e-08
iteration 3	1.0013e-09	3.6187e-15	1.3588e-05	1.0000e-37	1.5406e-01	1.1016e-03	1.0000e-37	1.0000e-37	1.0000e-37	2.4280e-06	1.8782e-08	3.0739e-07	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.3893e-07	1.0000e-37	1.0000e-37	1.3811e-20	2.8370e-07	1.0000e-37	5.5342e-19	1.5996e-11	3.3738e-13	3.0766e-13	5.2698e-13	1.0000e-37	4.3683e-20	8.1637e-09	1.3763e-07	4.3271e-09	3.7194e-09	1.3820e-06	5.2844e-07	8.8622e-22	1.0000e-37	1.0000e-37	8.0200e-04	1.0016e-06	1.6653e-06	6.0405e-07	8.1792e-17	6.7985e-09	1.8888e-08	1.7346e-09	1.0607e-06	1.4122e-06	3.5150e-07	1.0646e-05	1.8285e-05	1.8521e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	3.3574e-05	3.6478e-16	1.0980e-15	9.9982e-07	1.0000e-37	8.8485e-09	3.5526e-09	1.2739e-08	5.7066e-06	6.0828e-11	1.8199e-06	1.0267e-04	3.7343e-06	1.1155e-05	2.9419e-05	1.8264e-05	1.0000e-37	5.1145e-10	1.0389e-08	1.0000e-37	1.2342e-10	2.9010e-09	3.3887e-11	3.0779e-10	1.7117e-10	5.1298e-10	1.2608e-08	9.9978e-07	3.1267e-08	1.3728e-06	2.4528e-08	3.9828e-21	9.8165e-21	1.0000e-37	1.5136e-13	4.3271e-09
iteration 3	1.1118e-13	4.9806e-20	1.0289e-05	1.0000e-37	1.5406e-01	2.7378e-05	1.0000e-37	1.0000e-37	1.0000e-37	2.6978e-09	2.6726e-11	2.0082e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.3015e-10	1.0000e-37	1.0000e-37	4.5164e-26	2.0037e-10	1.0000e-37	2.7458e-25	3.3539e-15	1.4444e-18	1.5886e-18	3.0484e-18	1.0000e-37	1.1721e-25	4.2685e-13	1.0015e-11	3.5741e-13	4.8873e-13	1.1927e-09	4.0095e-10	1.6488e-27	1.0000e-37	1.0000e-37	9.9374e-07	6.9133e-11	1.3605e-10	3.1031e-11	2.0989e-21	5.5606e-12	6.7656e-12	1.5675e-12	6.3755e-10	8.5033e-10	2.1278e-10	7.7547e-08	1.7228e-07	4.9663e-25	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	1.6685e-07	7.1699e-21	2.1581e-20	2.8161e-10	1.0000e-37	1.5381e-12	1.5821e-13	1.2968e-11	3.6056e-09	5.7644e-15	1.1499e-09	5.7337e-07	5.6867e-10	4.2831e-09	1.3090e-08	8.8068e-09	1.0000e-37	5.8589e-14	5.4439e-13	1.0000e-37	1.4138e-14	4.1224e-12	1.1886e-14	1.0796e-13	6.1592e-14	1.8143e-13	4.1465e-12	2.2116e-09	1.0283e-11	3.1245e-09	2.5728e-11	1.3035e-26	3.2128e-26	1.0000e-37	1.2283e-18	3.5741e-13
iteration 3	8.8151e-15	2.7139e-22	9.4068e-06	1.0000e-37	1.5406e-01	2.4757e-05	1.0000e-37	1.0000e-37	1.0000e-37	2.1752e-09	1.8476e-11	1.6192e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8556e-10	1.0000e-37	1.0000e-37	1.0407e-27	1.9057e-10	1.0000e-37	5.4443e-28	9.8602e-16	8.2489e-21	5.7619e-23	6.5185e-21	1.0000e-37	8.8118e-30	5.7067e-16	2.2604e-14	9.5558e-15	3.9708e-15	1.0765e-09	3.6177e-10	3.9071e-32	1.0000e-37	1.0000e-37	1.2251e-06	3.0508e-13	1.5507e-11	1.2326e-13	6.7760e-24	3.7065e-12	2.3677e-13	1.1431e-12	4.0763e-11	5.4326e-11	1.3563e-11	7.7137e-08	1.7007e-07	3.7338e-29	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	1.6245e-07	2.1923e-23	6.5988e-23	1.5235e-11	1.0000e-37	1.4491e-14	2.0317e-16	1.0240e-11	5.0656e-10	7.2232e-18	1.6155e-10	5.4238e-07	7.2807e-12	4.2362e-10	1.3635e-09	9.3986e-10	1.0000e-37	6.0280e-17	7.2859e-16	1.0000e-37	1.4546e-17	2.8499e-12	4.1056e-16	3.7291e-15	2.2072e-15	6.3468e-15	6.4708e-14	2.3025e-09	1.6047e-13	3.1783e-09	1.5117e-11	3.0036e-28	7.4032e-28	1.0000e-37	8.2482e-21	9.5558e-15
iteration 3	1.8310e-16	3.1625e-25	5.6865e-06	1.0000e-37	1.5406e-01	1.5650e-05	1.0000e-37	1.0000e-37	1.0000e-37	8.0289e-10	8.2713e-13	5.9725e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.8446e-11	1.0000e-37	1.0000e-37	1.0000e-37	9.4591e-11	1.0000e-37	6.3043e-31	1.7180e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.5189e-25	1.2655e-15	3.2059e-15	1.0000e-37	5.2117e-10	1.7506e-10	1.0000e-37	1.0000e-37	1.0000e-37	8.0945e-07	9.1176e-20	2.4984e-12	3.5887e-20	1.0000e-37	7.8290e-13	9.6336e-19	3.0614e-13	5.0345e-16	6.6767e-16	1.6422e-16	3.8474e-08	8.6470e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	8.4398e-08	1.0000e-37	1.0000e-37	3.9659e-13	1.0000e-37	1.2975e-21	9.9361e-23	3.4030e-12	2.3504e-13	1.0768e-24	7.4959e-14	3.0423e-07	1.0570e-16	1.7391e-13	5.7489e-13	4.0098e-13	1.0000e-37	2.1246e-22	3.2364e-24	1.0000e-37	5.1268e-23	1.2758e-13	1.6055e-21	1.4582e-20	9.6017e-21	2.5789e-20	1.4921e-17	1.2186e-09	3.7004e-17	1.6036e-09	2.8996e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.2059e-15
iteration 3	2.3792e-19	4.1280e-29	7.6441e-07	1.0000e-37	1.5406e-01	3.2442e-06	1.0000e-37	1.0000e-37	1.0000e-37	6.0479e-11	1.0000e-37	4.4988e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.1558e-12	1.0000e-37	1.0000e-37	1.0000e-37	6.6388e-12	1.0000e-37	4.6534e-35	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0000e-17	1.7157e-16	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.1012e-08	1.1823e-40	3.1887e-14	1.0000e-37	1.0000e-37	3.9490e-14	2.9830e-37	1.7360e-14	1.2707e-33	1.6829e-33	4.1216e-34	2.4425e-09	5.6140e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	5.5710e-09	1.0000e-37	1.0000e-37	2.9095e-14	1.0000e-37	1.0000e-37	1.2552e-25	2.1053e-13	6.2093e-25	1.0000e-37	1.9802e-25	2.5249e-08	1.0000e-37	7.6227e-25	2.6222e-24	1.8600e-24	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.7293e-40	3.9017e-39	3.6652e-39	8.0398e-39	1.0000e-37	7.3754e-11	1.0000e-37	9.2802e-11	1.6484e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.7157e-16
iteration 3	2.9102e-22	1.0000e-37	3.4436e-07	1.0000e-37	1.5406e-01	1.6325e-06	1.0000e-37	1.0000e-37	1.0000e-37	2.4991e-11	1.0000e-37	1.8590e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.1305e-12	1.0000e-37	1.0000e-37	1.0000e-37	2.8821e-12	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.4969e-19	7.5025e-17	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.5079e-09	1.0000e-37	5.0696e-15	1.0000e-37	1.0000e-37	1.6953e-14	1.0000e-37	7.4877e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0088e-09	2.3216e-09	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8243e-02	2.2653e-09	1.0000e-37	1.0000e-37	1.2392e-14	1.0000e-37	1.0000e-37	1.0000e-37	9.1039e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0417e-08	1.0000e-37	1.5420e-41	5.1399e-41	3.5980e-41	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	3.0708e-11	1.0000e-37	3.7683e-11	7.1025e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.5025e-17
