#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	5.3088e-01	2.0897e-01	6.0507e-03	1.0000e-37	5.6334e+06	1.6874e-02	6.3746e+02	1.3777e+03	5.9947e+02	4.5226e-09	1.1370e-12	6.0216e-09	7.3919e-01	4.1266e+01	6.0613e-04	8.6154e-04	9.3147e+00	1.3089e-08	9.5175e+02	4.5594e-01	5.4223e-01	1.2130e-08	9.7838e-08	5.4426e-06	8.9232e-04	3.7475e-07	9.7042e-06	1.6116e-05	1.6228e-06	4.8773e-07	2.0936e-09	2.0162e-07	3.4077e-09	3.7748e-09	2.5561e-04	7.6507e-06	1.2982e-07	1.0000e-37	1.0000e-37	3.8182e-03	1.3226e-07	4.0273e-06	1.9866e-07	5.3312e-05	2.0299e-05	2.2155e-07	3.2595e-06	1.3256e-09	1.7698e-09	4.4469e-10	6.6707e-05	1.2715e-04	1.1126e-04	4.8674e-03	9.8749e-05	5.0832e-05	5.9366e-06	5.0805e+05	2.9114e-04	3.1963e-04	9.6955e-04	1.0696e-15	1.0000e-37	7.9438e-14	2.1153e-07	2.8008e-05	9.0909e-12	1.2182e-07	2.9064e-12	1.1395e-03	1.0753e-07	2.5180e-08	4.2551e-08	1.7372e-08	9.9849e-05	8.5678e-07	9.5386e-07	3.1988e-08	2.1545e-07	1.9195e-13	1.5217e-09	1.3854e-08	5.3021e-09	7.9135e-08	4.0849e-06	1.5937e-05	1.0390e-05	2.4034e-05	2.5511e-01	1.8763e-03	4.6223e-03	3.1428e+00	3.5376e-08	3.4077e-09
iteration 3	3.1626e+01	2.4770e+00	8.5126e-02	1.0000e-37	5.6334e+06	2.3030e-01	3.7248e+02	8.2457e+02	3.1435e+02	1.9820e-06	4.5613e-08	4.7986e-07	7.3189e+00	3.0517e+01	7.1213e-03	1.8218e-03	9.5131e+00	2.0345e-06	1.0203e+03	1.6299e+00	7.1212e+00	1.6063e-06	1.4561e-07	1.9070e-03	9.5231e-03	1.0347e-03	2.3141e-03	3.8318e-03	5.1480e-05	6.5312e-05	9.3637e-06	2.1936e-04	1.4381e-04	6.1647e-05	4.4103e-03	2.8962e-04	9.0903e-06	1.0000e-37	1.0000e-37	3.3915e-02	2.5448e-04	6.7098e-04	3.7819e-04	2.8193e-03	2.6485e-04	1.7433e-05	2.7887e-05	1.3156e-05	1.7551e-05	4.3964e-06	6.4323e-04	1.2345e-03	1.5459e-02	1.3367e-02	1.0055e-03	9.0028e-05	2.4442e-04	5.0805e+05	2.7829e-03	1.2246e-02	3.7248e-02	1.6904e-06	1.0000e-37	3.4657e-07	1.0846e-05	2.4992e-04	1.9277e-05	3.2497e-05	6.1495e-06	1.0616e-02	1.9196e-04	1.3066e-04	2.2304e-04	9.2383e-05	4.6606e-04	1.1317e-04	2.4627e-05	1.9009e-06	2.8002e-05	5.9229e-09	9.9562e-07	9.0532e-06	4.5834e-06	4.0395e-05	3.5782e-04	1.4146e-04	9.0424e-04	2.1200e-04	1.0689e+00	1.6971e-01	3.8599e-01	3.2970e-01	1.2496e-04	1.4381e-04
iteration 3	1.9393e+02	2.7041e+01	1.1312e+00	1.0000e-37	5.6334e+06	2.9979e+00	1.0256e+02	2.7048e+02	6.3210e+01	2.3183e-05	6.0553e-07	5.8135e-06	5.3175e+01	4.9929e+00	7.2549e-02	6.8040e-04	9.4965e+00	2.4161e-05	1.2169e+03	6.7881e+00	1.8420e+01	2.0546e-05	6.7171e-08	2.8974e-02	1.1012e-01	1.4699e-02	3.0222e-02	5.0147e-02	1.2694e-03	8.9843e-04	1.2681e-04	2.5505e-03	1.6082e-03	7.2936e-04	5.7085e-02	4.7193e-03	7.2204e-05	1.0000e-37	1.0000e-37	4.2631e-01	3.0827e-03	7.9734e-03	4.2227e-03	3.5442e-02	6.3186e-03	2.0029e-04	5.1191e-04	1.5607e-04	2.0801e-04	5.1951e-05	8.1879e-03	1.5997e-02	1.6129e-01	3.9293e-02	3.6466e-03	6.1038e-06	2.6506e-03	5.0805e+05	3.6448e-02	1.7934e-01	5.4466e-01	1.7675e-05	1.0000e-37	4.0228e-06	1.2134e-04	4.3028e-03	2.1043e-04	4.0144e-04	6.7112e-05	1.4091e-01	2.0375e-03	1.3154e-03	2.3329e-03	1.0174e-03	1.5540e-04	1.3136e-03	3.5291e-04	1.5431e-05	3.2505e-04	7.4880e-08	1.1568e-05	1.0517e-04	5.3312e-05	4.6995e-04	4.1325e-03	1.6471e-03	1.0447e-02	2.4611e-03	3.8979e+00	1.4560e+00	3.2857e+00	1.0700e-02	1.7937e-03	1.6082e-03
iteration 3	3.3185e+02	1.2564e+02	1.0813e+01	1.0000e-37	5.6334e+06	2.3242e+01	3.6120e+00	9.3054e+00	1.8179e+00	2.1295e-04	6.4132e-06	5.5187e-05	1.6075e+02	6.5275e-01	6.3925e-01	3.4000e-03	9.8632e+00	2.3566e-04	1.1300e+03	8.6050e+00	2.1318e+01	1.9541e-04	1.4221e-08	2.9790e-01	1.0811e+00	1.5565e-01	2.7635e-01	4.6336e-01	1.3412e-02	8.3583e-03	2.0130e-03	2.4287e-02	1.5812e-02	6.9979e-03	5.7472e-01	5.0277e-02	6.1077e-04	1.0000e-37	1.0000e-37	4.4007e+00	3.4026e-02	6.9716e-02	2.9359e-02	3.2940e-01	6.6517e-02	2.0109e-03	5.9496e-03	1.9999e-03	2.6591e-03	6.5942e-04	9.1439e-02	1.8189e-01	1.1800e+00	4.9023e-02	4.6089e-03	6.2597e-07	2.5739e-02	5.0805e+05	4.1268e-01	1.7920e+00	5.4416e+00	1.1362e-04	1.0000e-37	4.1767e-05	1.2888e-03	5.0398e-02	2.1447e-03	4.1100e-03	6.8402e-04	1.5770e+00	1.9570e-02	8.2691e-03	1.8322e-02	1.0053e-02	2.5155e-05	1.3865e-02	4.6720e-03	1.4224e-04	3.4406e-03	7.9882e-07	1.1323e-04	1.0284e-03	5.1984e-04	4.7460e-03	4.3518e-02	1.7113e-02	1.1021e-01	2.5621e-02	1.1726e+01	1.8358e+00	4.1288e+00	9.9285e-05	1.8799e-02	1.5812e-02
iteration 3	4.4034e+02	2.6842e+02	8.1184e+01	1.0000e-37	5.6334e+06	9.1504e+01	1.8163e-01	4.6094e-01	9.0808e-02	2.1152e-03	6.9765e-05	5.4894e-04	2.7355e+02	4.0291e-01	5.7001e+00	3.4441e-02	1.1377e+01	2.4397e-03	1.0925e+03	8.5968e+00	2.9405e+01	2.1053e-03	6.7773e-09	2.9155e+00	9.1669e+00	1.7043e+00	2.3027e+00	4.2534e+00	1.2905e-01	8.5513e-02	4.4997e-02	2.3558e-01	1.5894e-01	6.6677e-02	5.1311e+00	4.9683e-01	5.9907e-03	1.0000e-37	1.0000e-37	4.3300e+01	2.0998e-01	3.3564e-01	9.5963e-02	3.3226e+00	6.1308e-01	2.0987e-02	6.1365e-02	3.1090e-02	4.1381e-02	1.0295e-02	9.6609e-01	1.9146e+00	8.3010e+00	4.9044e-02	4.6175e-03	2.3831e-07	3.3627e-01	5.0805e+05	4.3023e+00	1.7932e+01	5.4454e+01	2.2817e-04	1.0000e-37	4.4430e-04	1.5848e-02	5.4678e-01	2.1785e-02	4.3181e-02	6.9493e-03	1.6426e+01	1.7251e-01	2.2639e-02	6.8545e-02	4.5906e-02	9.7451e-06	1.4884e-01	8.2397e-02	1.7316e-03	3.7092e-02	8.7715e-06	9.7970e-04	8.8061e-03	4.3586e-03	4.3287e-02	4.5632e-01	1.7699e-01	1.1593e+00	2.6239e-01	3.1691e+01	2.0458e+00	4.5922e+00	5.4343e-07	2.3785e-01	1.5894e-01
iteration 3	7.1903e+02	3.7983e+02	3.1285e+02	1.0000e-37	5.6334e+06	3.1302e+02	1.0099e-02	2.5245e-02	5.0475e-03	2.9854e-02	8.1267e-04	6.9648e-03	3.6604e+02	3.7865e-01	3.5376e+01	2.4309e-01	1.6764e+01	3.0451e-02	1.0990e+03	8.3845e+00	9.1779e+01	3.3404e-02	3.7109e-09	2.9528e+01	5.1934e+01	2.1285e+01	1.2414e+01	4.4019e+01	1.1584e+00	1.0960e+00	7.1496e-01	2.4595e+00	1.6640e+00	6.5585e-01	3.4880e+01	4.6266e+00	6.6840e-02	1.0000e-37	1.0000e-37	4.2242e+02	4.0878e-01	6.1487e-01	1.5740e-01	3.4586e+01	4.9402e+00	2.3044e-01	6.2530e-01	3.5273e-01	4.6559e-01	1.1290e-01	9.8785e+00	1.9420e+01	7.3646e+01	4.7824e-02	4.5312e-03	4.8739e-07	3.6502e+00	5.0805e+05	4.2745e+01	1.6428e+02	4.9882e+02	1.5354e-04	1.0000e-37	5.3059e-03	2.6436e-01	5.7467e+00	2.1449e-01	5.6197e-01	6.8429e-02	1.5543e+02	9.0475e-01	3.0036e-02	9.8912e-02	6.8876e-02	8.8181e-06	1.7288e+00	1.2062e+00	3.1302e-02	4.3373e-01	1.0108e-04	6.5149e-03	5.4788e-02	2.5616e-02	3.0506e-01	4.5490e+00	1.9086e+00	1.1618e+01	2.6804e+00	1.0439e+02	4.4379e+00	9.9483e+00	8.2711e-11	4.7774e+00	1.6640e+00
iteration 3	1.5850e+03	4.6155e+02	5.6658e+02	1.0000e-37	5.6334e+06	1.6253e+03	7.1335e-07	1.7575e-06	3.5651e-07	1.4132e+00	9.4819e-03	1.9189e-01	5.4215e+02	3.7978e-01	1.3250e+02	9.9315e-01	6.0983e+01	5.7874e-01	1.1488e+03	7.4643e+00	9.6348e+02	9.5441e-01	2.5777e-12	4.2711e+02	1.5511e+02	4.3949e+02	3.9032e+01	7.8514e+02	5.4950e+00	2.7977e+01	8.9937e+00	3.1807e+01	1.9543e+01	8.4899e+00	2.0122e+02	3.2106e+01	1.3736e+00	1.0000e-37	1.0000e-37	3.6330e+03	5.5950e-01	8.2242e-01	2.1122e-01	4.1909e+02	2.4785e+01	3.0800e+00	5.8033e+00	2.5676e+00	3.2429e+00	6.7555e-01	8.4498e+01	1.5760e+02	1.2476e+03	4.3368e-02	4.2786e-03	2.5648e-06	1.6829e+01	5.0805e+05	3.4465e+02	9.5399e+02	2.8966e+03	6.3880e-05	1.0000e-37	7.9067e-02	3.5402e+00	5.5340e+01	1.3531e+00	1.1279e+01	4.3179e-01	1.2413e+03	1.6618e+00	3.0760e-02	1.0174e-01	7.0978e-02	1.0739e-05	2.1362e+01	1.4871e+01	8.1170e-01	5.4400e+00	1.2013e-03	3.3144e-02	2.3454e-01	9.6837e-02	1.5593e+00	2.7406e+01	1.7738e+01	7.0578e+01	2.4536e+01	5.6866e+02	4.7116e+01	1.0552e+02	8.2089e-13	1.1530e+02	1.9543e+01
iteration 3	2.6548e+03	5.6926e+02	7.8845e+02	1.0000e-37	5.6334e+06	8.3212e+03	3.1950e-09	7.8259e-09	1.5968e-09	9.6360e+01	1.1472e-01	1.9973e+01	2.1258e+03	1.0642e+00	7.8756e+02	7.5092e-01	2.1684e+02	2.9387e+01	1.5604e+03	6.5334e+00	9.4866e+03	3.4697e+01	1.1314e-13	4.4830e+03	4.2888e+02	9.2686e+03	8.1979e+01	1.4581e+04	9.1486e+00	4.1593e+02	6.6820e+01	4.2660e+02	2.2084e+02	1.2294e+02	1.7152e+03	2.2672e+02	3.6104e+01	1.0000e-37	1.0000e-37	3.1189e+04	8.4420e-01	1.2139e+00	3.1967e-01	2.8794e+03	9.2241e+01	3.7710e+01	5.2324e+01	6.4747e+00	7.8567e+00	1.3828e+00	6.7397e+02	1.1852e+03	1.0010e+04	3.9203e-02	3.9881e-03	6.6649e-06	2.4665e+01	5.0805e+05	2.6582e+03	1.7807e+03	5.4015e+03	2.9082e-05	1.0000e-37	9.0692e-01	2.5024e+01	5.3240e+02	2.6938e+00	1.5987e+02	8.6042e-01	9.5212e+03	2.0642e+00	3.0047e-02	9.8467e-02	6.8420e-02	7.1578e-06	1.5618e+02	1.1475e+02	6.1259e+00	4.0054e+01	1.6661e-02	2.4207e-01	1.5748e+00	6.0114e-01	7.5290e+00	7.5584e+01	1.3204e+02	1.9439e+02	1.8272e+02	4.0855e+03	6.8714e+02	1.5492e+03	2.4236e-14	2.7145e+03	2.2084e+02
iteration 3	3.8461e+03	6.5141e+02	1.1728e+03	1.0000e-37	5.6334e+06	3.8141e+04	1.2484e-11	2.5063e-11	6.0147e-12	4.0212e+02	3.8658e+00	1.8318e+02	5.9279e+03	1.0186e+00	1.1531e+03	7.5398e-02	1.6248e+02	1.9915e+02	2.4185e+03	5.7736e+00	2.6696e+04	2.2092e+02	1.0000e-37	1.3231e+04	2.1971e+03	7.2379e+04	4.0881e+01	6.3447e+04	7.3780e-06	6.0852e+02	9.4382e+01	4.2818e+03	1.8618e+03	1.6784e+03	1.2153e+04	1.4087e+03	1.3638e+02	1.0000e-37	1.0000e-37	1.0570e+05	7.3524e-01	1.0369e+00	2.7927e-01	2.3305e+03	3.4628e+02	1.7635e+02	2.3732e+02	1.0770e+01	1.3110e+01	2.3495e+00	3.2999e+03	5.7892e+03	8.5727e+03	3.7081e-02	3.5379e-03	7.0688e-07	6.9001e+00	5.0805e+05	1.3042e+04	8.0777e+02	2.4448e+03	1.6649e-03	1.0000e-37	2.4037e+00	5.9363e+01	2.3197e+03	1.2878e+01	3.0870e+02	4.1543e+00	5.4232e+04	5.3545e+00	3.0215e-01	9.9083e-01	6.8868e-01	1.0482e-10	2.0164e+02	1.9744e+02	2.8932e+00	5.1005e+01	2.7856e+00	1.4324e+00	9.5739e+00	3.8322e+00	3.5069e+01	7.0036e+01	5.0563e+02	1.7808e+02	6.7268e+02	2.5192e+04	2.3895e+03	5.6164e+03	3.4267e-15	2.2502e+04	1.8618e+03
iteration 3	4.4156e+03	7.1369e+02	1.2335e+03	1.0000e-37	5.6334e+06	4.2051e+05	9.6572e-14	1.7740e-13	4.6405e-14	1.4647e+03	7.2923e+01	3.9801e+02	2.0514e+03	7.6427e-02	1.3932e+02	1.3450e-03	1.6875e+01	6.4022e+02	6.9313e+02	3.2730e+00	1.6063e+04	1.1674e+03	1.0000e-37	9.3405e+03	5.7759e+03	9.2295e+04	1.0934e+01	7.9273e+04	1.0000e-37	9.8547e+01	1.7220e+02	1.8805e+04	7.6626e+03	1.1040e+04	1.0359e+05	2.6824e+04	3.3977e+01	1.0000e-37	1.0000e-37	2.4766e+05	1.3150e+00	1.8194e+00	4.9979e-01	3.4405e+02	1.9731e+03	6.1792e+02	6.0169e+02	3.9007e+01	4.7029e+01	8.0411e+00	7.0175e+03	1.1777e+04	7.0824e+02	2.9392e-02	3.3260e-03	1.8537e-11	1.2620e-01	5.0805e+05	2.5612e+04	1.0272e+02	3.0974e+02	1.3215e-02	1.0000e-37	2.1236e+01	6.6933e+01	4.5512e+03	1.0086e+02	8.8201e+01	3.2503e+01	1.2715e+05	9.4153e+00	6.6699e-01	2.1846e+00	1.5176e+00	8.8572e-13	5.2800e+01	2.3245e+02	4.9167e-02	1.2923e+01	2.6911e+01	4.8549e+00	2.2749e+01	1.0583e+01	8.7851e+01	1.6909e+01	1.0829e+03	4.2176e+01	1.4438e+03	7.5805e+04	2.3966e+03	5.8831e+03	1.0000e-37	5.0823e+04	7.6626e+03
