#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	1.7331e-06	3.8213e-07	8.8270e-07	1.0000e-37	5.9204e-03	3.2767e-04	3.9924e-16	7.5906e-16	2.3785e-16	2.8170e-07	5.2723e-09	1.4633e-07	2.4944e-07	1.2199e-12	3.8714e-10	2.2700e-10	4.6691e-10	1.3317e-07	3.6974e-07	9.7689e-08	1.4776e-07	1.2159e-07	1.8470e-18	1.2114e-07	1.5662e-07	2.2500e-07	2.5708e-06	4.2505e-06	1.4444e-08	5.5505e-08	5.2163e-07	4.8479e-06	2.1134e-07	1.0741e-07	1.9291e-06	6.2984e-07	2.9950e-09	1.0000e-37	1.0000e-37	6.7667e-04	2.2573e-05	5.7073e-05	3.3887e-05	5.5780e-06	3.6044e-06	9.4310e-09	8.0880e-07	4.6913e-07	6.2616e-07	1.5708e-07	9.2226e-06	1.6714e-05	2.7510e-07	8.4921e-09	7.6649e-09	1.5228e-15	2.4182e-08	5.1064e-04	3.6075e-05	3.1700e-05	9.5499e-05	2.4155e-07	1.0000e-37	1.9030e-08	2.7617e-07	5.3148e-06	1.2651e-06	5.0282e-07	4.0379e-07	1.1030e-04	2.4320e-05	6.5167e-06	1.1034e-05	4.5176e-06	5.6189e-14	6.2153e-06	7.8435e-07	4.1037e-11	1.5087e-06	9.5404e-10	2.0957e-11	1.9042e-10	9.1500e-11	3.2562e-10	1.3366e-05	9.8612e-07	3.3254e-05	1.4205e-06	8.5718e-06	3.4627e-08	8.5115e-08	4.4327e-21	7.1294e-08	2.1134e-07
iteration 3	6.8995e-07	2.3653e-07	1.0653e-06	1.0000e-37	5.9204e-03	8.8570e-04	2.6960e-19	4.4986e-19	1.6054e-19	2.5759e-07	2.3725e-08	1.4012e-07	5.2208e-09	1.2454e-13	1.8234e-11	6.1910e-12	1.0602e-11	1.3359e-07	1.4989e-08	6.5817e-08	3.1283e-08	1.1350e-07	1.2180e-20	3.0118e-08	2.4249e-08	1.2531e-07	2.0320e-06	3.3597e-06	3.8216e-10	1.3197e-08	1.4515e-06	1.3879e-05	4.8219e-07	2.2742e-07	6.6435e-06	2.2194e-06	1.7177e-09	1.0000e-37	1.0000e-37	7.2502e-04	7.0273e-05	1.7525e-04	1.0446e-04	3.1102e-06	4.0534e-06	7.9859e-08	8.9439e-07	2.3589e-06	3.1484e-06	7.8956e-07	1.0652e-05	1.9222e-05	5.7796e-08	7.7745e-09	7.0691e-09	2.6390e-18	9.2831e-10	5.1064e-04	4.1062e-05	6.1815e-06	1.8610e-05	1.4183e-06	1.0000e-37	8.2249e-08	7.6351e-07	5.6521e-06	6.7848e-06	5.2333e-07	2.1642e-06	1.2216e-04	8.5949e-05	3.3573e-05	5.7060e-05	2.3487e-05	5.7498e-18	7.3932e-06	1.8994e-06	1.9100e-12	1.7864e-06	3.7938e-09	1.8205e-10	1.6537e-09	8.0272e-10	2.6784e-09	1.2058e-05	1.0722e-06	2.9924e-05	1.5412e-06	8.6929e-06	8.6296e-09	2.1272e-08	1.0000e-37	4.4799e-08	4.8219e-07
iteration 3	3.3940e-07	3.7611e-09	1.0995e-06	1.0000e-37	5.9204e-03	1.0463e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.9681e-07	2.7412e-08	9.7046e-08	3.1193e-12	1.0000e-37	9.7686e-14	1.0000e-37	1.0000e-37	1.0131e-07	1.0000e-37	2.5436e-08	5.1785e-10	8.0966e-08	1.0000e-37	5.6458e-10	1.0821e-09	1.6798e-08	3.7776e-07	6.2515e-07	1.0000e-37	2.3690e-10	1.1970e-06	1.6372e-05	5.1395e-07	2.3490e-07	9.7138e-06	3.2625e-06	2.4881e-10	1.0000e-37	1.0000e-37	7.5680e-04	6.1985e-05	1.4798e-04	8.5500e-05	5.7777e-07	3.5213e-06	2.3059e-07	7.8210e-07	4.9970e-06	6.6645e-06	1.6676e-06	1.0885e-05	1.9635e-05	1.0134e-09	2.3696e-09	2.1267e-09	1.0000e-37	1.0460e-11	5.1064e-04	4.1944e-05	1.1767e-07	3.5419e-07	5.7107e-06	1.0000e-37	2.2775e-07	6.8297e-07	4.9629e-06	2.4100e-05	1.6633e-07	7.6865e-06	1.2468e-04	9.0422e-05	7.1499e-05	1.2533e-04	5.3828e-05	1.0000e-37	4.9976e-06	1.5387e-06	2.0637e-14	1.2064e-06	4.1583e-09	4.9015e-10	4.4522e-09	2.2377e-09	7.2107e-09	4.2154e-06	1.0908e-06	1.0456e-05	1.5676e-06	8.1058e-06	1.4750e-10	3.6357e-10	1.0000e-37	6.1805e-09	5.1395e-07
iteration 3	1.5531e-07	2.5393e-11	1.0473e-06	1.0000e-37	5.9204e-03	1.1535e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.4979e-07	2.4259e-08	5.5910e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.3522e-08	1.0000e-37	1.0611e-08	3.5190e-12	4.8224e-08	1.0000e-37	4.5338e-12	9.6909e-11	7.7471e-10	2.4700e-08	4.1077e-08	1.0000e-37	2.5163e-12	4.3276e-07	7.2726e-06	2.5679e-07	1.3539e-07	6.3302e-06	2.1391e-06	1.1070e-11	1.0000e-37	1.0000e-37	8.4269e-04	2.6636e-05	5.4732e-05	2.7648e-05	6.4835e-08	2.7090e-06	2.2631e-07	6.2094e-07	5.7704e-06	7.6810e-06	1.9106e-06	1.0867e-05	1.9644e-05	1.0706e-11	4.7601e-10	4.0785e-10	1.0000e-37	1.0000e-37	5.1064e-04	4.2178e-05	2.2680e-09	6.8269e-09	1.0053e-05	1.0000e-37	2.4297e-07	2.4545e-07	4.0681e-06	3.9425e-05	3.1916e-08	1.2573e-05	1.2655e-04	5.2626e-05	7.5795e-05	1.4950e-04	7.3703e-05	1.0000e-37	1.9228e-06	5.5227e-07	1.0000e-37	4.6408e-07	3.7271e-09	4.4658e-10	4.0563e-09	2.1199e-09	6.6349e-09	1.3334e-06	1.1127e-06	3.3072e-06	1.5992e-06	7.6586e-06	1.0098e-12	2.4890e-12	1.0000e-37	2.9068e-10	2.5679e-07
iteration 3	1.8353e-08	2.4707e-13	9.1945e-07	1.0000e-37	5.9204e-03	1.1656e-03	1.0000e-37	1.0000e-37	1.0000e-37	1.0336e-07	2.0330e-08	2.3007e-08	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8703e-08	1.0000e-37	5.1938e-09	3.6790e-15	2.0336e-08	1.0000e-37	4.0101e-15	7.4457e-12	3.1763e-12	1.7327e-10	2.9439e-10	1.0000e-37	8.0190e-15	3.2131e-08	4.7232e-07	2.5234e-08	1.8725e-08	1.0332e-06	3.5479e-07	4.2600e-14	1.0000e-37	1.0000e-37	9.3080e-04	2.9727e-06	5.2111e-06	1.9408e-06	1.8684e-09	1.7525e-06	4.3947e-08	4.2478e-07	2.8009e-06	3.7274e-06	9.2649e-07	9.6965e-06	1.7603e-05	3.4033e-14	8.1180e-11	6.1052e-11	1.0000e-37	1.0000e-37	5.1064e-04	3.8185e-05	3.3848e-11	1.0188e-10	3.7051e-06	1.0000e-37	4.5181e-08	1.4630e-08	2.9302e-06	1.9537e-05	2.3760e-09	6.2308e-06	1.1720e-04	9.4587e-06	2.9622e-05	7.3659e-05	4.4038e-05	1.0000e-37	2.7486e-07	4.0898e-08	1.0000e-37	6.6331e-08	3.1473e-09	8.0064e-11	7.2722e-10	3.9949e-10	1.2076e-09	3.1963e-07	1.0402e-06	7.9270e-07	1.4897e-06	5.8742e-06	1.0595e-15	2.6113e-15	1.0000e-37	1.2607e-12	2.5234e-08
iteration 4	2.7285e-12	1.3195e-17	5.7066e-07	1.0000e-37	5.9204e-03	6.1731e-06	1.0000e-37	1.0000e-37	1.0000e-37	4.9311e-10	6.5671e-11	3.6857e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	5.0738e-11	1.0000e-37	7.6263e-12	9.8486e-21	3.4024e-11	1.0000e-37	6.9802e-21	3.2299e-15	2.2647e-17	1.9940e-15	3.6561e-15	1.0000e-37	9.5278e-20	7.0078e-12	6.8970e-11	8.1179e-12	8.9974e-12	7.2793e-10	2.4661e-10	3.8052e-19	1.0000e-37	1.0000e-37	4.0408e-06	8.2660e-10	1.7542e-09	3.8094e-10	1.7881e-13	3.8767e-09	1.7838e-11	9.4092e-10	5.1959e-09	6.9280e-09	1.7320e-09	5.6954e-08	1.0673e-07	4.0373e-19	4.1581e-14	2.9406e-14	1.0000e-37	1.0000e-37	5.1064e-04	1.8622e-07	2.7234e-15	8.1974e-15	3.2029e-09	1.0000e-37	2.6973e-11	2.5866e-12	6.2048e-09	3.7573e-08	6.6938e-13	1.1983e-08	5.0194e-07	5.4874e-09	2.9971e-08	9.0470e-08	6.0499e-08	1.0000e-37	1.1587e-10	8.9350e-12	1.0000e-37	2.7962e-11	1.0130e-11	3.1420e-14	2.8538e-13	1.6161e-13	4.7842e-13	2.8529e-10	4.0044e-09	7.0751e-10	5.6984e-09	1.6403e-08	2.8425e-21	7.0060e-21	1.0000e-37	1.0592e-17	8.1179e-12
iteration 3	1.4361e-16	1.1292e-22	7.4750e-09	1.0000e-37	5.9204e-03	4.2249e-08	1.0000e-37	1.0000e-37	1.0000e-37	4.7755e-13	1.0000e-37	3.5559e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.8952e-14	1.0000e-37	1.7220e-15	8.5021e-27	3.3020e-14	1.0000e-37	6.9498e-28	9.5786e-19	1.9884e-23	1.2566e-21	2.8375e-21	1.0000e-37	1.0520e-25	1.2134e-16	1.0794e-15	3.1230e-16	5.7170e-16	2.1682e-13	7.2862e-14	3.1399e-25	1.0000e-37	1.0000e-37	4.5164e-09	2.1301e-14	2.8364e-13	8.6956e-15	3.1396e-18	3.0258e-12	1.3112e-15	7.5849e-13	1.5506e-12	2.0660e-12	5.1546e-13	4.5664e-11	8.8303e-11	4.4574e-25	9.4059e-18	6.7914e-18	1.0000e-37	1.0000e-37	5.1064e-04	1.6527e-10	2.9750e-20	8.9548e-20	5.4434e-13	1.0000e-37	2.2241e-15	3.4794e-17	5.0444e-12	1.6301e-11	4.0870e-18	5.1987e-12	4.6789e-10	2.6771e-13	7.8349e-12	2.5045e-11	1.7210e-11	1.0000e-37	4.0209e-16	1.5493e-16	1.0000e-37	9.7028e-17	1.0000e-37	2.2909e-18	2.0808e-17	1.2056e-17	3.5155e-17	8.2314e-15	3.8189e-12	2.0414e-14	5.2576e-12	1.2403e-11	2.4539e-27	6.0482e-27	1.0000e-37	1.5803e-23	3.1230e-16
iteration 3	1.4363e-18	1.5460e-25	7.0036e-10	1.0000e-37	5.9204e-03	4.1453e-09	1.0000e-37	1.0000e-37	1.0000e-37	4.4353e-14	1.0000e-37	3.3025e-15	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.5464e-15	1.0000e-37	3.0059e-17	1.0000e-37	3.0921e-15	1.0000e-37	3.9336e-31	2.9541e-20	1.2106e-25	2.5344e-24	8.4784e-24	1.0000e-37	1.1803e-28	1.5325e-18	4.2649e-17	1.3058e-17	2.8946e-17	1.9037e-14	6.3897e-15	7.5492e-28	1.0000e-37	1.0000e-37	3.0485e-10	1.8703e-16	1.0756e-14	7.3435e-17	2.6121e-20	1.4575e-13	4.3271e-17	3.7702e-14	1.8639e-13	2.4684e-13	6.0447e-14	3.6088e-12	7.0500e-12	5.0015e-28	1.3646e-19	9.0608e-20	1.0000e-37	1.0000e-37	5.1064e-04	1.2747e-11	7.6284e-23	2.2961e-22	2.5016e-14	1.0000e-37	1.2893e-16	4.4221e-19	2.6116e-13	2.1808e-12	3.1989e-20	6.9550e-13	3.5167e-11	3.6033e-15	5.4255e-13	1.7673e-12	1.2247e-12	1.0000e-37	7.1359e-19	1.9567e-18	1.0000e-37	1.7220e-19	1.0000e-37	7.5355e-20	6.8445e-19	4.0025e-19	1.1601e-18	1.0639e-16	2.7205e-13	2.6385e-16	3.6093e-13	6.3300e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.1418e-25	1.3058e-17
iteration 3	4.8448e-19	5.4395e-28	1.3039e-08	1.0000e-37	5.9204e-03	6.2484e-08	1.0000e-37	1.0000e-37	1.0000e-37	7.4745e-13	1.0000e-37	5.5656e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.6619e-14	1.0000e-37	2.0664e-18	1.0000e-37	7.1605e-14	1.0000e-37	4.2600e-34	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.6119e-19	1.9582e-18	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.2354e-09	1.0000e-37	4.8705e-14	1.0000e-37	1.0000e-37	2.1415e-13	1.0000e-37	9.1524e-14	1.8751e-40	2.8126e-40	9.3753e-41	5.1438e-11	1.0474e-10	1.0000e-37	7.5128e-21	1.0000e-37	1.0000e-37	1.0000e-37	5.1064e-04	1.7498e-10	1.0000e-37	1.0000e-37	4.9935e-16	1.0000e-37	1.0000e-37	4.4011e-23	1.0458e-12	2.4640e-29	1.0000e-37	7.8581e-30	4.7649e-10	1.0000e-37	5.3027e-29	1.8448e-28	1.3145e-28	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.0647e-12	1.0000e-37	2.6066e-12	8.4155e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.9582e-18
iteration 3	8.7557e-22	5.3903e-30	5.0011e-09	1.0000e-37	5.9204e-03	2.5684e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.6514e-13	1.0000e-37	1.9742e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.7178e-14	1.0000e-37	7.0084e-20	1.0000e-37	2.8382e-14	1.0000e-37	4.5979e-36	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	4.3165e-21	7.7289e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	9.1308e-10	1.0000e-37	5.8468e-15	1.0000e-37	1.0000e-37	7.9120e-14	1.0000e-37	3.4670e-14	1.0000e-37	1.0000e-37	1.0000e-37	1.7975e-11	3.6774e-11	1.0000e-37	1.8055e-22	1.0000e-37	1.0000e-37	1.0000e-37	5.1064e-04	5.9989e-11	1.0000e-37	1.0000e-37	2.4670e-16	1.0000e-37	1.0000e-37	4.0324e-24	4.0304e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.6031e-10	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	6.0311e-13	1.0000e-37	7.2776e-13	3.1967e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.7289e-19
